synergy,class
11.129217,0
18.719816,0
31.399271,1
-3.9209442,0
12.70969,0
-3.0135841,0
3.6873817,0
2.6913137,0
-0.39265588,0
13.058294,0
-0.42215732,0
-5.306678,0
31.749893,1
7.4048676,0
70.175705,1
37.958706,1
12.606761,0
-15.145712,0
0.8424082,0
2.2867823,0
7.802931,0
6.31021,0
-15.686987,0
6.541255,0
-4.5416784,0
6.054904,0
3.6706915,0
0.11599681,0
19.147682,0
9.129013,0
3.4461365,0
7.0342584,0
4.2426653,0
4.7154875,0
14.244398,0
5.293007,0
-3.660966,0
-1.1121459,0
6.086152,0
-12.398732,0
-21.152828,0
-19.11576,0
-18.539627,0
18.761297,0
3.5081782,0
14.684555,0
23.914545,0
10.494602,0
37.372116,1
1.2733784,0
25.247337,0
-5.062572,0
22.79511,0
3.9978523,0
-20.70284,0
-6.7834253,0
-20.792856,0
12.318407,0
15.006062,0
11.73782,0
5.356285,0
25.0768,0
15.055368,0
18.778341,0
-6.2808237,0
-6.868476,0
9.9926815,0
11.597764,0
-19.614145,0
10.479437,0
1.3298085,0
3.055191,0
13.256302,0
20.208946,0
83.08368,1
60.232098,1
58.72343,1
28.723461,0
69.61527,1
6.3534737,0
60.926205,1
68.845825,1
55.4133,1
48.549007,1
48.819595,1
36.17797,1
121.77792,1
9.252272,0
2.6211433,0
8.69805,0
23.311953,0
-11.45448,0
17.312805,0
4.503109,0
3.7738218,0
-2.5742617,0
0.6214285,0
-31.780853,0
-7.7033205,0
-6.99788,0
10.737954,0
15.177549,0
13.808169,0
7.08724,0
9.52356,0
3.2501864,0
0.5237732,0
14.333695,0
25.61187,0
11.4920635,0
3.272295,0
-18.481173,0
-5.8356133,0
-10.138296,0
17.939106,0
3.0651817,0
-1.7819853,0
0.85417366,0
-6.1378717,0
1.4615765,0
5.451297,0
9.782643,0
12.567936,0
26.275978,0
18.634144,0
39.624836,1
12.904932,0
21.210987,0
-11.795162,0
6.7116594,0
-8.284378,0
26.762714,0
-1.5880022,0
12.076061,0
36.647472,1
9.119127,0
49.263596,1
13.82261,0
-16.302208,0
-6.4789906,0
-3.979722,0
2.2076893,0
15.591107,0
-8.989021,0
-7.6934633,0
9.25073,0
6.343338,0
-40.33264,0
10.834111,0
-30.92534,0
-2.4120402,0
-0.8220453,0
-20.973295,0
18.558544,0
19.828041,0
-28.593994,0
10.912809,0
10.290065,0
-7.587904,0
12.578348,0
30.090855,1
12.309376,0
12.406864,0
-12.441552,0
2.602188,0
-11.971256,0
2.9202766,0
-14.406682,0
10.940637,0
-5.0838366,0
9.840113,0
-3.2201557,0
15.699077,0
24.327473,0
-15.194611,0
-10.917921,0
34.37541,1
14.268166,0
5.958221,0
6.5849714,0
-2.5620642,0
4.082185,0
49.674618,1
-6.4319735,0
-24.529915,0
12.095861,0
2.8141716,0
1.9132671,0
24.770777,0
41.524185,1
9.03783,0
66.20062,1
-2.0624704,0
33.435528,1
13.302233,0
41.207584,1
27.682302,0
54.80585,1
21.370058,0
38.907513,1
35.754642,1
36.389507,1
-22.37193,0
42.641544,1
18.613605,0
11.901169,0
-6.2699647,0
2.7834845,0
9.560991,0
27.833374,0
15.494611,0
-8.130198,0
-2.4486942,0
4.3060417,0
-21.324623,0
-17.046637,0
-11.889036,0
9.841879,0
-10.698856,0
31.511677,1
-0.18469241,0
-19.513006,0
3.9780407,0
-21.023067,0
4.581765,0
13.139414,0
-3.4719229,0
14.374136,0
19.578686,0
-0.8101864,0
16.452555,0
25.849737,0
17.646984,0
21.071026,0
-1.5273714,0
2.3776226,0
6.673567,0
0.65328026,0
-3.3607445,0
-4.474737,0
9.48449,0
-9.254029,0
