synergy,class
0.8919079,0
8.481612,0
11.373714,0
-15.733952,0
14.565138,0
3.7465322,0
-5.0413756,0
-8.518914,0
14.5199795,0
-4.2699685,0
10.130274,0
5.4528804,0
30.979458,1
6.130317,0
31.553331,1
26.62097,0
10.907749,0
17.480516,0
9.786028,0
-10.96539,0
3.3103642,0
-3.4111087,0
-20.149536,0
-3.1337206,0
9.32035,0
-8.551995,0
-44.6878,0
-8.412697,0
-24.561363,0
-35.19487,0
-6.0339446,0
-15.8601265,0
0.18788163,0
1.3972756,0
0.34428948,0
5.4007773,0
-0.48343068,0
-12.402124,0
13.186745,0
-8.000158,0
-31.936386,0
-21.259148,0
-3.2491667,0
8.937238,0
14.0477085,0
-1.235063,0
14.038364,0
8.3505745,0
-7.2838364,0
-11.193777,0
26.952297,0
-9.430298,0
9.630242,0
3.2253988,0
-21.091606,0
6.1303196,0
6.0582747,0
3.8346484,0
2.3130925,0
22.812382,0
1.963884,0
10.253953,0
8.0620985,0
27.447699,0
15.563839,0
9.493819,0
9.281794,0
12.953134,0
-14.22049,0
9.2592945,0
1.1822058,0
4.837133,0
11.577646,0
24.826298,0
-21.363808,0
5.6526103,0
22.204865,0
4.6950965,0
13.962677,0
13.696758,0
25.558882,0
37.74,1
29.114466,0
13.216552,0
13.054593,0
14.75185,0
11.0172615,0
1.7094146,0
0.32240552,0
-0.6622432,0
4.227921,0
-16.823318,0
30.298468,1
8.017653,0
5.4118967,0
7.047711,0
-9.052712,0
-30.333157,0
6.4921403,0
-4.6630692,0
-3.7265244,0
19.168226,0
13.246526,0
14.4455805,0
6.0131497,0
5.885267,0
1.1025358,0
7.361852,0
3.2188547,0
10.632434,0
-6.555946,0
-30.929487,0
3.7411745,0
1.7622424,0
22.623243,0
7.8136115,0
-0.41249686,0
2.5619762,0
4.333673,0
-9.829998,0
2.0135,0
-3.7454731,0
9.295431,0
34.72587,1
22.03181,0
49.734005,1
13.022529,0
9.213512,0
-2.6430228,0
8.554106,0
-17.072205,0
22.811394,0
-10.017404,0
-34.37383,0
10.03088,0
5.8261065,0
17.791723,0
-5.221355,0
-9.987687,0
2.3255959,0
-3.752042,0
-12.002348,0
-22.7004,0
-15.297108,0
-2.0829542,0
12.748159,0
-1.0397323,0
-41.348763,0
5.8753633,0
-19.956928,0
-0.27553064,0
11.436064,0
-0.7492259,0
6.8482246,0
10.104206,0
-13.093772,0
5.519681,0
17.385612,0
-4.974856,0
11.190517,0
-5.4553647,0
-19.265217,0
18.266895,0
-18.976242,0
0.8088619,0
-6.0478225,0
16.29059,0
-6.3243527,0
22.902454,0
-15.649118,0
15.386375,0
3.170757,0
0.115449116,0
9.379735,0
-17.790985,0
10.77466,0
27.834347,0
2.1888535,0
15.254824,0
13.420116,0
10.288369,0
1.0017315,0
47.500034,1
-18.343199,0
-8.825097,0
13.0615425,0
-4.492794,0
-2.468777,0
16.646301,0
18.619139,0
13.402719,0
15.176889,0
-9.916172,0
11.076708,0
-0.7363356,0
14.807692,0
8.640495,0
18.773508,0
11.597722,0
10.994818,0
11.633621,0
8.872266,0
-35.9681,0
35.625454,1
28.991774,0
10.525396,0
15.80645,0
3.28672,0
15.585143,0
31.019196,1
14.145645,0
4.94329,0
13.237743,0
7.201591,0
-23.98788,0
3.3814924,0
3.3346736,0
-18.765772,0
-12.588251,0
-2.9627144,0
0.70160836,0
2.0638683,0
5.7447476,0
-19.378542,0
5.0706115,0
24.854376,0
-9.802558,0
18.992674,0
26.408806,0
4.921202,0
21.716085,0
4.3489127,0
26.130596,0
12.220441,0
0.22526757,0
-5.632992,0
16.027868,0
7.950423,0
-5.423558,0
0.0018383712,0
-4.71938,0
1.068668,0
