synergy,class
-0.80537313,0
6.4314156,0
14.974372,0
-6.5450983,0
-0.12804647,0
-1.0668077,0
10.350333,0
8.757245,0
11.369209,0
3.7414255,0
43.843266,1
32.534523,1
42.61947,1
50.742516,1
33.2633,1
-16.79594,0
-9.741112,0
-13.715091,0
11.277387,0
-29.289621,0
10.501224,0
-7.978503,0
-3.5275517,0
7.0161886,0
29.289015,0
2.1441631,0
-6.179867,0
9.097562,0
16.284973,0
15.477648,0
8.888264,0
11.187149,0
-3.4451904,0
-20.550306,0
-0.2798373,0
2.5223742,0
-8.825364,0
-0.12777038,0
22.300564,0
-4.39106,0
4.737032,0
29.34585,0
-9.170105,0
-40.88096,0
29.90117,0
5.5095906,0
13.6695795,0
-3.0222845,0
35.66629,1
1.4637055,0
-9.833387,0
-3.149034,0
14.022935,0
18.393364,0
15.417171,0
13.1559515,0
8.051322,0
4.1675806,0
-1.3998574,0
1.7375579,0
-2.5897465,0
19.421755,0
10.122252,0
1.5877347,0
30.666864,1
23.862541,0
22.564224,0
15.978639,0
5.033099,0
2.1044388,0
12.38193,0
14.140574,0
2.6732635,0
14.8300705,0
13.574387,0
33.531914,1
-0.57902044,0
16.415113,0
18.474371,0
22.106735,0
1.3561354,0
-16.28411,0
11.579477,0
-13.061631,0
-14.611148,0
12.941225,0
11.188279,0
-1.7854738,0
7.4556217,0
-10.271371,0
15.9064245,0
-1.3990076,0
-3.408053,0
-28.652655,0
13.682621,0
10.119107,0
-0.97529405,0
13.347728,0
0.27641922,0
11.932697,0
9.111625,0
-3.226077,0
10.944669,0
8.766971,0
23.991325,0
-1.647891,0
1.1291742,0
2.8300524,0
5.569364,0
-0.569004,0
-4.265192,0
19.713663,0
1.4997873,0
15.502803,0
0.27520186,0
10.838818,0
7.0825825,0
20.81194,0
32.101017,1
31.994425,1
20.365444,0
44.350975,1
0.14963584,0
8.439816,0
4.711699,0
-11.260429,0
-13.688041,0
7.847864,0
19.544546,0
22.502596,0
-9.210018,0
27.290926,0
19.673536,0
-3.8755198,0
6.570605,0
-15.156369,0
-6.259755,0
-3.264291,0
1.8569288,0
8.344973,0
1.8457174,0
0.38451678,0
-15.845426,0
8.390392,0
32.00897,1
-3.9602246,0
9.8263235,0
-2.8562622,0
11.1846695,0
10.818251,0
9.696696,0
-8.972135,0
-11.81797,0
-2.6644745,0
6.9044333,0
-1.986515,0
-1.3086853,0
10.169067,0
-3.4528666,0
1.9517512,0
-4.3878903,0
-18.053238,0
1.336031,0
33.983612,1
-2.214819,0
37.735703,1
-8.342619,0
27.47486,0
20.598448,0
10.652068,0
-2.5911808,0
7.3494744,0
10.780508,0
11.479226,0
15.8522835,0
-0.7665872,0
-19.281412,0
-3.1303673,0
-9.816095,0
-10.240548,0
10.349129,0
10.5723505,0
1.8492289,0
12.064719,0
-1.1255512,0
22.014782,0
16.657059,0
2.5280266,0
16.248213,0
15.721031,0
0.653945,0
10.014554,0
18.694231,0
25.86294,0
1.4919381,0
7.3656015,0
26.359552,0
15.630219,0
28.486977,0
18.523201,0
17.561647,0
5.67754,0
2.9107103,0
-1.8363371,0
12.637325,0
-0.7563893,0
-12.092147,0
-32.245255,0
2.8269458,0
6.4838214,0
0.28314263,0
7.0559635,0
7.845251,0
-8.0678215,0
-8.892634,0
-32.71606,0
-15.057434,0
24.871878,0
-14.817295,0
6.122325,0
24.736225,0
14.093703,0
12.452502,0
-6.9027243,0
0.079668924,0
-1.6815014,0
16.249197,0
-0.16217227,0
1.6325479,0
-2.5896626,0
-2.7634153,0
2.2695332,0
2.5952177,0
