synergy,class
-21.893444,0
-15.878607,0
-3.433867,0
-28.11641,0
-20.277914,0
0.55210066,0
18.77936,0
-10.069429,0
-6.7730026,0
-21.78623,0
4.9065323,0
48.210705,1
8.738596,0
23.723635,0
26.222319,0
27.191626,0
1.5426426,0
23.470762,0
-14.014497,0
10.468825,0
-1.2638874,0
18.833792,0
12.51834,0
18.341158,0
33.476665,1
27.841843,0
13.348664,0
13.588703,0
27.34052,0
25.432238,0
-11.649349,0
32.010216,1
-10.456954,0
-24.259302,0
25.183737,0
-0.82651806,0
-12.844942,0
29.35716,0
18.422098,0
8.551664,0
-9.616437,0
16.220406,0
-4.154226,0
-21.032473,0
-3.9079304,0
10.414852,0
-13.6609745,0
7.972171,0
11.21113,0
-13.918732,0
12.555727,0
-17.871698,0
-9.371742,0
4.617305,0
3.303049,0
10.638727,0
-11.499153,0
40.073933,1
-20.451433,0
-7.8492966,0
-5.9022894,0
-6.2937794,0
-4.982383,0
21.18313,0
20.528929,0
13.720306,0
9.398317,0
35.155865,1
6.7640524,0
8.466744,0
-28.62359,0
26.174543,0
-24.247889,0
-36.202995,0
-112.1398,0
-28.517078,0
3.1811771,0
16.538584,0
-20.023233,0
0.3471899,0
12.381079,0
1.6669194,0
12.871389,0
-10.29984,0
-15.274108,0
24.15811,0
21.654688,0
-0.008295521,0
-2.7442589,0
3.0341253,0
-23.862963,0
-9.548977,0
21.361591,0
6.600197,0
6.6198864,0
33.32866,1
-3.8354821,0
39.63184,1
-3.7491007,0
19.019419,0
8.555561,0
-5.6768804,0
-6.2407,0
16.411495,0
11.101048,0
-15.280326,0
-4.2336597,0
-7.352522,0
9.558403,0
-22.302822,0
4.9147577,0
-3.6778126,0
-8.1843,0
-4.9144225,0
-20.397383,0
16.433153,0
5.4118414,0
-10.894026,0
3.0645275,0
47.95897,1
12.648447,0
22.641413,0
-11.272457,0
36.84042,1
-3.874219,0
18.922508,0
-15.751877,0
18.807901,0
42.99834,1
28.057226,0
17.534256,0
36.47869,1
53.291466,1
15.017769,0
-24.786875,0
-18.828108,0
-9.785782,0
-25.222868,0
23.126196,0
37.77764,1
5.8572693,0
7.257763,0
-7.5487156,0
22.66069,0
18.505106,0
13.551779,0
34.597733,1
36.95308,1
28.100702,0
19.755585,0
33.20839,1
-27.49436,0
-15.2543335,0
-11.704231,0
-13.499238,0
15.274265,0
3.8185024,0
-3.630187,0
-0.20792769,0
-2.6154232,0
-6.162161,0
-16.23553,0
8.974167,0
37.796806,1
9.131737,0
24.296099,0
-7.3511696,0
43.662445,1
35.18392,1
37.490158,1
-0.1836109,0
-3.4785604,0
-15.765524,0
18.667639,0
-16.913647,0
-2.679676,0
-5.5922737,0
12.760165,0
8.90105,0
2.9653912,0
12.412176,0
39.866493,1
12.746112,0
11.649939,0
1.7570658,0
24.208677,0
-1.3775439,0
9.766379,0
20.68047,0
17.6782,0
-27.904379,0
-29.832191,0
-31.580116,0
-39.133274,0
8.545452,0
-9.300207,0
9.292657,0
6.16696,0
31.558674,1
15.505785,0
-6.764874,0
0.6392212,0
-1.1207237,0
-18.670383,0
-38.351738,0
-25.522455,0
-12.430328,0
-30.469435,0
9.618164,0
-5.4905643,0
0.0713997,0
-5.0504694,0
4.118496,0
29.299585,0
-11.097895,0
3.0300007,0
0.19090082,0
37.86402,1
-6.9987173,0
12.59494,0
26.25013,0
7.4797153,0
43.21843,1
-0.6469021,0
-0.32793522,0
13.265093,0
18.330965,0
-4.843363,0
6.9213877,0
-4.7717476,0
0.53593445,0
-1.4324207,0
-11.645617,0
