synergy,class
16.825188,0
9.80979,0
10.266408,0
-22.841473,0
37.450584,1
43.76427,1
27.821552,0
58.4682,1
24.727997,0
22.324318,0
9.375354,0
40.69286,1
29.945786,0
49.58273,1
26.381638,0
-17.582088,0
-22.251266,0
-9.771762,0
-10.245059,0
-19.480904,0
-8.329742,0
-30.775162,0
-13.922261,0
7.3297358,0
15.299408,0
3.6691518,0
12.001706,0
2.2389178,0
-16.010948,0
7.8830123,0
-3.6113272,0
-0.9034524,0
3.6681395,0
-4.399742,0
22.807487,0
6.3799887,0
22.739609,0
77.476746,1
19.650925,0
1.6022072,0
-12.83022,0
-10.01444,0
-13.178254,0
-20.589062,0
1.8870687,0
-13.389281,0
22.741947,0
-5.6452885,0
-1.5549526,0
4.7827244,0
-8.922378,0
-7.7329655,0
10.288257,0
53.586643,1
-18.812935,0
4.2875967,0
2.0005808,0
12.479849,0
6.450469,0
9.923049,0
9.509205,0
-21.154964,0
0.06385517,0
17.084763,0
4.9687757,0
-1.5792208,0
-5.94625,0
43.39362,1
25.251652,0
0.23521137,0
-12.760875,0
-2.0520353,0
-13.941005,0
16.85337,0
5.8625994,0
16.822777,0
-16.954296,0
76.728806,1
-1.0669384,0
20.151283,0
-3.568265,0
-1.176074,0
-1.0763736,0
-17.191086,0
-8.603612,0
-4.200674,0
13.326413,0
-6.953002,0
13.072335,0
-10.162328,0
-15.500242,0
-0.010246277,0
7.964222,0
-22.20557,0
7.744091,0
3.263948,0
4.5292883,0
-3.9835396,0
2.739725,0
-0.9473877,0
0.07470417,0
4.074709,0
16.046623,0
2.7000823,0
9.853978,0
-0.9833436,0
-4.0190077,0
-0.66647077,0
13.06163,0
15.938939,0
-5.506439,0
26.551743,0
7.9186926,0
9.031758,0
36.684475,1
27.33482,0
72.97812,1
-13.975197,0
12.485511,0
19.13765,0
33.206814,1
-6.0568876,0
40.779987,1
-21.173504,0
-14.13364,0
-23.507011,0
-12.290891,0
7.658776,0
10.189983,0
1.4353652,0
-8.109522,0
16.867512,0
-2.4365292,0
4.3355374,0
8.529254,0
-33.05123,0
3.8936443,0
-24.431393,0
-6.732888,0
21.689976,0
4.389781,0
-5.6574984,0
12.571406,0
20.979126,0
2.0789595,0
3.6908503,0
35.445248,1
12.084956,0
12.376262,0
24.361599,0
15.863701,0
85.77299,1
-43.417202,0
-4.1785536,0
-12.128001,0
2.5540714,0
-19.585426,0
19.084335,0
-1.0214376,0
11.0186615,0
14.629097,0
0.41532326,0
5.8595057,0
7.5355005,0
7.025098,0
10.475417,0
-13.279101,0
23.442314,0
55.116924,1
9.681251,0
27.046497,0
7.0212097,0
18.92657,0
6.2762747,0
-14.940925,0
2.9185705,0
-2.1556559,0
10.576758,0
-2.3228903,0
10.189862,0
-15.330615,0
6.6964827,0
-13.82117,0
-4.88992,0
-8.738114,0
-16.99302,0
12.63627,0
-0.2678938,0
1.291543,0
-6.6302347,0
-2.4879923,0
-12.15229,0
29.573498,0
19.85933,0
9.281481,0
13.355092,0
14.944955,0
14.8137,0
9.531544,0
3.296649,0
-9.305098,0
7.0637574,0
-2.1743631,0
-21.780365,0
-11.10825,0
-0.07309437,0
14.007911,0
-15.242726,0
1.3305101,0
-3.418087,0
2.3413076,0
9.897147,0
-3.2910757,0
6.8773394,0
-15.935557,0
-26.824635,0
12.967166,0
11.488921,0
25.11169,0
7.3259068,0
5.9280624,0
7.697459,0
6.059539,0
-13.304044,0
3.7063332,0
6.359851,0
-2.4229727,0
-3.5765276,0
4.7154093,0
-14.585527,0
4.0663958,0
-4.35013,0
0.50838757,0
