,drug_a_name,drug_b_name,cell_line,synergy
1,5-FU,ABT-888,A2780,7.7780530600999995
40,5-FU,AZD1775,A2780,11.2772729471
79,5-FU,BEZ-235,A2780,3.9332239081
118,5-FU,BORTEZOMIB,A2780,-18.599126219000002
157,5-FU,DASATINIB,A2780,50.6036602621
196,5-FU,DINACICLIB,A2780,-8.1611286386
235,5-FU,ERLOTINIB,A2780,16.5693311017
274,5-FU,GELDANAMYCIN,A2780,0.9119639421
313,5-FU,L778123,A2780,8.7866069583
352,5-FU,LAPATINIB,A2780,8.0111248094
391,5-FU,MK-2206,A2780,18.656212521500002
430,5-FU,MK-4827,A2780,9.9200924223
469,5-FU,MK-5108,A2780,9.2608129746
508,5-FU,MK-8669,A2780,16.2953130836
548,5-FU,MK-8776,A2780,9.9663216014
601,5-FU,PD325901,A2780,24.6101491603
640,5-FU,SORAFENIB,A2780,2.0773183621999998
679,5-FU,SUNITINIB,A2780,9.7009863748
718,5-FU,TEMOZOLOMIDE,A2780,-0.6043528353000001
757,5-FU,ZOLINZA,A2780,-3.8484012734
796,ABT-888,BEZ-235,A2780,29.4397143108
835,ABT-888,DINACICLIB,A2780,5.3834429122000005
874,ABT-888,GELDANAMYCIN,A2780,11.0932315467
913,ABT-888,MK-8669,A2780,6.3782342163
952,ABT-888,MK-8776,A2780,8.0044216366
991,ABT-888,OXALIPLATIN,A2780,-3.3864397912
1030,ABT-888,SN-38,A2780,27.4431625577
1069,ABT-888,SORAFENIB,A2780,8.2581551475
1108,ABT-888,TOPOTECAN,A2780,11.862132646800001
1147,AZD1775,ABT-888,A2780,8.6237493889
1187,AZD1775,BEZ-235,A2780,19.5249911398
1240,AZD1775,BORTEZOMIB,A2780,-17.559480420899998
1280,AZD1775,DASATINIB,A2780,63.3161055024
1333,AZD1775,DINACICLIB,A2780,-4.9413894555
1372,AZD1775,ERLOTINIB,A2780,3.1007864893
1411,AZD1775,GELDANAMYCIN,A2780,-3.1198841469
1450,AZD1775,LAPATINIB,A2780,10.939638841199999
1489,AZD1775,MK-2206,A2780,21.0815985773
1528,AZD1775,MK-4827,A2780,9.0742277486
1567,AZD1775,MK-5108,A2780,3.7804810411000003
1606,AZD1775,MK-8669,A2780,26.155764676999997
1646,AZD1775,MK-8776,A2780,54.0791044037
1699,AZD1775,OXALIPLATIN,A2780,-9.4167010071
1738,AZD1775,PD325901,A2780,28.3069989632
1777,AZD1775,SN-38,A2780,0.6751167208
1816,AZD1775,SORAFENIB,A2780,-1.5076403936000002
1855,AZD1775,TOPOTECAN,A2780,4.6490619262
1894,BEZ-235,DINACICLIB,A2780,12.1724165756
1933,BEZ-235,MK-8776,A2780,29.5421713233
1972,BEZ-235,OXALIPLATIN,A2780,-0.7639781214
2011,BEZ-235,SN-38,A2780,15.214558363800002
2050,BEZ-235,SORAFENIB,A2780,1.7761949058000002
2089,BORTEZOMIB,ABT-888,A2780,-7.7976823039
2128,BORTEZOMIB,BEZ-235,A2780,4.1110283735
2167,BORTEZOMIB,DASATINIB,A2780,27.353027878899997
2206,BORTEZOMIB,DINACICLIB,A2780,-27.634681619600002
2245,BORTEZOMIB,GELDANAMYCIN,A2780,-17.024767126700002
2284,BORTEZOMIB,MK-8669,A2780,4.7905989467
2323,BORTEZOMIB,MK-8776,A2780,-12.2261795278
2362,BORTEZOMIB,OXALIPLATIN,A2780,-17.1570722554
2401,BORTEZOMIB,SN-38,A2780,-22.7412535904
2440,BORTEZOMIB,SORAFENIB,A2780,-9.6181583365
2479,BORTEZOMIB,TOPOTECAN,A2780,-2.5878997349
2518,CARBOPLATIN,ABT-888,A2780,14.4729809807
2557,CARBOPLATIN,AZD1775,A2780,5.8641025621
2596,CARBOPLATIN,BEZ-235,A2780,22.4066740424
2635,CARBOPLATIN,BORTEZOMIB,A2780,-18.2010858287
2674,CARBOPLATIN,DASATINIB,A2780,63.0464369032
2713,CARBOPLATIN,DINACICLIB,A2780,-1.8411545458
2752,CARBOPLATIN,ERLOTINIB,A2780,0.9208375231999999
2791,CARBOPLATIN,GELDANAMYCIN,A2780,1.1382376766
2830,CARBOPLATIN,L778123,A2780,0.20099448239999998
2869,CARBOPLATIN,LAPATINIB,A2780,2.2590634263
2908,CARBOPLATIN,MK-2206,A2780,11.7119912251
2947,CARBOPLATIN,MK-4827,A2780,9.0630675562
2986,CARBOPLATIN,MK-5108,A2780,15.8064156649
3025,CARBOPLATIN,MK-8669,A2780,18.6461321379
3064,CARBOPLATIN,MK-8776,A2780,15.9757822504
3103,CARBOPLATIN,PD325901,A2780,19.9679166315
3142,CARBOPLATIN,SORAFENIB,A2780,-13.5442506575
3181,CARBOPLATIN,SUNITINIB,A2780,3.118131813
3220,CARBOPLATIN,TEMOZOLOMIDE,A2780,-2.7426000751
3259,CARBOPLATIN,ZOLINZA,A2780,13.242924925699999
3298,CYCLOPHOSPHAMIDE,ABT-888,A2780,10.543718330499999
3337,CYCLOPHOSPHAMIDE,AZD1775,A2780,2.6695707412000003
3376,CYCLOPHOSPHAMIDE,BEZ-235,A2780,17.874891482
3415,CYCLOPHOSPHAMIDE,BORTEZOMIB,A2780,-11.2673537498
3454,CYCLOPHOSPHAMIDE,DASATINIB,A2780,23.258257423899998
3493,CYCLOPHOSPHAMIDE,DINACICLIB,A2780,-3.2474796405
3532,CYCLOPHOSPHAMIDE,ERLOTINIB,A2780,-0.0099722188
3571,CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2780,-9.9655370922
3610,CYCLOPHOSPHAMIDE,L778123,A2780,7.0473856191
3649,CYCLOPHOSPHAMIDE,LAPATINIB,A2780,-2.5986526115
3688,CYCLOPHOSPHAMIDE,MK-2206,A2780,3.8639720445
3727,CYCLOPHOSPHAMIDE,MK-4827,A2780,2.1615736202
3766,CYCLOPHOSPHAMIDE,MK-5108,A2780,-3.0135282548
3805,CYCLOPHOSPHAMIDE,MK-8669,A2780,4.4052737869
3844,CYCLOPHOSPHAMIDE,MK-8776,A2780,1.3825538015
3883,CYCLOPHOSPHAMIDE,PD325901,A2780,-8.1382719461
3922,CYCLOPHOSPHAMIDE,SORAFENIB,A2780,0.8326325189
3961,CYCLOPHOSPHAMIDE,SUNITINIB,A2780,3.4549839610000004
4000,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2780,9.2978156513
4039,CYCLOPHOSPHAMIDE,ZOLINZA,A2780,5.435050508200001
4078,DASATINIB,ABT-888,A2780,40.284810321799995
4117,DASATINIB,BEZ-235,A2780,70.1807905647
4156,DASATINIB,DINACICLIB,A2780,29.1960155025
