,drug_a_name,drug_b_name,cell_line,synergy
7,5-FU,ABT-888,EFM192B,-5.0898528562
46,5-FU,AZD1775,EFM192B,2.9248207557
85,5-FU,BEZ-235,EFM192B,9.660318047
124,5-FU,BORTEZOMIB,EFM192B,-8.3561110301
163,5-FU,DASATINIB,EFM192B,3.8423834056
202,5-FU,DINACICLIB,EFM192B,0.3121068316
241,5-FU,ERLOTINIB,EFM192B,10.5434563577
280,5-FU,GELDANAMYCIN,EFM192B,2.620901233
319,5-FU,L778123,EFM192B,5.159884963500001
358,5-FU,LAPATINIB,EFM192B,7.2381930137
397,5-FU,MK-2206,EFM192B,-2.2255019318
436,5-FU,MK-4827,EFM192B,-6.7813763087
475,5-FU,MK-5108,EFM192B,-0.3141438399
514,5-FU,MK-8669,EFM192B,20.517286961099998
558,5-FU,MK-8776,EFM192B,8.8129085946
559,5-FU,MK-8776,EFM192B,1.9075989742
607,5-FU,PD325901,EFM192B,-3.0348942445
646,5-FU,SORAFENIB,EFM192B,-9.0221492067
685,5-FU,SUNITINIB,EFM192B,-3.1959366602999997
724,5-FU,TEMOZOLOMIDE,EFM192B,-39.7171613043
763,5-FU,ZOLINZA,EFM192B,0.24869412829999998
802,ABT-888,BEZ-235,EFM192B,24.8345693726
841,ABT-888,DINACICLIB,EFM192B,10.9676493929
880,ABT-888,GELDANAMYCIN,EFM192B,11.404828249000001
919,ABT-888,MK-8669,EFM192B,30.331804913000003
958,ABT-888,MK-8776,EFM192B,-2.9596918436
997,ABT-888,OXALIPLATIN,EFM192B,0.24503868899999998
1036,ABT-888,SN-38,EFM192B,30.149779644299997
1075,ABT-888,SORAFENIB,EFM192B,9.9300427209
1114,ABT-888,TOPOTECAN,EFM192B,-16.204517397
1153,AZD1775,ABT-888,EFM192B,-9.002299148099999
1197,AZD1775,BEZ-235,EFM192B,21.4127048593
1198,AZD1775,BEZ-235,EFM192B,-8.9163782091
1246,AZD1775,BORTEZOMIB,EFM192B,-10.789146786099998
1290,AZD1775,DASATINIB,EFM192B,25.171605392399997
1291,AZD1775,DASATINIB,EFM192B,6.6253349327999995
1339,AZD1775,DINACICLIB,EFM192B,-8.228113366699999
1378,AZD1775,ERLOTINIB,EFM192B,2.4036628272
1417,AZD1775,GELDANAMYCIN,EFM192B,5.4920245504
1456,AZD1775,LAPATINIB,EFM192B,22.8857159296
1495,AZD1775,MK-2206,EFM192B,1.8840728724
1534,AZD1775,MK-4827,EFM192B,8.683984692200001
1573,AZD1775,MK-5108,EFM192B,-0.1661748616
1612,AZD1775,MK-8669,EFM192B,31.4155269495
