,drug_a_name,drug_b_name,cell_line,synergy
8,5-FU,ABT-888,ES2,1.4986504516999999
47,5-FU,AZD1775,ES2,10.057526086900001
86,5-FU,BEZ-235,ES2,2.4774290291
125,5-FU,BORTEZOMIB,ES2,-16.130125329200002
164,5-FU,DASATINIB,ES2,17.6901953531
203,5-FU,DINACICLIB,ES2,3.4071845582
242,5-FU,ERLOTINIB,ES2,15.123162496900001
281,5-FU,GELDANAMYCIN,ES2,-5.2570249896
320,5-FU,L778123,ES2,10.1135073338
359,5-FU,LAPATINIB,ES2,5.344512472
398,5-FU,MK-2206,ES2,0.20837955530000002
437,5-FU,MK-4827,ES2,-4.0814869489
476,5-FU,MK-5108,ES2,3.5129827458999996
515,5-FU,MK-8669,ES2,15.7050804162
560,5-FU,MK-8776,ES2,4.1436992486
561,5-FU,MK-8776,ES2,-25.4683762273
608,5-FU,PD325901,ES2,2.8147383704
647,5-FU,SORAFENIB,ES2,0.126680077
686,5-FU,SUNITINIB,ES2,14.4138207528
725,5-FU,TEMOZOLOMIDE,ES2,3.4256071332999998
764,5-FU,ZOLINZA,ES2,-1.6898167611000001
803,ABT-888,BEZ-235,ES2,12.5176900562
842,ABT-888,DINACICLIB,ES2,5.5494408570000004
881,ABT-888,GELDANAMYCIN,ES2,0.3378827318
920,ABT-888,MK-8669,ES2,-1.2805993886
959,ABT-888,MK-8776,ES2,-17.1720236244
998,ABT-888,OXALIPLATIN,ES2,-16.8221313331
1037,ABT-888,SN-38,ES2,4.0988107752
1076,ABT-888,SORAFENIB,ES2,7.0620982727
1115,ABT-888,TOPOTECAN,ES2,-15.1631621816
1154,AZD1775,ABT-888,ES2,-4.5906451483
1199,AZD1775,BEZ-235,ES2,22.485870676300003
1200,AZD1775,BEZ-235,ES2,4.6481819173000005
1247,AZD1775,BORTEZOMIB,ES2,-18.6425560345
1292,AZD1775,DASATINIB,ES2,27.677556929
1293,AZD1775,DASATINIB,ES2,25.3632116128
