,drug_a_name,drug_b_name,cell_line,synergy
9,5-FU,ABT-888,HCT116,9.4632808694
48,5-FU,AZD1775,HCT116,13.9612713843
87,5-FU,BEZ-235,HCT116,2.7457843602999996
126,5-FU,BORTEZOMIB,HCT116,-4.519269449599999
165,5-FU,DASATINIB,HCT116,-7.8192717861
204,5-FU,DINACICLIB,HCT116,2.9189014698
243,5-FU,ERLOTINIB,HCT116,14.4529779349
282,5-FU,GELDANAMYCIN,HCT116,2.9166634421
321,5-FU,L778123,HCT116,11.7123653003
360,5-FU,LAPATINIB,HCT116,9.688038389199999
399,5-FU,MK-2206,HCT116,4.1234224097
438,5-FU,MK-4827,HCT116,8.0324018449
477,5-FU,MK-5108,HCT116,16.5701564393
516,5-FU,MK-8669,HCT116,2.5493305703
562,5-FU,MK-8776,HCT116,11.1077519579
563,5-FU,MK-8776,HCT116,18.7968621722
609,5-FU,PD325901,HCT116,18.3212116826
648,5-FU,SORAFENIB,HCT116,-1.9550253911000002
687,5-FU,SUNITINIB,HCT116,7.3327834929
726,5-FU,TEMOZOLOMIDE,HCT116,-15.6630918406
765,5-FU,ZOLINZA,HCT116,-8.735905545
804,ABT-888,BEZ-235,HCT116,18.262930719
843,ABT-888,DINACICLIB,HCT116,4.9726050839
882,ABT-888,GELDANAMYCIN,HCT116,22.9721630249
921,ABT-888,MK-8669,HCT116,-5.4541171375
960,ABT-888,MK-8776,HCT116,3.6021401132
999,ABT-888,OXALIPLATIN,HCT116,9.342015849600001
1038,ABT-888,SN-38,HCT116,23.4259149096
1077,ABT-888,SORAFENIB,HCT116,11.8330385321
1116,ABT-888,TOPOTECAN,HCT116,-5.778504579
1155,AZD1775,ABT-888,HCT116,-3.4337944259
1201,AZD1775,BEZ-235,HCT116,38.1800926382
1202,AZD1775,BEZ-235,HCT116,16.3082641075
1248,AZD1775,BORTEZOMIB,HCT116,-3.0335244429
1294,AZD1775,DASATINIB,HCT116,24.3060024709
1295,AZD1775,DASATINIB,HCT116,32.6485972692
1341,AZD1775,DINACICLIB,HCT116,-3.4265435642
1380,AZD1775,ERLOTINIB,HCT116,-4.058734724100001
1419,AZD1775,GELDANAMYCIN,HCT116,19.8308475115
1458,AZD1775,LAPATINIB,HCT116,11.7622692927
1497,AZD1775,MK-2206,HCT116,12.6973664228
1536,AZD1775,MK-4827,HCT116,8.08990716
1575,AZD1775,MK-5108,HCT116,11.0015617068
1614,AZD1775,MK-8669,HCT116,9.068968113
1660,AZD1775,MK-8776,HCT116,44.048996586899996
1661,AZD1775,MK-8776,HCT116,53.08379915729999
1707,AZD1775,OXALIPLATIN,HCT116,1.0099443325
1746,AZD1775,PD325901,HCT116,17.525932941700002
1785,AZD1775,SN-38,HCT116,0.7303809156000001
1824,AZD1775,SORAFENIB,HCT116,7.7869019350999995
