,drug_a_name,drug_b_name,cell_line,synergy
11,5-FU,ABT-888,HT29,10.1734339084
50,5-FU,AZD1775,HT29,-2.7122052410000004
89,5-FU,BEZ-235,HT29,11.895802721099999
128,5-FU,BORTEZOMIB,HT29,-15.9516134706
167,5-FU,DASATINIB,HT29,17.0669807634
206,5-FU,DINACICLIB,HT29,-2.5394087441999997
245,5-FU,ERLOTINIB,HT29,11.337471621199999
284,5-FU,GELDANAMYCIN,HT29,-3.9460712694
323,5-FU,L778123,HT29,17.543974246199998
362,5-FU,LAPATINIB,HT29,4.5330856346
401,5-FU,MK-2206,HT29,15.704505817000001
440,5-FU,MK-4827,HT29,3.2803166061
479,5-FU,MK-5108,HT29,12.4304918803
518,5-FU,MK-8669,HT29,11.8105759879
565,5-FU,MK-8776,HT29,8.3917357229
566,5-FU,MK-8776,HT29,18.4713485537
611,5-FU,PD325901,HT29,3.1505895344
650,5-FU,SORAFENIB,HT29,-3.5516108333
689,5-FU,SUNITINIB,HT29,3.3790463977
728,5-FU,TEMOZOLOMIDE,HT29,-13.1781205798
767,5-FU,ZOLINZA,HT29,-1.4276838904
806,ABT-888,BEZ-235,HT29,24.1457708743
845,ABT-888,DINACICLIB,HT29,6.9534069222
884,ABT-888,GELDANAMYCIN,HT29,-4.7829814672
923,ABT-888,MK-8669,HT29,5.0791192637
962,ABT-888,MK-8776,HT29,-1.9575887316999998
1001,ABT-888,OXALIPLATIN,HT29,-6.3173057667
1040,ABT-888,SN-38,HT29,9.5417494003
1079,ABT-888,SORAFENIB,HT29,3.7773131482999998
1118,ABT-888,TOPOTECAN,HT29,-13.7420148179
1157,AZD1775,ABT-888,HT29,4.3441558729
1204,AZD1775,BEZ-235,HT29,25.984481671599998
1205,AZD1775,BEZ-235,HT29,0.5055167379
1250,AZD1775,BORTEZOMIB,HT29,-18.9295448338
1297,AZD1775,DASATINIB,HT29,24.244023912800003
1298,AZD1775,DASATINIB,HT29,10.2091395988
1343,AZD1775,DINACICLIB,HT29,-8.1390242262
1382,AZD1775,ERLOTINIB,HT29,7.5623518449
1421,AZD1775,GELDANAMYCIN,HT29,-9.8859055167
1460,AZD1775,LAPATINIB,HT29,-0.7631215526999999
1499,AZD1775,MK-2206,HT29,9.4625409939
1538,AZD1775,MK-4827,HT29,8.5483553129
1577,AZD1775,MK-5108,HT29,3.6254994048
1616,AZD1775,MK-8669,HT29,22.9049036296
1663,AZD1775,MK-8776,HT29,59.40748145479999
1664,AZD1775,MK-8776,HT29,54.9003609122
1709,AZD1775,OXALIPLATIN,HT29,-5.463212997
1748,AZD1775,PD325901,HT29,1.9384150669
1787,AZD1775,SN-38,HT29,8.8586676078
1826,AZD1775,SORAFENIB,HT29,-7.323390905499999
1865,AZD1775,TOPOTECAN,HT29,11.6717454817
1904,BEZ-235,DINACICLIB,HT29,9.6459467885
1943,BEZ-235,MK-8776,HT29,29.9863742207
1982,BEZ-235,OXALIPLATIN,HT29,17.253001361099997
2021,BEZ-235,SN-38,HT29,17.3639573137
2060,BEZ-235,SORAFENIB,HT29,14.3904235905
2099,BORTEZOMIB,ABT-888,HT29,-15.4217102694
2138,BORTEZOMIB,BEZ-235,HT29,0.9756391994
