,drug_a_name,drug_b_name,cell_line,synergy
12,5-FU,ABT-888,KPL1,2.1570044282
51,5-FU,AZD1775,KPL1,-2.0611613488
90,5-FU,BEZ-235,KPL1,16.462849087000002
129,5-FU,BORTEZOMIB,KPL1,-2.9975327263
168,5-FU,DASATINIB,KPL1,3.4468119112999998
207,5-FU,DINACICLIB,KPL1,0.007355464
246,5-FU,ERLOTINIB,KPL1,-3.0152734579000002
285,5-FU,GELDANAMYCIN,KPL1,2.3305768406
324,5-FU,L778123,KPL1,2.4967327943
363,5-FU,LAPATINIB,KPL1,-9.537311313
402,5-FU,MK-2206,KPL1,26.864775353600002
441,5-FU,MK-4827,KPL1,-3.7239969705
480,5-FU,MK-5108,KPL1,3.7195503932
519,5-FU,MK-8669,KPL1,11.1882098652
567,5-FU,MK-8776,KPL1,-1.2087696449
612,5-FU,PD325901,KPL1,-6.3450322174
651,5-FU,SORAFENIB,KPL1,-5.0462835751999995
690,5-FU,SUNITINIB,KPL1,7.2294877967
729,5-FU,TEMOZOLOMIDE,KPL1,-32.0355147382
768,5-FU,ZOLINZA,KPL1,-4.3433848339
807,ABT-888,BEZ-235,KPL1,29.124562955300004
846,ABT-888,DINACICLIB,KPL1,16.0293076172
885,ABT-888,GELDANAMYCIN,KPL1,15.3235604778
924,ABT-888,MK-8669,KPL1,41.599510471900004
963,ABT-888,MK-8776,KPL1,1.3440625253999998
1002,ABT-888,OXALIPLATIN,KPL1,5.9714952611
1041,ABT-888,SN-38,KPL1,8.5520684163
1080,ABT-888,SORAFENIB,KPL1,4.1118588383
1119,ABT-888,TOPOTECAN,KPL1,9.9152449863
1158,AZD1775,ABT-888,KPL1,4.567025052
1206,AZD1775,BEZ-235,KPL1,21.916275088699997
1251,AZD1775,BORTEZOMIB,KPL1,-2.9761102247
1299,AZD1775,DASATINIB,KPL1,35.7288661774
1344,AZD1775,DINACICLIB,KPL1,-2.5895093806
1383,AZD1775,ERLOTINIB,KPL1,14.6529597225
1422,AZD1775,GELDANAMYCIN,KPL1,3.179448933
1461,AZD1775,LAPATINIB,KPL1,9.0849701375
1500,AZD1775,MK-2206,KPL1,27.624491661
1539,AZD1775,MK-4827,KPL1,4.7059069987
1578,AZD1775,MK-5108,KPL1,8.2422738109
1617,AZD1775,MK-8669,KPL1,32.9050251834
1665,AZD1775,MK-8776,KPL1,18.1472071825
1710,AZD1775,OXALIPLATIN,KPL1,-7.599388140399999
1749,AZD1775,PD325901,KPL1,13.305719424100001
1788,AZD1775,SN-38,KPL1,7.32915934
1827,AZD1775,SORAFENIB,KPL1,2.612415295
1866,AZD1775,TOPOTECAN,KPL1,11.7879102757
1905,BEZ-235,DINACICLIB,KPL1,11.7214217614
1944,BEZ-235,MK-8776,KPL1,13.3216002253
1983,BEZ-235,OXALIPLATIN,KPL1,25.7699129828
2022,BEZ-235,SN-38,KPL1,30.1468021646
2061,BEZ-235,SORAFENIB,KPL1,2.6196549761
2100,BORTEZOMIB,ABT-888,KPL1,19.0473979396
2139,BORTEZOMIB,BEZ-235,KPL1,12.373925444300001
2178,BORTEZOMIB,DASATINIB,KPL1,28.202524758400003
2217,BORTEZOMIB,DINACICLIB,KPL1,-3.1556602548000003
2256,BORTEZOMIB,GELDANAMYCIN,KPL1,-13.3894517756
2295,BORTEZOMIB,MK-8669,KPL1,34.403815675
2334,BORTEZOMIB,MK-8776,KPL1,-0.9138380336
2373,BORTEZOMIB,OXALIPLATIN,KPL1,3.3314166916000003
2412,BORTEZOMIB,SN-38,KPL1,8.1617002159
2451,BORTEZOMIB,SORAFENIB,KPL1,-5.8185102296
2490,BORTEZOMIB,TOPOTECAN,KPL1,7.5658148789999995
2529,CARBOPLATIN,ABT-888,KPL1,12.8054309578
2568,CARBOPLATIN,AZD1775,KPL1,10.656963680399999
2607,CARBOPLATIN,BEZ-235,KPL1,28.418491817899998
2646,CARBOPLATIN,BORTEZOMIB,KPL1,17.5535784201
2685,CARBOPLATIN,DASATINIB,KPL1,11.067090110499999
2724,CARBOPLATIN,DINACICLIB,KPL1,-12.705274702999999
2763,CARBOPLATIN,ERLOTINIB,KPL1,16.2505397692
2802,CARBOPLATIN,GELDANAMYCIN,KPL1,-6.1480897303
2841,CARBOPLATIN,L778123,KPL1,-8.6430884511
2880,CARBOPLATIN,LAPATINIB,KPL1,8.8125343228
2919,CARBOPLATIN,MK-2206,KPL1,7.1816642864
2958,CARBOPLATIN,MK-4827,KPL1,17.357018060399998
2997,CARBOPLATIN,MK-5108,KPL1,8.9400925105
3036,CARBOPLATIN,MK-8669,KPL1,51.6406703607
3075,CARBOPLATIN,MK-8776,KPL1,19.3924413361
3114,CARBOPLATIN,PD325901,KPL1,18.8437610883
3153,CARBOPLATIN,SORAFENIB,KPL1,-9.066176760800001
3192,CARBOPLATIN,SUNITINIB,KPL1,11.0441769981
3231,CARBOPLATIN,TEMOZOLOMIDE,KPL1,2.0915164918999998
3270,CARBOPLATIN,ZOLINZA,KPL1,8.144448194299999
3309,CYCLOPHOSPHAMIDE,ABT-888,KPL1,-10.632011200700001
3348,CYCLOPHOSPHAMIDE,AZD1775,KPL1,1.1068451984
3387,CYCLOPHOSPHAMIDE,BEZ-235,KPL1,17.7668497324
3426,CYCLOPHOSPHAMIDE,BORTEZOMIB,KPL1,-15.4053268473
3465,CYCLOPHOSPHAMIDE,DASATINIB,KPL1,-4.9881677686
3504,CYCLOPHOSPHAMIDE,DINACICLIB,KPL1,-12.264233443299998
3543,CYCLOPHOSPHAMIDE,ERLOTINIB,KPL1,-6.373246301699999
3582,CYCLOPHOSPHAMIDE,GELDANAMYCIN,KPL1,9.6157474389
3621,CYCLOPHOSPHAMIDE,L778123,KPL1,-12.2527144524
3660,CYCLOPHOSPHAMIDE,LAPATINIB,KPL1,-7.465815843200001
3699,CYCLOPHOSPHAMIDE,MK-2206,KPL1,29.7751472771
3738,CYCLOPHOSPHAMIDE,MK-4827,KPL1,1.7951539462000001
3777,CYCLOPHOSPHAMIDE,MK-5108,KPL1,8.1099107575
3816,CYCLOPHOSPHAMIDE,MK-8669,KPL1,45.3650702866
3855,CYCLOPHOSPHAMIDE,MK-8776,KPL1,-18.7208176983
3894,CYCLOPHOSPHAMIDE,PD325901,KPL1,24.9630546907
3933,CYCLOPHOSPHAMIDE,SORAFENIB,KPL1,-0.7713533705
3972,CYCLOPHOSPHAMIDE,SUNITINIB,KPL1,9.7706018828
4011,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,KPL1,-28.1622481994
4050,CYCLOPHOSPHAMIDE,ZOLINZA,KPL1,18.59006085
4089,DASATINIB,ABT-888,KPL1,8.0504219199
4128,DASATINIB,BEZ-235,KPL1,36.774484586
4167,DASATINIB,DINACICLIB,KPL1,17.2175057113
