,drug_a_name,drug_b_name,cell_line,synergy
15,5-FU,ABT-888,MDAMB436,6.8992599953
54,5-FU,AZD1775,MDAMB436,23.381134197199998
93,5-FU,BEZ-235,MDAMB436,18.9742923554
132,5-FU,BORTEZOMIB,MDAMB436,-2.0255657606
171,5-FU,DASATINIB,MDAMB436,18.7186968772
210,5-FU,DINACICLIB,MDAMB436,5.347534119800001
249,5-FU,ERLOTINIB,MDAMB436,16.1498978974
288,5-FU,GELDANAMYCIN,MDAMB436,5.799105229299999
327,5-FU,L778123,MDAMB436,6.6049127114
366,5-FU,LAPATINIB,MDAMB436,3.6446355785000004
405,5-FU,MK-2206,MDAMB436,11.605373831300001
444,5-FU,MK-4827,MDAMB436,2.5650627877
483,5-FU,MK-5108,MDAMB436,2.8172121104000003
522,5-FU,MK-8669,MDAMB436,17.4363297943
571,5-FU,MK-8776,MDAMB436,43.3548506205
615,5-FU,PD325901,MDAMB436,9.3580687088
654,5-FU,SORAFENIB,MDAMB436,-4.3043170757
693,5-FU,SUNITINIB,MDAMB436,5.231389264700001
732,5-FU,TEMOZOLOMIDE,MDAMB436,7.5465251368
771,5-FU,ZOLINZA,MDAMB436,4.8604421398
810,ABT-888,BEZ-235,MDAMB436,24.1173731279
849,ABT-888,DINACICLIB,MDAMB436,6.447414255700001
888,ABT-888,GELDANAMYCIN,MDAMB436,17.350340911300002
927,ABT-888,MK-8669,MDAMB436,6.9850269241
966,ABT-888,MK-8776,MDAMB436,9.0264111901
1005,ABT-888,OXALIPLATIN,MDAMB436,-6.533292445700001
1044,ABT-888,SN-38,MDAMB436,18.2214474966
1083,ABT-888,SORAFENIB,MDAMB436,-0.6022608604
1122,ABT-888,TOPOTECAN,MDAMB436,0.8243374739
1161,AZD1775,ABT-888,MDAMB436,5.552038692899999
1210,AZD1775,BEZ-235,MDAMB436,27.5112820953
1254,AZD1775,BORTEZOMIB,MDAMB436,-5.0166506828
1303,AZD1775,DASATINIB,MDAMB436,39.3100772731
1347,AZD1775,DINACICLIB,MDAMB436,-0.8694570931000001
1386,AZD1775,ERLOTINIB,MDAMB436,5.6457415135
1425,AZD1775,GELDANAMYCIN,MDAMB436,8.3790567735
1464,AZD1775,LAPATINIB,MDAMB436,10.9223657195
1503,AZD1775,MK-2206,MDAMB436,12.628901667000001
1542,AZD1775,MK-4827,MDAMB436,16.5469948895
1581,AZD1775,MK-5108,MDAMB436,3.5660410346
1620,AZD1775,MK-8669,MDAMB436,20.2845732585
1669,AZD1775,MK-8776,MDAMB436,47.2274898422
1713,AZD1775,OXALIPLATIN,MDAMB436,-6.2394917832
1752,AZD1775,PD325901,MDAMB436,16.837240170999998
1791,AZD1775,SN-38,MDAMB436,4.2279741897
1830,AZD1775,SORAFENIB,MDAMB436,-3.4964196995999997
1869,AZD1775,TOPOTECAN,MDAMB436,3.9596669116000003
1908,BEZ-235,DINACICLIB,MDAMB436,18.554309732
1947,BEZ-235,MK-8776,MDAMB436,36.997108330500005
1986,BEZ-235,OXALIPLATIN,MDAMB436,21.490179784299997
2025,BEZ-235,SN-38,MDAMB436,20.6951226634
2064,BEZ-235,SORAFENIB,MDAMB436,12.158316051199998
2103,BORTEZOMIB,ABT-888,MDAMB436,2.8414276479000002
2142,BORTEZOMIB,BEZ-235,MDAMB436,11.8930942778
2181,BORTEZOMIB,DASATINIB,MDAMB436,9.4520600789
2220,BORTEZOMIB,DINACICLIB,MDAMB436,-21.865662117600003
2259,BORTEZOMIB,GELDANAMYCIN,MDAMB436,4.845160620400001
2298,BORTEZOMIB,MK-8669,MDAMB436,0.7561512639
2337,BORTEZOMIB,MK-8776,MDAMB436,-5.8925599528
2376,BORTEZOMIB,OXALIPLATIN,MDAMB436,-4.970604687200001
2415,BORTEZOMIB,SN-38,MDAMB436,2.9171093748000003
2454,BORTEZOMIB,SORAFENIB,MDAMB436,-16.9288523923
2493,BORTEZOMIB,TOPOTECAN,MDAMB436,0.9905856993000001
2532,CARBOPLATIN,ABT-888,MDAMB436,8.5776318769
2571,CARBOPLATIN,AZD1775,MDAMB436,11.687383945599999
2610,CARBOPLATIN,BEZ-235,MDAMB436,29.031346263499998
2649,CARBOPLATIN,BORTEZOMIB,MDAMB436,3.1334804138999997
2688,CARBOPLATIN,DASATINIB,MDAMB436,22.7650507864
2727,CARBOPLATIN,DINACICLIB,MDAMB436,0.40177030340000003
2766,CARBOPLATIN,ERLOTINIB,MDAMB436,9.0660629835
2805,CARBOPLATIN,GELDANAMYCIN,MDAMB436,7.8665649897000005
2844,CARBOPLATIN,L778123,MDAMB436,-0.0061063152
2883,CARBOPLATIN,LAPATINIB,MDAMB436,5.8044889371
2922,CARBOPLATIN,MK-2206,MDAMB436,17.895182230899998
2961,CARBOPLATIN,MK-4827,MDAMB436,12.5360213445
3000,CARBOPLATIN,MK-5108,MDAMB436,2.5717609232
3039,CARBOPLATIN,MK-8669,MDAMB436,25.8271263935
3078,CARBOPLATIN,MK-8776,MDAMB436,21.7545431459
3117,CARBOPLATIN,PD325901,MDAMB436,12.629919566500002
3156,CARBOPLATIN,SORAFENIB,MDAMB436,-23.048649216100003
3195,CARBOPLATIN,SUNITINIB,MDAMB436,0.9452546128
3234,CARBOPLATIN,TEMOZOLOMIDE,MDAMB436,-2.2123598919
3273,CARBOPLATIN,ZOLINZA,MDAMB436,3.4661930775
3312,CYCLOPHOSPHAMIDE,ABT-888,MDAMB436,3.1367657673
3351,CYCLOPHOSPHAMIDE,AZD1775,MDAMB436,5.7905138905
3390,CYCLOPHOSPHAMIDE,BEZ-235,MDAMB436,19.465792834600002
3429,CYCLOPHOSPHAMIDE,BORTEZOMIB,MDAMB436,-0.6193109644
3468,CYCLOPHOSPHAMIDE,DASATINIB,MDAMB436,8.3913878834
3507,CYCLOPHOSPHAMIDE,DINACICLIB,MDAMB436,-0.8983968219
3546,CYCLOPHOSPHAMIDE,ERLOTINIB,MDAMB436,-5.4105056741999995
3585,CYCLOPHOSPHAMIDE,GELDANAMYCIN,MDAMB436,11.7816040637
3624,CYCLOPHOSPHAMIDE,L778123,MDAMB436,8.4573817986
3663,CYCLOPHOSPHAMIDE,LAPATINIB,MDAMB436,0.3717760651
3702,CYCLOPHOSPHAMIDE,MK-2206,MDAMB436,3.2361221344
3741,CYCLOPHOSPHAMIDE,MK-4827,MDAMB436,5.9426334798000005
3780,CYCLOPHOSPHAMIDE,MK-5108,MDAMB436,6.8525614553
3819,CYCLOPHOSPHAMIDE,MK-8669,MDAMB436,8.6417959692
3858,CYCLOPHOSPHAMIDE,MK-8776,MDAMB436,-2.8762424275
3897,CYCLOPHOSPHAMIDE,PD325901,MDAMB436,-5.3762083274
3936,CYCLOPHOSPHAMIDE,SORAFENIB,MDAMB436,0.6800528786
3975,CYCLOPHOSPHAMIDE,SUNITINIB,MDAMB436,0.5810433476
4014,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,MDAMB436,-4.1574537978
4053,CYCLOPHOSPHAMIDE,ZOLINZA,MDAMB436,5.2809894606
4092,DASATINIB,ABT-888,MDAMB436,13.654204659300001
4131,DASATINIB,BEZ-235,MDAMB436,47.980598401099996
4170,DASATINIB,DINACICLIB,MDAMB436,13.468964359500001
4209,DASATINIB,GELDANAMYCIN,MDAMB436,20.0941080328
4248,DASATINIB,MK-8669,MDAMB436,47.5294483552
4297,DASATINIB,MK-8776,MDAMB436,32.8001970897
4341,DASATINIB,OXALIPLATIN,MDAMB436,-17.0666276549
4380,DASATINIB,SN-38,MDAMB436,28.802539598499997
4419,DASATINIB,SORAFENIB,MDAMB436,14.2357351099
4458,DASATINIB,TOPOTECAN,MDAMB436,-1.4636687007
4497,DEXAMETHASONE,ABT-888,MDAMB436,0.7199036137
4536,DEXAMETHASONE,AZD1775,MDAMB436,4.2493053206999996
4575,DEXAMETHASONE,BEZ-235,MDAMB436,13.7506852002
4614,DEXAMETHASONE,BORTEZOMIB,MDAMB436,-0.8230284318000001
4653,DEXAMETHASONE,DASATINIB,MDAMB436,-5.9039606265
4692,DEXAMETHASONE,DINACICLIB,MDAMB436,2.7421445947000005
4731,DEXAMETHASONE,ERLOTINIB,MDAMB436,-7.7297844741
4770,DEXAMETHASONE,GELDANAMYCIN,MDAMB436,11.2242276104
4809,DEXAMETHASONE,L778123,MDAMB436,4.53943087
4848,DEXAMETHASONE,LAPATINIB,MDAMB436,-9.543124494099999
4887,DEXAMETHASONE,MK-2206,MDAMB436,1.3662035592
4926,DEXAMETHASONE,MK-4827,MDAMB436,-0.6768936549
4965,DEXAMETHASONE,MK-5108,MDAMB436,1.0741947539
5004,DEXAMETHASONE,MK-8669,MDAMB436,0.9464125614
5043,DEXAMETHASONE,MK-8776,MDAMB436,2.7789716248
5082,DEXAMETHASONE,PD325901,MDAMB436,-2.2913515999
5121,DEXAMETHASONE,SORAFENIB,MDAMB436,1.8528740890000002
5160,DEXAMETHASONE,SUNITINIB,MDAMB436,3.6136530087
5199,DEXAMETHASONE,TEMOZOLOMIDE,MDAMB436,-2.3372080313
5238,DEXAMETHASONE,ZOLINZA,MDAMB436,1.5869796044
5277,DINACICLIB,MK-8776,MDAMB436,0.037121805
5316,DOXORUBICIN,ABT-888,MDAMB436,0.36798676950000003
5355,DOXORUBICIN,AZD1775,MDAMB436,2.1830057955
5394,DOXORUBICIN,BEZ-235,MDAMB436,13.9692937412
5433,DOXORUBICIN,BORTEZOMIB,MDAMB436,-5.1784337211
5472,DOXORUBICIN,DASATINIB,MDAMB436,4.2961049671
5511,DOXORUBICIN,DINACICLIB,MDAMB436,-2.8497053873000002
5550,DOXORUBICIN,ERLOTINIB,MDAMB436,-1.3024580637
5589,DOXORUBICIN,GELDANAMYCIN,MDAMB436,-7.5300984217
5628,DOXORUBICIN,L778123,MDAMB436,-5.739644362000001
5667,DOXORUBICIN,LAPATINIB,MDAMB436,-6.329957799
5706,DOXORUBICIN,MK-2206,MDAMB436,0.5419157027
5745,DOXORUBICIN,MK-4827,MDAMB436,-6.414075394
5784,DOXORUBICIN,MK-5108,MDAMB436,1.8789022797
5823,DOXORUBICIN,MK-8669,MDAMB436,6.36692512
5862,DOXORUBICIN,MK-8776,MDAMB436,19.932130890699998
5901,DOXORUBICIN,PD325901,MDAMB436,-6.600059696900001
5940,DOXORUBICIN,SORAFENIB,MDAMB436,-16.188925844
