,drug_a_name,drug_b_name,cell_line,synergy
16,5-FU,ABT-888,MSTO,-1.7930738645
55,5-FU,AZD1775,MSTO,-32.9906191851
94,5-FU,BEZ-235,MSTO,-8.3211162122
133,5-FU,BORTEZOMIB,MSTO,52.485189723299996
172,5-FU,DASATINIB,MSTO,17.562990649
211,5-FU,DINACICLIB,MSTO,1.1104282837000001
250,5-FU,ERLOTINIB,MSTO,-45.89376065850001
289,5-FU,GELDANAMYCIN,MSTO,1.4592157232
328,5-FU,L778123,MSTO,1.034479697
367,5-FU,LAPATINIB,MSTO,-55.4702643201
406,5-FU,MK-2206,MSTO,-35.3119882241
445,5-FU,MK-4827,MSTO,-54.8482021133
484,5-FU,MK-5108,MSTO,-34.445935871799996
523,5-FU,MK-8669,MSTO,-34.4302498796
572,5-FU,MK-8776,MSTO,-28.691350357399998
616,5-FU,PD325901,MSTO,22.0330269023
655,5-FU,SORAFENIB,MSTO,-13.503513843699999
694,5-FU,SUNITINIB,MSTO,-19.193372644
733,5-FU,TEMOZOLOMIDE,MSTO,-8.452318031799999
772,5-FU,ZOLINZA,MSTO,9.2448605449
811,ABT-888,BEZ-235,MSTO,42.0061506475
850,ABT-888,DINACICLIB,MSTO,9.601188954
889,ABT-888,GELDANAMYCIN,MSTO,16.3961454953
928,ABT-888,MK-8669,MSTO,75.5280528049
967,ABT-888,MK-8776,MSTO,10.662503210499999
1006,ABT-888,OXALIPLATIN,MSTO,10.5228098079
1045,ABT-888,SN-38,MSTO,21.4679427844
1084,ABT-888,SORAFENIB,MSTO,-6.859831707200001
1123,ABT-888,TOPOTECAN,MSTO,-3.8899445557
1162,AZD1775,ABT-888,MSTO,9.337660791000001
1211,AZD1775,BEZ-235,MSTO,24.192295401
1255,AZD1775,BORTEZOMIB,MSTO,36.599968510100005
1304,AZD1775,DASATINIB,MSTO,56.5094131283
1348,AZD1775,DINACICLIB,MSTO,-6.2151696848
1387,AZD1775,ERLOTINIB,MSTO,6.2396461889
