,drug_a_name,drug_b_name,cell_line,synergy
18,5-FU,ABT-888,NCIH2122,7.890256814400001
57,5-FU,AZD1775,NCIH2122,4.3178885654000005
96,5-FU,BEZ-235,NCIH2122,7.697273484099999
135,5-FU,BORTEZOMIB,NCIH2122,-16.6962656751
174,5-FU,DASATINIB,NCIH2122,-31.1947195955
213,5-FU,DINACICLIB,NCIH2122,1.2187131729
252,5-FU,ERLOTINIB,NCIH2122,24.454976829899998
291,5-FU,GELDANAMYCIN,NCIH2122,-2.6927348531999997
330,5-FU,L778123,NCIH2122,1.4919157638
369,5-FU,LAPATINIB,NCIH2122,9.9561959778
408,5-FU,MK-2206,NCIH2122,14.5182360522
447,5-FU,MK-4827,NCIH2122,1.8558659516
486,5-FU,MK-5108,NCIH2122,-1.7886402574
525,5-FU,MK-8669,NCIH2122,10.3041819135
575,5-FU,MK-8776,NCIH2122,3.0637023563
576,5-FU,MK-8776,NCIH2122,22.2132492117
618,5-FU,PD325901,NCIH2122,3.0974502826999997
657,5-FU,SORAFENIB,NCIH2122,-3.7688232307
696,5-FU,SUNITINIB,NCIH2122,5.838627875399999
735,5-FU,TEMOZOLOMIDE,NCIH2122,-4.9764338356
774,5-FU,ZOLINZA,NCIH2122,10.6562695753
813,ABT-888,BEZ-235,NCIH2122,19.4110951432
852,ABT-888,DINACICLIB,NCIH2122,11.6745397309
891,ABT-888,GELDANAMYCIN,NCIH2122,6.8779780685
930,ABT-888,MK-8669,NCIH2122,7.5032078751
969,ABT-888,MK-8776,NCIH2122,-7.600734918500001
1008,ABT-888,OXALIPLATIN,NCIH2122,0.0764558249
1047,ABT-888,SN-38,NCIH2122,21.3904458112
1086,ABT-888,SORAFENIB,NCIH2122,16.502217219600002
1125,ABT-888,TOPOTECAN,NCIH2122,-5.0197988695
1164,AZD1775,ABT-888,NCIH2122,-4.0035971525
1214,AZD1775,BEZ-235,NCIH2122,9.2290794197
1215,AZD1775,BEZ-235,NCIH2122,-14.1362531299
1257,AZD1775,BORTEZOMIB,NCIH2122,-16.2693811328
1307,AZD1775,DASATINIB,NCIH2122,-5.1493134034
1308,AZD1775,DASATINIB,NCIH2122,-53.1418534399
1350,AZD1775,DINACICLIB,NCIH2122,-11.455872604400001
1389,AZD1775,ERLOTINIB,NCIH2122,5.7735801738
1428,AZD1775,GELDANAMYCIN,NCIH2122,-11.4391414821
1467,AZD1775,LAPATINIB,NCIH2122,3.2292078373
1506,AZD1775,MK-2206,NCIH2122,5.7044284976999995
1545,AZD1775,MK-4827,NCIH2122,25.082138022800002
1584,AZD1775,MK-5108,NCIH2122,-15.784272873599999
1623,AZD1775,MK-8669,NCIH2122,17.4429740728
1673,AZD1775,MK-8776,NCIH2122,30.906694625700002
1674,AZD1775,MK-8776,NCIH2122,23.506964221900002
1716,AZD1775,OXALIPLATIN,NCIH2122,-8.8805591991
1755,AZD1775,PD325901,NCIH2122,2.4463492223
1794,AZD1775,SN-38,NCIH2122,-80.17199575779999
1833,AZD1775,SORAFENIB,NCIH2122,-8.8301578991
1872,AZD1775,TOPOTECAN,NCIH2122,2.5090094456
1911,BEZ-235,DINACICLIB,NCIH2122,14.7183660791
1950,BEZ-235,MK-8776,NCIH2122,-5.3581873897
1989,BEZ-235,OXALIPLATIN,NCIH2122,3.5702009588
2028,BEZ-235,SN-38,NCIH2122,13.4495694102
2067,BEZ-235,SORAFENIB,NCIH2122,0.44554232579999997
2106,BORTEZOMIB,ABT-888,NCIH2122,15.894723324400001
2145,BORTEZOMIB,BEZ-235,NCIH2122,-2.7964612805
2184,BORTEZOMIB,DASATINIB,NCIH2122,-44.785195753400004
2223,BORTEZOMIB,DINACICLIB,NCIH2122,-25.366993260900003
2262,BORTEZOMIB,GELDANAMYCIN,NCIH2122,-25.0631852128
2301,BORTEZOMIB,MK-8669,NCIH2122,37.5940109457
2340,BORTEZOMIB,MK-8776,NCIH2122,-44.4573198675
2379,BORTEZOMIB,OXALIPLATIN,NCIH2122,3.8037568300999998
2418,BORTEZOMIB,SN-38,NCIH2122,-3.1706248038
2457,BORTEZOMIB,SORAFENIB,NCIH2122,-14.7945422416
2496,BORTEZOMIB,TOPOTECAN,NCIH2122,-8.7765820691
2535,CARBOPLATIN,ABT-888,NCIH2122,6.4151107855
2574,CARBOPLATIN,AZD1775,NCIH2122,-2.8559478214999996
2613,CARBOPLATIN,BEZ-235,NCIH2122,16.5531133177
2652,CARBOPLATIN,BORTEZOMIB,NCIH2122,21.1213621697
2691,CARBOPLATIN,DASATINIB,NCIH2122,-68.8280159838
2730,CARBOPLATIN,DINACICLIB,NCIH2122,-6.4705489798
2769,CARBOPLATIN,ERLOTINIB,NCIH2122,12.0484571669
2808,CARBOPLATIN,GELDANAMYCIN,NCIH2122,-13.8289440902
2847,CARBOPLATIN,L778123,NCIH2122,1.0729085084
2886,CARBOPLATIN,LAPATINIB,NCIH2122,-4.6959553188
2925,CARBOPLATIN,MK-2206,NCIH2122,-1.5730561263
2964,CARBOPLATIN,MK-4827,NCIH2122,6.434044547999999
3003,CARBOPLATIN,MK-5108,NCIH2122,-10.4698957
3042,CARBOPLATIN,MK-8669,NCIH2122,10.7236678573
3081,CARBOPLATIN,MK-8776,NCIH2122,-12.7860747608
3120,CARBOPLATIN,PD325901,NCIH2122,-11.119013598599999
3159,CARBOPLATIN,SORAFENIB,NCIH2122,-13.316542336
3198,CARBOPLATIN,SUNITINIB,NCIH2122,-0.4921545518
3237,CARBOPLATIN,TEMOZOLOMIDE,NCIH2122,-18.4284188168
3276,CARBOPLATIN,ZOLINZA,NCIH2122,1.1110109017
3315,CYCLOPHOSPHAMIDE,ABT-888,NCIH2122,4.7747569736
3354,CYCLOPHOSPHAMIDE,AZD1775,NCIH2122,6.723657226
3393,CYCLOPHOSPHAMIDE,BEZ-235,NCIH2122,15.242570815899999
3432,CYCLOPHOSPHAMIDE,BORTEZOMIB,NCIH2122,27.756929044299998
3471,CYCLOPHOSPHAMIDE,DASATINIB,NCIH2122,-48.3772955559
3510,CYCLOPHOSPHAMIDE,DINACICLIB,NCIH2122,6.8154205277
3549,CYCLOPHOSPHAMIDE,ERLOTINIB,NCIH2122,5.4168465858
3588,CYCLOPHOSPHAMIDE,GELDANAMYCIN,NCIH2122,6.8166471457
3627,CYCLOPHOSPHAMIDE,L778123,NCIH2122,7.631749299
3666,CYCLOPHOSPHAMIDE,LAPATINIB,NCIH2122,-2.9583699089
3705,CYCLOPHOSPHAMIDE,MK-2206,NCIH2122,7.4975776242
3744,CYCLOPHOSPHAMIDE,MK-4827,NCIH2122,10.5451317132
3783,CYCLOPHOSPHAMIDE,MK-5108,NCIH2122,9.2745993413
3822,CYCLOPHOSPHAMIDE,MK-8669,NCIH2122,14.0877326732
3861,CYCLOPHOSPHAMIDE,MK-8776,NCIH2122,-10.500856673300001
3900,CYCLOPHOSPHAMIDE,PD325901,NCIH2122,4.4413331582
3939,CYCLOPHOSPHAMIDE,SORAFENIB,NCIH2122,6.874147284199999
3978,CYCLOPHOSPHAMIDE,SUNITINIB,NCIH2122,11.8440793165
4017,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,NCIH2122,-0.6782741289
4056,CYCLOPHOSPHAMIDE,ZOLINZA,NCIH2122,13.4751098797
