,drug_a_name,drug_b_name,cell_line,synergy
22,5-FU,ABT-888,OCUBM,3.9321484531
61,5-FU,AZD1775,OCUBM,33.5929258791
100,5-FU,BEZ-235,OCUBM,16.3880555937
139,5-FU,BORTEZOMIB,OCUBM,-7.508624838899999
178,5-FU,DASATINIB,OCUBM,-6.0435035517
217,5-FU,DINACICLIB,OCUBM,6.785054032300001
256,5-FU,ERLOTINIB,OCUBM,28.1444385648
295,5-FU,GELDANAMYCIN,OCUBM,-0.9389248489
334,5-FU,L778123,OCUBM,10.9390380171
373,5-FU,LAPATINIB,OCUBM,3.6962294526
412,5-FU,MK-2206,OCUBM,0.7515517096
451,5-FU,MK-4827,OCUBM,10.3365878625
490,5-FU,MK-5108,OCUBM,4.9421224788
529,5-FU,MK-8669,OCUBM,23.658279230300003
581,5-FU,MK-8776,OCUBM,58.84964574399999
622,5-FU,PD325901,OCUBM,16.9153205509
661,5-FU,SORAFENIB,OCUBM,1.3100945136
700,5-FU,SUNITINIB,OCUBM,8.9984658495
739,5-FU,TEMOZOLOMIDE,OCUBM,-15.1214011523
778,5-FU,ZOLINZA,OCUBM,-7.8034975342
817,ABT-888,BEZ-235,OCUBM,28.4905172923
856,ABT-888,DINACICLIB,OCUBM,11.2634714899
895,ABT-888,GELDANAMYCIN,OCUBM,31.717628869499997
934,ABT-888,MK-8669,OCUBM,10.1229095088
973,ABT-888,MK-8776,OCUBM,12.818050378499999
1012,ABT-888,OXALIPLATIN,OCUBM,18.9587160559
1051,ABT-888,SN-38,OCUBM,33.429001635
1090,ABT-888,SORAFENIB,OCUBM,18.458408297000002
1129,ABT-888,TOPOTECAN,OCUBM,-9.4861089671
1168,AZD1775,ABT-888,OCUBM,6.9664155115
1220,AZD1775,BEZ-235,OCUBM,17.4854102777
1261,AZD1775,BORTEZOMIB,OCUBM,-10.4287590428
1313,AZD1775,DASATINIB,OCUBM,22.3406233089
1354,AZD1775,DINACICLIB,OCUBM,-2.7701372419999997
1393,AZD1775,ERLOTINIB,OCUBM,16.048738448800002
1432,AZD1775,GELDANAMYCIN,OCUBM,4.573955708500001
1471,AZD1775,LAPATINIB,OCUBM,18.8060866635
1510,AZD1775,MK-2206,OCUBM,4.5288006267
1549,AZD1775,MK-4827,OCUBM,73.21985333939999
1588,AZD1775,MK-5108,OCUBM,3.3605352039999996
1627,AZD1775,MK-8669,OCUBM,34.185284484600004
1679,AZD1775,MK-8776,OCUBM,65.9041196132
1720,AZD1775,OXALIPLATIN,OCUBM,11.198743766
1759,AZD1775,PD325901,OCUBM,13.2754786222
1798,AZD1775,SN-38,OCUBM,9.9235076334
1837,AZD1775,SORAFENIB,OCUBM,4.7113897704
1876,AZD1775,TOPOTECAN,OCUBM,10.0685293578
1915,BEZ-235,DINACICLIB,OCUBM,1.3688055113
1954,BEZ-235,MK-8776,OCUBM,22.7804899692
1993,BEZ-235,OXALIPLATIN,OCUBM,16.5762472405
2032,BEZ-235,SN-38,OCUBM,8.0560752823
