,drug_a_name,drug_b_name,cell_line,synergy
24,5-FU,ABT-888,OVCAR3,17.637032868
63,5-FU,AZD1775,OVCAR3,12.2336919622
102,5-FU,BEZ-235,OVCAR3,17.1196123484
141,5-FU,BORTEZOMIB,OVCAR3,-9.895036465499999
180,5-FU,DASATINIB,OVCAR3,57.0331471062
219,5-FU,DINACICLIB,OVCAR3,2.7064693261
258,5-FU,ERLOTINIB,OVCAR3,29.201255854099998
297,5-FU,GELDANAMYCIN,OVCAR3,-8.8404468247
336,5-FU,L778123,OVCAR3,3.6025835235000003
375,5-FU,LAPATINIB,OVCAR3,18.0118570501
414,5-FU,MK-2206,OVCAR3,16.3679150898
453,5-FU,MK-4827,OVCAR3,-1.8376363782
492,5-FU,MK-5108,OVCAR3,10.017439335499999
531,5-FU,MK-8669,OVCAR3,6.725643869400001
583,5-FU,MK-8776,OVCAR3,10.1051317429
624,5-FU,PD325901,OVCAR3,24.6866031908
663,5-FU,SORAFENIB,OVCAR3,-18.315474212999998
702,5-FU,SUNITINIB,OVCAR3,7.236478142
741,5-FU,TEMOZOLOMIDE,OVCAR3,4.253257415299999
780,5-FU,ZOLINZA,OVCAR3,3.6178868253
819,ABT-888,BEZ-235,OVCAR3,21.713052045799998
858,ABT-888,DINACICLIB,OVCAR3,17.2772056114
897,ABT-888,GELDANAMYCIN,OVCAR3,20.4895540304
936,ABT-888,MK-8669,OVCAR3,14.2399767828
975,ABT-888,MK-8776,OVCAR3,1.978586679
1014,ABT-888,OXALIPLATIN,OVCAR3,-3.2084361721
1053,ABT-888,SN-38,OVCAR3,33.0138277611
1092,ABT-888,SORAFENIB,OVCAR3,-4.856993724800001
1131,ABT-888,TOPOTECAN,OVCAR3,-21.582740902399998
1170,AZD1775,ABT-888,OVCAR3,4.8356759206
1222,AZD1775,BEZ-235,OVCAR3,20.612758353
1263,AZD1775,BORTEZOMIB,OVCAR3,-16.9325927375
1315,AZD1775,DASATINIB,OVCAR3,52.7991349972
1356,AZD1775,DINACICLIB,OVCAR3,-1.9974846374000002
1395,AZD1775,ERLOTINIB,OVCAR3,16.128944134
1434,AZD1775,GELDANAMYCIN,OVCAR3,-23.0959429476
1473,AZD1775,LAPATINIB,OVCAR3,12.3717862452
1512,AZD1775,MK-2206,OVCAR3,12.4406899748
1551,AZD1775,MK-4827,OVCAR3,60.0744132988
1590,AZD1775,MK-5108,OVCAR3,6.7932624845000005
1629,AZD1775,MK-8669,OVCAR3,25.800124369299997
1681,AZD1775,MK-8776,OVCAR3,42.4143624412
1722,AZD1775,OXALIPLATIN,OVCAR3,21.203883878
1761,AZD1775,PD325901,OVCAR3,23.2967644762
1800,AZD1775,SN-38,OVCAR3,66.7231751824
1839,AZD1775,SORAFENIB,OVCAR3,-17.387899803099998
1878,AZD1775,TOPOTECAN,OVCAR3,40.6440855959
1917,BEZ-235,DINACICLIB,OVCAR3,12.366440768599999
1956,BEZ-235,MK-8776,OVCAR3,12.1320732305
1995,BEZ-235,OXALIPLATIN,OVCAR3,11.9002493596
2034,BEZ-235,SN-38,OVCAR3,20.4919458497
2073,BEZ-235,SORAFENIB,OVCAR3,-9.5869590877
2112,BORTEZOMIB,ABT-888,OVCAR3,-1.3063243275
2151,BORTEZOMIB,BEZ-235,OVCAR3,-5.1258099484
2190,BORTEZOMIB,DASATINIB,OVCAR3,25.330534024299997
2229,BORTEZOMIB,DINACICLIB,OVCAR3,-29.3334621952
2268,BORTEZOMIB,GELDANAMYCIN,OVCAR3,-36.857414731700004
2307,BORTEZOMIB,MK-8669,OVCAR3,2.0388937855
2346,BORTEZOMIB,MK-8776,OVCAR3,-15.3305189054
2385,BORTEZOMIB,OXALIPLATIN,OVCAR3,-5.4946046944
2424,BORTEZOMIB,SN-38,OVCAR3,14.5864766634
