,drug_a_name,drug_b_name,cell_line,synergy
26,5-FU,ABT-888,RKO,-2.6775877856
65,5-FU,AZD1775,RKO,19.3332015124
104,5-FU,BEZ-235,RKO,16.9360013477
143,5-FU,BORTEZOMIB,RKO,2.9072006684
182,5-FU,DASATINIB,RKO,17.3116328276
221,5-FU,DINACICLIB,RKO,5.6238194396
260,5-FU,ERLOTINIB,RKO,20.9875725757
299,5-FU,GELDANAMYCIN,RKO,5.2461803983
338,5-FU,L778123,RKO,4.7786590770999995
377,5-FU,LAPATINIB,RKO,11.5445360217
416,5-FU,MK-2206,RKO,21.9986829902
455,5-FU,MK-4827,RKO,-0.3218696371
494,5-FU,MK-5108,RKO,-2.4180318894
533,5-FU,MK-8669,RKO,23.2541342238
586,5-FU,MK-8776,RKO,18.4228588221
626,5-FU,PD325901,RKO,9.445147693
665,5-FU,SORAFENIB,RKO,1.8835839134
704,5-FU,SUNITINIB,RKO,7.996355114400001
743,5-FU,TEMOZOLOMIDE,RKO,-9.323430375700001
782,5-FU,ZOLINZA,RKO,11.048340688800002
821,ABT-888,BEZ-235,RKO,14.5377525408
860,ABT-888,DINACICLIB,RKO,7.513779684099999
899,ABT-888,GELDANAMYCIN,RKO,33.8314776801
938,ABT-888,MK-8669,RKO,3.3465666885000003
977,ABT-888,MK-8776,RKO,-0.0172287476
1016,ABT-888,OXALIPLATIN,RKO,0.6422767705
1055,ABT-888,SN-38,RKO,30.5324902581
1094,ABT-888,SORAFENIB,RKO,24.3821576226
1133,ABT-888,TOPOTECAN,RKO,-12.447125957799999
1172,AZD1775,ABT-888,RKO,-2.0893153178
1225,AZD1775,BEZ-235,RKO,31.7368561067
1265,AZD1775,BORTEZOMIB,RKO,-12.676664351300001
1318,AZD1775,DASATINIB,RKO,41.9115352438
1358,AZD1775,DINACICLIB,RKO,0.8952051889
1397,AZD1775,ERLOTINIB,RKO,3.1183919257
1436,AZD1775,GELDANAMYCIN,RKO,3.3570132241
1475,AZD1775,LAPATINIB,RKO,1.5089875002000002
1514,AZD1775,MK-2206,RKO,11.1693332808
1553,AZD1775,MK-4827,RKO,17.6403010361
1592,AZD1775,MK-5108,RKO,5.7605997568
1631,AZD1775,MK-8669,RKO,29.019602232600004
1684,AZD1775,MK-8776,RKO,58.4522268841
1724,AZD1775,OXALIPLATIN,RKO,-12.1339484118
1763,AZD1775,PD325901,RKO,24.3964207248
1802,AZD1775,SN-38,RKO,-11.9820619118
1841,AZD1775,SORAFENIB,RKO,-1.1666525432
1880,AZD1775,TOPOTECAN,RKO,-5.7130638779
1919,BEZ-235,DINACICLIB,RKO,18.5700287474
1958,BEZ-235,MK-8776,RKO,67.4670174071
1997,BEZ-235,OXALIPLATIN,RKO,2.7564081682999997
2036,BEZ-235,SN-38,RKO,12.6242410023
2075,BEZ-235,SORAFENIB,RKO,14.222768957000001
2114,BORTEZOMIB,ABT-888,RKO,9.8459171565
2153,BORTEZOMIB,BEZ-235,RKO,17.0918646533
2192,BORTEZOMIB,DASATINIB,RKO,8.023336153099999
2231,BORTEZOMIB,DINACICLIB,RKO,-17.3878167351
2270,BORTEZOMIB,GELDANAMYCIN,RKO,0.5004539223
2309,BORTEZOMIB,MK-8669,RKO,8.3267608354
2348,BORTEZOMIB,MK-8776,RKO,-1.1021519523
2387,BORTEZOMIB,OXALIPLATIN,RKO,7.137994479
2426,BORTEZOMIB,SN-38,RKO,15.1714593102
2465,BORTEZOMIB,SORAFENIB,RKO,-2.6312824308000002
2504,BORTEZOMIB,TOPOTECAN,RKO,-3.2109014176999997
2543,CARBOPLATIN,ABT-888,RKO,30.1128108957
2582,CARBOPLATIN,AZD1775,RKO,11.3336169165
2621,CARBOPLATIN,BEZ-235,RKO,21.6794196595
2660,CARBOPLATIN,BORTEZOMIB,RKO,23.930714555100003
