,drug_a_name,drug_b_name,cell_line,synergy
27,5-FU,ABT-888,RPMI7951,-2.1732219296
66,5-FU,AZD1775,RPMI7951,16.722015115999998
105,5-FU,BEZ-235,RPMI7951,12.7059498499
144,5-FU,BORTEZOMIB,RPMI7951,-10.479414394099999
183,5-FU,DASATINIB,RPMI7951,19.063551028499997
222,5-FU,DINACICLIB,RPMI7951,-5.6869902395
261,5-FU,ERLOTINIB,RPMI7951,17.0048417484
300,5-FU,GELDANAMYCIN,RPMI7951,-8.0842471839
339,5-FU,L778123,RPMI7951,0.7730436273000001
378,5-FU,LAPATINIB,RPMI7951,3.3187648663
417,5-FU,MK-2206,RPMI7951,13.7924902162
456,5-FU,MK-4827,RPMI7951,1.7688753556999999
495,5-FU,MK-5108,RPMI7951,4.4237664099
534,5-FU,MK-8669,RPMI7951,27.3312274488
587,5-FU,MK-8776,RPMI7951,4.9236207844
627,5-FU,PD325901,RPMI7951,0.6327841094
666,5-FU,SORAFENIB,RPMI7951,-5.0414726511
705,5-FU,SUNITINIB,RPMI7951,-1.3432610887
744,5-FU,TEMOZOLOMIDE,RPMI7951,0.4705453494
783,5-FU,ZOLINZA,RPMI7951,-0.2406381746
822,ABT-888,BEZ-235,RPMI7951,27.956885689099998
861,ABT-888,DINACICLIB,RPMI7951,18.1691611882
900,ABT-888,GELDANAMYCIN,RPMI7951,0.6465689579
939,ABT-888,MK-8669,RPMI7951,12.773633885999999
978,ABT-888,MK-8776,RPMI7951,-0.9447617693000001
1017,ABT-888,OXALIPLATIN,RPMI7951,-26.722585115999998
1056,ABT-888,SN-38,RPMI7951,23.8706315741
1095,ABT-888,SORAFENIB,RPMI7951,10.4045458519
1134,ABT-888,TOPOTECAN,RPMI7951,-2.173326235
1173,AZD1775,ABT-888,RPMI7951,-0.3686147472
1226,AZD1775,BEZ-235,RPMI7951,19.695373409200002
1266,AZD1775,BORTEZOMIB,RPMI7951,-17.9036923384
1319,AZD1775,DASATINIB,RPMI7951,19.840208768
1359,AZD1775,DINACICLIB,RPMI7951,-6.600154785499999
1398,AZD1775,ERLOTINIB,RPMI7951,10.087352387000001
