,drug_a_name,drug_b_name,cell_line,synergy
28,5-FU,ABT-888,SKMEL30,-36.4592295758
67,5-FU,AZD1775,SKMEL30,2.2887188875
106,5-FU,BEZ-235,SKMEL30,-73.1384016545
145,5-FU,BORTEZOMIB,SKMEL30,-172.88870209080002
184,5-FU,DASATINIB,SKMEL30,-4.6186948142
223,5-FU,DINACICLIB,SKMEL30,-96.6171400256
262,5-FU,ERLOTINIB,SKMEL30,13.954883860499999
301,5-FU,GELDANAMYCIN,SKMEL30,-80.6389686735
340,5-FU,L778123,SKMEL30,-57.88453337
379,5-FU,LAPATINIB,SKMEL30,9.4835037451
418,5-FU,MK-2206,SKMEL30,9.528004578
457,5-FU,MK-4827,SKMEL30,3.7669646714
496,5-FU,MK-5108,SKMEL30,14.838571446500001
535,5-FU,MK-8669,SKMEL30,28.1921047119
588,5-FU,MK-8776,SKMEL30,-81.4412836641
628,5-FU,PD325901,SKMEL30,-144.401654641
667,5-FU,SORAFENIB,SKMEL30,2.1200282831
706,5-FU,SUNITINIB,SKMEL30,3.6671652339
745,5-FU,TEMOZOLOMIDE,SKMEL30,-55.965777096800004
784,5-FU,ZOLINZA,SKMEL30,-4.8803976276
823,ABT-888,BEZ-235,SKMEL30,29.522760917600003
862,ABT-888,DINACICLIB,SKMEL30,7.3363541735
901,ABT-888,GELDANAMYCIN,SKMEL30,30.3418934313
940,ABT-888,MK-8669,SKMEL30,-0.26586475260000003
979,ABT-888,MK-8776,SKMEL30,-2.3211651128
1018,ABT-888,OXALIPLATIN,SKMEL30,2.0839281646
1057,ABT-888,SN-38,SKMEL30,29.6505239487
1096,ABT-888,SORAFENIB,SKMEL30,5.7759516995
1135,ABT-888,TOPOTECAN,SKMEL30,-7.161263697000001
1174,AZD1775,ABT-888,SKMEL30,4.1379899576
1227,AZD1775,BEZ-235,SKMEL30,19.143084016
1267,AZD1775,BORTEZOMIB,SKMEL30,-15.709184993
1320,AZD1775,DASATINIB,SKMEL30,12.6557121149
1360,AZD1775,DINACICLIB,SKMEL30,-9.0382349965
1399,AZD1775,ERLOTINIB,SKMEL30,-2.161574901
1438,AZD1775,GELDANAMYCIN,SKMEL30,19.3608627563
1477,AZD1775,LAPATINIB,SKMEL30,7.602509732000001
1516,AZD1775,MK-2206,SKMEL30,6.1142989797
1555,AZD1775,MK-4827,SKMEL30,13.7556973054
1594,AZD1775,MK-5108,SKMEL30,5.2287434195
1633,AZD1775,MK-8669,SKMEL30,29.8440307931
1686,AZD1775,MK-8776,SKMEL30,64.5171171633
1726,AZD1775,OXALIPLATIN,SKMEL30,-4.5005135748
1765,AZD1775,PD325901,SKMEL30,4.6206626318
1804,AZD1775,SN-38,SKMEL30,1.1633837278
1843,AZD1775,SORAFENIB,SKMEL30,1.6790304399
1882,AZD1775,TOPOTECAN,SKMEL30,13.816361900999999
1921,BEZ-235,DINACICLIB,SKMEL30,2.2099412271000003
1960,BEZ-235,MK-8776,SKMEL30,39.198890297199995
1999,BEZ-235,OXALIPLATIN,SKMEL30,20.9179716414
2038,BEZ-235,SN-38,SKMEL30,22.0363048714
2077,BEZ-235,SORAFENIB,SKMEL30,13.530751263099999
2116,BORTEZOMIB,ABT-888,SKMEL30,-0.891900965
2155,BORTEZOMIB,BEZ-235,SKMEL30,14.5497119216
2194,BORTEZOMIB,DASATINIB,SKMEL30,-11.6323367219
2233,BORTEZOMIB,DINACICLIB,SKMEL30,-11.611821109000001
2272,BORTEZOMIB,GELDANAMYCIN,SKMEL30,-5.7375919098
2311,BORTEZOMIB,MK-8669,SKMEL30,9.284112586900001
