,drug_a_name,drug_b_name,cell_line,synergy
29,5-FU,ABT-888,SKMES1,-0.08642457939999999
68,5-FU,AZD1775,SKMES1,33.3532583969
107,5-FU,BEZ-235,SKMES1,21.2679035017
146,5-FU,BORTEZOMIB,SKMES1,-11.6427298467
185,5-FU,DASATINIB,SKMES1,2.9818204918
224,5-FU,DINACICLIB,SKMES1,-3.1403413007
263,5-FU,ERLOTINIB,SKMES1,21.2894247643
302,5-FU,GELDANAMYCIN,SKMES1,2.7036052766000003
341,5-FU,L778123,SKMES1,6.0790006726
380,5-FU,LAPATINIB,SKMES1,11.059641017799999
419,5-FU,MK-2206,SKMES1,18.5031612926
458,5-FU,MK-4827,SKMES1,0.7304384281999999
497,5-FU,MK-5108,SKMES1,-2.969522572
536,5-FU,MK-8669,SKMES1,8.5169054379
589,5-FU,MK-8776,SKMES1,16.9849025523
629,5-FU,PD325901,SKMES1,-5.4245533988
668,5-FU,SORAFENIB,SKMES1,0.2851544499
707,5-FU,SUNITINIB,SKMES1,11.9026148133
746,5-FU,TEMOZOLOMIDE,SKMES1,5.0475400042
785,5-FU,ZOLINZA,SKMES1,14.0621636356
824,ABT-888,BEZ-235,SKMES1,19.5913346773
863,ABT-888,DINACICLIB,SKMES1,14.398926503299998
902,ABT-888,GELDANAMYCIN,SKMES1,7.8085166783
941,ABT-888,MK-8669,SKMES1,9.0262819956
980,ABT-888,MK-8776,SKMES1,-1.4086040537
1019,ABT-888,OXALIPLATIN,SKMES1,-13.380606681300002
1058,ABT-888,SN-38,SKMES1,20.0867520559
1097,ABT-888,SORAFENIB,SKMES1,17.4179470381
1136,ABT-888,TOPOTECAN,SKMES1,-17.6750840576
1175,AZD1775,ABT-888,SKMES1,7.4397922084
1228,AZD1775,BEZ-235,SKMES1,26.593805899899998
1268,AZD1775,BORTEZOMIB,SKMES1,-18.7479938841
1321,AZD1775,DASATINIB,SKMES1,14.3598163299
1361,AZD1775,DINACICLIB,SKMES1,-18.1130098767
1400,AZD1775,ERLOTINIB,SKMES1,13.7514159942
1439,AZD1775,GELDANAMYCIN,SKMES1,-0.4644878013
1478,AZD1775,LAPATINIB,SKMES1,13.9744080803
1517,AZD1775,MK-2206,SKMES1,29.439766762399998
1556,AZD1775,MK-4827,SKMES1,14.9975168203
1595,AZD1775,MK-5108,SKMES1,-2.9112185853
1634,AZD1775,MK-8669,SKMES1,20.839180785699998
1687,AZD1775,MK-8776,SKMES1,4.1003225464
1727,AZD1775,OXALIPLATIN,SKMES1,1.9655492338999998
1766,AZD1775,PD325901,SKMES1,-2.6342384293
1805,AZD1775,SN-38,SKMES1,11.641848496500002
1844,AZD1775,SORAFENIB,SKMES1,-7.363682557000001
1883,AZD1775,TOPOTECAN,SKMES1,-11.4257582911
1922,BEZ-235,DINACICLIB,SKMES1,8.270303313300001
1961,BEZ-235,MK-8776,SKMES1,4.2963846743000005
2000,BEZ-235,OXALIPLATIN,SKMES1,15.9223385953
2039,BEZ-235,SN-38,SKMES1,24.8122700296
2078,BEZ-235,SORAFENIB,SKMES1,2.495699068
2117,BORTEZOMIB,ABT-888,SKMES1,-8.5587381983
2156,BORTEZOMIB,BEZ-235,SKMES1,-0.26860295300000003
2195,BORTEZOMIB,DASATINIB,SKMES1,-10.1548519166
2234,BORTEZOMIB,DINACICLIB,SKMES1,-33.4243702723
2273,BORTEZOMIB,GELDANAMYCIN,SKMES1,-35.1495067277
2312,BORTEZOMIB,MK-8669,SKMES1,-13.904813495
2351,BORTEZOMIB,MK-8776,SKMES1,-29.322077306500002
2390,BORTEZOMIB,OXALIPLATIN,SKMES1,-34.9389804188
2429,BORTEZOMIB,SN-38,SKMES1,-10.9502671364
2468,BORTEZOMIB,SORAFENIB,SKMES1,-18.675375742
2507,BORTEZOMIB,TOPOTECAN,SKMES1,-28.942725554499997
2546,CARBOPLATIN,ABT-888,SKMES1,-3.4748360457
2585,CARBOPLATIN,AZD1775,SKMES1,5.7825221549
2624,CARBOPLATIN,BEZ-235,SKMES1,19.2953758415
2663,CARBOPLATIN,BORTEZOMIB,SKMES1,-20.6022819531
2702,CARBOPLATIN,DASATINIB,SKMES1,6.715560340900001
2741,CARBOPLATIN,DINACICLIB,SKMES1,-6.5814843148
2780,CARBOPLATIN,ERLOTINIB,SKMES1,15.3615095349
2819,CARBOPLATIN,GELDANAMYCIN,SKMES1,-7.9376605648
2858,CARBOPLATIN,L778123,SKMES1,1.2938040351
2897,CARBOPLATIN,LAPATINIB,SKMES1,9.0725521477
2936,CARBOPLATIN,MK-2206,SKMES1,-0.21728731980000002
2975,CARBOPLATIN,MK-4827,SKMES1,-0.015143813899999999
3014,CARBOPLATIN,MK-5108,SKMES1,-9.3245575355
3053,CARBOPLATIN,MK-8669,SKMES1,13.0604772967
3092,CARBOPLATIN,MK-8776,SKMES1,-5.0319232508
3131,CARBOPLATIN,PD325901,SKMES1,-32.529721901
3170,CARBOPLATIN,SORAFENIB,SKMES1,-8.0958386007
3209,CARBOPLATIN,SUNITINIB,SKMES1,6.594945213
3248,CARBOPLATIN,TEMOZOLOMIDE,SKMES1,-10.6926833703
3287,CARBOPLATIN,ZOLINZA,SKMES1,7.420193696599999
3326,CYCLOPHOSPHAMIDE,ABT-888,SKMES1,8.9743386799
3365,CYCLOPHOSPHAMIDE,AZD1775,SKMES1,7.8726734761
3404,CYCLOPHOSPHAMIDE,BEZ-235,SKMES1,18.3195589452
