,drug_a_name,drug_b_name,cell_line,synergy
32,5-FU,ABT-888,SW837,-14.523108627300001
71,5-FU,AZD1775,SW837,2.5778554159000002
110,5-FU,BEZ-235,SW837,5.514510747899999
149,5-FU,BORTEZOMIB,SW837,-1.3618595002
188,5-FU,DASATINIB,SW837,15.8773368915
227,5-FU,DINACICLIB,SW837,-19.5733229304
266,5-FU,ERLOTINIB,SW837,17.2993876184
305,5-FU,GELDANAMYCIN,SW837,-10.0141809923
344,5-FU,L778123,SW837,-4.4571313729
383,5-FU,LAPATINIB,SW837,6.956325429
422,5-FU,MK-2206,SW837,5.1723316978
461,5-FU,MK-4827,SW837,-12.7245151344
500,5-FU,MK-5108,SW837,-3.1947088918
539,5-FU,MK-8669,SW837,12.4165920546
593,5-FU,MK-8776,SW837,-20.5265828587
632,5-FU,PD325901,SW837,0.9460961281999999
671,5-FU,SORAFENIB,SW837,-8.6089625102
710,5-FU,SUNITINIB,SW837,-4.9018368368
749,5-FU,TEMOZOLOMIDE,SW837,-44.6178967978
788,5-FU,ZOLINZA,SW837,-3.532158377
827,ABT-888,BEZ-235,SW837,23.2895991148
866,ABT-888,DINACICLIB,SW837,-5.3892419402
905,ABT-888,GELDANAMYCIN,SW837,6.088914754199999
944,ABT-888,MK-8669,SW837,-16.0112202114
983,ABT-888,MK-8776,SW837,-85.5323370086
1022,ABT-888,OXALIPLATIN,SW837,-9.0448007001
1061,ABT-888,SN-38,SW837,7.0443155012
1100,ABT-888,SORAFENIB,SW837,5.9359887989999995
1139,ABT-888,TOPOTECAN,SW837,-13.7753731877
1178,AZD1775,ABT-888,SW837,-10.757338120999998
1232,AZD1775,BEZ-235,SW837,23.6125320233
1271,AZD1775,BORTEZOMIB,SW837,5.2813449402999995
1325,AZD1775,DASATINIB,SW837,37.537678936599995
1364,AZD1775,DINACICLIB,SW837,-5.084259188
1403,AZD1775,ERLOTINIB,SW837,26.3397184904
1442,AZD1775,GELDANAMYCIN,SW837,-5.0924958486000005
1481,AZD1775,LAPATINIB,SW837,33.697239878299996
1520,AZD1775,MK-2206,SW837,20.684430302
1559,AZD1775,MK-4827,SW837,17.783885792
1598,AZD1775,MK-5108,SW837,8.7696100298
1637,AZD1775,MK-8669,SW837,23.985673597399998
1691,AZD1775,MK-8776,SW837,28.5183042754
1730,AZD1775,OXALIPLATIN,SW837,-2.9466189738
1769,AZD1775,PD325901,SW837,11.5784159995
1808,AZD1775,SN-38,SW837,18.058724501700002
1847,AZD1775,SORAFENIB,SW837,-1.3031396406
1886,AZD1775,TOPOTECAN,SW837,7.6667355024
1925,BEZ-235,DINACICLIB,SW837,9.7296025762
1964,BEZ-235,MK-8776,SW837,-166.3775620333
2003,BEZ-235,OXALIPLATIN,SW837,15.9512651312
2042,BEZ-235,SN-38,SW837,13.9750826561
2081,BEZ-235,SORAFENIB,SW837,-0.7897250020000001
2120,BORTEZOMIB,ABT-888,SW837,-11.2265158141
2159,BORTEZOMIB,BEZ-235,SW837,27.7894382542
2198,BORTEZOMIB,DASATINIB,SW837,26.8847063342
2237,BORTEZOMIB,DINACICLIB,SW837,-33.7829951694
2276,BORTEZOMIB,GELDANAMYCIN,SW837,-33.3650916333
2315,BORTEZOMIB,MK-8669,SW837,19.053671007000002
2354,BORTEZOMIB,MK-8776,SW837,-194.3614259812
2393,BORTEZOMIB,OXALIPLATIN,SW837,5.9823862571
2432,BORTEZOMIB,SN-38,SW837,-5.7383438753
2471,BORTEZOMIB,SORAFENIB,SW837,-4.0213985715
2510,BORTEZOMIB,TOPOTECAN,SW837,5.687471399700001
2549,CARBOPLATIN,ABT-888,SW837,-8.4876305611
2588,CARBOPLATIN,AZD1775,SW837,5.3360963656000004
2627,CARBOPLATIN,BEZ-235,SW837,27.212175094899997
2666,CARBOPLATIN,BORTEZOMIB,SW837,7.7379820483
2705,CARBOPLATIN,DASATINIB,SW837,16.7723253406
2744,CARBOPLATIN,DINACICLIB,SW837,-15.417822595799999
2783,CARBOPLATIN,ERLOTINIB,SW837,12.9715190971
