,drug_a_name,drug_b_name,cell_line,synergy
34,5-FU,ABT-888,UACC62,-1.5839637825
73,5-FU,AZD1775,UACC62,11.459350528699998
112,5-FU,BEZ-235,UACC62,7.9318775251
151,5-FU,BORTEZOMIB,UACC62,-17.8418510777
190,5-FU,DASATINIB,UACC62,12.123960338900002
229,5-FU,DINACICLIB,UACC62,3.6825732483999998
268,5-FU,ERLOTINIB,UACC62,17.9689860115
307,5-FU,GELDANAMYCIN,UACC62,-1.3454010106999998
346,5-FU,L778123,UACC62,6.817916203899999
385,5-FU,LAPATINIB,UACC62,9.1199463026
424,5-FU,MK-2206,UACC62,16.6719027294
463,5-FU,MK-4827,UACC62,1.3318645202
502,5-FU,MK-5108,UACC62,8.1866547691
541,5-FU,MK-8669,UACC62,12.1256517911
595,5-FU,MK-8776,UACC62,6.6260817062
634,5-FU,PD325901,UACC62,-3.4432324072000005
673,5-FU,SORAFENIB,UACC62,0.3264493142
712,5-FU,SUNITINIB,UACC62,8.795687473300001
751,5-FU,TEMOZOLOMIDE,UACC62,-11.968624433699999
790,5-FU,ZOLINZA,UACC62,3.9324234508
829,ABT-888,BEZ-235,UACC62,19.8343063949
868,ABT-888,DINACICLIB,UACC62,3.6130085016000004
907,ABT-888,GELDANAMYCIN,UACC62,4.1728440759
946,ABT-888,MK-8669,UACC62,4.0469844432999995
985,ABT-888,MK-8776,UACC62,1.0604569664
1024,ABT-888,OXALIPLATIN,UACC62,-19.8337096003
1063,ABT-888,SN-38,UACC62,24.9654495564
1102,ABT-888,SORAFENIB,UACC62,17.279905933
1141,ABT-888,TOPOTECAN,UACC62,-5.778245151
1180,AZD1775,ABT-888,UACC62,7.6388839415
1234,AZD1775,BEZ-235,UACC62,23.0410612838
1273,AZD1775,BORTEZOMIB,UACC62,-5.2405010851
1327,AZD1775,DASATINIB,UACC62,29.477120987600003
1366,AZD1775,DINACICLIB,UACC62,3.276757735
1405,AZD1775,ERLOTINIB,UACC62,19.6340663344
1444,AZD1775,GELDANAMYCIN,UACC62,15.3254043357
1483,AZD1775,LAPATINIB,UACC62,22.170519517
1522,AZD1775,MK-2206,UACC62,16.4635331772
1561,AZD1775,MK-4827,UACC62,21.7981902837
1600,AZD1775,MK-5108,UACC62,13.345987790899999
1639,AZD1775,MK-8669,UACC62,31.8760261131
1693,AZD1775,MK-8776,UACC62,43.1869855307
1732,AZD1775,OXALIPLATIN,UACC62,-2.9134159530000003
1771,AZD1775,PD325901,UACC62,11.264247388900001
1810,AZD1775,SN-38,UACC62,13.058902395
1849,AZD1775,SORAFENIB,UACC62,1.3162486226
1888,AZD1775,TOPOTECAN,UACC62,4.171316344
1927,BEZ-235,DINACICLIB,UACC62,17.3319497404
1966,BEZ-235,MK-8776,UACC62,25.671132050700002
2005,BEZ-235,OXALIPLATIN,UACC62,12.840475866099998
2044,BEZ-235,SN-38,UACC62,11.412545175
2083,BEZ-235,SORAFENIB,UACC62,9.2418745153
2122,BORTEZOMIB,ABT-888,UACC62,-7.5148374815
2161,BORTEZOMIB,BEZ-235,UACC62,-3.0147329097
2200,BORTEZOMIB,DASATINIB,UACC62,-4.7962644596
2239,BORTEZOMIB,DINACICLIB,UACC62,-20.943677582
2278,BORTEZOMIB,GELDANAMYCIN,UACC62,-45.5218456814
2317,BORTEZOMIB,MK-8669,UACC62,-13.513874525
