,drug_a_name,drug_b_name,cell_line,synergy
36,5-FU,ABT-888,UWB1289,12.1947974084
75,5-FU,AZD1775,UWB1289,70.1581688167
114,5-FU,BEZ-235,UWB1289,17.0637803344
153,5-FU,BORTEZOMIB,UWB1289,-15.0307501791
192,5-FU,DASATINIB,UWB1289,3.7658996852999995
231,5-FU,DINACICLIB,UWB1289,-0.2331905921
270,5-FU,ERLOTINIB,UWB1289,16.4443510899
309,5-FU,GELDANAMYCIN,UWB1289,-6.7529812562
348,5-FU,L778123,UWB1289,13.7199255864
387,5-FU,LAPATINIB,UWB1289,3.8847212875999997
426,5-FU,MK-2206,UWB1289,20.7586233912
465,5-FU,MK-4827,UWB1289,0.7880892026999999
504,5-FU,MK-5108,UWB1289,6.5821698596000004
543,5-FU,MK-8669,UWB1289,25.237967822199998
597,5-FU,MK-8776,UWB1289,-7.7301677459
636,5-FU,PD325901,UWB1289,19.8082797454
675,5-FU,SORAFENIB,UWB1289,1.8562044005
714,5-FU,SUNITINIB,UWB1289,9.5055258835
753,5-FU,TEMOZOLOMIDE,UWB1289,17.2143034977
792,5-FU,ZOLINZA,UWB1289,-0.548894112
831,ABT-888,BEZ-235,UWB1289,32.0676655628
870,ABT-888,DINACICLIB,UWB1289,8.2696066743
909,ABT-888,GELDANAMYCIN,UWB1289,-14.3043912007
948,ABT-888,MK-8669,UWB1289,23.352408726100002
987,ABT-888,MK-8776,UWB1289,-30.3639573629
1026,ABT-888,OXALIPLATIN,UWB1289,-14.0504237877
1065,ABT-888,SN-38,UWB1289,-1.5995614294999998
1104,ABT-888,SORAFENIB,UWB1289,2.5738119692
1143,ABT-888,TOPOTECAN,UWB1289,-18.453471776199997
1182,AZD1775,ABT-888,UWB1289,60.316940657299995
1236,AZD1775,BEZ-235,UWB1289,78.420610698
1275,AZD1775,BORTEZOMIB,UWB1289,42.0724037644
1329,AZD1775,DASATINIB,UWB1289,36.8484455788
1368,AZD1775,DINACICLIB,UWB1289,40.7301126858
1407,AZD1775,ERLOTINIB,UWB1289,71.3621864786
1446,AZD1775,GELDANAMYCIN,UWB1289,82.1334090463
1485,AZD1775,LAPATINIB,UWB1289,83.0456537258
1524,AZD1775,MK-2206,UWB1289,94.88728322520001
1563,AZD1775,MK-4827,UWB1289,66.35613168649999
1602,AZD1775,MK-5108,UWB1289,65.6475365955
1641,AZD1775,MK-8669,UWB1289,97.7036218438
1695,AZD1775,MK-8776,UWB1289,29.4213514765
1734,AZD1775,OXALIPLATIN,UWB1289,58.564385297799994
1773,AZD1775,PD325901,UWB1289,98.8786042458
1812,AZD1775,SN-38,UWB1289,58.977091619700005
1851,AZD1775,SORAFENIB,UWB1289,17.3985047073
1890,AZD1775,TOPOTECAN,UWB1289,19.401398257100002
1929,BEZ-235,DINACICLIB,UWB1289,5.487690582000001
1968,BEZ-235,MK-8776,UWB1289,-17.5818718127
2007,BEZ-235,OXALIPLATIN,UWB1289,17.093036130599998
2046,BEZ-235,SN-38,UWB1289,14.5860306899
2085,BEZ-235,SORAFENIB,UWB1289,8.4975724927
2124,BORTEZOMIB,ABT-888,UWB1289,-11.6166479499
2163,BORTEZOMIB,BEZ-235,UWB1289,-11.4522299598
2202,BORTEZOMIB,DASATINIB,UWB1289,-17.2903991431
2241,BORTEZOMIB,DINACICLIB,UWB1289,-38.9373038383
2280,BORTEZOMIB,GELDANAMYCIN,UWB1289,-55.584127117200005
2319,BORTEZOMIB,MK-8669,UWB1289,-15.072406878299999
2358,BORTEZOMIB,MK-8776,UWB1289,-26.303709854
2397,BORTEZOMIB,OXALIPLATIN,UWB1289,-20.7825554661
2436,BORTEZOMIB,SN-38,UWB1289,-23.349212134800002
2475,BORTEZOMIB,SORAFENIB,UWB1289,-9.939358624299999
2514,BORTEZOMIB,TOPOTECAN,UWB1289,-8.5351846622
2553,CARBOPLATIN,ABT-888,UWB1289,-9.7516595941
2592,CARBOPLATIN,AZD1775,UWB1289,70.1514130597
2631,CARBOPLATIN,BEZ-235,UWB1289,9.996082599500001
2670,CARBOPLATIN,BORTEZOMIB,UWB1289,-36.037574206
2709,CARBOPLATIN,DASATINIB,UWB1289,5.1091078222
2748,CARBOPLATIN,DINACICLIB,UWB1289,-6.5977580386
2787,CARBOPLATIN,ERLOTINIB,UWB1289,5.9474098761
2826,CARBOPLATIN,GELDANAMYCIN,UWB1289,5.7114022581
2865,CARBOPLATIN,L778123,UWB1289,13.5301115726
2904,CARBOPLATIN,LAPATINIB,UWB1289,-4.7160918025
2943,CARBOPLATIN,MK-2206,UWB1289,5.6230352709
2982,CARBOPLATIN,MK-4827,UWB1289,6.977682486900001
3021,CARBOPLATIN,MK-5108,UWB1289,4.6342172886
3060,CARBOPLATIN,MK-8669,UWB1289,3.8843681807
3099,CARBOPLATIN,MK-8776,UWB1289,-3.9496212425
3138,CARBOPLATIN,PD325901,UWB1289,3.8820334665
3177,CARBOPLATIN,SORAFENIB,UWB1289,-9.218621727
