,drug_a_name,drug_b_name,cell_line,synergy
37,5-FU,ABT-888,VCAP,1.0961027615
76,5-FU,AZD1775,VCAP,-0.9983275325
115,5-FU,BEZ-235,VCAP,11.757424822699999
154,5-FU,BORTEZOMIB,VCAP,-7.0535106309
193,5-FU,DASATINIB,VCAP,21.455726442
232,5-FU,DINACICLIB,VCAP,14.421993999200001
271,5-FU,ERLOTINIB,VCAP,24.4137931368
310,5-FU,GELDANAMYCIN,VCAP,14.044519216600001
349,5-FU,L778123,VCAP,12.7404294136
388,5-FU,LAPATINIB,VCAP,10.6325581361
427,5-FU,MK-2206,VCAP,8.8828429883
466,5-FU,MK-4827,VCAP,10.988579061800001
505,5-FU,MK-5108,VCAP,11.649741335
544,5-FU,MK-8669,VCAP,29.6719018896
598,5-FU,MK-8776,VCAP,10.868914741
637,5-FU,PD325901,VCAP,11.4350299448
676,5-FU,SORAFENIB,VCAP,1.4443077438999998
715,5-FU,SUNITINIB,VCAP,12.4837989607
754,5-FU,TEMOZOLOMIDE,VCAP,-2.7295163788
793,5-FU,ZOLINZA,VCAP,22.995655908299998
832,ABT-888,BEZ-235,VCAP,18.574248117899998
871,ABT-888,DINACICLIB,VCAP,10.3203322274
910,ABT-888,GELDANAMYCIN,VCAP,10.280903475599999
949,ABT-888,MK-8669,VCAP,-2.5656413442
988,ABT-888,MK-8776,VCAP,-9.269693283099999
1027,ABT-888,OXALIPLATIN,VCAP,-5.1372586511
1066,ABT-888,SN-38,VCAP,-8.5322920587
1105,ABT-888,SORAFENIB,VCAP,7.804424432999999
1144,ABT-888,TOPOTECAN,VCAP,-16.730423640599998
1183,AZD1775,ABT-888,VCAP,-10.3820103315
1237,AZD1775,BEZ-235,VCAP,8.6393895606
1276,AZD1775,BORTEZOMIB,VCAP,-24.432466568200002
1330,AZD1775,DASATINIB,VCAP,20.5148439326
1369,AZD1775,DINACICLIB,VCAP,-27.3066655106
1408,AZD1775,ERLOTINIB,VCAP,7.5106078021
1447,AZD1775,GELDANAMYCIN,VCAP,-20.0164243909
1486,AZD1775,LAPATINIB,VCAP,10.3632009769
1525,AZD1775,MK-2206,VCAP,-9.605536278099999
1564,AZD1775,MK-4827,VCAP,4.6423007080000005
1603,AZD1775,MK-5108,VCAP,-7.1366314124
1642,AZD1775,MK-8669,VCAP,16.0412645851
1696,AZD1775,MK-8776,VCAP,78.2250990806
1735,AZD1775,OXALIPLATIN,VCAP,-10.1076235775
1774,AZD1775,PD325901,VCAP,2.3878936425
1813,AZD1775,SN-38,VCAP,8.0156998926
1852,AZD1775,SORAFENIB,VCAP,-20.8292710737
1891,AZD1775,TOPOTECAN,VCAP,0.32774965
1930,BEZ-235,DINACICLIB,VCAP,-1.8345494754
1969,BEZ-235,MK-8776,VCAP,27.201091484099997
2008,BEZ-235,OXALIPLATIN,VCAP,19.1801189331
2047,BEZ-235,SN-38,VCAP,20.220049795999998
2086,BEZ-235,SORAFENIB,VCAP,1.8791193502
2125,BORTEZOMIB,ABT-888,VCAP,3.0726181967
2164,BORTEZOMIB,BEZ-235,VCAP,12.939546779
2203,BORTEZOMIB,DASATINIB,VCAP,-6.8551523804
2242,BORTEZOMIB,DINACICLIB,VCAP,-21.6068173643
2281,BORTEZOMIB,GELDANAMYCIN,VCAP,-3.4154646645
2320,BORTEZOMIB,MK-8669,VCAP,9.0452549701
2359,BORTEZOMIB,MK-8776,VCAP,4.0349872189
2398,BORTEZOMIB,OXALIPLATIN,VCAP,-3.6936649620999997
2437,BORTEZOMIB,SN-38,VCAP,7.5009647182000005
2476,BORTEZOMIB,SORAFENIB,VCAP,-20.6807748622
2515,BORTEZOMIB,TOPOTECAN,VCAP,-13.3192031697
2554,CARBOPLATIN,ABT-888,VCAP,1.4305425494
2593,CARBOPLATIN,AZD1775,VCAP,-0.9669990318
2632,CARBOPLATIN,BEZ-235,VCAP,26.956158828400003
2671,CARBOPLATIN,BORTEZOMIB,VCAP,-10.8132456694
2710,CARBOPLATIN,DASATINIB,VCAP,29.0665220981
2749,CARBOPLATIN,DINACICLIB,VCAP,-4.6843420444
2788,CARBOPLATIN,ERLOTINIB,VCAP,31.5338394746
2827,CARBOPLATIN,GELDANAMYCIN,VCAP,6.4167312724
2866,CARBOPLATIN,L778123,VCAP,4.9822402833999995
2905,CARBOPLATIN,LAPATINIB,VCAP,14.4805556321
2944,CARBOPLATIN,MK-2206,VCAP,-4.8332497951999995
2983,CARBOPLATIN,MK-4827,VCAP,26.4262231219
3022,CARBOPLATIN,MK-5108,VCAP,2.1032638825
3061,CARBOPLATIN,MK-8669,VCAP,37.002913807
3100,CARBOPLATIN,MK-8776,VCAP,9.061264572799999
3139,CARBOPLATIN,PD325901,VCAP,7.5662605601
3178,CARBOPLATIN,SORAFENIB,VCAP,-3.8487877484
3217,CARBOPLATIN,SUNITINIB,VCAP,19.190969356300002
