synergy,class
0.02750758,0
8.045544,0
11.7254,0
-32.412083,0
1.3906877,0
8.734487,0
-4.4306746,0
-17.05361,0
22.7734,0
4.4906464,0
10.9744005,0
3.425152,0
29.858978,0
26.23337,0
48.931854,1
13.493221,0
50.274414,1
13.918545,0
34.412895,1
-8.974737,0
23.72358,0
24.76281,0
1.2830431,0
-2.5850074,0
33.31045,1
19.342098,0
7.419342,0
8.007937,0
1.2406604,0
7.190134,0
11.207083,0
21.238998,0
-11.22242,0
-5.5964956,0
18.12537,0
6.679476,0
-8.989176,0
10.159277,0
7.827285,0
-9.368802,0
-42.06044,0
-2.7554305,0
0.3727577,0
14.445429,0
15.332277,0
2.2569888,0
9.69091,0
1.0303009,0
-6.5483675,0
-10.912222,0
6.8671637,0
-26.644855,0
-0.4152257,0
9.237722,0
-9.950983,0
27.93673,0
44.614086,1
16.614805,0
44.859768,1
30.56937,1
-7.374837,0
21.575562,0
6.108795,0
28.694431,0
-0.17575952,0
-3.7795541,0
6.157839,0
-18.39069,0
4.0733695,0
13.242867,0
20.76501,0
12.895423,0
37.131763,1
16.198627,0
42.72081,1
35.152714,1
34.87451,1
-1.1527703,0
105.420525,1
10.147964,0
26.755398,0
7.3893676,0
25.650074,0
30.378096,1
32.800476,1
10.210137,0
46.68022,1
8.070567,0
-9.481661,0
-3.7859986,0
0.44816473,0
-12.916157,0
29.296583,0
22.342037,0
18.257538,0
5.9637804,0
-18.454075,0
-12.665403,0
5.007756,0
-5.2290154,0
1.9732263,0
23.521969,0
41.486553,1
0.3268526,0
4.520514,0
-4.8890367,0
-1.8712618,0
4.359006,0
-11.521224,0
33.86825,1
-1.3285992,0
-7.0864296,0
1.7435577,0
11.26168,0
35.95525,1
10.027993,0
-5.369586,0
5.174301,0
10.716133,0
-19.387314,0
-2.799846,0
3.3681715,0
-9.395802,0
35.62614,1
-3.4453108,0
39.56154,1
48.563236,1
29.989069,0
13.4529,0
39.285053,1
3.1573246,0
54.743797,1
8.883692,0
3.3799226,0
32.84357,1
-12.924728,0
13.1742525,0
-6.830371,0
-22.680687,0
-8.412177,0
6.043975,0
1.7580726,0
25.086864,0
-12.767874,0
-4.433669,0
4.801096,0
-0.52200145,0
-59.191456,0
3.2538354,0
-4.302286,0
16.47791,0
18.297009,0
-3.2693923,0
5.0905266,0
6.7598705,0
7.634694,0
4.9549513,0
10.093843,0
0.1924484,0
1.1509798,0
9.58717,0
-20.270262,0
2.6509874,0
-35.263084,0
1.7122018,0
0.15674666,0
15.008022,0
-1.9392979,0
33.728413,1
-13.961567,0
4.775407,0
-6.403764,0
-21.31734,0
5.2325716,0
-6.4194655,0
38.10181,1
21.949574,0
51.125866,1
3.7339876,0
5.4045687,0
-4.1537714,0
-5.524472,0
51.356285,1
-22.425245,0
-22.667637,0
0.5020974,0
-15.040081,0
7.3326817,0
5.9152155,0
4.16305,0
17.249878,0
52.76221,1
9.538447,0
40.77962,1
12.813596,0
19.585428,0
0.13181952,0
82.89792,1
26.601645,0
30.361855,1
9.544899,0
29.462492,0
-5.3589067,0
18.655804,0
15.862488,0
2.4508913,0
29.794037,0
3.768318,0
21.878174,0
15.792457,0
-6.1750145,0
-4.1824164,0
14.620593,0
13.3006935,0
-2.0053823,0
10.917409,0
3.0325053,0
-105.29132,0
-14.252899,0
8.818414,0
-2.0396101,0
6.895051,0
8.226391,0
2.1342962,0
-13.888984,0
18.065823,0
-16.641453,0
21.698875,0
24.965113,0
29.224686,0
18.426628,0
-6.178971,0
12.10686,0
5.887066,0
-9.033589,0
13.991272,0
-36.010128,0
-5.375987,0
1.7811897,0
1.6307046,0
-2.2116354,0
37.864754,1
