synergy,class
15.259018,0
7.861109,0
14.352137,0
-19.553991,0
24.481874,0
9.840279,0
4.2911625,0
36.70682,1
16.359863,0
9.691378,0
6.073593,0
17.593473,0
15.211783,0
4.6996655,0
73.13902,1
35.546143,1
-18.260847,0
-38.97299,0
-3.163548,0
-16.744719,0
-4.444341,0
-10.837818,0
-21.179512,0
-16.771128,0
-20.575342,0
-5.0972633,0
6.914981,0
9.210835,0
-4.961912,0
-7.0199637,0
19.26946,0
14.143536,0
13.1723,0
-17.843372,0
11.6649885,0
1.4910129,0
-8.807328,0
-1.0389172,0
-4.280804,0
-12.68589,0
-46.76937,0
-14.796988,0
43.16107,1
20.656448,0
9.998965,0
-7.414354,0
-2.5446453,0
-6.9363003,0
-6.2572975,0
64.81612,1
9.565177,0
-23.792562,0
10.17394,0
15.808987,0
-26.05013,0
21.671738,0
23.174753,0
14.160753,0
-4.6537876,0
-1.3137556,0
38.33608,1
42.25133,1
40.091045,1
-2.3753538,0
6.023588,0
11.494157,0
21.53391,0
101.12303,1
-4.5366416,0
-1.2895862,0
21.411942,0
74.28392,1
6.40498,0
1.2022108,0
31.720913,1
46.56466,1
53.889675,1
36.23957,1
28.638643,0
14.638957,0
22.787622,0
0.9882998,0
30.775274,1
16.950834,0
19.443535,0
48.43964,1
25.254673,0
0.56579846,0
-21.341091,0
7.450111,0
18.320833,0
-27.677925,0
11.823132,0
2.463594,0
-19.156393,0
47.071384,1
-67.76723,0
-10.568203,0
25.277538,0
-9.408852,0
-29.64129,0
0.78573555,0
38.98061,1
10.96089,0
-8.016688,0
-0.69569093,0
1.9382321,0
12.51286,0
1.7896951,0
21.581678,0
2.840551,0
1.6543525,0
17.62103,0
-17.262558,0
-7.525329,0
4.9730973,0
4.7093477,0
6.697169,0
10.9072895,0
35.952576,1
6.5491476,0
6.447886,0
11.6300335,0
26.807331,0
20.077211,0
28.921436,0
-19.750418,0
-24.037226,0
-17.125418,0
6.0542927,0
-25.261768,0
17.087965,0
7.1348376,0
-10.723898,0
0.5628571,0
20.307007,0
5.9630904,0
8.712874,0
5.4498506,0
-8.004435,0
-7.0909686,0
-32.83896,0
3.1459732,0
-3.51537,0
-10.64885,0
-7.7539,0
-15.249556,0
-56.808804,0
1.3711714,0
-17.895132,0
5.3995557,0
84.819984,1
23.126455,0
-16.695051,0
22.821339,0
-14.763652,0
9.44091,0
3.8898883,0
-4.2715826,0
6.281764,0
11.1885195,0
-15.640375,0
14.803871,0
-28.031767,0
-9.136659,0
-8.818724,0
-12.96375,0
-9.408747,0
108.50694,1
14.704757,0
6.9435954,0
75.160835,1
11.222761,0
33.23056,1
3.9629536,0
21.254797,0
33.10291,1
8.395162,0
53.199505,1
9.565038,0
5.272174,0
-10.56303,0
31.137674,1
-37.03728,0
-28.82287,0
0.20057242,0
-5.352857,0
17.166126,0
7.5839677,0
3.8629136,0
-0.27557927,0
46.19901,1
9.235785,0
40.374928,1
23.239326,0
56.223877,1
27.397604,0
29.10433,0
-5.293075,0
22.383322,0
13.185382,0
14.943174,0
3.671873,0
67.94388,1
-4.007954,0
-30.40387,0
7.4089117,0
-8.973359,0
2.0334058,0
-0.9949022,0
-24.342066,0
-27.044207,0
1.8311838,0
4.6520762,0
3.5121303,0
-16.999128,0
-17.678205,0
64.84056,1
-30.919054,0
8.291002,0
-68.108574,0
4.883925,0
23.670671,0
-17.765448,0
-7.9657273,0
24.91957,0
-27.632244,0
-2.9802003,0
16.844814,0
34.896297,1
4.8583894,0
3.6341777,0
23.283773,0
13.429576,0
-2.4647446,0
7.649042,0
124.046906,1
17.398098,0
-3.169149,0
35.034313,1
6.9801526,0
-12.823734,0
