synergy,class
1.5515218,0
5.4977994,0
6.8988566,0
1.1481763,0
7.302716,0
3.5542853,0
2.354928,0
10.087593,0
10.199076,0
7.522365,0
1.1778022,0
30.65418,1
30.61604,1
21.681501,0
38.52943,1
33.546654,1
17.738712,0
-7.3260527,0
-0.2866997,0
-17.760008,0
-24.802313,0
-31.09881,0
-32.754295,0
-20.580944,0
-70.52032,0
-59.844845,0
-0.66939634,0
-8.126475,0
6.7617097,0
-7.8303733,0
4.202786,0
2.6240728,0
-24.033653,0
1.5182215,0
24.90464,0
23.765532,0
-15.856593,0
2.5975447,0
5.612434,0
-14.244578,0
-2.3012657,0
-6.4036922,0
14.783891,0
9.468926,0
-8.669955,0
11.224946,0
2.511846,0
7.736575,0
-5.114533,0
8.369316,0
-1.261125,0
-10.977924,0
12.54407,0
6.1559005,0
-6.188867,0
12.053052,0
37.87798,1
-5.49316,0
23.855696,0
8.111181,0
12.732985,0
7.2726035,0
19.054962,0
6.631204,0
12.166628,0
10.3102255,0
3.0283437,0
9.859246,0
-8.7484665,0
3.809483,0
12.397465,0
2.6460652,0
14.464753,0
14.534993,0
6.3232923,0
12.848313,0
2.4340034,0
20.362095,0
6.5181775,0
7.669621,0
6.2182426,0
29.870394,0
22.1121,0
8.766504,0
8.092519,0
13.657236,0
39.72909,1
8.007104,0
-1.2811352,0
1.8400754,0
-1.4199866,0
-15.374612,0
8.204322,0
0.63504535,0
-5.2497087,0
2.6521773,0
-7.2911763,0
-5.5887513,0
-0.15071242,0
21.680157,0
-17.666925,0
5.917402,0
15.0188,0
8.2977705,0
-2.3547425,0
2.3993554,0
2.27593,0
4.4354315,0
2.2367435,0
7.9079514,0
5.5277104,0
-0.20204155,0
0.58160263,0
13.11318,0
11.758507,0
6.6316004,0
-0.0602452,0
1.9798809,0
4.2162585,0
9.700791,0
6.44591,0
9.656917,0
19.276546,0
26.817183,0
33.990772,1
8.755868,0
20.046446,0
-14.197601,0
-30.42252,0
10.36826,0
-14.469995,0
9.22721,0
-10.165624,0
-9.0220175,0
11.969339,0
-25.610937,0
13.314874,0
9.390332,0
3.3623433,0
-8.398998,0
-2.872305,0
-0.5458016,0
9.127421,0
-7.6672807,0
-14.483968,0
3.6716099,0
0.89117056,0
10.3380575,0
-6.149901,0
-8.654475,0
2.8635826,0
-3.3310447,0
5.2737083,0
15.093469,0
17.679747,0
11.073377,0
8.163294,0
-0.38402694,0
-4.595986,0
9.57532,0
-5.7466583,0
6.7879453,0
11.386074,0
-12.362189,0
0.046532944,0
-17.614939,0
7.3358727,0
-15.229122,0
15.514172,0
-5.1682587,0
6.1519694,0
21.256609,0
8.985636,0
16.21685,0
-0.8206777,0
10.501201,0
9.423987,0
9.143897,0
12.108389,0
11.218192,0
8.96184,0
2.2929425,0
14.778274,0
10.041653,0
13.751756,0
-13.597554,0
-1.2297174,0
-4.2558217,0
13.060455,0
1.7479526,0
5.6485248,0
15.136699,0
2.5085592,0
13.773726,0
14.235616,0
14.929497,0
26.329361,0
12.864827,0
11.325465,0
19.842684,0
7.1392436,0
12.130683,0
-3.0321589,0
1.8456389,0
4.440909,0
1.0382634,0
4.6578503,0
-7.320367,0
11.457429,0
4.3363757,0
-6.694584,0
-4.066327,0
1.7789665,0
7.6384377,0
-5.4044766,0
7.085426,0
8.700949,0
7.022174,0
-0.37558693,0
4.522264,0
-9.521615,0
8.491741,0
10.291595,0
11.106011,0
5.1446877,0
6.0464935,0
-0.4631042,0
6.5885396,0
13.418015,0
10.608802,0
6.514279,0
2.7740026,0
-0.91269773,0
13.842461,0
2.1234586,0
6.6722026,0
18.95357,0
4.632786,0
7.284436,0
10.481497,0
8.576364,0
22.662855,0
