synergy,class
5.641286,0
8.084621,0
-6.8483887,0
6.97456,0
-0.8363694,0
-8.262837,0
4.940175,0
-4.813182,0
-9.341997,0
-1.850484,0
28.47155,0
22.296474,0
28.334827,0
30.266457,1
21.453888,0
-5.5544977,0
5.905883,0
-5.8919535,0
-6.0973654,0
-18.124763,0
9.483708,0
0.27970162,0
0.82437384,0
6.7564244,0
1.1544241,0
22.098797,0
0.57292306,0
-12.519749,0
12.512083,0
2.2001815,0
-21.091412,0
7.490199,0
-9.1591,0
-13.391312,0
22.985937,0
-3.0519335,0
-8.66655,0
2.6556442,0
14.828915,0
3.221559,0
11.986464,0
5.479442,0
-11.812275,0
-27.90217,0
31.335484,1
16.123041,0
12.628707,0
9.134044,0
-8.285635,0
-2.3434918,0
-12.235449,0
7.6525187,0
30.64904,1
21.903605,0
23.93205,0
27.403175,0
-6.562367,0
8.288265,0
-6.571703,0
6.8841243,0
4.0856624,0
16.715944,0
12.18778,0
-1.7963222,0
11.685483,0
29.881283,0
48.18289,1
46.21425,1
8.75576,0
23.604324,0
-3.6454196,0
3.697857,0
10.70386,0
41.92267,1
-1.5820533,0
-5.4400406,0
8.37089,0
6.6530657,0
21.185392,0
10.020477,0
13.834021,0
-9.421913,0
-0.15499529,0
-8.486433,0
0.9867538,0
13.534832,0
-2.075661,0
-8.293867,0
5.552148,0
3.4539123,0
8.252163,0
-13.7433195,0
-5.440727,0
2.1336296,0
18.525991,0
22.684969,0
3.9074514,0
8.938375,0
17.02715,0
13.5149,0
17.346203,0
1.6842057,0
1.0350765,0
-0.009817213,0
-1.929835,0
-0.7033607,0
4.3988676,0
-1.2201711,0
9.917352,0
5.7099085,0
12.037966,0
38.909836,1
12.188845,0
-7.7998686,0
-1.4379233,0
3.6581972,0
3.992244,0
29.026142,0
39.021484,1
34.51052,1
11.115339,0
33.412563,1
-0.038796753,0
4.072375,0
-27.697624,0
5.692056,0
-27.093079,0
4.9780107,0
13.508133,0
8.53595,0
-4.448223,0
18.606218,0
-5.0426445,0
2.2556248,0
2.8226311,0
2.2311122,0
6.915173,0
6.418045,0
-5.6985326,0
25.818361,0
0.8862206,0
-3.6326811,0
-9.230777,0
22.254787,0
1.0129558,0
-0.69226253,0
5.46398,0
10.585022,0
10.602858,0
-5.2509675,0
14.765223,0
-1.7134029,0
-6.501744,0
-1.982437,0
12.647286,0
4.340171,0
6.3511806,0
9.299364,0
17.962221,0
4.3701696,0
-7.5661345,0
-2.3058445,0
3.4160695,0
14.930255,0
16.696562,0
3.521262,0
8.3895,0
46.818108,1
49.954926,1
31.19233,1
35.12878,1
-6.5723853,0
-2.3457935,0
2.0890896,0
-5.8758283,0
-1.6145011,0
11.776995,0
9.082442,0
-5.1000814,0
-20.205757,0
41.22528,1
30.031172,1
49.34117,1
29.578163,0
37.02433,1
22.92097,0
31.167763,1
31.097898,1
36.92577,1
2.769932,0
-0.4542893,0
8.050406,0
44.39251,1
-6.0242457,0
21.803743,0
19.24776,0
12.129217,0
1.7946538,0
0.5662209,0
5.046876,0
-2.9496524,0
-1.3321868,0
4.5593357,0
9.233688,0
-27.529305,0
-15.147183,0
-4.642191,0
-24.29487,0
-25.30722,0
-15.820976,0
-11.579429,0
-3.8883255,0
8.360991,0
-6.030596,0
16.07164,0
-6.114786,0
9.29278,0
10.942957,0
-5.2453995,0
41.95793,1
20.884733,0
13.721792,0
7.763369,0
11.884341,0
1.9696165,0
22.524149,0
8.950775,0
3.8089855,0
30.226032,1
11.238171,0
1.7946967,0
7.1725307,0
-3.0900865,0
