synergy,class
33.688038,1
5.2598653,0
16.295559,0
8.723723,0
-16.353024,0
-0.67919093,0
13.835286,0
-8.339353,0
0.16543835,0
-11.571119,0
27.572796,0
-29.543447,0
25.839802,0
1.9984291,0
12.605691,0
-22.043146,0
-24.592196,0
-2.383176,0
14.860283,0
0.12666816,0
91.3995,1
37.61244,1
37.957787,1
21.115126,0
57.032166,1
95.15162,1
65.22404,1
62.25429,1
82.91271,1
69.67888,1
15.032723,0
69.51791,1
-18.678905,0
-27.468964,0
13.724045,0
3.6294048,0
14.560903,0
-1.4102776,0
43.237312,1
15.994735,0
-35.28382,0
-8.107648,0
-28.419737,0
-27.184057,0
-21.06369,0
20.19748,0
19.503431,0
-1.4702189,0
-11.067748,0
-55.52323,0
-1.9256289,0
-15.078402,0
25.777952,0
27.407282,0
26.41104,0
45.01835,1
-43.602886,0
42.555832,1
-22.505335,0
-6.9813943,0
11.521425,0
7.7733665,0
29.093197,0
-56.235283,0
96.228386,1
81.39417,1
32.469738,1
155.68472,1
13.032159,0
5.8919587,0
-42.458027,0
15.818854,0
-10.7528715,0
15.049788,0
-19.189533,0
51.203705,1
-9.482927,0
11.975905,0
-4.4918942,0
-30.417887,0
1.0472801,0
-8.16669,0
-18.08966,0
-9.063679,0
-23.287354,0
-1.608048,0
-15.882123,0
-25.497847,0
-6.5524135,0
-4.7673297,0
15.474991,0
0.091168106,0
22.12021,0
-34.799904,0
13.69685,0
52.809017,1
-15.8427105,0
33.25715,1
11.03746,0
14.586652,0
16.97146,0
39.651306,1
6.024735,0
6.460153,0
49.732563,1
-19.456327,0
-25.52188,0
-29.679007,0
40.412846,1
34.516315,1
15.12659,0
8.673792,0
14.22092,0
13.943604,0
-18.817572,0
14.29061,0
-2.214844,0
59.065277,1
6.558839,0
9.493553,0
15.080314,0
25.06267,0
29.641127,0
3.7066514,0
53.407352,1
49.099953,1
47.270794,1
14.964685,0
60.718468,1
-3.7218294,0
37.137295,1
94.21,1
49.33157,1
40.372124,1
10.581012,0
13.292756,0
14.692433,0
-27.221075,0
33.69813,1
19.722023,0
-8.998904,0
-0.31029445,0
14.547051,0
-29.422144,0
-28.208906,0
5.6488395,0
-66.31922,0
-1.1364868,0
-10.532997,0
30.54801,1
80.32885,1
-26.652945,0
92.54742,1
5.984237,0
-37.40827,0
-12.589731,0
-1.2258761,0
4.1930184,0
-20.327982,0
8.069645,0
-12.996802,0
2.1466272,0
9.779572,0
12.222049,0
0.78524274,0
-4.9426036,0
-11.484817,0
32.43821,1
35.6146,1
0.9942581,0
-11.909581,0
-5.9023967,0
12.6449175,0
14.018362,0
12.69573,0
-33.868103,0
-20.140982,0
46.728783,1
-12.787143,0
18.751722,0
14.859279,0
112.87017,1
29.039972,0
37.924034,1
18.635038,0
55.06461,1
37.734314,1
79.88833,1
33.538918,1
3.1506279,0
-16.463072,0
-6.898323,0
2.3113449,0
36.5658,1
8.885667,0
-15.668364,0
-27.127123,0
25.575773,0
-8.555896,0
-17.89836,0
-8.57545,0
-15.577687,0
-23.045256,0
-3.2598002,0
11.400112,0
-22.347769,0
-9.68735,0
-27.832283,0
9.172587,0
-16.250626,0
-8.740889,0
-6.0687127,0
12.727031,0
27.954912,0
25.905008,0
-37.39099,0
-0.44461566,0
42.51755,1
16.92363,0
39.55323,1
7.994613,0
12.29771,0
29.44826,0
-12.68201,0
41.914692,1
-11.340207,0
-9.188056,0
-30.303331,0
9.374098,0
-8.802302,0
-6.620271,0
-10.770219,0
-36.090836,0
