synergy,class
8.786336,0
3.594255,0
7.5386033,0
-22.287964,0
-8.557215,0
-14.230821,0
-4.832168,0
-3.7641497,0
3.1168664,0
-5.1494308,0
17.488384,0
21.442163,0
21.237526,0
40.81738,1
25.215612,0
-19.098143,0
-21.77346,0
-4.4701257,0
-3.2621694,0
-9.778851,0
-7.2200036,0
-14.157655,0
-10.324,0
0.8823894,0
21.876482,0
1.8694221,0
6.917163,0
2.6990242,0
3.1833262,0
39.86689,1
-14.599838,0
4.5402923,0
-16.276571,0
-10.865574,0
-5.851953,0
-16.312006,0
18.263456,0
0.0754305,0
1.8524123,0
3.7866344,0
-10.443902,0
2.5485287,0
-9.532365,0
-9.443772,0
10.498941,0
-0.0035988241,0
1.465388,0
-2.281313,0
18.40023,0
-7.1990943,0
0.5970708,0
-1.3691715,0
11.983835,0
23.327995,0
3.5741105,0
46.87071,1
-1.2489706,0
-9.253964,0
-1.5882634,0
-1.238078,0
0.07586382,0
-4.172774,0
26.8266,0
12.388872,0
21.299444,0
7.93765,0
5.449405,0
39.376263,1
14.034919,0
18.704233,0
1.7311512,0
7.0195365,0
-0.57697403,0
20.014101,0
-0.31998003,0
27.428963,0
2.5249166,0
33.81259,1
2.6570845,0
20.781889,0
0.049574003,0
3.3946085,0
9.707747,0
-5.0027747,0
-13.556825,0
9.673701,0
6.0411935,0
8.7345915,0
9.121094,0
-7.0998087,0
12.894277,0
3.3057642,0
5.804541,0
-22.44052,0
-5.125471,0
16.595474,0
-6.7887726,0
-2.042319,0
-4.5019326,0
7.234729,0
7.1751266,0
13.75151,0
2.0160332,0
9.555743,0
56.102936,1
17.486326,0
-9.550884,0
-0.82679164,0
-8.083652,0
7.8364415,0
-3.5013406,0
4.5918994,0
-3.5103014,0
6.7866454,0
-9.276021,0
-3.6464713,0
-1.6147116,0
-6.318089,0
15.51862,0
17.99561,0
19.165636,0
28.675108,0
-13.682427,0
-9.869672,0
-4.2816095,0
-11.833493,0
-0.4319054,0
-0.7577456,0
5.6085896,0
6.2025228,0
7.355519,0
11.908999,0
35.12239,1
2.2669506,0
-11.32287,0
-25.395624,0
-2.0223188,0
0.14970933,0
-19.69819,0
-3.0775986,0
-13.459597,0
-8.341933,0
7.776577,0
-8.673022,0
-16.883274,0
1.5715917,0
1.3628517,0
4.194816,0
9.130989,0
3.1930428,0
10.264875,0
-8.548437,0
-20.514767,0
-11.610946,0
-9.288046,0
-5.8389163,0
-6.12458,0
7.0680237,0
-11.304543,0
-0.5999609,0
3.695228,0
-3.9704003,0
19.043348,0
29.283985,0
-16.836493,0
23.19912,0
-4.548011,0
34.75949,1
32.059246,1
24.260645,0
5.657642,0
-11.699522,0
13.421286,0
2.6510992,0
-5.268184,0
-4.5431213,0
-7.926028,0
14.732171,0
5.0731792,0
9.850547,0
6.796593,0
23.895845,0
7.3790627,0
7.94195,0
8.266467,0
38.71129,1
8.051374,0
33.194176,1
15.662487,0
7.2052717,0
8.096722,0
-2.2910376,0
23.499712,0
24.802769,0
6.7983646,0
-23.075296,0
8.306595,0
14.387174,0
7.7183676,0
9.127629,0
1.4885341,0
8.710525,0
-7.184107,0
-10.1576185,0
9.955443,0
-8.395801,0
7.16194,0
0.56635153,0
-4.104378,0
0.42610848,0
2.3547544,0
-0.7283715,0
15.33365,0
9.313609,0
-16.93693,0
-18.976328,0
-9.93378,0
-16.082869,0
-7.9836974,0
8.825362,0
5.281568,0
17.192913,0
-9.156049,0
-9.724838,0
13.343768,0
0.26372945,0
34.87682,1
-9.908046,0
-7.6745963,0
-8.630525,0
-2.6730475,0
-7.4938393,0
-1.8512353,0
