synergy,class
10.941887,0
13.379436,0
29.670664,0
-20.533535,0
29.421236,0
24.45023,0
-3.0011945,0
-6.6902595,0
-9.932018,0
13.865566,0
11.42588,0
12.438081,0
24.138485,0
-5.9562335,0
62.7755,1
35.8129,1
-0.9564386,0
-23.63495,0
9.514244,0
-12.464814,0
-0.39380485,0
0.021482408,0
-26.692005,0
-10.278559,0
-5.6640577,0
-2.93154,0
3.4330955,0
4.5538716,0
3.974969,0
5.131332,0
24.524792,0
1.2808204,0
-2.086187,0
-5.336151,0
6.2300644,0
-6.9258766,0
-7.1964626,0
-8.572056,0
-8.001118,0
-23.645369,0
-33.7521,0
-37.53111,0
-0.301606,0
12.380886,0
16.215807,0
9.60944,0
11.9667845,0
-18.799856,0
-3.5544133,0
-20.58124,0
13.670713,0
-18.82142,0
14.327555,0
-4.1716404,0
-19.472149,0
-2.6121745,0
-15.049458,0
31.692331,1
2.264052,0
26.75722,0
22.073534,0
33.08173,1
32.604534,1
13.363932,0
-3.8538032,0
4.981861,0
0.2204842,0
-2.4568176,0
-18.914675,0
11.416887,0
12.433083,0
-8.608414,0
-7.4680543,0
11.049861,0
-2.9959798,0
31.77916,1
40.967506,1
-3.1174405,0
33.004726,1
-17.683363,0
12.576532,0
31.77308,1
22.723967,0
21.63097,0
21.679384,0
12.799252,0
24.405703,0
6.690451,0
22.045187,0
3.957539,0
27.569633,0
-12.23859,0
13.630205,0
10.560099,0
8.1346655,0
-10.661776,0
-4.7848125,0
-22.556353,0
10.913624,0
-28.896048,0
-18.16254,0
0.3701505,0
12.587,0
-0.5150996,0
2.7390625,0
5.9140153,0
2.4913888,0
-3.3120637,0
-7.028898,0
11.129366,0
-10.52244,0
-21.962017,0
23.979074,0
-5.2134466,0
7.4899645,0
3.2011209,0
1.5805912,0
17.525955,0
25.240057,0
-8.4626875,0
-7.810064,0
10.663932,0
5.925556,0
22.288946,0
17.766798,0
43.679688,1
-2.8739967,0
-0.8752609,0
-1.3188591,0
8.866798,0
-13.157914,0
18.580755,0
4.5044503,0
4.39992,0
19.80782,0
-0.9452215,0
14.122595,0
-3.5564342,0
-10.972184,0
-7.6219664,0
-11.381453,0
-4.3960547,0
-0.15588146,0
2.588438,0
-11.670897,0
-8.051496,0
-2.333097,0
-45.938934,0
-6.8531175,0
-42.733482,0
1.030544,0
-11.384136,0
8.878293,0
5.370808,0
3.4090962,0
-26.555162,0
-0.9514628,0
5.792263,0
-4.077643,0
-1.8394313,0
-3.8349786,0
-7.4781218,0
1.5523858,0
-33.359657,0
-7.8573337,0
-29.607855,0
7.303777,0
-8.4710045,0
6.282544,0
-2.4403396,0
-4.3059564,0
15.381137,0
5.3566046,0
15.481629,0
-27.993624,0
5.971851,0
41.606422,1
8.959032,0
20.72711,0
17.81206,0
-6.528662,0
2.1809335,0
57.729816,1
-16.512985,0
-9.146692,0
-2.2823815,0
-4.60703,0
5.726086,0
4.717525,0
2.3038282,0
-9.156969,0
52.00425,1
-0.8398395,0
36.611717,1
32.28458,1
13.8610325,0
0.064992845,0
25.206636,0
0.44561285,0
1.3131943,0
-14.693789,0
9.69308,0
-15.938234,0
35.43066,1
22.656685,0
18.735622,0
-7.5663724,0
1.5537081,0
8.191972,0
7.0504313,0
-6.754639,0
-9.417534,0
-3.209992,0
15.355657,0
-17.374214,0
-0.6208826,0
-8.026737,0
-20.643656,0
-5.8126726,0
15.937392,0
5.19405,0
-10.003643,0
4.444427,0
-10.005752,0
-16.203663,0
-3.048119,0
-22.590755,0
-0.5103603,0
23.524109,0
4.1706405,0
-11.365762,0
-8.776426,0
25.766298,0
6.0753956,0
-11.800238,0
-15.237838,0
-9.576496,0
16.128056,0
-1.1184492,0
21.242922,0
5.1886697,0
10.350491,0
