synergy,class
-6.128831,0
15.431145,0
12.885241,0
-11.404943,0
7.7374077,0
-0.1822617,0
2.1531074,0
9.463057,0
0.6242206,0
-10.78692,0
24.056253,0
25.787317,0
34.994057,1
30.013977,1
21.778643,0
-14.556457,0
-8.817521,0
-0.31970572,0
-12.813251,0
-17.212126,0
1.6291232,0
-12.214747,0
-5.7727365,0
-25.03261,0
-1.6717637,0
-20.007315,0
-2.0970519,0
-2.1787713,0
-26.345366,0
-9.420531,0
-5.7604046,0
-1.6034701,0
2.455754,0
-6.43616,0
-11.379961,0
-0.41224408,0
0.93128324,0
11.903489,0
20.471697,0
-7.2844925,0
24.028181,0
9.453296,0
21.674965,0
-0.24432874,0
17.891556,0
5.8836784,0
3.788697,0
13.540204,0
24.361881,0
18.723707,0
-5.254628,0
0.97500825,0
15.188737,0
37.713615,1
-0.37350452,0
17.782385,0
2.646485,0
2.0778139,0
5.84099,0
8.781649,0
7.662737,0
-7.1511507,0
-0.7827041,0
12.680385,0
21.908274,0
27.039846,0
34.086178,1
14.756629,0
20.368505,0
19.847216,0
-53.480923,0
28.961983,0
16.025074,0
55.59287,1
9.198571,0
35.183502,1
18.288889,0
13.564086,0
-13.984027,0
-1.2993004,0
-1.9333403,0
-9.642215,0
13.358552,0
7.037237,0
4.615309,0
41.998947,1
6.098426,0
-5.2074804,0
10.016374,0
-2.3677914,0
-2.987798,0
7.376893,0
2.7666657,0
2.948838,0
16.390139,0
-16.210165,0
24.96779,0
3.911328,0
14.348104,0
18.531988,0
18.99281,0
10.141046,0
14.369129,0
2.1570756,0
13.148036,0
8.668103,0
1.8621194,0
10.428905,0
3.7089365,0
-6.336007,0
-2.2277262,0
6.0972357,0
9.9377985,0
12.350465,0
7.698681,0
1.7911603,0
13.598412,0
0.75681233,0
33.09533,1
23.63533,0
26.36254,0
24.532204,0
-3.2178376,0
-2.6813233,0
-6.1920776,0
-2.8855035,0
-1.2408288,0
-25.0477,0
-14.450982,0
-10.19273,0
-30.848238,0
-0.7793267,0
-52.416332,0
-10.514604,0
-2.2102506,0
-10.577584,0
13.476127,0
-0.43944192,0
-3.1259997,0
-11.671197,0
3.2807138,0
0.03973174,0
-8.135526,0
13.91357,0
2.8385627,0
-7.5447273,0
17.975273,0
15.978065,0
5.0556192,0
24.087421,0
12.949787,0
12.257953,0
-7.669503,0
19.25655,0
24.748678,0
16.9807,0
2.9920747,0
5.631488,0
6.7997246,0
2.5120637,0
2.6995866,0
2.3338974,0
16.279142,0
15.223296,0
1.4300964,0
19.281904,0
8.498006,0
36.112415,1
34.17634,1
10.428006,0
23.976952,0
-1.6889546,0
14.671671,0
8.093759,0
8.550872,0
15.248613,0
10.818486,0
19.614603,0
8.520247,0
25.14942,0
21.119923,0
19.722221,0
39.34978,1
19.39872,0
12.981133,0
52.788868,1
39.120106,1
27.04844,0
26.187784,0
10.262927,0
7.5144987,0
15.8527,0
55.95131,1
23.814081,0
-3.5103238,0
15.038812,0
-6.9816523,0
14.176133,0
14.035264,0
15.473666,0
4.540126,0
6.577711,0
3.1468704,0
-3.1553938,0
4.4874573,0
24.27459,0
21.258938,0
3.784787,0
14.482385,0
24.478258,0
22.435408,0
15.634486,0
9.001875,0
-0.20923877,0
-17.832571,0
5.688467,0
-14.129178,0
10.166595,0
12.566537,0
34.697025,1
16.863272,0
2.729697,0
8.672568,0
6.9571075,0
10.861475,0
23.845757,0
27.860155,0
-0.53262544,0
14.777585,0
19.087694,0
1.8157065,0
14.124606,0
8.424944,0
