synergy,class
-11.1603985,0
-8.5977335,0
-31.789343,0
-41.359085,0
8.754364,0
-11.176563,0
-7.4424844,0
13.502424,0
-25.641579,0
-36.010323,0
54.07264,1
103.82993,1
114.31039,1
89.74602,1
101.037315,1
-7.9832845,0
-28.68835,0
-6.0921836,0
-9.109135,0
-37.697525,0
-11.066977,0
-22.649214,0
-26.588242,0
17.825005,0
16.507828,0
-15.16398,0
-13.320211,0
-16.435265,0
-19.024647,0
-11.315573,0
-15.064185,0
-8.744932,0
5.8181415,0
-29.217869,0
-23.49272,0
-30.2426,0
-47.366127,0
-8.703965,0
-11.156434,0
12.713366,0
-18.479273,0
17.29087,0
-27.971045,0
-43.67312,0
15.258257,0
21.8213,0
2.4096332,0
-0.875934,0
4.867637,0
-28.11804,0
-18.79495,0
-1.4317683,0
6.7729897,0
-9.467341,0
-17.731598,0
11.784582,0
21.39465,0
-4.7845597,0
9.205736,0
4.1110373,0
-9.081879,0
-28.914772,0
-3.6618376,0
28.986774,0
20.96954,0
12.445119,0
-4.2264276,0
45.43694,1
-7.0883346,0
24.950008,0
0.6310555,0
-34.141434,0
-22.802204,0
23.362793,0
-11.423583,0
-28.740843,0
-49.799294,0
-12.396838,0
-20.032885,0
-0.52227724,0
-17.248486,0
-25.899672,0
-3.462071,0
-0.0686554,0
-11.8752165,0
17.50064,0
-11.765038,0
4.8357964,0
7.3945823,0
14.234158,0
-14.834028,0
-23.40775,0
37.898193,1
-3.6818738,0
-6.526854,0
11.19543,0
-2.7367892,0
-3.7989755,0
-1.6724571,0
16.721813,0
9.205261,0
15.9473505,0
-5.4005485,0
1.6542565,0
-8.571281,0
-26.394375,0
-2.1340575,0
-5.5447907,0
-4.7604804,0
-10.161612,0
-22.765793,0
-3.6231675,0
-10.734201,0
-33.09497,0
8.288188,0
-7.1363072,0
22.021955,0
77.05419,1
67.604225,1
74.52833,1
121.7496,1
53.525734,1
-21.636173,0
0.34607562,0
-6.3737054,0
-37.342113,0
-31.30286,0
17.997597,0
8.244062,0
4.716929,0
-12.471251,0
6.840014,0
13.063986,0
4.5336823,0
-27.261982,0
-40.542786,0
-23.751612,0
-11.548918,0
-32.489956,0
-12.90247,0
-22.61759,0
-8.869595,0
-42.013584,0
3.0025601,0
8.194577,0
9.673424,0
28.500431,0
17.312752,0
24.587456,0
-3.7813735,0
5.2068553,0
-21.089489,0
-33.247208,0
-52.335693,0
-18.66406,0
-26.786644,0
15.60877,0
-1.3075651,0
-16.62709,0
-21.873852,0
-4.910894,0
-17.044422,0
22.260717,0
-9.35946,0
-10.859715,0
-3.8157105,0
2.0419555,0
-27.378437,0
32.108055,1
23.699411,0
-4.1557455,0
8.628249,0
11.606483,0
3.200747,0
-14.352536,0
19.31952,0
-29.509146,0
-12.289507,0
7.8691154,0
-9.922086,0
19.419682,0
65.17411,1
23.47345,0
31.099766,1
12.773183,0
30.108784,1
-8.277632,0
46.400185,1
33.298065,1
-32.502182,0
16.83841,0
-9.276026,0
21.101246,0
-38.721024,0
-0.48773518,0
-13.989192,0
12.111073,0
-6.7278523,0
107.98066,1
10.319565,0
-2.0741234,0
0.5262333,0
3.361373,0
-25.782362,0
-34.150063,0
-68.98318,0
-45.65232,0
-53.3872,0
-53.909374,0
-55.26937,0
-38.21448,0
-25.477041,0
17.314905,0
53.262245,1
-19.565403,0
-4.57772,0
-1.508653,0
-2.3068433,0
3.538044,0
17.1107,0
8.389433,0
20.856707,0
-5.245109,0
6.6506796,0
14.220714,0
12.480175,0
-5.2845182,0
-0.7497982,0
-26.34277,0
-10.3398,0
9.117196,0
-2.7682414,0
-12.578079,0
