synergy,class
3.0944088,0
7.4004154,0
7.2918553,0
-2.53952,0
9.839018,0
0.103533074,0
22.558693,0
10.608834,0
-13.188051,0
-25.928259,0
32.696175,1
20.249825,0
36.487328,1
17.307352,0
32.177986,1
5.833798,0
-5.9013453,0
-2.403155,0
-5.319654,0
-25.844572,0
20.869732,0
-6.068008,0
1.532265,0
11.1349125,0
18.135826,0
24.709435,0
5.2561073,0
3.4174044,0
21.655039,0
-12.510025,0
5.46149,0
16.39894,0
-7.844341,0
-30.345005,0
2.1937416,0
27.23112,0
-39.23378,0
13.01015,0
12.249529,0
18.102333,0
-2.989042,0
14.017556,0
-9.002817,0
-32.03955,0
3.6255867,0
2.5121634,0
31.163397,1
16.394281,0
9.659512,0
8.168114,0
1.1466105,0
-11.127306,0
6.038133,0
18.773954,0
4.4202065,0
-27.734241,0
8.792107,0
17.02547,0
13.211794,0
37.0534,1
-6.0719047,0
14.326067,0
-20.89785,0
-4.2632594,0
11.190815,0
4.634785,0
20.793993,0
40.31456,1
-0.6334798,0
21.41994,0
6.3066463,0
39.813416,1
28.503368,0
24.553038,0
9.398974,0
40.917374,1
12.721674,0
-7.3441863,0
4.208344,0
2.8974955,0
6.8646646,0
-14.279516,0
5.9132485,0
-7.420011,0
-22.167532,0
7.583133,0
-0.3277852,0
-20.863678,0
21.272488,0
4.2723236,0
13.7432,0
3.3444512,0
10.007738,0
7.672825,0
19.490583,0
32.744713,1
4.1727185,0
15.083784,0
33.018295,1
38.473907,1
17.890629,0
33.29274,1
0.3326066,0
6.615684,0
-4.841192,0
-7.6675,0
10.611132,0
19.699385,0
1.1863859,0
2.5244124,0
-0.81444806,0
8.542492,0
13.433895,0
6.473416,0
9.987899,0
21.846443,0
5.5271144,0
2.9988825,0
14.293028,0
27.261509,0
23.076395,0
35.05964,1
-23.732613,0
25.863527,0
-15.376804,0
-7.2349324,0
-18.330359,0
11.222764,0
10.995894,0
16.810503,0
-1.6082456,0
31.250675,1
-12.419641,0
10.254959,0
14.410551,0
-15.803614,0
0.39848453,0
-10.714621,0
1.0990136,0
12.686671,0
27.466354,0
17.738894,0
-50.85069,0
-2.6755044,0
15.004345,0
16.750988,0
6.3580966,0
16.512386,0
16.127869,0
22.270039,0
53.145195,1
-8.3113575,0
-3.6413343,0
-0.63829964,0
-4.5098586,0
8.311539,0
22.249908,0
34.144115,1
13.803059,0
14.5944,0
7.117479,0
-0.9397194,0
12.951137,0
59.56401,1
-1.9401262,0
-3.7859704,0
-10.348301,0
26.682896,0
22.030586,0
19.150455,0
25.280823,0
17.875834,0
19.691328,0
38.794617,1
7.7943044,0
9.514116,0
-16.405838,0
23.027893,0
-2.9399247,0
-4.833532,0
27.375854,0
39.88598,1
3.9772723,0
26.1374,0
6.6873403,0
27.698822,0
-1.6123712,0
-6.6882987,0
21.75636,0
23.052324,0
16.819347,0
22.69085,0
21.21975,0
29.01708,0
10.250637,0
8.456854,0
0.39616996,0
1.0377257,0
1.342356,0
5.843166,0
-10.246485,0
-0.04851313,0
11.371666,0
4.97333,0
-8.424815,0
-24.430042,0
-18.010906,0
-28.818611,0
-11.262253,0
2.6052802,0
-7.9016557,0
9.502515,0
36.028763,1
15.241817,0
10.679233,0
0.36663848,0
-1.1984861,0
21.792448,0
0.418207,0
23.884056,0
27.964647,0
19.31393,0
23.840748,0
4.2121434,0
35.410976,1
41.552807,1
21.96027,0
9.681008,0
32.766613,1
1.4118712,0
22.743359,0
11.86113,0
20.4637,0
