synergy,class
0.23334002,0
3.1597903,0
-18.8249,0
-29.008434,0
-2.4921463,0
2.6649034,0
11.280229,0
-13.748788,0
8.319673,0
-27.000431,0
45.525738,1
48.20348,1
32.305332,1
41.469677,1
22.309408,0
-11.523464,0
5.934387,0
-9.232577,0
-10.635518,0
-25.039446,0
-31.489538,0
-8.249937,0
-5.8262653,0
-1.2215216,0
-6.884431,0
-16.804089,0
-17.679802,0
-50.75705,0
-35.006626,0
-18.98898,0
-5.127306,0
-24.188448,0
-25.583748,0
-35.542736,0
12.310008,0
-17.606533,0
-20.173817,0
11.622756,0
37.584194,1
15.480244,0
-12.366156,0
5.8179445,0
-16.420372,0
-41.8505,0
4.7322483,0
-16.652237,0
9.306969,0
-4.9973354,0
20.336317,0
12.516182,0
-20.24408,0
5.951063,0
8.179646,0
-9.663967,0
11.404481,0
6.9999056,0
3.8329632,0
25.240463,0
-9.701712,0
8.291326,0
-0.020260096,0
-13.356227,0
-8.089608,0
-4.2332563,0
0.2731557,0
8.731614,0
13.722234,0
3.6452565,0
5.093068,0
17.120083,0
-3.5014608,0
-0.8595171,0
-10.901374,0
17.859062,0
16.947403,0
-32.505367,0
-17.75593,0
17.058325,0
-3.3879306,0
27.089764,0
15.597861,0
-3.6454775,0
10.816768,0
-28.160954,0
-22.616821,0
10.484827,0
1.983815,0
-11.127894,0
-5.4530106,0
2.1183872,0
15.241408,0
-17.5239,0
-12.8219185,0
-21.568281,0
22.165958,0
10.209046,0
-12.859252,0
25.121796,0
13.974555,0
16.90688,0
10.158776,0
1.3523695,0
27.655157,0
6.7101107,0
11.664251,0
-13.225741,0
-5.8716927,0
1.6691811,0
19.676228,0
1.3331239,0
-6.2240973,0
14.752449,0
-10.773884,0
-19.600447,0
-3.0380607,0
9.553473,0
1.4526663,0
20.620712,0
30.96542,1
39.617825,1
11.439964,0
28.700699,0
-15.42169,0
7.5146933,0
-10.5601225,0
-19.56444,0
-23.668928,0
-1.4718804,0
-8.024332,0
8.115623,0
-21.953175,0
8.398142,0
-36.372143,0
-19.223064,0
-10.24187,0
-25.469477,0
14.440799,0
-26.953308,0
-4.343917,0
14.572452,0
-17.043152,0
-18.48062,0
-30.351233,0
43.49501,1
31.49731,1
14.177459,0
1.5094779,0
10.09578,0
19.153292,0
-4.212846,0
27.348381,0
-22.4867,0
-17.736462,0
-10.83059,0
-3.3890076,0
-11.422856,0
3.155205,0
10.31249,0
-4.0592194,0
-2.0517435,0
-3.1334107,0
5.806161,0
4.3143005,0
9.827657,0
28.226114,0
29.776718,0
10.542371,0
36.51028,1
28.265522,0
17.010208,0
9.685111,0
13.387279,0
10.015422,0
14.497716,0
6.944251,0
-6.3027678,0
-3.0243313,0
-3.784048,0
-7.1126413,0
-46.211704,0
10.3686695,0
12.431562,0
11.522785,0
14.071601,0
7.636059,0
23.936451,0
-3.170667,0
17.784922,0
19.765726,0
19.172096,0
-19.232618,0
2.6754367,0
24.36699,0
-34.56899,0
17.488283,0
15.457635,0
16.25927,0
15.050168,0
13.693878,0
15.411301,0
-5.771928,0
-17.052237,0
-2.9420068,0
-22.669163,0
-5.9530706,0
-44.2466,0
-19.784355,0
-62.43617,0
-44.865463,0
-47.609596,0
-36.139534,0
-23.648266,0
23.508274,0
-9.722367,0
-23.77681,0
-15.221576,0
-4.653328,0
29.488169,0
0.013638258,0
26.746624,0
40.379063,1
21.65071,0
31.659355,1
2.7073119,0
1.9041064,0
11.915805,0
-5.7890024,0
-7.9796495,0
4.049945,0
-0.53527236,0
-27.660112,0
-7.923811,0
0.13525128,0
