,drug_a_name,drug_b_name,cell_line,synergy
2,5-FU,ABT-888,A375,-1.1985054379
41,5-FU,AZD1775,A375,2.7051275464
80,5-FU,BEZ-235,A375,3.2905479611
119,5-FU,BORTEZOMIB,A375,-2.4053347825
158,5-FU,DASATINIB,A375,2.6836891586
197,5-FU,DINACICLIB,A375,-5.4159342011
236,5-FU,ERLOTINIB,A375,13.9643924282
275,5-FU,GELDANAMYCIN,A375,7.160975098
314,5-FU,L778123,A375,7.632943657899999
353,5-FU,LAPATINIB,A375,7.497787303
392,5-FU,MK-2206,A375,1.4627542044
431,5-FU,MK-4827,A375,-2.1913568907
470,5-FU,MK-5108,A375,8.9984383656
509,5-FU,MK-8669,A375,12.762759503800002
549,5-FU,MK-8776,A375,21.5828402766
550,5-FU,MK-8776,A375,22.6118325467
602,5-FU,PD325901,A375,-1.7928723116999998
641,5-FU,SORAFENIB,A375,1.3124466837
680,5-FU,SUNITINIB,A375,7.351048596900001
719,5-FU,TEMOZOLOMIDE,A375,-15.9833359407
758,5-FU,ZOLINZA,A375,0.369467134
797,ABT-888,BEZ-235,A375,26.7770275075
836,ABT-888,DINACICLIB,A375,3.9088070938999997
875,ABT-888,GELDANAMYCIN,A375,11.680039266300001
914,ABT-888,MK-8669,A375,0.8770548695999999
953,ABT-888,MK-8776,A375,1.3946229303
992,ABT-888,OXALIPLATIN,A375,-9.9987753767
1031,ABT-888,SN-38,A375,29.4591595834
1070,ABT-888,SORAFENIB,A375,16.6695455553
1109,ABT-888,TOPOTECAN,A375,-30.0524213249
1148,AZD1775,ABT-888,A375,8.023713644299999
1188,AZD1775,BEZ-235,A375,62.9833248437
1189,AZD1775,BEZ-235,A375,40.2897904912
1241,AZD1775,BORTEZOMIB,A375,1.6027815021
1281,AZD1775,DASATINIB,A375,65.9692879548
1282,AZD1775,DASATINIB,A375,60.7280394883
1334,AZD1775,DINACICLIB,A375,7.0115549701
1373,AZD1775,ERLOTINIB,A375,16.1811406649
1412,AZD1775,GELDANAMYCIN,A375,18.7418812737
1451,AZD1775,LAPATINIB,A375,21.2157935957
1490,AZD1775,MK-2206,A375,22.726135800700003
1529,AZD1775,MK-4827,A375,20.430246006500003
1568,AZD1775,MK-5108,A375,2.5989300632
1607,AZD1775,MK-8669,A375,42.600219132
1647,AZD1775,MK-8776,A375,71.7591775393
1648,AZD1775,MK-8776,A375,62.177991421499996
1700,AZD1775,OXALIPLATIN,A375,-1.3741975562
1739,AZD1775,PD325901,A375,14.748084005299999
1778,AZD1775,SN-38,A375,8.0208771168
1817,AZD1775,SORAFENIB,A375,4.731100223
1856,AZD1775,TOPOTECAN,A375,-3.3861477696
1895,BEZ-235,DINACICLIB,A375,10.5437612034
1934,BEZ-235,MK-8776,A375,84.8779640882
1973,BEZ-235,OXALIPLATIN,A375,8.756118775700001
2012,BEZ-235,SN-38,A375,29.911500993
2051,BEZ-235,SORAFENIB,A375,7.8115728814
2090,BORTEZOMIB,ABT-888,A375,15.1176727982
2129,BORTEZOMIB,BEZ-235,A375,20.4976857403
2168,BORTEZOMIB,DASATINIB,A375,24.4102754975
2207,BORTEZOMIB,DINACICLIB,A375,-9.0217212589
2246,BORTEZOMIB,GELDANAMYCIN,A375,9.4534861944
2285,BORTEZOMIB,MK-8669,A375,-23.3265933204
2324,BORTEZOMIB,MK-8776,A375,0.19422864469999998
2363,BORTEZOMIB,OXALIPLATIN,A375,-14.396879009300001
2402,BORTEZOMIB,SN-38,A375,26.754788090500004
2441,BORTEZOMIB,SORAFENIB,A375,-1.5107916969
2480,BORTEZOMIB,TOPOTECAN,A375,-52.7833151416
2519,CARBOPLATIN,ABT-888,A375,5.9307290554
2558,CARBOPLATIN,AZD1775,A375,7.139264872899999
2597,CARBOPLATIN,BEZ-235,A375,61.5926017591
2636,CARBOPLATIN,BORTEZOMIB,A375,27.0771495696
2675,CARBOPLATIN,DASATINIB,A375,12.763253786199998
2714,CARBOPLATIN,DINACICLIB,A375,0.6980946253
2753,CARBOPLATIN,ERLOTINIB,A375,11.1219098079
2792,CARBOPLATIN,GELDANAMYCIN,A375,8.8815365149
2831,CARBOPLATIN,L778123,A375,-2.3019537329
2870,CARBOPLATIN,LAPATINIB,A375,7.3668116315
2909,CARBOPLATIN,MK-2206,A375,20.229156559
2948,CARBOPLATIN,MK-4827,A375,0.520762264
2987,CARBOPLATIN,MK-5108,A375,16.6634105082
3026,CARBOPLATIN,MK-8669,A375,27.267324402600003
3065,CARBOPLATIN,MK-8776,A375,17.2260587438
3104,CARBOPLATIN,PD325901,A375,6.379132885900001
3143,CARBOPLATIN,SORAFENIB,A375,-7.882448899299999
3182,CARBOPLATIN,SUNITINIB,A375,12.4945771951
3221,CARBOPLATIN,TEMOZOLOMIDE,A375,-20.9191952213
3260,CARBOPLATIN,ZOLINZA,A375,17.9551322752
3299,CYCLOPHOSPHAMIDE,ABT-888,A375,1.0742758099
3338,CYCLOPHOSPHAMIDE,AZD1775,A375,1.9472861080000001
3377,CYCLOPHOSPHAMIDE,BEZ-235,A375,12.8445701548
3416,CYCLOPHOSPHAMIDE,BORTEZOMIB,A375,28.5770741544
3455,CYCLOPHOSPHAMIDE,DASATINIB,A375,-7.039252512999999
3494,CYCLOPHOSPHAMIDE,DINACICLIB,A375,10.3527619354
3533,CYCLOPHOSPHAMIDE,ERLOTINIB,A375,-4.2310484029
3572,CYCLOPHOSPHAMIDE,GELDANAMYCIN,A375,-8.5901180034
3611,CYCLOPHOSPHAMIDE,L778123,A375,9.2078595148
3650,CYCLOPHOSPHAMIDE,LAPATINIB,A375,-10.0421377916
3689,CYCLOPHOSPHAMIDE,MK-2206,A375,11.121446603299999
3728,CYCLOPHOSPHAMIDE,MK-4827,A375,-1.3281212222
3767,CYCLOPHOSPHAMIDE,MK-5108,A375,14.2977377908
3806,CYCLOPHOSPHAMIDE,MK-8669,A375,17.9412143209
3845,CYCLOPHOSPHAMIDE,MK-8776,A375,11.8878065271
3884,CYCLOPHOSPHAMIDE,PD325901,A375,-2.1504430519
3923,CYCLOPHOSPHAMIDE,SORAFENIB,A375,13.838478175599999
3962,CYCLOPHOSPHAMIDE,SUNITINIB,A375,8.3621193843
4001,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A375,12.083658363800001
4040,CYCLOPHOSPHAMIDE,ZOLINZA,A375,11.132724726700001
4079,DASATINIB,ABT-888,A375,4.7288859776
4118,DASATINIB,BEZ-235,A375,64.9287044341
4157,DASATINIB,DINACICLIB,A375,1.8538399369
4196,DASATINIB,GELDANAMYCIN,A375,47.0725127553
4235,DASATINIB,MK-8669,A375,59.738895234
4275,DASATINIB,MK-8776,A375,102.6390944991
4276,DASATINIB,MK-8776,A375,109.9421862591
4328,DASATINIB,OXALIPLATIN,A375,-13.4034577863
4367,DASATINIB,SN-38,A375,29.773970062600004
4406,DASATINIB,SORAFENIB,A375,29.9038525247
4445,DASATINIB,TOPOTECAN,A375,-2.776096294
4484,DEXAMETHASONE,ABT-888,A375,-0.5252816811
4523,DEXAMETHASONE,AZD1775,A375,8.7194559775
4562,DEXAMETHASONE,BEZ-235,A375,10.1112622663
4601,DEXAMETHASONE,BORTEZOMIB,A375,19.539830261600002
4640,DEXAMETHASONE,DASATINIB,A375,38.483302913
4679,DEXAMETHASONE,DINACICLIB,A375,3.8718090131
4718,DEXAMETHASONE,ERLOTINIB,A375,-1.7708371853
4757,DEXAMETHASONE,GELDANAMYCIN,A375,1.4380934904
4796,DEXAMETHASONE,L778123,A375,6.293948225299999
4835,DEXAMETHASONE,LAPATINIB,A375,-5.107578959
4874,DEXAMETHASONE,MK-2206,A375,13.255600973499998
4913,DEXAMETHASONE,MK-4827,A375,-2.1087745728
4952,DEXAMETHASONE,MK-5108,A375,12.3794831453
4991,DEXAMETHASONE,MK-8669,A375,12.392000899000001
5030,DEXAMETHASONE,MK-8776,A375,16.5519179524
5069,DEXAMETHASONE,PD325901,A375,13.387950173299998
5108,DEXAMETHASONE,SORAFENIB,A375,15.866552733499999
5147,DEXAMETHASONE,SUNITINIB,A375,20.163571048599998
5186,DEXAMETHASONE,TEMOZOLOMIDE,A375,-1.5948956105
5225,DEXAMETHASONE,ZOLINZA,A375,10.964686779900001
5264,DINACICLIB,MK-8776,A375,30.1289400935
5303,DOXORUBICIN,ABT-888,A375,8.4698197818
5342,DOXORUBICIN,AZD1775,A375,9.3738812943
5381,DOXORUBICIN,BEZ-235,A375,32.2727845871
5420,DOXORUBICIN,BORTEZOMIB,A375,-12.524966792799999
5459,DOXORUBICIN,DASATINIB,A375,0.8679373279000001
5498,DOXORUBICIN,DINACICLIB,A375,-8.5742669617
5537,DOXORUBICIN,ERLOTINIB,A375,-5.409191441900001
5576,DOXORUBICIN,GELDANAMYCIN,A375,-6.025828119
5615,DOXORUBICIN,L778123,A375,0.7977767213
5654,DOXORUBICIN,LAPATINIB,A375,0.073426116
5693,DOXORUBICIN,MK-2206,A375,22.1425892281
5732,DOXORUBICIN,MK-4827,A375,-4.1413018168
5771,DOXORUBICIN,MK-5108,A375,-5.0464131469
5810,DOXORUBICIN,MK-8669,A375,14.9356869405
5849,DOXORUBICIN,MK-8776,A375,25.2699043191
5888,DOXORUBICIN,PD325901,A375,5.1968253643
5927,DOXORUBICIN,SORAFENIB,A375,-46.046241357700005
5966,DOXORUBICIN,SUNITINIB,A375,-31.965884845300003
6005,DOXORUBICIN,TEMOZOLOMIDE,A375,-5.9171228747
6044,DOXORUBICIN,ZOLINZA,A375,12.8545939377
6083,ERLOTINIB,ABT-888,A375,-1.8874765728999998
6122,ERLOTINIB,BEZ-235,A375,32.7913822175
6161,ERLOTINIB,BORTEZOMIB,A375,25.53971155
6200,ERLOTINIB,DASATINIB,A375,4.7719593541
6239,ERLOTINIB,DINACICLIB,A375,9.0423905533
6278,ERLOTINIB,GELDANAMYCIN,A375,36.1875615636
6317,ERLOTINIB,MK-8669,A375,56.664912073800004
6356,ERLOTINIB,MK-8776,A375,37.7499595185
6395,ERLOTINIB,OXALIPLATIN,A375,-4.012613437
6434,ERLOTINIB,PD325901,A375,26.8503582625
6473,ERLOTINIB,SN-38,A375,33.428784156199995
6512,ERLOTINIB,SORAFENIB,A375,17.3204330647
6551,ERLOTINIB,TOPOTECAN,A375,25.4402594168
6590,ETOPOSIDE,ABT-888,A375,1.3139972429
6629,ETOPOSIDE,AZD1775,A375,19.2446662127
6668,ETOPOSIDE,BEZ-235,A375,31.9971136787
6707,ETOPOSIDE,BORTEZOMIB,A375,-9.8287409816
6746,ETOPOSIDE,DASATINIB,A375,33.1108058978
6785,ETOPOSIDE,DINACICLIB,A375,-122.77180516850001
6824,ETOPOSIDE,ERLOTINIB,A375,34.508237285
6863,ETOPOSIDE,GELDANAMYCIN,A375,1.2453632657
