,drug_a_name,drug_b_name,cell_line,synergy
4,5-FU,ABT-888,CAOV3,-5.1399712212
43,5-FU,AZD1775,CAOV3,23.9861795387
82,5-FU,BEZ-235,CAOV3,4.4325063513
121,5-FU,BORTEZOMIB,CAOV3,-35.2730418424
160,5-FU,DASATINIB,CAOV3,17.8798317329
199,5-FU,DINACICLIB,CAOV3,-14.347425890899999
238,5-FU,ERLOTINIB,CAOV3,-7.9516351685
277,5-FU,GELDANAMYCIN,CAOV3,-12.9867067055
316,5-FU,L778123,CAOV3,-11.2445613151
355,5-FU,LAPATINIB,CAOV3,-6.7775280299
394,5-FU,MK-2206,CAOV3,41.069141780500004
433,5-FU,MK-4827,CAOV3,-3.7460101438
472,5-FU,MK-5108,CAOV3,-13.041340690999998
511,5-FU,MK-8669,CAOV3,8.763442761
553,5-FU,MK-8776,CAOV3,58.1187865941
554,5-FU,MK-8776,CAOV3,56.088325369799996
604,5-FU,PD325901,CAOV3,-1.1278026191
643,5-FU,SORAFENIB,CAOV3,-16.672203421400003
682,5-FU,SUNITINIB,CAOV3,5.0921362527
721,5-FU,TEMOZOLOMIDE,CAOV3,-35.660634073699995
760,5-FU,ZOLINZA,CAOV3,-3.5185375031
799,ABT-888,BEZ-235,CAOV3,48.319969096099996
838,ABT-888,DINACICLIB,CAOV3,8.436597287
877,ABT-888,GELDANAMYCIN,CAOV3,16.7029632959
916,ABT-888,MK-8669,CAOV3,21.2772500899
955,ABT-888,MK-8776,CAOV3,9.641087937
994,ABT-888,OXALIPLATIN,CAOV3,0.40505055310000004
1033,ABT-888,SN-38,CAOV3,41.8226136291
1072,ABT-888,SORAFENIB,CAOV3,-2.1727230367
1111,ABT-888,TOPOTECAN,CAOV3,3.218307642
1150,AZD1775,ABT-888,CAOV3,0.5966947646999999
1192,AZD1775,BEZ-235,CAOV3,20.0363787919
1193,AZD1775,BEZ-235,CAOV3,21.4552765042
1243,AZD1775,BORTEZOMIB,CAOV3,-20.0355545093
1285,AZD1775,DASATINIB,CAOV3,16.8085382513
1286,AZD1775,DASATINIB,CAOV3,24.1684102618
1336,AZD1775,DINACICLIB,CAOV3,-21.7614501444
1375,AZD1775,ERLOTINIB,CAOV3,23.6353128218
1414,AZD1775,GELDANAMYCIN,CAOV3,1.5556198912
1453,AZD1775,LAPATINIB,CAOV3,29.9077838081
1492,AZD1775,MK-2206,CAOV3,23.9412647057
1531,AZD1775,MK-4827,CAOV3,-0.7440299043
1570,AZD1775,MK-5108,CAOV3,-7.5355260601
1609,AZD1775,MK-8669,CAOV3,21.9047053575
1651,AZD1775,MK-8776,CAOV3,19.7151303346
1652,AZD1775,MK-8776,CAOV3,22.371787489099997
1702,AZD1775,OXALIPLATIN,CAOV3,2.8658706795
1741,AZD1775,PD325901,CAOV3,21.0033180745
1780,AZD1775,SN-38,CAOV3,-4.1036019467000004
1819,AZD1775,SORAFENIB,CAOV3,-6.223262590399999
1858,AZD1775,TOPOTECAN,CAOV3,3.2379701661
1897,BEZ-235,DINACICLIB,CAOV3,6.064544121900001
1936,BEZ-235,MK-8776,CAOV3,37.3785736866
1975,BEZ-235,OXALIPLATIN,CAOV3,12.9960234608
2014,BEZ-235,SN-38,CAOV3,11.924871224
2053,BEZ-235,SORAFENIB,CAOV3,-0.1364270342
2092,BORTEZOMIB,ABT-888,CAOV3,28.910842626599997
2131,BORTEZOMIB,BEZ-235,CAOV3,-2.713845115
2170,BORTEZOMIB,DASATINIB,CAOV3,-2.1258635801
2209,BORTEZOMIB,DINACICLIB,CAOV3,-23.152255799000002
2248,BORTEZOMIB,GELDANAMYCIN,CAOV3,-20.8549146767
2287,BORTEZOMIB,MK-8669,CAOV3,0.08557831390000001
2326,BORTEZOMIB,MK-8776,CAOV3,-15.7578194883
2365,BORTEZOMIB,OXALIPLATIN,CAOV3,-35.3204649086
2404,BORTEZOMIB,SN-38,CAOV3,-36.2108951928
2443,BORTEZOMIB,SORAFENIB,CAOV3,-32.2038816843
2482,BORTEZOMIB,TOPOTECAN,CAOV3,-3.8963995755000003
2521,CARBOPLATIN,ABT-888,CAOV3,-1.5051828683000001
2560,CARBOPLATIN,AZD1775,CAOV3,4.213649268
2599,CARBOPLATIN,BEZ-235,CAOV3,26.1742320848
2638,CARBOPLATIN,BORTEZOMIB,CAOV3,-43.53796853520001
2677,CARBOPLATIN,DASATINIB,CAOV3,27.8909526877
2716,CARBOPLATIN,DINACICLIB,CAOV3,-24.8267041532
2755,CARBOPLATIN,ERLOTINIB,CAOV3,5.1706058901
2794,CARBOPLATIN,GELDANAMYCIN,CAOV3,11.847836036199999
2833,CARBOPLATIN,L778123,CAOV3,-6.0648864867
2872,CARBOPLATIN,LAPATINIB,CAOV3,-2.549850481
2911,CARBOPLATIN,MK-2206,CAOV3,46.600766641499995
2950,CARBOPLATIN,MK-4827,CAOV3,-0.9104212264
2989,CARBOPLATIN,MK-5108,CAOV3,-20.165844648
3028,CARBOPLATIN,MK-8669,CAOV3,23.4039728118
3067,CARBOPLATIN,MK-8776,CAOV3,35.1544629996
3106,CARBOPLATIN,PD325901,CAOV3,4.0709906002
3145,CARBOPLATIN,SORAFENIB,CAOV3,-47.1610921362
3184,CARBOPLATIN,SUNITINIB,CAOV3,6.4858736012
3223,CARBOPLATIN,TEMOZOLOMIDE,CAOV3,-36.361160693
3262,CARBOPLATIN,ZOLINZA,CAOV3,15.0943624571
3301,CYCLOPHOSPHAMIDE,ABT-888,CAOV3,8.935876992799999
3340,CYCLOPHOSPHAMIDE,AZD1775,CAOV3,0.821727911
3379,CYCLOPHOSPHAMIDE,BEZ-235,CAOV3,25.734269031999997
3418,CYCLOPHOSPHAMIDE,BORTEZOMIB,CAOV3,-36.6541399244
3457,CYCLOPHOSPHAMIDE,DASATINIB,CAOV3,2.1477208166
3496,CYCLOPHOSPHAMIDE,DINACICLIB,CAOV3,-17.6039077101
3535,CYCLOPHOSPHAMIDE,ERLOTINIB,CAOV3,-4.0870854192
3574,CYCLOPHOSPHAMIDE,GELDANAMYCIN,CAOV3,-6.541062748200001
3613,CYCLOPHOSPHAMIDE,L778123,CAOV3,1.2055952788
3652,CYCLOPHOSPHAMIDE,LAPATINIB,CAOV3,12.776364653699998
3691,CYCLOPHOSPHAMIDE,MK-2206,CAOV3,23.472132433899997
3730,CYCLOPHOSPHAMIDE,MK-4827,CAOV3,6.3300504211
3769,CYCLOPHOSPHAMIDE,MK-5108,CAOV3,11.7040752403
3808,CYCLOPHOSPHAMIDE,MK-8669,CAOV3,15.457627231099998
3847,CYCLOPHOSPHAMIDE,MK-8776,CAOV3,-2.2130133354
3886,CYCLOPHOSPHAMIDE,PD325901,CAOV3,31.652454949099997
3925,CYCLOPHOSPHAMIDE,SORAFENIB,CAOV3,5.6435379616
3964,CYCLOPHOSPHAMIDE,SUNITINIB,CAOV3,6.4071943285
4003,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,CAOV3,-51.8573878635
4042,CYCLOPHOSPHAMIDE,ZOLINZA,CAOV3,32.8981365306
4081,DASATINIB,ABT-888,CAOV3,7.183678229600001
4120,DASATINIB,BEZ-235,CAOV3,42.7714322916
4159,DASATINIB,DINACICLIB,CAOV3,11.5714582805
4198,DASATINIB,GELDANAMYCIN,CAOV3,-24.224895727699998
4237,DASATINIB,MK-8669,CAOV3,27.5371643758
4279,DASATINIB,MK-8776,CAOV3,33.0323102246
4280,DASATINIB,MK-8776,CAOV3,36.9602762874
4330,DASATINIB,OXALIPLATIN,CAOV3,3.6564442339
4369,DASATINIB,SN-38,CAOV3,20.119788499400002
4408,DASATINIB,SORAFENIB,CAOV3,5.1456012913
4447,DASATINIB,TOPOTECAN,CAOV3,11.107890135999998
4486,DEXAMETHASONE,ABT-888,CAOV3,-0.8720174143000001
4525,DEXAMETHASONE,AZD1775,CAOV3,12.862347374
4564,DEXAMETHASONE,BEZ-235,CAOV3,45.773640668599995
4603,DEXAMETHASONE,BORTEZOMIB,CAOV3,-13.448022958800001
4642,DEXAMETHASONE,DASATINIB,CAOV3,52.081510882799996
4681,DEXAMETHASONE,DINACICLIB,CAOV3,1.7341540331
4720,DEXAMETHASONE,ERLOTINIB,CAOV3,42.9574310367
4759,DEXAMETHASONE,GELDANAMYCIN,CAOV3,-8.4232461218
4798,DEXAMETHASONE,L778123,CAOV3,31.4801692902
4837,DEXAMETHASONE,LAPATINIB,CAOV3,50.782082036700004
4876,DEXAMETHASONE,MK-2206,CAOV3,64.46033017090001
4915,DEXAMETHASONE,MK-4827,CAOV3,13.1809377346
4954,DEXAMETHASONE,MK-5108,CAOV3,24.5285483166
4993,DEXAMETHASONE,MK-8669,CAOV3,47.680293420299996
5032,DEXAMETHASONE,MK-8776,CAOV3,38.3181440993
5071,DEXAMETHASONE,PD325901,CAOV3,59.637896553900006
5110,DEXAMETHASONE,SORAFENIB,CAOV3,24.4771437356
5149,DEXAMETHASONE,SUNITINIB,CAOV3,14.285660634100001
5188,DEXAMETHASONE,TEMOZOLOMIDE,CAOV3,-54.6542333996
5227,DEXAMETHASONE,ZOLINZA,CAOV3,21.1187293732
5266,DINACICLIB,MK-8776,CAOV3,-23.0551863012
5305,DOXORUBICIN,ABT-888,CAOV3,9.1255810644
5344,DOXORUBICIN,AZD1775,CAOV3,1.3285156799
