,drug_a_name,drug_b_name,cell_line,synergy
5,5-FU,ABT-888,COLO320DM,4.1759364346
44,5-FU,AZD1775,COLO320DM,9.3986845957
83,5-FU,BEZ-235,COLO320DM,15.6281477403
122,5-FU,BORTEZOMIB,COLO320DM,-10.9704461582
161,5-FU,DASATINIB,COLO320DM,6.4670310089
200,5-FU,DINACICLIB,COLO320DM,4.8075500511
239,5-FU,ERLOTINIB,COLO320DM,22.1679734087
278,5-FU,GELDANAMYCIN,COLO320DM,7.231877045399999
317,5-FU,L778123,COLO320DM,17.7504354548
356,5-FU,LAPATINIB,COLO320DM,3.2093461762
395,5-FU,MK-2206,COLO320DM,23.4842071652
434,5-FU,MK-4827,COLO320DM,7.4138771847000005
473,5-FU,MK-5108,COLO320DM,12.5842536583
512,5-FU,MK-8669,COLO320DM,9.3980636548
555,5-FU,MK-8776,COLO320DM,13.1309407525
556,5-FU,MK-8776,COLO320DM,2.1207950231
605,5-FU,PD325901,COLO320DM,3.6824831827
644,5-FU,SORAFENIB,COLO320DM,3.4073460612
683,5-FU,SUNITINIB,COLO320DM,14.823024263699999
722,5-FU,TEMOZOLOMIDE,COLO320DM,8.6226783013
761,5-FU,ZOLINZA,COLO320DM,5.375445156900001
800,ABT-888,BEZ-235,COLO320DM,23.5528962067
839,ABT-888,DINACICLIB,COLO320DM,4.9207349958
878,ABT-888,GELDANAMYCIN,COLO320DM,0.48637996229999997
917,ABT-888,MK-8669,COLO320DM,-5.4884612382
956,ABT-888,MK-8776,COLO320DM,7.7577087959
995,ABT-888,OXALIPLATIN,COLO320DM,3.9699093101
1034,ABT-888,SN-38,COLO320DM,8.3410749814
1073,ABT-888,SORAFENIB,COLO320DM,4.6002224021
1112,ABT-888,TOPOTECAN,COLO320DM,-9.6090362975
1151,AZD1775,ABT-888,COLO320DM,2.2816662041
1194,AZD1775,BEZ-235,COLO320DM,14.0915994362
1195,AZD1775,BEZ-235,COLO320DM,7.4496699686
1244,AZD1775,BORTEZOMIB,COLO320DM,-34.7287002331
1287,AZD1775,DASATINIB,COLO320DM,8.1115086444
1288,AZD1775,DASATINIB,COLO320DM,7.788748999299999
1337,AZD1775,DINACICLIB,COLO320DM,-5.7323399788
1376,AZD1775,ERLOTINIB,COLO320DM,-1.1704951773
1415,AZD1775,GELDANAMYCIN,COLO320DM,5.9643788463
1454,AZD1775,LAPATINIB,COLO320DM,2.7637967430000003
1493,AZD1775,MK-2206,COLO320DM,8.2210270528
1532,AZD1775,MK-4827,COLO320DM,-1.6474025499
1571,AZD1775,MK-5108,COLO320DM,4.2382752782
1610,AZD1775,MK-8669,COLO320DM,10.5701294468
1653,AZD1775,MK-8776,COLO320DM,34.4856282848
1654,AZD1775,MK-8776,COLO320DM,37.4259038189
1703,AZD1775,OXALIPLATIN,COLO320DM,-2.4087131300999998
1742,AZD1775,PD325901,COLO320DM,7.104499940399999
1781,AZD1775,SN-38,COLO320DM,3.0467332432
1820,AZD1775,SORAFENIB,COLO320DM,-5.1411980451999995
1859,AZD1775,TOPOTECAN,COLO320DM,3.2374166405
1898,BEZ-235,DINACICLIB,COLO320DM,28.298359327199996
1937,BEZ-235,MK-8776,COLO320DM,20.1605997465
1976,BEZ-235,OXALIPLATIN,COLO320DM,15.672198192
2015,BEZ-235,SN-38,COLO320DM,27.1524512166
2054,BEZ-235,SORAFENIB,COLO320DM,11.7513075236
2093,BORTEZOMIB,ABT-888,COLO320DM,-13.5768317892
2132,BORTEZOMIB,BEZ-235,COLO320DM,-4.7741260385
2171,BORTEZOMIB,DASATINIB,COLO320DM,-11.5318641829
2210,BORTEZOMIB,DINACICLIB,COLO320DM,-35.6137879438
2249,BORTEZOMIB,GELDANAMYCIN,COLO320DM,3.4054397518
2288,BORTEZOMIB,MK-8669,COLO320DM,-17.3446431908
2327,BORTEZOMIB,MK-8776,COLO320DM,-29.641257343099998
2366,BORTEZOMIB,OXALIPLATIN,COLO320DM,-9.6706862542
2405,BORTEZOMIB,SN-38,COLO320DM,-1.909821882
2444,BORTEZOMIB,SORAFENIB,COLO320DM,-19.2673570424
2483,BORTEZOMIB,TOPOTECAN,COLO320DM,-11.9653442483
2522,CARBOPLATIN,ABT-888,COLO320DM,15.367005616199998
2561,CARBOPLATIN,AZD1775,COLO320DM,0.5757722338
2600,CARBOPLATIN,BEZ-235,COLO320DM,27.947123779200002
2639,CARBOPLATIN,BORTEZOMIB,COLO320DM,-5.959322977
