,drug_a_name,drug_b_name,cell_line,synergy
10,5-FU,ABT-888,HT144,-3.7013547459
49,5-FU,AZD1775,HT144,6.0653890015
88,5-FU,BEZ-235,HT144,2.3230897887
127,5-FU,BORTEZOMIB,HT144,-14.5697825802
166,5-FU,DASATINIB,HT144,-22.973278118400003
205,5-FU,DINACICLIB,HT144,-3.4774222173
244,5-FU,ERLOTINIB,HT144,9.5594532711
283,5-FU,GELDANAMYCIN,HT144,5.3722158878999995
322,5-FU,L778123,HT144,0.19775362789999998
361,5-FU,LAPATINIB,HT144,4.670574992300001
400,5-FU,MK-2206,HT144,2.0214349365
439,5-FU,MK-4827,HT144,-2.5727064212
478,5-FU,MK-5108,HT144,0.7960237066
517,5-FU,MK-8669,HT144,4.9157412874
564,5-FU,MK-8776,HT144,3.3707291943
610,5-FU,PD325901,HT144,9.118873978
649,5-FU,SORAFENIB,HT144,4.4595025987
688,5-FU,SUNITINIB,HT144,4.6773891182
727,5-FU,TEMOZOLOMIDE,HT144,-24.2865179978
766,5-FU,ZOLINZA,HT144,-4.394725665899999
805,ABT-888,BEZ-235,HT144,19.9080663158
844,ABT-888,DINACICLIB,HT144,-1.2941638575
883,ABT-888,GELDANAMYCIN,HT144,2.9857613764999997
922,ABT-888,MK-8669,HT144,-6.7340915687
961,ABT-888,MK-8776,HT144,-51.2198803715
1000,ABT-888,OXALIPLATIN,HT144,-25.6565512646
1039,ABT-888,SN-38,HT144,8.1454557502
1078,ABT-888,SORAFENIB,HT144,10.7410875508
1117,ABT-888,TOPOTECAN,HT144,-12.718170831300002
1156,AZD1775,ABT-888,HT144,5.690590864500001
1203,AZD1775,BEZ-235,HT144,30.7639732715
1249,AZD1775,BORTEZOMIB,HT144,-1.6175545058
1296,AZD1775,DASATINIB,HT144,0.389012601
1342,AZD1775,DINACICLIB,HT144,-0.053685456799999996
1381,AZD1775,ERLOTINIB,HT144,13.3070317412
1420,AZD1775,GELDANAMYCIN,HT144,15.221432673299999
1459,AZD1775,LAPATINIB,HT144,15.7587566202
1498,AZD1775,MK-2206,HT144,8.6111495975
1537,AZD1775,MK-4827,HT144,9.0378095278
1576,AZD1775,MK-5108,HT144,0.5234406189999999
1615,AZD1775,MK-8669,HT144,20.2523933896
1662,AZD1775,MK-8776,HT144,45.7101859904
1708,AZD1775,OXALIPLATIN,HT144,-3.3525138798
1747,AZD1775,PD325901,HT144,22.546324469699996
1786,AZD1775,SN-38,HT144,8.1487292775
1825,AZD1775,SORAFENIB,HT144,0.9629719889
1864,AZD1775,TOPOTECAN,HT144,9.4092711387
1903,BEZ-235,DINACICLIB,HT144,8.4579767717
1942,BEZ-235,MK-8776,HT144,-140.3657077368
1981,BEZ-235,OXALIPLATIN,HT144,0.7429619184
2020,BEZ-235,SN-38,HT144,28.446951344299997
2059,BEZ-235,SORAFENIB,HT144,12.987335720499999
2098,BORTEZOMIB,ABT-888,HT144,-2.1689537768
2137,BORTEZOMIB,BEZ-235,HT144,7.5182518603999995
2176,BORTEZOMIB,DASATINIB,HT144,-13.5857446319
2215,BORTEZOMIB,DINACICLIB,HT144,-18.78198328
2254,BORTEZOMIB,GELDANAMYCIN,HT144,-13.745561958800002
2293,BORTEZOMIB,MK-8669,HT144,-11.576560280299999
2332,BORTEZOMIB,MK-8776,HT144,-167.5247326516
2371,BORTEZOMIB,OXALIPLATIN,HT144,-8.6446494573
2410,BORTEZOMIB,SN-38,HT144,-5.1676531845
2449,BORTEZOMIB,SORAFENIB,HT144,-8.7983933348
2488,BORTEZOMIB,TOPOTECAN,HT144,-5.6845280502
2527,CARBOPLATIN,ABT-888,HT144,6.3997247103
2566,CARBOPLATIN,AZD1775,HT144,6.599224040399999
2605,CARBOPLATIN,BEZ-235,HT144,26.631082746399997
2644,CARBOPLATIN,BORTEZOMIB,HT144,6.0282282636
2683,CARBOPLATIN,DASATINIB,HT144,-29.2864839264
2722,CARBOPLATIN,DINACICLIB,HT144,-3.0900133187
2761,CARBOPLATIN,ERLOTINIB,HT144,-5.5315501365
2800,CARBOPLATIN,GELDANAMYCIN,HT144,-1.2141469381999999
2839,CARBOPLATIN,L778123,HT144,-7.3391215049000005
2878,CARBOPLATIN,LAPATINIB,HT144,10.205043193
2917,CARBOPLATIN,MK-2206,HT144,18.2888619776
2956,CARBOPLATIN,MK-4827,HT144,1.5043334594
2995,CARBOPLATIN,MK-5108,HT144,2.9450093437000002
3034,CARBOPLATIN,MK-8669,HT144,8.593463782
3073,CARBOPLATIN,MK-8776,HT144,17.3096142616
3112,CARBOPLATIN,PD325901,HT144,4.892178346600001
3151,CARBOPLATIN,SORAFENIB,HT144,-6.389939161900001
3190,CARBOPLATIN,SUNITINIB,HT144,4.3114561551
3229,CARBOPLATIN,TEMOZOLOMIDE,HT144,-33.5020279855
3268,CARBOPLATIN,ZOLINZA,HT144,10.867582696400001
3307,CYCLOPHOSPHAMIDE,ABT-888,HT144,7.7012014511
3346,CYCLOPHOSPHAMIDE,AZD1775,HT144,4.334035804
3385,CYCLOPHOSPHAMIDE,BEZ-235,HT144,4.1806030974
3424,CYCLOPHOSPHAMIDE,BORTEZOMIB,HT144,4.2484186582
3463,CYCLOPHOSPHAMIDE,DASATINIB,HT144,-53.7964811886
3502,CYCLOPHOSPHAMIDE,DINACICLIB,HT144,4.0111419383
3541,CYCLOPHOSPHAMIDE,ERLOTINIB,HT144,-13.571682342599999
3580,CYCLOPHOSPHAMIDE,GELDANAMYCIN,HT144,-11.2807849158
3619,CYCLOPHOSPHAMIDE,L778123,HT144,-0.3651390749
3658,CYCLOPHOSPHAMIDE,LAPATINIB,HT144,-12.5492312719
3697,CYCLOPHOSPHAMIDE,MK-2206,HT144,13.4937261218
3736,CYCLOPHOSPHAMIDE,MK-4827,HT144,-0.3991388952
3775,CYCLOPHOSPHAMIDE,MK-5108,HT144,10.4350806395
3814,CYCLOPHOSPHAMIDE,MK-8669,HT144,14.8486656309
3853,CYCLOPHOSPHAMIDE,MK-8776,HT144,11.4108212503
3892,CYCLOPHOSPHAMIDE,PD325901,HT144,-7.782678188099999
3931,CYCLOPHOSPHAMIDE,SORAFENIB,HT144,7.222045451900001
3970,CYCLOPHOSPHAMIDE,SUNITINIB,HT144,-0.2350160907
4009,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,HT144,0.5275787062
4048,CYCLOPHOSPHAMIDE,ZOLINZA,HT144,7.1583625225
4087,DASATINIB,ABT-888,HT144,-15.5912574577
4126,DASATINIB,BEZ-235,HT144,17.903714803499998
4165,DASATINIB,DINACICLIB,HT144,2.8718379208
4204,DASATINIB,GELDANAMYCIN,HT144,-55.1388975573
4243,DASATINIB,MK-8669,HT144,-11.9108411772
4290,DASATINIB,MK-8776,HT144,19.9828389619
4336,DASATINIB,OXALIPLATIN,HT144,-60.7640489811
4375,DASATINIB,SN-38,HT144,-8.4647013654
4414,DASATINIB,SORAFENIB,HT144,5.8619719657000005
4453,DASATINIB,TOPOTECAN,HT144,-31.7610064048
4492,DEXAMETHASONE,ABT-888,HT144,-8.983198096799999
4531,DEXAMETHASONE,AZD1775,HT144,3.8366802908
4570,DEXAMETHASONE,BEZ-235,HT144,10.377439529
4609,DEXAMETHASONE,BORTEZOMIB,HT144,-13.1619824765
4648,DEXAMETHASONE,DASATINIB,HT144,-35.9811598222
4687,DEXAMETHASONE,DINACICLIB,HT144,-12.6941276895
4726,DEXAMETHASONE,ERLOTINIB,HT144,-21.4270670835
4765,DEXAMETHASONE,GELDANAMYCIN,HT144,-8.6847139954
4804,DEXAMETHASONE,L778123,HT144,-3.9502019018
4843,DEXAMETHASONE,LAPATINIB,HT144,-18.7671907707
4882,DEXAMETHASONE,MK-2206,HT144,-2.4668672292
4921,DEXAMETHASONE,MK-4827,HT144,-9.9041331139
4960,DEXAMETHASONE,MK-5108,HT144,-1.8832912359
4999,DEXAMETHASONE,MK-8669,HT144,7.975329303600001
5038,DEXAMETHASONE,MK-8776,HT144,5.7934706085
5077,DEXAMETHASONE,PD325901,HT144,2.360633829
5116,DEXAMETHASONE,SORAFENIB,HT144,-0.35475685149999997
5155,DEXAMETHASONE,SUNITINIB,HT144,0.8815839076
5194,DEXAMETHASONE,TEMOZOLOMIDE,HT144,-32.5507101396
5233,DEXAMETHASONE,ZOLINZA,HT144,-7.2297927664
5272,DINACICLIB,MK-8776,HT144,5.0502330647
5311,DOXORUBICIN,ABT-888,HT144,6.432351525800001
5350,DOXORUBICIN,AZD1775,HT144,15.4897314102
5389,DOXORUBICIN,BEZ-235,HT144,30.631778277600002
5428,DOXORUBICIN,BORTEZOMIB,HT144,-11.2431051683
5467,DOXORUBICIN,DASATINIB,HT144,-9.3835919569
5506,DOXORUBICIN,DINACICLIB,HT144,-4.440088028
5545,DOXORUBICIN,ERLOTINIB,HT144,9.0409540036
5584,DOXORUBICIN,GELDANAMYCIN,HT144,-2.4995397675
5623,DOXORUBICIN,L778123,HT144,1.8223588715
5662,DOXORUBICIN,LAPATINIB,HT144,16.9060561919
5701,DOXORUBICIN,MK-2206,HT144,27.5580327341
5740,DOXORUBICIN,MK-4827,HT144,-4.8211541199
5779,DOXORUBICIN,MK-5108,HT144,-11.6692939548
5818,DOXORUBICIN,MK-8669,HT144,30.4609899553
5857,DOXORUBICIN,MK-8776,HT144,20.6100464701
5896,DOXORUBICIN,PD325901,HT144,7.8425793449
5935,DOXORUBICIN,SORAFENIB,HT144,-4.139761502
5974,DOXORUBICIN,SUNITINIB,HT144,-4.6103970187
6013,DOXORUBICIN,TEMOZOLOMIDE,HT144,-1.1936027351
6052,DOXORUBICIN,ZOLINZA,HT144,0.6472464552
6091,ERLOTINIB,ABT-888,HT144,-5.994644575
6130,ERLOTINIB,BEZ-235,HT144,8.3231948514
6169,ERLOTINIB,BORTEZOMIB,HT144,-16.1994716739
6208,ERLOTINIB,DASATINIB,HT144,-44.271316481999996
6247,ERLOTINIB,DINACICLIB,HT144,0.6083030631
6286,ERLOTINIB,GELDANAMYCIN,HT144,15.6637565514
