,drug_a_name,drug_b_name,cell_line,synergy
13,5-FU,ABT-888,LNCAP,1.6326315853
52,5-FU,AZD1775,LNCAP,9.970389406599999
91,5-FU,BEZ-235,LNCAP,55.291299337
130,5-FU,BORTEZOMIB,LNCAP,-1.8552324806
169,5-FU,DASATINIB,LNCAP,0.24250736579999999
208,5-FU,DINACICLIB,LNCAP,-0.8480444662000001
247,5-FU,ERLOTINIB,LNCAP,-6.9843951948
286,5-FU,GELDANAMYCIN,LNCAP,16.3096388084
325,5-FU,L778123,LNCAP,5.0386480378
364,5-FU,LAPATINIB,LNCAP,-16.3764972151
403,5-FU,MK-2206,LNCAP,8.3059919541
442,5-FU,MK-4827,LNCAP,-24.481491899499996
481,5-FU,MK-5108,LNCAP,-20.6434715032
520,5-FU,MK-8669,LNCAP,15.994093291199999
568,5-FU,MK-8776,LNCAP,3.6928639136
613,5-FU,PD325901,LNCAP,1.6456703382
652,5-FU,SORAFENIB,LNCAP,-13.390346152200001
691,5-FU,SUNITINIB,LNCAP,-6.200837303099999
730,5-FU,TEMOZOLOMIDE,LNCAP,-16.146086333299998
769,5-FU,ZOLINZA,LNCAP,7.7488785092
808,ABT-888,BEZ-235,LNCAP,78.7040828052
847,ABT-888,DINACICLIB,LNCAP,44.9301773284
886,ABT-888,GELDANAMYCIN,LNCAP,26.088464068
925,ABT-888,MK-8669,LNCAP,-1.7733722447
964,ABT-888,MK-8776,LNCAP,-40.5994196014
1003,ABT-888,OXALIPLATIN,LNCAP,-27.214380057399996
1042,ABT-888,SN-38,LNCAP,28.6889018794
1081,ABT-888,SORAFENIB,LNCAP,3.4828877016
1120,ABT-888,TOPOTECAN,LNCAP,-5.3140522224
1159,AZD1775,ABT-888,LNCAP,-11.565912434400001
1207,AZD1775,BEZ-235,LNCAP,61.8905185275
1252,AZD1775,BORTEZOMIB,LNCAP,-11.5604641548
1300,AZD1775,DASATINIB,LNCAP,24.7147321767
1345,AZD1775,DINACICLIB,LNCAP,18.8879080191
