,drug_a_name,drug_b_name,cell_line,synergy
14,5-FU,ABT-888,LOVO,-8.9792139458
53,5-FU,AZD1775,LOVO,-4.0015073281
92,5-FU,BEZ-235,LOVO,0.0497243445
131,5-FU,BORTEZOMIB,LOVO,-6.175982009299999
170,5-FU,DASATINIB,LOVO,21.3855881893
209,5-FU,DINACICLIB,LOVO,-11.8769599262
248,5-FU,ERLOTINIB,LOVO,12.417331683099999
287,5-FU,GELDANAMYCIN,LOVO,-6.3531366592
326,5-FU,L778123,LOVO,3.0950710355
365,5-FU,LAPATINIB,LOVO,17.490586400599998
404,5-FU,MK-2206,LOVO,0.8485305444
443,5-FU,MK-4827,LOVO,-14.5737162026
482,5-FU,MK-5108,LOVO,0.9569595237
521,5-FU,MK-8669,LOVO,6.8775912152
569,5-FU,MK-8776,LOVO,3.2980170463
570,5-FU,MK-8776,LOVO,3.9605277538999997
614,5-FU,PD325901,LOVO,-6.245195085700001
653,5-FU,SORAFENIB,LOVO,-13.8153437725
692,5-FU,SUNITINIB,LOVO,2.0823101764
731,5-FU,TEMOZOLOMIDE,LOVO,-17.9661402898
770,5-FU,ZOLINZA,LOVO,-8.3980484627
809,ABT-888,BEZ-235,LOVO,19.4453474229
848,ABT-888,DINACICLIB,LOVO,5.1740033272
887,ABT-888,GELDANAMYCIN,LOVO,13.068139371900001
926,ABT-888,MK-8669,LOVO,6.9283136783
965,ABT-888,MK-8776,LOVO,1.0669122944
1004,ABT-888,OXALIPLATIN,LOVO,-22.774476683699998
1043,ABT-888,SN-38,LOVO,-6.5826236766
1082,ABT-888,SORAFENIB,LOVO,2.735996957
1121,ABT-888,TOPOTECAN,LOVO,-20.577747610899998
1160,AZD1775,ABT-888,LOVO,-3.4584771509
1208,AZD1775,BEZ-235,LOVO,16.1550073939
1209,AZD1775,BEZ-235,LOVO,-2.4425467422
1253,AZD1775,BORTEZOMIB,LOVO,-6.806273259199999
1301,AZD1775,DASATINIB,LOVO,28.8452836335
1302,AZD1775,DASATINIB,LOVO,22.006149067800003
1346,AZD1775,DINACICLIB,LOVO,-15.3534280256
1385,AZD1775,ERLOTINIB,LOVO,14.1313265841
1424,AZD1775,GELDANAMYCIN,LOVO,-9.6047771346
1463,AZD1775,LAPATINIB,LOVO,23.428308741
1502,AZD1775,MK-2206,LOVO,18.2559538508
1541,AZD1775,MK-4827,LOVO,9.0912548207
1580,AZD1775,MK-5108,LOVO,7.1305966365
1619,AZD1775,MK-8669,LOVO,19.9543678035
1667,AZD1775,MK-8776,LOVO,34.0180465031
1668,AZD1775,MK-8776,LOVO,19.2800662906
1712,AZD1775,OXALIPLATIN,LOVO,-2.6948276237
1751,AZD1775,PD325901,LOVO,7.2155389355
1790,AZD1775,SN-38,LOVO,5.6522503853999995
1829,AZD1775,SORAFENIB,LOVO,-6.0003982858
1868,AZD1775,TOPOTECAN,LOVO,1.5258243687000002
1907,BEZ-235,DINACICLIB,LOVO,6.9403846342
1946,BEZ-235,MK-8776,LOVO,22.426613418899997
1985,BEZ-235,OXALIPLATIN,LOVO,-0.6748654198999999
2024,BEZ-235,SN-38,LOVO,11.58051482
2063,BEZ-235,SORAFENIB,LOVO,1.5599294522
2102,BORTEZOMIB,ABT-888,LOVO,1.0401757055
2141,BORTEZOMIB,BEZ-235,LOVO,21.5899415455
2180,BORTEZOMIB,DASATINIB,LOVO,38.2626407831
2219,BORTEZOMIB,DINACICLIB,LOVO,-16.742895631
2258,BORTEZOMIB,GELDANAMYCIN,LOVO,0.9847372262
2297,BORTEZOMIB,MK-8669,LOVO,20.4751536743
2336,BORTEZOMIB,MK-8776,LOVO,-3.3599216488
2375,BORTEZOMIB,OXALIPLATIN,LOVO,-12.432501459200001
2414,BORTEZOMIB,SN-38,LOVO,11.585800501400001
2453,BORTEZOMIB,SORAFENIB,LOVO,-12.1862265094
2492,BORTEZOMIB,TOPOTECAN,LOVO,0.5583294375
2531,CARBOPLATIN,ABT-888,LOVO,3.6382118134
2570,CARBOPLATIN,AZD1775,LOVO,1.0369127995
2609,CARBOPLATIN,BEZ-235,LOVO,30.0107267419
2648,CARBOPLATIN,BORTEZOMIB,LOVO,17.172200664800002
2687,CARBOPLATIN,DASATINIB,LOVO,42.0038884855
2726,CARBOPLATIN,DINACICLIB,LOVO,-2.0448191594
2765,CARBOPLATIN,ERLOTINIB,LOVO,20.165885755599998
2804,CARBOPLATIN,GELDANAMYCIN,LOVO,-1.0863576813
2843,CARBOPLATIN,L778123,LOVO,2.8937681189999997
2882,CARBOPLATIN,LAPATINIB,LOVO,29.269676975
2921,CARBOPLATIN,MK-2206,LOVO,-11.7984868801
2960,CARBOPLATIN,MK-4827,LOVO,-12.1726947957
2999,CARBOPLATIN,MK-5108,LOVO,-6.4191177227
3038,CARBOPLATIN,MK-8669,LOVO,19.4042873599
3077,CARBOPLATIN,MK-8776,LOVO,19.406822007
3116,CARBOPLATIN,PD325901,LOVO,-0.5551410225
3155,CARBOPLATIN,SORAFENIB,LOVO,-20.724381613800002
3194,CARBOPLATIN,SUNITINIB,LOVO,5.6951084038
3233,CARBOPLATIN,TEMOZOLOMIDE,LOVO,4.5237597831
3272,CARBOPLATIN,ZOLINZA,LOVO,8.5049595847
3311,CYCLOPHOSPHAMIDE,ABT-888,LOVO,-4.9527410642000005
3350,CYCLOPHOSPHAMIDE,AZD1775,LOVO,-4.0399195002
3389,CYCLOPHOSPHAMIDE,BEZ-235,LOVO,15.2155428654
3428,CYCLOPHOSPHAMIDE,BORTEZOMIB,LOVO,5.0964872331999995
3467,CYCLOPHOSPHAMIDE,DASATINIB,LOVO,20.840824331500002
3506,CYCLOPHOSPHAMIDE,DINACICLIB,LOVO,0.334127273
3545,CYCLOPHOSPHAMIDE,ERLOTINIB,LOVO,-3.0722807444
3584,CYCLOPHOSPHAMIDE,GELDANAMYCIN,LOVO,1.0964197981000001
3623,CYCLOPHOSPHAMIDE,L778123,LOVO,-3.4795881229
3662,CYCLOPHOSPHAMIDE,LAPATINIB,LOVO,-9.0326898114
3701,CYCLOPHOSPHAMIDE,MK-2206,LOVO,-11.1544858446
3740,CYCLOPHOSPHAMIDE,MK-4827,LOVO,-13.741951390699999
3779,CYCLOPHOSPHAMIDE,MK-5108,LOVO,-7.0566995964
3818,CYCLOPHOSPHAMIDE,MK-8669,LOVO,4.8214551457
3857,CYCLOPHOSPHAMIDE,MK-8776,LOVO,6.3662507638
3896,CYCLOPHOSPHAMIDE,PD325901,LOVO,-3.8850339282
3935,CYCLOPHOSPHAMIDE,SORAFENIB,LOVO,-3.3010704626
3974,CYCLOPHOSPHAMIDE,SUNITINIB,LOVO,0.8088757055
4013,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,LOVO,-0.019538333
4052,CYCLOPHOSPHAMIDE,ZOLINZA,LOVO,3.9690617492
4091,DASATINIB,ABT-888,LOVO,28.2750344092
4130,DASATINIB,BEZ-235,LOVO,49.585378419799994
4169,DASATINIB,DINACICLIB,LOVO,19.8081464835
4208,DASATINIB,GELDANAMYCIN,LOVO,28.7007065333
4247,DASATINIB,MK-8669,LOVO,56.9264131578
4295,DASATINIB,MK-8776,LOVO,47.6439215377
4296,DASATINIB,MK-8776,LOVO,31.4699323054
4340,DASATINIB,OXALIPLATIN,LOVO,15.858286917000001
4379,DASATINIB,SN-38,LOVO,39.6859891118
4418,DASATINIB,SORAFENIB,LOVO,12.233962599100002
4457,DASATINIB,TOPOTECAN,LOVO,27.2002480643
4496,DEXAMETHASONE,ABT-888,LOVO,-5.1964596738
4535,DEXAMETHASONE,AZD1775,LOVO,7.245505128
4574,DEXAMETHASONE,BEZ-235,LOVO,26.6156080885
4613,DEXAMETHASONE,BORTEZOMIB,LOVO,8.3804290604
