,drug_a_name,drug_b_name,cell_line,synergy
20,5-FU,ABT-888,NCIH460,-6.611947916599999
59,5-FU,AZD1775,NCIH460,13.5826976918
98,5-FU,BEZ-235,NCIH460,20.1004137353
137,5-FU,BORTEZOMIB,NCIH460,-18.9981302614
176,5-FU,DASATINIB,NCIH460,21.668726101199997
215,5-FU,DINACICLIB,NCIH460,-7.4209805584
254,5-FU,ERLOTINIB,NCIH460,17.2248469758
293,5-FU,GELDANAMYCIN,NCIH460,-2.4468045136
332,5-FU,L778123,NCIH460,-0.5617591171
371,5-FU,LAPATINIB,NCIH460,-2.0350125809
410,5-FU,MK-2206,NCIH460,16.5835935756
449,5-FU,MK-4827,NCIH460,-2.8604770300999998
488,5-FU,MK-5108,NCIH460,-5.659480778200001
527,5-FU,MK-8669,NCIH460,5.0187908405
579,5-FU,MK-8776,NCIH460,24.846056852100002
620,5-FU,PD325901,NCIH460,16.3321845736
659,5-FU,SORAFENIB,NCIH460,-0.8956375394
698,5-FU,SUNITINIB,NCIH460,7.1293241074
737,5-FU,TEMOZOLOMIDE,NCIH460,-23.411053809200002
776,5-FU,ZOLINZA,NCIH460,7.0572183288999994
815,ABT-888,BEZ-235,NCIH460,18.1007010567
854,ABT-888,DINACICLIB,NCIH460,5.614266478999999
893,ABT-888,GELDANAMYCIN,NCIH460,-2.126961774
932,ABT-888,MK-8669,NCIH460,-7.2578952444
971,ABT-888,MK-8776,NCIH460,-0.2963538419
1010,ABT-888,OXALIPLATIN,NCIH460,-20.3665605653
1049,ABT-888,SN-38,NCIH460,22.603036231799997
1088,ABT-888,SORAFENIB,NCIH460,11.612997883199998
1127,ABT-888,TOPOTECAN,NCIH460,-35.5582435714
1166,AZD1775,ABT-888,NCIH460,-6.6040385634000005
1218,AZD1775,BEZ-235,NCIH460,38.2132515673
1259,AZD1775,BORTEZOMIB,NCIH460,6.749716946
1311,AZD1775,DASATINIB,NCIH460,24.675433093200002
1352,AZD1775,DINACICLIB,NCIH460,-3.5452867485
1391,AZD1775,ERLOTINIB,NCIH460,-1.1293194678
1430,AZD1775,GELDANAMYCIN,NCIH460,-5.186641338
1469,AZD1775,LAPATINIB,NCIH460,-4.8673204283
1508,AZD1775,MK-2206,NCIH460,10.1674800842
1547,AZD1775,MK-4827,NCIH460,5.533537032100001
1586,AZD1775,MK-5108,NCIH460,-2.6493767118
1625,AZD1775,MK-8669,NCIH460,18.2320070898
1677,AZD1775,MK-8776,NCIH460,33.943501971799996
1718,AZD1775,OXALIPLATIN,NCIH460,-11.9248249548
1757,AZD1775,PD325901,NCIH460,8.6831324508
1796,AZD1775,SN-38,NCIH460,-2.3728896032
1835,AZD1775,SORAFENIB,NCIH460,8.3346015802
1874,AZD1775,TOPOTECAN,NCIH460,-17.0696513722
1913,BEZ-235,DINACICLIB,NCIH460,16.841246904400002
1952,BEZ-235,MK-8776,NCIH460,41.2719938094
1991,BEZ-235,OXALIPLATIN,NCIH460,3.0426378574
2030,BEZ-235,SN-38,NCIH460,39.22686474
2069,BEZ-235,SORAFENIB,NCIH460,10.1746724208
2108,BORTEZOMIB,ABT-888,NCIH460,8.9811621356
2147,BORTEZOMIB,BEZ-235,NCIH460,21.670899066100002
2186,BORTEZOMIB,DASATINIB,NCIH460,36.829351125
2225,BORTEZOMIB,DINACICLIB,NCIH460,-24.291652934000002
2264,BORTEZOMIB,GELDANAMYCIN,NCIH460,-19.407273621199998
2303,BORTEZOMIB,MK-8669,NCIH460,6.3186633134
2342,BORTEZOMIB,MK-8776,NCIH460,4.4023086107
2381,BORTEZOMIB,OXALIPLATIN,NCIH460,-32.0386361863
2420,BORTEZOMIB,SN-38,NCIH460,12.9078169749
2459,BORTEZOMIB,SORAFENIB,NCIH460,-5.46597089
2498,BORTEZOMIB,TOPOTECAN,NCIH460,-33.8197498256
2537,CARBOPLATIN,ABT-888,NCIH460,3.1290490476999997
2576,CARBOPLATIN,AZD1775,NCIH460,4.229104785400001
2615,CARBOPLATIN,BEZ-235,NCIH460,62.996079982
2654,CARBOPLATIN,BORTEZOMIB,NCIH460,-4.6330311031
2693,CARBOPLATIN,DASATINIB,NCIH460,10.686517913200001
2732,CARBOPLATIN,DINACICLIB,NCIH460,-6.2593018487
2771,CARBOPLATIN,ERLOTINIB,NCIH460,6.6261583567999995
2810,CARBOPLATIN,GELDANAMYCIN,NCIH460,-10.2921994785
2849,CARBOPLATIN,L778123,NCIH460,-7.6567998585
2888,CARBOPLATIN,LAPATINIB,NCIH460,-21.721153002199998
2927,CARBOPLATIN,MK-2206,NCIH460,13.1037146099
2966,CARBOPLATIN,MK-4827,NCIH460,6.5222731186
3005,CARBOPLATIN,MK-5108,NCIH460,-17.5324902057
3044,CARBOPLATIN,MK-8669,NCIH460,28.5216578827
3083,CARBOPLATIN,MK-8776,NCIH460,17.7964809411
3122,CARBOPLATIN,PD325901,NCIH460,18.4163213364
3161,CARBOPLATIN,SORAFENIB,NCIH460,-16.7677628117
3200,CARBOPLATIN,SUNITINIB,NCIH460,4.3569355008
3239,CARBOPLATIN,TEMOZOLOMIDE,NCIH460,-33.1682341073
3278,CARBOPLATIN,ZOLINZA,NCIH460,3.8916404447
3317,CYCLOPHOSPHAMIDE,ABT-888,NCIH460,17.4341120214
3356,CYCLOPHOSPHAMIDE,AZD1775,NCIH460,0.6393988282999999
3395,CYCLOPHOSPHAMIDE,BEZ-235,NCIH460,15.779113921099999
3434,CYCLOPHOSPHAMIDE,BORTEZOMIB,NCIH460,14.88718391
3473,CYCLOPHOSPHAMIDE,DASATINIB,NCIH460,-3.312764954
3512,CYCLOPHOSPHAMIDE,DINACICLIB,NCIH460,10.0035713913
3551,CYCLOPHOSPHAMIDE,ERLOTINIB,NCIH460,-8.7229038303
3590,CYCLOPHOSPHAMIDE,GELDANAMYCIN,NCIH460,3.6864006466
3629,CYCLOPHOSPHAMIDE,L778123,NCIH460,-1.217739434
3668,CYCLOPHOSPHAMIDE,LAPATINIB,NCIH460,-17.6328025657
3707,CYCLOPHOSPHAMIDE,MK-2206,NCIH460,6.5722547702
3746,CYCLOPHOSPHAMIDE,MK-4827,NCIH460,-1.0917274063
3785,CYCLOPHOSPHAMIDE,MK-5108,NCIH460,-5.895400138099999
3824,CYCLOPHOSPHAMIDE,MK-8669,NCIH460,10.9519185568
3863,CYCLOPHOSPHAMIDE,MK-8776,NCIH460,5.505691677200001
3902,CYCLOPHOSPHAMIDE,PD325901,NCIH460,-3.4657090854000003
3941,CYCLOPHOSPHAMIDE,SORAFENIB,NCIH460,9.2603479866
3980,CYCLOPHOSPHAMIDE,SUNITINIB,NCIH460,3.1075656979
4019,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,NCIH460,16.291011527000002
4058,CYCLOPHOSPHAMIDE,ZOLINZA,NCIH460,5.1445984331
4097,DASATINIB,ABT-888,NCIH460,4.251314692699999
4136,DASATINIB,BEZ-235,NCIH460,80.6956692166
