,drug_a_name,drug_b_name,cell_line,synergy
23,5-FU,ABT-888,OV90,-10.068847613700001
62,5-FU,AZD1775,OV90,-3.1936519467
101,5-FU,BEZ-235,OV90,17.5470785652
140,5-FU,BORTEZOMIB,OV90,-9.5861668687
179,5-FU,DASATINIB,OV90,0.4330347743
218,5-FU,DINACICLIB,OV90,-5.9355790616999995
257,5-FU,ERLOTINIB,OV90,-11.040045846300002
296,5-FU,GELDANAMYCIN,OV90,0.2845088978
335,5-FU,L778123,OV90,12.205345101199999
374,5-FU,LAPATINIB,OV90,-9.295070254299999
413,5-FU,MK-2206,OV90,6.205835325900001
452,5-FU,MK-4827,OV90,-11.575963303
491,5-FU,MK-5108,OV90,0.7102572606
530,5-FU,MK-8669,OV90,9.562591922100001
582,5-FU,MK-8776,OV90,3.1552001791000004
623,5-FU,PD325901,OV90,-6.5669900061
662,5-FU,SORAFENIB,OV90,2.4168372005000003
701,5-FU,SUNITINIB,OV90,3.664358548
740,5-FU,TEMOZOLOMIDE,OV90,-8.7345776972
779,5-FU,ZOLINZA,OV90,-0.2102682387
818,ABT-888,BEZ-235,OV90,16.978958509
857,ABT-888,DINACICLIB,OV90,-7.962884871
896,ABT-888,GELDANAMYCIN,OV90,-8.587738631
935,ABT-888,MK-8669,OV90,-0.7602999066
974,ABT-888,MK-8776,OV90,0.6173088853
1013,ABT-888,OXALIPLATIN,OV90,-27.749135907
1052,ABT-888,SN-38,OV90,19.5945199445
1091,ABT-888,SORAFENIB,OV90,5.7764906612999996
1130,ABT-888,TOPOTECAN,OV90,-8.1851363814
1169,AZD1775,ABT-888,OV90,-1.1932318134
1221,AZD1775,BEZ-235,OV90,15.883971703199999
1262,AZD1775,BORTEZOMIB,OV90,-11.9132608482
1314,AZD1775,DASATINIB,OV90,25.654970922600004
1355,AZD1775,DINACICLIB,OV90,-17.3129048664
1394,AZD1775,ERLOTINIB,OV90,-3.7588275894
1433,AZD1775,GELDANAMYCIN,OV90,-16.4929686128
1472,AZD1775,LAPATINIB,OV90,-6.3951951413
1511,AZD1775,MK-2206,OV90,9.862408135399999
1550,AZD1775,MK-4827,OV90,-1.4620063729
1589,AZD1775,MK-5108,OV90,0.6648818689
1628,AZD1775,MK-8669,OV90,14.014496888900002
1680,AZD1775,MK-8776,OV90,32.2526368671
1721,AZD1775,OXALIPLATIN,OV90,-21.6167109338
1760,AZD1775,PD325901,OV90,-2.4579378775
1799,AZD1775,SN-38,OV90,-5.5980448987
1838,AZD1775,SORAFENIB,OV90,-5.025095386
1877,AZD1775,TOPOTECAN,OV90,-9.075561375
1916,BEZ-235,DINACICLIB,OV90,10.205527118200001
1955,BEZ-235,MK-8776,OV90,16.506140270699998
1994,BEZ-235,OXALIPLATIN,OV90,-1.655041901
2033,BEZ-235,SN-38,OV90,9.8435718759
2072,BEZ-235,SORAFENIB,OV90,9.0738468203
2111,BORTEZOMIB,ABT-888,OV90,5.606347082799999
2150,BORTEZOMIB,BEZ-235,OV90,-1.1426936502
2189,BORTEZOMIB,DASATINIB,OV90,-12.6798259617
2228,BORTEZOMIB,DINACICLIB,OV90,-28.667364547800002
2267,BORTEZOMIB,GELDANAMYCIN,OV90,-24.8239236714
2306,BORTEZOMIB,MK-8669,OV90,-2.3067858622
2345,BORTEZOMIB,MK-8776,OV90,-15.864830706
2384,BORTEZOMIB,OXALIPLATIN,OV90,-21.923979003699998
2423,BORTEZOMIB,SN-38,OV90,-23.926542680700003
2462,BORTEZOMIB,SORAFENIB,OV90,-12.6723946105
2501,BORTEZOMIB,TOPOTECAN,OV90,-12.204272483199999
2540,CARBOPLATIN,ABT-888,OV90,-5.3178173467
2579,CARBOPLATIN,AZD1775,OV90,-6.1750860857
2618,CARBOPLATIN,BEZ-235,OV90,26.4491087115
