,drug_a_name,drug_b_name,cell_line,synergy
25,5-FU,ABT-888,PA1,5.6864884514
64,5-FU,AZD1775,PA1,25.072624767199997
103,5-FU,BEZ-235,PA1,21.562386718899997
142,5-FU,BORTEZOMIB,PA1,-20.7061680779
181,5-FU,DASATINIB,PA1,33.9082835151
220,5-FU,DINACICLIB,PA1,-5.7328651442
259,5-FU,ERLOTINIB,PA1,11.223205907799999
298,5-FU,GELDANAMYCIN,PA1,-1.7946121875999999
337,5-FU,L778123,PA1,14.5367422952
376,5-FU,LAPATINIB,PA1,14.1592188707
415,5-FU,MK-2206,PA1,22.8438567281
454,5-FU,MK-4827,PA1,4.9072076328
493,5-FU,MK-5108,PA1,16.3248100207
532,5-FU,MK-8669,PA1,41.3012141448
584,5-FU,MK-8776,PA1,1.3643884413999998
585,5-FU,MK-8776,PA1,16.3745761576
625,5-FU,PD325901,PA1,8.064259630499999
664,5-FU,SORAFENIB,PA1,4.9572824935
703,5-FU,SUNITINIB,PA1,12.4562519941
742,5-FU,TEMOZOLOMIDE,PA1,5.8859268402
781,5-FU,ZOLINZA,PA1,-2.2468805096
820,ABT-888,BEZ-235,PA1,26.4169653079
859,ABT-888,DINACICLIB,PA1,4.6927540267
898,ABT-888,GELDANAMYCIN,PA1,10.5451213535
937,ABT-888,MK-8669,PA1,5.0123484771
976,ABT-888,MK-8776,PA1,7.4395745103
1015,ABT-888,OXALIPLATIN,PA1,-24.694612158
1054,ABT-888,SN-38,PA1,31.166704321300003
1093,ABT-888,SORAFENIB,PA1,15.1216829705
1132,ABT-888,TOPOTECAN,PA1,-7.1668895027
1171,AZD1775,ABT-888,PA1,12.7962574851
1223,AZD1775,BEZ-235,PA1,32.2649246504
1224,AZD1775,BEZ-235,PA1,-13.985897350999998
1264,AZD1775,BORTEZOMIB,PA1,-9.7178051386
1316,AZD1775,DASATINIB,PA1,22.8656414448
1317,AZD1775,DASATINIB,PA1,11.2493805086
1357,AZD1775,DINACICLIB,PA1,-10.0403530053
1396,AZD1775,ERLOTINIB,PA1,-1.2096987189
1435,AZD1775,GELDANAMYCIN,PA1,6.8249279483
1474,AZD1775,LAPATINIB,PA1,17.1021517952
1513,AZD1775,MK-2206,PA1,6.407757116
1552,AZD1775,MK-4827,PA1,31.7582957122
1591,AZD1775,MK-5108,PA1,17.9153781915
1630,AZD1775,MK-8669,PA1,30.804155670700002
1682,AZD1775,MK-8776,PA1,62.6770928039
1683,AZD1775,MK-8776,PA1,19.0433844295
1723,AZD1775,OXALIPLATIN,PA1,5.2132562787
1762,AZD1775,PD325901,PA1,19.086849513
1801,AZD1775,SN-38,PA1,21.154443704200002
1840,AZD1775,SORAFENIB,PA1,5.447474525700001
1879,AZD1775,TOPOTECAN,PA1,3.1046573867
1918,BEZ-235,DINACICLIB,PA1,4.9410416098
1957,BEZ-235,MK-8776,PA1,28.8076253081
1996,BEZ-235,OXALIPLATIN,PA1,-1.8178089899
2035,BEZ-235,SN-38,PA1,4.024927188
2074,BEZ-235,SORAFENIB,PA1,0.36802507100000004
2113,BORTEZOMIB,ABT-888,PA1,4.3066504568
2152,BORTEZOMIB,BEZ-235,PA1,5.1727177791
2191,BORTEZOMIB,DASATINIB,PA1,-8.4998664839
2230,BORTEZOMIB,DINACICLIB,PA1,-17.4805574895
2269,BORTEZOMIB,GELDANAMYCIN,PA1,4.7242979388999995
2308,BORTEZOMIB,MK-8669,PA1,-4.2877539912
2347,BORTEZOMIB,MK-8776,PA1,-4.6153565417
2386,BORTEZOMIB,OXALIPLATIN,PA1,-32.6864960987
2425,BORTEZOMIB,SN-38,PA1,-22.387786635700003
2464,BORTEZOMIB,SORAFENIB,PA1,-10.663764692400001
2503,BORTEZOMIB,TOPOTECAN,PA1,-13.7875959693
2542,CARBOPLATIN,ABT-888,PA1,3.5319957857
2581,CARBOPLATIN,AZD1775,PA1,12.0141756246
2620,CARBOPLATIN,BEZ-235,PA1,18.0665053629
2659,CARBOPLATIN,BORTEZOMIB,PA1,-26.8001902531
2698,CARBOPLATIN,DASATINIB,PA1,27.8046003219
2737,CARBOPLATIN,DINACICLIB,PA1,-7.0335246653
2776,CARBOPLATIN,ERLOTINIB,PA1,-17.4872496279
2815,CARBOPLATIN,GELDANAMYCIN,PA1,-8.021660165
2854,CARBOPLATIN,L778123,PA1,-4.6849484057
2893,CARBOPLATIN,LAPATINIB,PA1,0.6889822731999999
2932,CARBOPLATIN,MK-2206,PA1,17.8308628124
2971,CARBOPLATIN,MK-4827,PA1,-1.4240098211
3010,CARBOPLATIN,MK-5108,PA1,5.9453950802
3049,CARBOPLATIN,MK-8669,PA1,12.635743478
3088,CARBOPLATIN,MK-8776,PA1,-0.3052697156
3127,CARBOPLATIN,PD325901,PA1,-16.5637045529
3166,CARBOPLATIN,SORAFENIB,PA1,-13.759715583
3205,CARBOPLATIN,SUNITINIB,PA1,-8.4514886226
3244,CARBOPLATIN,TEMOZOLOMIDE,PA1,-7.948085196799999
3283,CARBOPLATIN,ZOLINZA,PA1,-13.328720938800002
