,drug_a_name,drug_b_name,cell_line,synergy
30,5-FU,ABT-888,SKOV3,5.0771773842000005
69,5-FU,AZD1775,SKOV3,18.744963944400002
108,5-FU,BEZ-235,SKOV3,4.2458790789
147,5-FU,BORTEZOMIB,SKOV3,-4.6048936233
186,5-FU,DASATINIB,SKOV3,1.3046560675
225,5-FU,DINACICLIB,SKOV3,-13.8991015225
264,5-FU,ERLOTINIB,SKOV3,16.2106176273
303,5-FU,GELDANAMYCIN,SKOV3,-9.1881641947
342,5-FU,L778123,SKOV3,8.1306805695
381,5-FU,LAPATINIB,SKOV3,7.118783779299999
420,5-FU,MK-2206,SKOV3,12.725931577
459,5-FU,MK-4827,SKOV3,-0.060945556799999995
498,5-FU,MK-5108,SKOV3,8.1828554544
537,5-FU,MK-8669,SKOV3,28.7151483289
590,5-FU,MK-8776,SKOV3,5.559655014
630,5-FU,PD325901,SKOV3,2.8529330664
669,5-FU,SORAFENIB,SKOV3,10.236335902
708,5-FU,SUNITINIB,SKOV3,18.264384797
747,5-FU,TEMOZOLOMIDE,SKOV3,-4.0214911175
786,5-FU,ZOLINZA,SKOV3,5.7029550682000005
825,ABT-888,BEZ-235,SKOV3,6.3798751869000005
864,ABT-888,DINACICLIB,SKOV3,5.2268356505
903,ABT-888,GELDANAMYCIN,SKOV3,-10.7465625575
942,ABT-888,MK-8669,SKOV3,7.7160813864
981,ABT-888,MK-8776,SKOV3,1.2940699051
1020,ABT-888,OXALIPLATIN,SKOV3,-4.5791347006
1059,ABT-888,SN-38,SKOV3,6.2637462172000005
1098,ABT-888,SORAFENIB,SKOV3,14.0643955916
1137,ABT-888,TOPOTECAN,SKOV3,-9.2155056785
1176,AZD1775,ABT-888,SKOV3,12.583950828699999
1229,AZD1775,BEZ-235,SKOV3,25.469927437600003
1269,AZD1775,BORTEZOMIB,SKOV3,4.135805235299999
1322,AZD1775,DASATINIB,SKOV3,18.447916144300002
1362,AZD1775,DINACICLIB,SKOV3,-6.2345474367
1401,AZD1775,ERLOTINIB,SKOV3,16.1911336226
1440,AZD1775,GELDANAMYCIN,SKOV3,-1.6187840141
1479,AZD1775,LAPATINIB,SKOV3,19.2318108483
1518,AZD1775,MK-2206,SKOV3,28.7733159416
1557,AZD1775,MK-4827,SKOV3,17.1292617603
1596,AZD1775,MK-5108,SKOV3,23.4218522218
1635,AZD1775,MK-8669,SKOV3,46.2955310955
1688,AZD1775,MK-8776,SKOV3,63.478932182
1728,AZD1775,OXALIPLATIN,SKOV3,3.8686412802
1767,AZD1775,PD325901,SKOV3,19.7167709881
1806,AZD1775,SN-38,SKOV3,16.1565265325
1845,AZD1775,SORAFENIB,SKOV3,7.1494505107
1884,AZD1775,TOPOTECAN,SKOV3,7.650514826
1923,BEZ-235,DINACICLIB,SKOV3,-15.4779097444
1962,BEZ-235,MK-8776,SKOV3,10.334545089299999
2001,BEZ-235,OXALIPLATIN,SKOV3,12.701595443199999
2040,BEZ-235,SN-38,SKOV3,3.3458562826
2079,BEZ-235,SORAFENIB,SKOV3,1.5314374228999998
2118,BORTEZOMIB,ABT-888,SKOV3,0.8551191573
2157,BORTEZOMIB,BEZ-235,SKOV3,5.5991237972
2196,BORTEZOMIB,DASATINIB,SKOV3,-16.7112655271
2235,BORTEZOMIB,DINACICLIB,SKOV3,-32.041946895
2274,BORTEZOMIB,GELDANAMYCIN,SKOV3,-5.7609640495
2313,BORTEZOMIB,MK-8669,SKOV3,-2.4196845654
2352,BORTEZOMIB,MK-8776,SKOV3,-16.1694483845
2391,BORTEZOMIB,OXALIPLATIN,SKOV3,3.3520433387
2430,BORTEZOMIB,SN-38,SKOV3,-11.0032016134
2469,BORTEZOMIB,SORAFENIB,SKOV3,0.9509449745999999
2508,BORTEZOMIB,TOPOTECAN,SKOV3,-10.785589607
2547,CARBOPLATIN,ABT-888,SKOV3,-0.5494311432
2586,CARBOPLATIN,AZD1775,SKOV3,18.2623282381
2625,CARBOPLATIN,BEZ-235,SKOV3,-6.2322248463
2664,CARBOPLATIN,BORTEZOMIB,SKOV3,-19.2884251998
2703,CARBOPLATIN,DASATINIB,SKOV3,-8.5142500076
2742,CARBOPLATIN,DINACICLIB,SKOV3,-27.0906218117
2781,CARBOPLATIN,ERLOTINIB,SKOV3,-7.4110412114
2820,CARBOPLATIN,GELDANAMYCIN,SKOV3,-37.338622079699995
2859,CARBOPLATIN,L778123,SKOV3,-1.5508555413999998
2898,CARBOPLATIN,LAPATINIB,SKOV3,-0.2854540671
2937,CARBOPLATIN,MK-2206,SKOV3,-10.9222126783
2976,CARBOPLATIN,MK-4827,SKOV3,6.024028461
3015,CARBOPLATIN,MK-5108,SKOV3,8.8269617216
3054,CARBOPLATIN,MK-8669,SKOV3,24.8756293908
3093,CARBOPLATIN,MK-8776,SKOV3,9.4676532059
3132,CARBOPLATIN,PD325901,SKOV3,-8.4767695025
3171,CARBOPLATIN,SORAFENIB,SKOV3,-21.4855406586
3210,CARBOPLATIN,SUNITINIB,SKOV3,-3.5699542831
3249,CARBOPLATIN,TEMOZOLOMIDE,SKOV3,-20.8090800798
3288,CARBOPLATIN,ZOLINZA,SKOV3,5.3330137576
3327,CYCLOPHOSPHAMIDE,ABT-888,SKOV3,5.695025193999999
3366,CYCLOPHOSPHAMIDE,AZD1775,SKOV3,14.858244438699998
3405,CYCLOPHOSPHAMIDE,BEZ-235,SKOV3,11.7052326125
3444,CYCLOPHOSPHAMIDE,BORTEZOMIB,SKOV3,-2.6623226544
3483,CYCLOPHOSPHAMIDE,DASATINIB,SKOV3,-5.8209103924
3522,CYCLOPHOSPHAMIDE,DINACICLIB,SKOV3,6.254971690700001
3561,CYCLOPHOSPHAMIDE,ERLOTINIB,SKOV3,5.6659633102999996
3600,CYCLOPHOSPHAMIDE,GELDANAMYCIN,SKOV3,2.0695400973
3639,CYCLOPHOSPHAMIDE,L778123,SKOV3,7.7174235176999995
3678,CYCLOPHOSPHAMIDE,LAPATINIB,SKOV3,-3.8136005986000003
3717,CYCLOPHOSPHAMIDE,MK-2206,SKOV3,9.882214838300001
3756,CYCLOPHOSPHAMIDE,MK-4827,SKOV3,8.0849277102
3795,CYCLOPHOSPHAMIDE,MK-5108,SKOV3,17.3097947682
3834,CYCLOPHOSPHAMIDE,MK-8669,SKOV3,19.0920074298
3873,CYCLOPHOSPHAMIDE,MK-8776,SKOV3,13.7160644977
3912,CYCLOPHOSPHAMIDE,PD325901,SKOV3,4.9437600772
3951,CYCLOPHOSPHAMIDE,SORAFENIB,SKOV3,15.4703161153
3990,CYCLOPHOSPHAMIDE,SUNITINIB,SKOV3,10.0949274561
4029,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,SKOV3,-8.1122077889
4068,CYCLOPHOSPHAMIDE,ZOLINZA,SKOV3,21.6683967361
4107,DASATINIB,ABT-888,SKOV3,0.3358067188
4146,DASATINIB,BEZ-235,SKOV3,40.898123866999995
4185,DASATINIB,DINACICLIB,SKOV3,-12.882730564800001
4224,DASATINIB,GELDANAMYCIN,SKOV3,4.3729170951
4263,DASATINIB,MK-8669,SKOV3,28.797421563
4316,DASATINIB,MK-8776,SKOV3,19.037635164
4356,DASATINIB,OXALIPLATIN,SKOV3,1.2877106783
4395,DASATINIB,SN-38,SKOV3,4.8147921364999995
4434,DASATINIB,SORAFENIB,SKOV3,10.2805244942
4473,DASATINIB,TOPOTECAN,SKOV3,2.199262074
4512,DEXAMETHASONE,ABT-888,SKOV3,-3.4331718496
4551,DEXAMETHASONE,AZD1775,SKOV3,29.891064586
4590,DEXAMETHASONE,BEZ-235,SKOV3,15.7922015419
4629,DEXAMETHASONE,BORTEZOMIB,SKOV3,3.5209864260000003
4668,DEXAMETHASONE,DASATINIB,SKOV3,32.5124520974
4707,DEXAMETHASONE,DINACICLIB,SKOV3,4.2923703693
4746,DEXAMETHASONE,ERLOTINIB,SKOV3,37.6790228812
4785,DEXAMETHASONE,GELDANAMYCIN,SKOV3,-8.349969985
4824,DEXAMETHASONE,L778123,SKOV3,18.6252506872
4863,DEXAMETHASONE,LAPATINIB,SKOV3,42.1992456777
4902,DEXAMETHASONE,MK-2206,SKOV3,42.3180494296
4941,DEXAMETHASONE,MK-4827,SKOV3,15.4482394245
4980,DEXAMETHASONE,MK-5108,SKOV3,15.609429047
5019,DEXAMETHASONE,MK-8669,SKOV3,40.8156153132
5058,DEXAMETHASONE,MK-8776,SKOV3,12.0819483804
5097,DEXAMETHASONE,PD325901,SKOV3,31.5646213517
5136,DEXAMETHASONE,SORAFENIB,SKOV3,10.1948359784
5175,DEXAMETHASONE,SUNITINIB,SKOV3,27.8423377907
5214,DEXAMETHASONE,TEMOZOLOMIDE,SKOV3,-6.2911920844
5253,DEXAMETHASONE,ZOLINZA,SKOV3,9.3807359588
5292,DINACICLIB,MK-8776,SKOV3,-7.571238900599999
5331,DOXORUBICIN,ABT-888,SKOV3,6.5505951612
5370,DOXORUBICIN,AZD1775,SKOV3,14.3529329616
5409,DOXORUBICIN,BEZ-235,SKOV3,2.361254824
5448,DOXORUBICIN,BORTEZOMIB,SKOV3,-19.9663199629
5487,DOXORUBICIN,DASATINIB,SKOV3,9.895632405
5526,DOXORUBICIN,DINACICLIB,SKOV3,-13.506830649300001
5565,DOXORUBICIN,ERLOTINIB,SKOV3,-21.427938853
5604,DOXORUBICIN,GELDANAMYCIN,SKOV3,-7.552835086900001
5643,DOXORUBICIN,L778123,SKOV3,-28.3192969289
5682,DOXORUBICIN,LAPATINIB,SKOV3,4.529010711600001
5721,DOXORUBICIN,MK-2206,SKOV3,1.9393034994999998
5760,DOXORUBICIN,MK-4827,SKOV3,-17.7392765339
5799,DOXORUBICIN,MK-5108,SKOV3,-17.555008897
5838,DOXORUBICIN,MK-8669,SKOV3,32.255727734000004
5877,DOXORUBICIN,MK-8776,SKOV3,12.0148075675
5916,DOXORUBICIN,PD325901,SKOV3,-4.4457616819
5955,DOXORUBICIN,SORAFENIB,SKOV3,-22.5024665355
