,drug_a_name,drug_b_name,cell_line,synergy
31,5-FU,ABT-888,SW620,0.1081077187
70,5-FU,AZD1775,SW620,8.0516725326
109,5-FU,BEZ-235,SW620,12.0285902424
148,5-FU,BORTEZOMIB,SW620,-1.9079668183
187,5-FU,DASATINIB,SW620,30.444630835300003
226,5-FU,DINACICLIB,SW620,-4.5680713977
265,5-FU,ERLOTINIB,SW620,0.4948904511
304,5-FU,GELDANAMYCIN,SW620,-2.851271236
343,5-FU,L778123,SW620,4.8157967021
382,5-FU,LAPATINIB,SW620,-2.41819166
421,5-FU,MK-2206,SW620,12.555487810399999
460,5-FU,MK-4827,SW620,4.2713930567
499,5-FU,MK-5108,SW620,4.1982352116
538,5-FU,MK-8669,SW620,12.1373778076
591,5-FU,MK-8776,SW620,9.5450615789
592,5-FU,MK-8776,SW620,4.9519582994
631,5-FU,PD325901,SW620,2.3472546751
670,5-FU,SORAFENIB,SW620,0.5741526967
709,5-FU,SUNITINIB,SW620,6.8594980389
748,5-FU,TEMOZOLOMIDE,SW620,4.8401732759
787,5-FU,ZOLINZA,SW620,-17.2280051562
826,ABT-888,BEZ-235,SW620,17.5929650504
865,ABT-888,DINACICLIB,SW620,1.2472249313
904,ABT-888,GELDANAMYCIN,SW620,-15.0026455024
943,ABT-888,MK-8669,SW620,1.0165238754
982,ABT-888,MK-8776,SW620,0.0625902461
1021,ABT-888,OXALIPLATIN,SW620,2.6793459223
1060,ABT-888,SN-38,SW620,17.885222403
1099,ABT-888,SORAFENIB,SW620,15.8963708584
1138,ABT-888,TOPOTECAN,SW620,2.5575598414
1177,AZD1775,ABT-888,SW620,-2.9618192105000003
1230,AZD1775,BEZ-235,SW620,18.5494829065
1231,AZD1775,BEZ-235,SW620,16.7459636297
1270,AZD1775,BORTEZOMIB,SW620,-6.0089265236000005
1323,AZD1775,DASATINIB,SW620,63.864970129300005
1324,AZD1775,DASATINIB,SW620,64.6837360478
1363,AZD1775,DINACICLIB,SW620,-8.463039328099999
1402,AZD1775,ERLOTINIB,SW620,-7.6628195772000005
1441,AZD1775,GELDANAMYCIN,SW620,-9.3368853778
1480,AZD1775,LAPATINIB,SW620,-1.392521851
1519,AZD1775,MK-2206,SW620,10.2263918513
1558,AZD1775,MK-4827,SW620,4.2647799306
1597,AZD1775,MK-5108,SW620,2.0556982233000003
1636,AZD1775,MK-8669,SW620,18.2794411308
1689,AZD1775,MK-8776,SW620,18.6885431138
1690,AZD1775,MK-8776,SW620,26.515583392800004
1729,AZD1775,OXALIPLATIN,SW620,-5.7597495563
1768,AZD1775,PD325901,SW620,5.693653132200001
1807,AZD1775,SN-38,SW620,-3.2486934306
1846,AZD1775,SORAFENIB,SW620,-2.8119482781
1885,AZD1775,TOPOTECAN,SW620,17.1235454095
1924,BEZ-235,DINACICLIB,SW620,-0.6539714494
1963,BEZ-235,MK-8776,SW620,18.4857567546
2002,BEZ-235,OXALIPLATIN,SW620,5.77371613
2041,BEZ-235,SN-38,SW620,1.2621038551000001
2080,BEZ-235,SORAFENIB,SW620,7.1479689107
2119,BORTEZOMIB,ABT-888,SW620,6.5988879977999995
2158,BORTEZOMIB,BEZ-235,SW620,15.5063395107
2197,BORTEZOMIB,DASATINIB,SW620,20.413446807899998
2236,BORTEZOMIB,DINACICLIB,SW620,-17.562270029300002
2275,BORTEZOMIB,GELDANAMYCIN,SW620,-20.8467591734
2314,BORTEZOMIB,MK-8669,SW620,-2.606203184
2353,BORTEZOMIB,MK-8776,SW620,17.045085193800002
2392,BORTEZOMIB,OXALIPLATIN,SW620,-1.7705538954
2431,BORTEZOMIB,SN-38,SW620,-1.3346218754
2470,BORTEZOMIB,SORAFENIB,SW620,4.0954145727
2509,BORTEZOMIB,TOPOTECAN,SW620,7.7471415941999995
2548,CARBOPLATIN,ABT-888,SW620,7.538592412100001
2587,CARBOPLATIN,AZD1775,SW620,-5.3267989279000005
2626,CARBOPLATIN,BEZ-235,SW620,13.5782446719
2665,CARBOPLATIN,BORTEZOMIB,SW620,2.0834946331
2704,CARBOPLATIN,DASATINIB,SW620,15.6871388994
2743,CARBOPLATIN,DINACICLIB,SW620,-6.3778671546000005
2782,CARBOPLATIN,ERLOTINIB,SW620,-5.2245961392
2821,CARBOPLATIN,GELDANAMYCIN,SW620,-24.4347609081
2860,CARBOPLATIN,L778123,SW620,-13.834024971500002
2899,CARBOPLATIN,LAPATINIB,SW620,-11.0971506192
2938,CARBOPLATIN,MK-2206,SW620,21.9681244835
2977,CARBOPLATIN,MK-4827,SW620,12.5817700768
3016,CARBOPLATIN,MK-5108,SW620,0.931082898
3055,CARBOPLATIN,MK-8669,SW620,20.4302389635
3094,CARBOPLATIN,MK-8776,SW620,-3.8514740527
3133,CARBOPLATIN,PD325901,SW620,-17.2062084201
3172,CARBOPLATIN,SORAFENIB,SW620,-15.743521478900002
3211,CARBOPLATIN,SUNITINIB,SW620,4.856379898
3250,CARBOPLATIN,TEMOZOLOMIDE,SW620,1.2186225606
3289,CARBOPLATIN,ZOLINZA,SW620,-12.762539006199999
3328,CYCLOPHOSPHAMIDE,ABT-888,SW620,1.384972156
3367,CYCLOPHOSPHAMIDE,AZD1775,SW620,1.4643702156
3406,CYCLOPHOSPHAMIDE,BEZ-235,SW620,15.9233170886
3445,CYCLOPHOSPHAMIDE,BORTEZOMIB,SW620,8.0770383005
