,drug_a_name,drug_b_name,cell_line,synergy
33,5-FU,ABT-888,T47D,17.4857954498
72,5-FU,AZD1775,T47D,10.0383629005
111,5-FU,BEZ-235,T47D,106.00719237780001
150,5-FU,BORTEZOMIB,T47D,2.7487911813999997
189,5-FU,DASATINIB,T47D,18.8656014132
228,5-FU,DINACICLIB,T47D,-2.721986339
267,5-FU,ERLOTINIB,T47D,-3.0497103681
306,5-FU,GELDANAMYCIN,T47D,30.679994412600003
345,5-FU,L778123,T47D,21.158757331700002
384,5-FU,LAPATINIB,T47D,14.909282783699998
423,5-FU,MK-2206,T47D,5.9686104256
462,5-FU,MK-4827,T47D,-9.8818158289
501,5-FU,MK-5108,T47D,4.9294221133
540,5-FU,MK-8669,T47D,24.178581994
594,5-FU,MK-8776,T47D,2.4581985545
633,5-FU,PD325901,T47D,46.996579565699996
672,5-FU,SORAFENIB,T47D,-4.531377558
711,5-FU,SUNITINIB,T47D,8.9411543323
750,5-FU,TEMOZOLOMIDE,T47D,-31.4891658645
789,5-FU,ZOLINZA,T47D,7.5300079477
828,ABT-888,BEZ-235,T47D,117.0012792555
867,ABT-888,DINACICLIB,T47D,-24.155950645900003
906,ABT-888,GELDANAMYCIN,T47D,-27.2538174851
945,ABT-888,MK-8669,T47D,16.0705422046
984,ABT-888,MK-8776,T47D,6.120087825900001
1023,ABT-888,OXALIPLATIN,T47D,-34.6779441093
1062,ABT-888,SN-38,T47D,39.832311746100004
1101,ABT-888,SORAFENIB,T47D,13.2638387086
1140,ABT-888,TOPOTECAN,T47D,10.2752313972
1179,AZD1775,ABT-888,T47D,-10.323312120599999
1233,AZD1775,BEZ-235,T47D,93.72819504569999
1272,AZD1775,BORTEZOMIB,T47D,-16.2830687845
1326,AZD1775,DASATINIB,T47D,10.4987511773
1365,AZD1775,DINACICLIB,T47D,-8.963166232699999
1404,AZD1775,ERLOTINIB,T47D,7.514099443099999
1443,AZD1775,GELDANAMYCIN,T47D,-15.8364282688
1482,AZD1775,LAPATINIB,T47D,9.333495762
1521,AZD1775,MK-2206,T47D,12.8646286808
1560,AZD1775,MK-4827,T47D,11.0460091061
1599,AZD1775,MK-5108,T47D,3.2420834611
1638,AZD1775,MK-8669,T47D,28.910443896500002
1692,AZD1775,MK-8776,T47D,9.7692426841
1731,AZD1775,OXALIPLATIN,T47D,-2.739560542
1770,AZD1775,PD325901,T47D,-2.8490650148000003
1809,AZD1775,SN-38,T47D,-18.6904782306
1848,AZD1775,SORAFENIB,T47D,3.3932500352
1887,AZD1775,TOPOTECAN,T47D,1.8205549169
1926,BEZ-235,DINACICLIB,T47D,90.9914431494
1965,BEZ-235,MK-8776,T47D,103.96698757840001
2004,BEZ-235,OXALIPLATIN,T47D,87.7694327117
2043,BEZ-235,SN-38,T47D,33.1534160734
2082,BEZ-235,SORAFENIB,T47D,36.9878905605
2121,BORTEZOMIB,ABT-888,T47D,-18.7607313733
2160,BORTEZOMIB,BEZ-235,T47D,87.0212222232
2199,BORTEZOMIB,DASATINIB,T47D,4.1456515656
2238,BORTEZOMIB,DINACICLIB,T47D,-30.844482921500003
2277,BORTEZOMIB,GELDANAMYCIN,T47D,-54.2510565254
2316,BORTEZOMIB,MK-8669,T47D,-11.069716674
