,drug_a_name,drug_b_name,cell_line,synergy
35,5-FU,ABT-888,UWB1289BRCA1,6.5772638315
74,5-FU,AZD1775,UWB1289BRCA1,6.222113978099999
113,5-FU,BEZ-235,UWB1289BRCA1,18.8650385873
152,5-FU,BORTEZOMIB,UWB1289BRCA1,-2.8197803553
191,5-FU,DASATINIB,UWB1289BRCA1,7.6733601203
230,5-FU,DINACICLIB,UWB1289BRCA1,3.0417152863999997
269,5-FU,ERLOTINIB,UWB1289BRCA1,22.191236037600003
308,5-FU,GELDANAMYCIN,UWB1289BRCA1,-7.7470597939
347,5-FU,L778123,UWB1289BRCA1,12.5476353297
386,5-FU,LAPATINIB,UWB1289BRCA1,19.0058752078
425,5-FU,MK-2206,UWB1289BRCA1,21.708366618400003
464,5-FU,MK-4827,UWB1289BRCA1,8.4158777087
503,5-FU,MK-5108,UWB1289BRCA1,13.881785029400001
542,5-FU,MK-8669,UWB1289BRCA1,28.3950480532
596,5-FU,MK-8776,UWB1289BRCA1,-11.1515638625
635,5-FU,PD325901,UWB1289BRCA1,18.943717587200002
674,5-FU,SORAFENIB,UWB1289BRCA1,3.500369213
713,5-FU,SUNITINIB,UWB1289BRCA1,11.791111127999999
752,5-FU,TEMOZOLOMIDE,UWB1289BRCA1,15.8367524097
791,5-FU,ZOLINZA,UWB1289BRCA1,7.8312895709
830,ABT-888,BEZ-235,UWB1289BRCA1,29.6378931798
869,ABT-888,DINACICLIB,UWB1289BRCA1,7.397744958500001
908,ABT-888,GELDANAMYCIN,UWB1289BRCA1,-31.4706221142
947,ABT-888,MK-8669,UWB1289BRCA1,15.174704608299999
986,ABT-888,MK-8776,UWB1289BRCA1,-31.4103634965
1025,ABT-888,OXALIPLATIN,UWB1289BRCA1,-10.6239228098
1064,ABT-888,SN-38,UWB1289BRCA1,5.9695836274000005
1103,ABT-888,SORAFENIB,UWB1289BRCA1,-1.1401653178
1142,ABT-888,TOPOTECAN,UWB1289BRCA1,-15.7065427327
1181,AZD1775,ABT-888,UWB1289BRCA1,-6.0183773546
1235,AZD1775,BEZ-235,UWB1289BRCA1,19.4085608503
1274,AZD1775,BORTEZOMIB,UWB1289BRCA1,-4.1254615564999995
1328,AZD1775,DASATINIB,UWB1289BRCA1,11.9177819313
1367,AZD1775,DINACICLIB,UWB1289BRCA1,-10.3275025715
1406,AZD1775,ERLOTINIB,UWB1289BRCA1,14.5397351212
1445,AZD1775,GELDANAMYCIN,UWB1289BRCA1,-6.9293522865999995
1484,AZD1775,LAPATINIB,UWB1289BRCA1,6.2949325237
1523,AZD1775,MK-2206,UWB1289BRCA1,4.7727231951
1562,AZD1775,MK-4827,UWB1289BRCA1,-11.271838239700001
1601,AZD1775,MK-5108,UWB1289BRCA1,13.180916605799998
1640,AZD1775,MK-8669,UWB1289BRCA1,15.0717614695
1694,AZD1775,MK-8776,UWB1289BRCA1,-8.887047629
1733,AZD1775,OXALIPLATIN,UWB1289BRCA1,-2.0352020771
1772,AZD1775,PD325901,UWB1289BRCA1,9.7157844538
1811,AZD1775,SN-38,UWB1289BRCA1,19.7205533664
1850,AZD1775,SORAFENIB,UWB1289BRCA1,-4.65638725
1889,AZD1775,TOPOTECAN,UWB1289BRCA1,9.1581339083
1928,BEZ-235,DINACICLIB,UWB1289BRCA1,13.8909784967
1967,BEZ-235,MK-8776,UWB1289BRCA1,-18.527575913499998
2006,BEZ-235,OXALIPLATIN,UWB1289BRCA1,17.152633927100002
2045,BEZ-235,SN-38,UWB1289BRCA1,28.181077604000002
2084,BEZ-235,SORAFENIB,UWB1289BRCA1,8.1131521778
2123,BORTEZOMIB,ABT-888,UWB1289BRCA1,1.0694182929
2162,BORTEZOMIB,BEZ-235,UWB1289BRCA1,11.766978099400001
2201,BORTEZOMIB,DASATINIB,UWB1289BRCA1,-1.5353475092
2240,BORTEZOMIB,DINACICLIB,UWB1289BRCA1,-21.8731841181
2279,BORTEZOMIB,GELDANAMYCIN,UWB1289BRCA1,-28.5234905087
2318,BORTEZOMIB,MK-8669,UWB1289BRCA1,4.800447388299999
2357,BORTEZOMIB,MK-8776,UWB1289BRCA1,-30.6757071266
2396,BORTEZOMIB,OXALIPLATIN,UWB1289BRCA1,-6.0658503351999995
2435,BORTEZOMIB,SN-38,UWB1289BRCA1,3.6232778849000002
2474,BORTEZOMIB,SORAFENIB,UWB1289BRCA1,-9.0047234718
2513,BORTEZOMIB,TOPOTECAN,UWB1289BRCA1,-1.8774829778
2552,CARBOPLATIN,ABT-888,UWB1289BRCA1,-10.6314252398
2591,CARBOPLATIN,AZD1775,UWB1289BRCA1,4.5487499126
2630,CARBOPLATIN,BEZ-235,UWB1289BRCA1,22.7406526307
2669,CARBOPLATIN,BORTEZOMIB,UWB1289BRCA1,-10.4345313704
2708,CARBOPLATIN,DASATINIB,UWB1289BRCA1,4.7618458174
2747,CARBOPLATIN,DINACICLIB,UWB1289BRCA1,-10.011996634800001
2786,CARBOPLATIN,ERLOTINIB,UWB1289BRCA1,7.9265809373
2825,CARBOPLATIN,GELDANAMYCIN,UWB1289BRCA1,-25.3637255171
2864,CARBOPLATIN,L778123,UWB1289BRCA1,-0.6820621297
2903,CARBOPLATIN,LAPATINIB,UWB1289BRCA1,9.0317358939
2942,CARBOPLATIN,MK-2206,UWB1289BRCA1,10.97946783
2981,CARBOPLATIN,MK-4827,UWB1289BRCA1,4.2676982308
3020,CARBOPLATIN,MK-5108,UWB1289BRCA1,-5.961142494600001
3059,CARBOPLATIN,MK-8669,UWB1289BRCA1,10.116806581
3098,CARBOPLATIN,MK-8776,UWB1289BRCA1,-8.2286084127
3137,CARBOPLATIN,PD325901,UWB1289BRCA1,-1.4111508262999999
3176,CARBOPLATIN,SORAFENIB,UWB1289BRCA1,-16.0399073829
3215,CARBOPLATIN,SUNITINIB,UWB1289BRCA1,7.127200563300001
3254,CARBOPLATIN,TEMOZOLOMIDE,UWB1289BRCA1,7.0564508059
3293,CARBOPLATIN,ZOLINZA,UWB1289BRCA1,8.2480252738
3332,CYCLOPHOSPHAMIDE,ABT-888,UWB1289BRCA1,-8.4049740696
3371,CYCLOPHOSPHAMIDE,AZD1775,UWB1289BRCA1,6.162722823999999
3410,CYCLOPHOSPHAMIDE,BEZ-235,UWB1289BRCA1,28.897504174
3449,CYCLOPHOSPHAMIDE,BORTEZOMIB,UWB1289BRCA1,-16.0380612892
3488,CYCLOPHOSPHAMIDE,DASATINIB,UWB1289BRCA1,5.5827476399
3527,CYCLOPHOSPHAMIDE,DINACICLIB,UWB1289BRCA1,-7.6240911347
3566,CYCLOPHOSPHAMIDE,ERLOTINIB,UWB1289BRCA1,10.3659383251
3605,CYCLOPHOSPHAMIDE,GELDANAMYCIN,UWB1289BRCA1,7.823650632300001
3644,CYCLOPHOSPHAMIDE,L778123,UWB1289BRCA1,-3.7710201601
3683,CYCLOPHOSPHAMIDE,LAPATINIB,UWB1289BRCA1,-2.0974135511000003
3722,CYCLOPHOSPHAMIDE,MK-2206,UWB1289BRCA1,0.13336029259999999
3761,CYCLOPHOSPHAMIDE,MK-4827,UWB1289BRCA1,6.5806274364999995
3800,CYCLOPHOSPHAMIDE,MK-5108,UWB1289BRCA1,0.416976333
3839,CYCLOPHOSPHAMIDE,MK-8669,UWB1289BRCA1,1.1981813782
3878,CYCLOPHOSPHAMIDE,MK-8776,UWB1289BRCA1,-7.7099304729
3917,CYCLOPHOSPHAMIDE,PD325901,UWB1289BRCA1,5.900661379600001
3956,CYCLOPHOSPHAMIDE,SORAFENIB,UWB1289BRCA1,1.1320088418
3995,CYCLOPHOSPHAMIDE,SUNITINIB,UWB1289BRCA1,6.852236357000001
4034,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,UWB1289BRCA1,7.003231080499999
4073,CYCLOPHOSPHAMIDE,ZOLINZA,UWB1289BRCA1,3.0092451318999998
4112,DASATINIB,ABT-888,UWB1289BRCA1,5.0899534441
4151,DASATINIB,BEZ-235,UWB1289BRCA1,26.2543156776
4190,DASATINIB,DINACICLIB,UWB1289BRCA1,6.064519702799999
4229,DASATINIB,GELDANAMYCIN,UWB1289BRCA1,-23.4469544423
4268,DASATINIB,MK-8669,UWB1289BRCA1,-2.7618163450999997
4322,DASATINIB,MK-8776,UWB1289BRCA1,-24.0633358944
4361,DASATINIB,OXALIPLATIN,UWB1289BRCA1,-2.8835284435000004
4400,DASATINIB,SN-38,UWB1289BRCA1,16.9282814806
4439,DASATINIB,SORAFENIB,UWB1289BRCA1,3.677097608
4478,DASATINIB,TOPOTECAN,UWB1289BRCA1,4.4796726536
4517,DEXAMETHASONE,ABT-888,UWB1289BRCA1,-0.5882335114
4556,DEXAMETHASONE,AZD1775,UWB1289BRCA1,4.1073435624000005
4595,DEXAMETHASONE,BEZ-235,UWB1289BRCA1,30.2550577836
4634,DEXAMETHASONE,BORTEZOMIB,UWB1289BRCA1,-3.8680898377
