,drug_a_name,drug_b_name,cell_line,synergy
38,5-FU,ABT-888,ZR751,-8.6753170435
77,5-FU,AZD1775,ZR751,0.423932097
116,5-FU,BEZ-235,ZR751,7.0759828056
155,5-FU,BORTEZOMIB,ZR751,-17.451375272699998
194,5-FU,DASATINIB,ZR751,5.1142794332
233,5-FU,DINACICLIB,ZR751,-13.5823901433
272,5-FU,ERLOTINIB,ZR751,22.830617603
311,5-FU,GELDANAMYCIN,ZR751,-15.0092845632
350,5-FU,L778123,ZR751,8.120486489600001
389,5-FU,LAPATINIB,ZR751,14.6763066586
428,5-FU,MK-2206,ZR751,11.5602363877
467,5-FU,MK-4827,ZR751,3.1821546666000002
506,5-FU,MK-5108,ZR751,0.8270235376
545,5-FU,MK-8669,ZR751,10.3250317023
599,5-FU,MK-8776,ZR751,-0.4083073108
638,5-FU,PD325901,ZR751,-7.0184742351
677,5-FU,SORAFENIB,ZR751,-11.361792658599999
716,5-FU,SUNITINIB,ZR751,6.1696274325
755,5-FU,TEMOZOLOMIDE,ZR751,-51.9886204389
794,5-FU,ZOLINZA,ZR751,-20.6775127639
833,ABT-888,BEZ-235,ZR751,27.4259294397
872,ABT-888,DINACICLIB,ZR751,-9.2852862513
911,ABT-888,GELDANAMYCIN,ZR751,-17.080157941
950,ABT-888,MK-8669,ZR751,-1.645029592
989,ABT-888,MK-8776,ZR751,-32.47762672
1028,ABT-888,OXALIPLATIN,ZR751,-16.1191866705
1067,ABT-888,SN-38,ZR751,-12.2436489623
1106,ABT-888,SORAFENIB,ZR751,-4.4692265531999995
1145,ABT-888,TOPOTECAN,ZR751,-3.7912714445
1184,AZD1775,ABT-888,ZR751,-11.1913997646
1238,AZD1775,BEZ-235,ZR751,19.349738678199998
1277,AZD1775,BORTEZOMIB,ZR751,-11.2149675714
1331,AZD1775,DASATINIB,ZR751,-23.9716591126
1370,AZD1775,DINACICLIB,ZR751,-14.958497474200001
1409,AZD1775,ERLOTINIB,ZR751,6.080419515599999
1448,AZD1775,GELDANAMYCIN,ZR751,-12.4671211596
1487,AZD1775,LAPATINIB,ZR751,-12.031497390699998
1526,AZD1775,MK-2206,ZR751,3.4226212879
1565,AZD1775,MK-4827,ZR751,11.7294860826
1604,AZD1775,MK-5108,ZR751,-7.2779572345000005
1643,AZD1775,MK-8669,ZR751,9.9256046962
1697,AZD1775,MK-8776,ZR751,36.0181177466
1736,AZD1775,OXALIPLATIN,ZR751,-6.539459225
1775,AZD1775,PD325901,ZR751,-5.4288711005999994
1814,AZD1775,SN-38,ZR751,16.5595887928
1853,AZD1775,SORAFENIB,ZR751,-15.882404169500001
1892,AZD1775,TOPOTECAN,ZR751,14.9688599574
1931,BEZ-235,DINACICLIB,ZR751,13.9030474373
1970,BEZ-235,MK-8776,ZR751,12.8650520419
2009,BEZ-235,OXALIPLATIN,ZR751,-2.4291901343999998
2048,BEZ-235,SN-38,ZR751,23.4844394396
2087,BEZ-235,SORAFENIB,ZR751,-9.530870524800001
2126,BORTEZOMIB,ABT-888,ZR751,-21.0392029808
2165,BORTEZOMIB,BEZ-235,ZR751,19.3240243009
2204,BORTEZOMIB,DASATINIB,ZR751,39.539088775799996
2243,BORTEZOMIB,DINACICLIB,ZR751,-28.275177061399997
2282,BORTEZOMIB,GELDANAMYCIN,ZR751,-65.7598137284
2321,BORTEZOMIB,MK-8669,ZR751,-0.3055330878
2360,BORTEZOMIB,MK-8776,ZR751,-25.9290630909
2399,BORTEZOMIB,OXALIPLATIN,ZR751,-30.6487319443
2438,BORTEZOMIB,SN-38,ZR751,1.9699858376
2477,BORTEZOMIB,SORAFENIB,ZR751,-27.0469457197
2516,BORTEZOMIB,TOPOTECAN,ZR751,-22.4135303565
2555,CARBOPLATIN,ABT-888,ZR751,8.811154414099999
2594,CARBOPLATIN,AZD1775,ZR751,-5.660102575800001
2633,CARBOPLATIN,BEZ-235,ZR751,5.3681475252999995
2672,CARBOPLATIN,BORTEZOMIB,ZR751,30.4483020957
2711,CARBOPLATIN,DASATINIB,ZR751,2.6658102047
2750,CARBOPLATIN,DINACICLIB,ZR751,-9.8214624005
2789,CARBOPLATIN,ERLOTINIB,ZR751,31.1673383217
2828,CARBOPLATIN,GELDANAMYCIN,ZR751,-34.8495110418
2867,CARBOPLATIN,L778123,ZR751,0.0426410111
2906,CARBOPLATIN,LAPATINIB,ZR751,18.7417210189
2945,CARBOPLATIN,MK-2206,ZR751,-15.4167155151
2984,CARBOPLATIN,MK-4827,ZR751,-4.7877982207
3023,CARBOPLATIN,MK-5108,ZR751,3.4012201937
3062,CARBOPLATIN,MK-8669,ZR751,15.0306532096
3101,CARBOPLATIN,MK-8776,ZR751,6.1923895864
3140,CARBOPLATIN,PD325901,ZR751,-22.4748662607
3179,CARBOPLATIN,SORAFENIB,ZR751,-24.460105385100004
3218,CARBOPLATIN,SUNITINIB,ZR751,12.708767156099999
3257,CARBOPLATIN,TEMOZOLOMIDE,ZR751,-41.817275562
3296,CARBOPLATIN,ZOLINZA,ZR751,-3.9428995318999998
3335,CYCLOPHOSPHAMIDE,ABT-888,ZR751,-32.2162925154
3374,CYCLOPHOSPHAMIDE,AZD1775,ZR751,0.0690818441
3413,CYCLOPHOSPHAMIDE,BEZ-235,ZR751,16.9662124657
3452,CYCLOPHOSPHAMIDE,BORTEZOMIB,ZR751,8.8652708064
3491,CYCLOPHOSPHAMIDE,DASATINIB,ZR751,-16.7646277344
3530,CYCLOPHOSPHAMIDE,DINACICLIB,ZR751,10.042299094199999
3569,CYCLOPHOSPHAMIDE,ERLOTINIB,ZR751,5.8627990385
3608,CYCLOPHOSPHAMIDE,GELDANAMYCIN,ZR751,-6.707725763099999
3647,CYCLOPHOSPHAMIDE,L778123,ZR751,-8.9685545456
3686,CYCLOPHOSPHAMIDE,LAPATINIB,ZR751,11.3977278868
3725,CYCLOPHOSPHAMIDE,MK-2206,ZR751,8.6451360938
3764,CYCLOPHOSPHAMIDE,MK-4827,ZR751,16.2660200724
3803,CYCLOPHOSPHAMIDE,MK-5108,ZR751,6.153387109500001
3842,CYCLOPHOSPHAMIDE,MK-8669,ZR751,13.901513149000001
3881,CYCLOPHOSPHAMIDE,MK-8776,ZR751,12.8172423584
3920,CYCLOPHOSPHAMIDE,PD325901,ZR751,10.751487333
3959,CYCLOPHOSPHAMIDE,SORAFENIB,ZR751,-15.2818756494
3998,CYCLOPHOSPHAMIDE,SUNITINIB,ZR751,-0.3350426795
4037,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,ZR751,6.7791244733000005
4076,CYCLOPHOSPHAMIDE,ZOLINZA,ZR751,33.6418155065
4115,DASATINIB,ABT-888,ZR751,-15.687141125799998
4154,DASATINIB,BEZ-235,ZR751,21.548383250700002
4193,DASATINIB,DINACICLIB,ZR751,-17.0490758879
4232,DASATINIB,GELDANAMYCIN,ZR751,-23.6469255598
4271,DASATINIB,MK-8669,ZR751,16.7611652639
4325,DASATINIB,MK-8776,ZR751,20.482150596900002
4364,DASATINIB,OXALIPLATIN,ZR751,1.0653526006
4403,DASATINIB,SN-38,ZR751,-4.6750337263
4442,DASATINIB,SORAFENIB,ZR751,21.3493315306
4481,DASATINIB,TOPOTECAN,ZR751,-0.0467316861
4520,DEXAMETHASONE,ABT-888,ZR751,13.771881394400001
4559,DEXAMETHASONE,AZD1775,ZR751,17.6388729774
4598,DEXAMETHASONE,BEZ-235,ZR751,27.969956077600003
4637,DEXAMETHASONE,BORTEZOMIB,ZR751,5.2988623857
4676,DEXAMETHASONE,DASATINIB,ZR751,0.9221920981
4715,DEXAMETHASONE,DINACICLIB,ZR751,-13.9008650847
4754,DEXAMETHASONE,ERLOTINIB,ZR751,29.720837618
4793,DEXAMETHASONE,GELDANAMYCIN,ZR751,-17.597478379200002
4832,DEXAMETHASONE,L778123,ZR751,10.211649979199999
4871,DEXAMETHASONE,LAPATINIB,ZR751,34.2269623584
4910,DEXAMETHASONE,MK-2206,ZR751,25.163230184499998
4949,DEXAMETHASONE,MK-4827,ZR751,20.4673832304
4988,DEXAMETHASONE,MK-5108,ZR751,14.045695691199999
5027,DEXAMETHASONE,MK-8669,ZR751,37.898839130300004
5066,DEXAMETHASONE,MK-8776,ZR751,20.5854846945
5105,DEXAMETHASONE,PD325901,ZR751,8.3183963284
5144,DEXAMETHASONE,SORAFENIB,ZR751,-17.4022848798
5183,DEXAMETHASONE,SUNITINIB,ZR751,8.9443440748
5222,DEXAMETHASONE,TEMOZOLOMIDE,ZR751,-61.9562351913
5261,DEXAMETHASONE,ZOLINZA,ZR751,5.571742765700001
5300,DINACICLIB,MK-8776,ZR751,-12.474116602
5339,DOXORUBICIN,ABT-888,ZR751,0.8329332912999999
5378,DOXORUBICIN,AZD1775,ZR751,8.4574974534
5417,DOXORUBICIN,BEZ-235,ZR751,19.2790193976
5456,DOXORUBICIN,BORTEZOMIB,ZR751,-18.2406492122
5495,DOXORUBICIN,DASATINIB,ZR751,14.9304854577
5534,DOXORUBICIN,DINACICLIB,ZR751,3.5448548002999996
5573,DOXORUBICIN,ERLOTINIB,ZR751,22.757319027399998
5612,DOXORUBICIN,GELDANAMYCIN,ZR751,-5.531905167100001
5651,DOXORUBICIN,L778123,ZR751,-0.13680700140000002
5690,DOXORUBICIN,LAPATINIB,ZR751,20.6148908318
5729,DOXORUBICIN,MK-2206,ZR751,16.4296990845
5768,DOXORUBICIN,MK-4827,ZR751,-4.8960836786
5807,DOXORUBICIN,MK-5108,ZR751,-10.855288990899998
5846,DOXORUBICIN,MK-8669,ZR751,20.0684819899
5885,DOXORUBICIN,MK-8776,ZR751,-0.5083213514
5924,DOXORUBICIN,PD325901,ZR751,10.779252250999999
5963,DOXORUBICIN,SORAFENIB,ZR751,-18.7422205373
6002,DOXORUBICIN,SUNITINIB,ZR751,-6.1199831301
6041,DOXORUBICIN,TEMOZOLOMIDE,ZR751,-13.2772907668
6080,DOXORUBICIN,ZOLINZA,ZR751,9.802360564299999
6119,ERLOTINIB,ABT-888,ZR751,-1.4024356535
6158,ERLOTINIB,BEZ-235,ZR751,52.1263634033
6197,ERLOTINIB,BORTEZOMIB,ZR751,13.7066595992
6236,ERLOTINIB,DASATINIB,ZR751,-53.728335465600004
6275,ERLOTINIB,DINACICLIB,ZR751,13.891805896800001
6314,ERLOTINIB,GELDANAMYCIN,ZR751,2.627795424
6353,ERLOTINIB,MK-8669,ZR751,71.4389643911
6392,ERLOTINIB,MK-8776,ZR751,15.1315128941
6431,ERLOTINIB,OXALIPLATIN,ZR751,11.7989053681
6470,ERLOTINIB,PD325901,ZR751,32.238418838
6509,ERLOTINIB,SN-38,ZR751,52.344675251999995
6548,ERLOTINIB,SORAFENIB,ZR751,-3.0340917061000003
6587,ERLOTINIB,TOPOTECAN,ZR751,52.94124794060001
6626,ETOPOSIDE,ABT-888,ZR751,23.689779189
6665,ETOPOSIDE,AZD1775,ZR751,3.7515684418
6704,ETOPOSIDE,BEZ-235,ZR751,37.2080862535
6743,ETOPOSIDE,BORTEZOMIB,ZR751,26.755043257199997
6782,ETOPOSIDE,DASATINIB,ZR751,5.1294309674
6821,ETOPOSIDE,DINACICLIB,ZR751,7.9213208801
6860,ETOPOSIDE,ERLOTINIB,ZR751,51.4737549582
6899,ETOPOSIDE,GELDANAMYCIN,ZR751,0.8029800266
6938,ETOPOSIDE,LAPATINIB,ZR751,42.9479522551
6977,ETOPOSIDE,MK-2206,ZR751,20.5992140762
7016,ETOPOSIDE,MK-4827,ZR751,3.0781897737
7055,ETOPOSIDE,MK-5108,ZR751,-13.8017816873
7094,ETOPOSIDE,MK-8669,ZR751,9.3885265477
7133,ETOPOSIDE,MK-8776,ZR751,18.6343410854
7172,ETOPOSIDE,PD325901,ZR751,48.625321403
7211,ETOPOSIDE,SORAFENIB,ZR751,-11.7468991556
7250,ETOPOSIDE,SUNITINIB,ZR751,9.4358092134
7289,ETOPOSIDE,TEMOZOLOMIDE,ZR751,-16.3994372551
7328,ETOPOSIDE,ZOLINZA,ZR751,22.8357364454
7367,GELDANAMYCIN,BEZ-235,ZR751,8.741861177899999
7406,GELDANAMYCIN,DINACICLIB,ZR751,-19.0745850314
7445,GELDANAMYCIN,MK-8776,ZR751,-28.7324089242
7484,GELDANAMYCIN,OXALIPLATIN,ZR751,-8.5072166499
7523,GELDANAMYCIN,SN-38,ZR751,-8.5505882298
7562,GELDANAMYCIN,SORAFENIB,ZR751,-17.095557936800002
7601,GELDANAMYCIN,TOPOTECAN,ZR751,2.7124903936
7640,GEMCITABINE,ABT-888,ZR751,0.8753474196
7694,GEMCITABINE,AZD1775,ZR751,14.356057838900002
7733,GEMCITABINE,BEZ-235,ZR751,15.5154738283
7772,GEMCITABINE,BORTEZOMIB,ZR751,-5.297913711700001
7811,GEMCITABINE,DASATINIB,ZR751,28.6050435431
7850,GEMCITABINE,DINACICLIB,ZR751,-6.6698750783000005
7889,GEMCITABINE,ERLOTINIB,ZR751,37.4891794247
7928,GEMCITABINE,GELDANAMYCIN,ZR751,-5.9525875923000005
7967,GEMCITABINE,LAPATINIB,ZR751,26.627034698699998
8006,GEMCITABINE,MK-2206,ZR751,9.4158128041
8045,GEMCITABINE,MK-4827,ZR751,6.1845839725
8084,GEMCITABINE,MK-5108,ZR751,-3.1024825656
8123,GEMCITABINE,MK-8669,ZR751,13.089433259200002
8177,GEMCITABINE,MK-8776,ZR751,26.8378988771
8216,GEMCITABINE,PD325901,ZR751,16.1268986452
8255,GEMCITABINE,SORAFENIB,ZR751,-3.9317014627
8294,GEMCITABINE,SUNITINIB,ZR751,5.0721806881000004
8333,GEMCITABINE,TEMOZOLOMIDE,ZR751,-9.6686031983
8372,L778123,ABT-888,ZR751,-5.0027610619
8426,L778123,AZD1775,ZR751,7.160703519
8465,L778123,BEZ-235,ZR751,30.2005361657
8504,L778123,BORTEZOMIB,ZR751,-19.58453346
8543,L778123,DASATINIB,ZR751,5.9267607703
8582,L778123,DINACICLIB,ZR751,-0.6179467943
8621,L778123,ERLOTINIB,ZR751,23.0467437094
8660,L778123,ETOPOSIDE,ZR751,20.0084293504
8699,L778123,GELDANAMYCIN,ZR751,-2.2887839994999997
8738,L778123,GEMCITABINE,ZR751,-2.1285771942
8777,L778123,LAPATINIB,ZR751,23.561618345
8816,L778123,MK-2206,ZR751,24.3736173617
8855,L778123,MK-4827,ZR751,-0.4159054259
8894,L778123,MK-5108,ZR751,-10.6494526421
8948,L778123,MK-8669,ZR751,31.4696404169
8987,L778123,MK-8776,ZR751,0.7964945137
9026,L778123,OXALIPLATIN,ZR751,7.7472031905
9065,L778123,PD325901,ZR751,15.4567115321
9104,L778123,SN-38,ZR751,13.8873247214
9143,L778123,SORAFENIB,ZR751,-7.8100854136
9182,L778123,SUNITINIB,ZR751,5.737979434800001
9221,L778123,TEMOZOLOMIDE,ZR751,-29.407782533899997
9260,L778123,TOPOTECAN,ZR751,11.3831517696
9299,L778123,VINORELBINE,ZR751,3.8487336533999996
9338,L778123,ZOLINZA,ZR751,-7.603948635599999
9377,LAPATINIB,ABT-888,ZR751,7.7593649049
9416,LAPATINIB,BEZ-235,ZR751,41.2394380183
9455,LAPATINIB,BORTEZOMIB,ZR751,16.208837106
9494,LAPATINIB,DASATINIB,ZR751,-34.484918688899995
9533,LAPATINIB,DINACICLIB,ZR751,15.1863722247
9572,LAPATINIB,ERLOTINIB,ZR751,5.7557989957
9611,LAPATINIB,GELDANAMYCIN,ZR751,-0.09687073019999999
9665,LAPATINIB,MK-2206,ZR751,48.8665580119
9704,LAPATINIB,MK-4827,ZR751,14.4219717571
9743,LAPATINIB,MK-5108,ZR751,9.099931249199999
9782,LAPATINIB,MK-8669,ZR751,51.107325486499995
9821,LAPATINIB,MK-8776,ZR751,4.8791502128
9860,LAPATINIB,OXALIPLATIN,ZR751,7.3430464640999995
9899,LAPATINIB,PD325901,ZR751,53.385313170799996
9938,LAPATINIB,SN-38,ZR751,36.7486674563
9977,LAPATINIB,SORAFENIB,ZR751,-10.008092618400001
10016,LAPATINIB,TOPOTECAN,ZR751,42.3378974775
10055,METFORMIN,ABT-888,ZR751,-16.567672088
10094,METFORMIN,AZD1775,ZR751,-17.074995118
10133,METFORMIN,BEZ-235,ZR751,15.924123523699999
10172,METFORMIN,BORTEZOMIB,ZR751,-21.0443271623
10211,METFORMIN,DASATINIB,ZR751,-11.3491027771
10250,METFORMIN,DINACICLIB,ZR751,-16.4555912151
10289,METFORMIN,ERLOTINIB,ZR751,11.2021046627
10328,METFORMIN,GELDANAMYCIN,ZR751,-19.4275063548
10367,METFORMIN,L778123,ZR751,-10.0959487663
10406,METFORMIN,LAPATINIB,ZR751,20.685565084
10445,METFORMIN,MK-2206,ZR751,-7.1075170981
10484,METFORMIN,MK-4827,ZR751,-7.351932586
10523,METFORMIN,MK-5108,ZR751,-11.5132787922
10562,METFORMIN,MK-8669,ZR751,17.0510904624
10601,METFORMIN,MK-8776,ZR751,-37.6463331733
10640,METFORMIN,PD325901,ZR751,-17.7938501681
10679,METFORMIN,SORAFENIB,ZR751,-18.5040342079
10718,METFORMIN,SUNITINIB,ZR751,-9.1242914758
10757,METFORMIN,TEMOZOLOMIDE,ZR751,-71.7894255798
10796,METFORMIN,ZOLINZA,ZR751,-17.7220456552
10835,METHOTREXATE,ABT-888,ZR751,-12.042648416099999
10874,METHOTREXATE,AZD1775,ZR751,-13.9776903227
10913,METHOTREXATE,BEZ-235,ZR751,-6.9894717571000005
10952,METHOTREXATE,BORTEZOMIB,ZR751,-39.8720635883
10991,METHOTREXATE,DASATINIB,ZR751,-29.4091713431
11030,METHOTREXATE,DINACICLIB,ZR751,-8.3144484179
11069,METHOTREXATE,ERLOTINIB,ZR751,-8.751963613200001
11108,METHOTREXATE,GELDANAMYCIN,ZR751,-26.0080828327
11147,METHOTREXATE,L778123,ZR751,-14.897364028
11186,METHOTREXATE,LAPATINIB,ZR751,-21.390175142100002
11225,METHOTREXATE,MK-2206,ZR751,-15.846145610899999
11264,METHOTREXATE,MK-4827,ZR751,-12.7675225913
11303,METHOTREXATE,MK-5108,ZR751,-18.653147630899998
11342,METHOTREXATE,MK-8669,ZR751,-19.5490897193
11381,METHOTREXATE,MK-8776,ZR751,-20.98974582
11420,METHOTREXATE,PD325901,ZR751,-14.258951310799999
11459,METHOTREXATE,SORAFENIB,ZR751,-13.774166678
11498,METHOTREXATE,SUNITINIB,ZR751,-15.34042034
11537,METHOTREXATE,TEMOZOLOMIDE,ZR751,-65.91974352439999
11576,METHOTREXATE,ZOLINZA,ZR751,-21.4562791159
11615,MITOMYCINE,ABT-888,ZR751,14.951261278499999
11654,MITOMYCINE,AZD1775,ZR751,13.6212540441
11693,MITOMYCINE,BEZ-235,ZR751,23.3795661098
11732,MITOMYCINE,BORTEZOMIB,ZR751,-34.0545743932
11771,MITOMYCINE,DASATINIB,ZR751,16.6564666969
11810,MITOMYCINE,DINACICLIB,ZR751,-21.7196869536
11849,MITOMYCINE,ERLOTINIB,ZR751,16.4277575212
11888,MITOMYCINE,GELDANAMYCIN,ZR751,-0.5128595845
11927,MITOMYCINE,L778123,ZR751,-1.7605305659000001
11966,MITOMYCINE,LAPATINIB,ZR751,34.7854394772
12005,MITOMYCINE,MK-2206,ZR751,26.5919533818
12044,MITOMYCINE,MK-4827,ZR751,-2.1641125568
12083,MITOMYCINE,MK-5108,ZR751,-22.3375531406
12122,MITOMYCINE,MK-8669,ZR751,22.172217912199997
12176,MITOMYCINE,MK-8776,ZR751,6.294589058200001
12215,MITOMYCINE,PD325901,ZR751,27.955719734699997
12254,MITOMYCINE,SORAFENIB,ZR751,-43.846599314799995
12293,MITOMYCINE,SUNITINIB,ZR751,6.059045182699999
12332,MITOMYCINE,TEMOZOLOMIDE,ZR751,-52.0442686953
12371,MITOMYCINE,ZOLINZA,ZR751,-23.7886763027
12410,MK-2206,ABT-888,ZR751,8.6509875938
12449,MK-2206,BEZ-235,ZR751,36.7535802396
12488,MK-2206,BORTEZOMIB,ZR751,-11.9883651209
12527,MK-2206,DASATINIB,ZR751,27.622349203899997
12566,MK-2206,DINACICLIB,ZR751,8.5125746296
12620,MK-2206,ERLOTINIB,ZR751,51.8778922908
12659,MK-2206,GELDANAMYCIN,ZR751,1.0199160673999998
12713,MK-2206,MK-8669,ZR751,34.534191470399996
12752,MK-2206,MK-8776,ZR751,17.508468420899998
12791,MK-2206,OXALIPLATIN,ZR751,-9.7708734302
12830,MK-2206,PD325901,ZR751,41.9263883251
12869,MK-2206,SN-38,ZR751,22.117025501300002
12908,MK-2206,SORAFENIB,ZR751,-9.8441460226
12947,MK-2206,TOPOTECAN,ZR751,31.524882461599997
12986,MK-4541,5-FU,ZR751,-1.7867343319
13025,MK-4541,ABT-888,ZR751,-17.2015606243
13064,MK-4541,AZD1775,ZR751,-8.8604791215
13103,MK-4541,BEZ-235,ZR751,20.4270666865
13142,MK-4541,BORTEZOMIB,ZR751,-48.4043743012
13181,MK-4541,CARBOPLATIN,ZR751,9.017850723099999
13220,MK-4541,CYCLOPHOSPHAMIDE,ZR751,-23.790494039200002
13259,MK-4541,DASATINIB,ZR751,-41.641198290300004
13298,MK-4541,DEXAMETHASONE,ZR751,14.8700239077
13337,MK-4541,DINACICLIB,ZR751,-7.1889808254
13376,MK-4541,DOXORUBICIN,ZR751,18.1351596891
13415,MK-4541,ERLOTINIB,ZR751,29.397716809400002
13454,MK-4541,ETOPOSIDE,ZR751,20.3783512186
13493,MK-4541,GELDANAMYCIN,ZR751,-8.129937164500001
13532,MK-4541,GEMCITABINE,ZR751,3.2537788098
13571,MK-4541,L778123,ZR751,-0.8711310187000001
13610,MK-4541,LAPATINIB,ZR751,27.1319405357
13649,MK-4541,METFORMIN,ZR751,-40.9699228039
13688,MK-4541,METHOTREXATE,ZR751,-27.466606008499998
13727,MK-4541,MITOMYCINE,ZR751,-30.9189810902
13766,MK-4541,MK-2206,ZR751,22.583160736900002
13805,MK-4541,MK-4827,ZR751,13.7473456673
13844,MK-4541,MK-5108,ZR751,-11.876354363099999
13883,MK-4541,MK-8669,ZR751,30.6485223188
13922,MK-4541,MK-8776,ZR751,-6.6233961818
13961,MK-4541,MRK-003,ZR751,-12.0859922646
14000,MK-4541,OXALIPLATIN,ZR751,0.4483331758
14039,MK-4541,PACLITAXEL,ZR751,-11.7977856485
14078,MK-4541,PD325901,ZR751,5.511156249500001
14117,MK-4541,SN-38,ZR751,-4.7908686208999995
14156,MK-4541,SORAFENIB,ZR751,-28.6429010652
14195,MK-4541,SUNITINIB,ZR751,0.7814178829999999
14234,MK-4541,TEMOZOLOMIDE,ZR751,-102.1366253672
14273,MK-4541,TOPOTECAN,ZR751,15.647678588
14312,MK-4541,VINBLASTINE,ZR751,-31.692818710500003
14351,MK-4541,VINORELBINE,ZR751,-29.2003368238
14390,MK-4541,ZOLINZA,ZR751,-27.1993822514
14429,MK-4827,ABT-888,ZR751,-18.8128831897
14468,MK-4827,BEZ-235,ZR751,13.616214926300001
14507,MK-4827,BORTEZOMIB,ZR751,2.0855471541
14546,MK-4827,DASATINIB,ZR751,27.370807755500003
14585,MK-4827,DINACICLIB,ZR751,3.0565088035000003
14624,MK-4827,ERLOTINIB,ZR751,26.6192154096
14663,MK-4827,GELDANAMYCIN,ZR751,-11.9360223345
14702,MK-4827,MK-2206,ZR751,22.465102093800002
14741,MK-4827,MK-8669,ZR751,25.7440428633
14795,MK-4827,MK-8776,ZR751,7.2023688087
14834,MK-4827,OXALIPLATIN,ZR751,-6.5414357959
14873,MK-4827,PD325901,ZR751,13.9316684254
14927,MK-4827,SN-38,ZR751,27.025258375900002
14966,MK-4827,SORAFENIB,ZR751,-20.4973208881
15005,MK-4827,TOPOTECAN,ZR751,10.9801153323
15044,MK-5108,ABT-888,ZR751,-13.8228584549
15083,MK-5108,BEZ-235,ZR751,15.7635331673
15122,MK-5108,BORTEZOMIB,ZR751,-28.8017215539
15161,MK-5108,DASATINIB,ZR751,1.306260808
15200,MK-5108,DINACICLIB,ZR751,-17.7215887581
15239,MK-5108,ERLOTINIB,ZR751,28.6856744185
15278,MK-5108,GELDANAMYCIN,ZR751,-23.119287865700002
15317,MK-5108,MK-2206,ZR751,21.899074796300003
15356,MK-5108,MK-4827,ZR751,0.7388143262000001
15395,MK-5108,MK-8669,ZR751,19.872391724
15434,MK-5108,MK-8776,ZR751,-8.3119245299
15473,MK-5108,OXALIPLATIN,ZR751,-19.6652054307
15512,MK-5108,PD325901,ZR751,-18.510086458
15551,MK-5108,SN-38,ZR751,0.1696533505
15590,MK-5108,SORAFENIB,ZR751,-8.6589221197
15629,MK-5108,TOPOTECAN,ZR751,-1.0657626983
15668,MK-8669,BEZ-235,ZR751,63.9087828196
15707,MK-8669,DINACICLIB,ZR751,13.781349722
15746,MK-8669,GELDANAMYCIN,ZR751,2.6863998161000002
15785,MK-8669,MK-8776,ZR751,10.7158604385
15824,MK-8669,OXALIPLATIN,ZR751,4.3776193888
15863,MK-8669,SN-38,ZR751,27.6571271414
15902,MK-8669,SORAFENIB,ZR751,-2.9052253855
15941,MK-8669,TOPOTECAN,ZR751,27.5378498006
15980,MRK-003,5-FU,ZR751,-7.1686781797000005
16019,MRK-003,ABT-888,ZR751,-18.408943581
16058,MRK-003,AZD1775,ZR751,-3.4294154783999997
16097,MRK-003,BEZ-235,ZR751,12.968705101500001
16136,MRK-003,BORTEZOMIB,ZR751,-22.614825128400003
16175,MRK-003,CARBOPLATIN,ZR751,-10.0253928971
16214,MRK-003,CYCLOPHOSPHAMIDE,ZR751,-4.6610165109
16253,MRK-003,DASATINIB,ZR751,-8.1184115265
16292,MRK-003,DEXAMETHASONE,ZR751,4.6885395998
16331,MRK-003,DINACICLIB,ZR751,-21.1669209557
16370,MRK-003,DOXORUBICIN,ZR751,-9.6039663077
16409,MRK-003,ERLOTINIB,ZR751,18.7715476601
16448,MRK-003,ETOPOSIDE,ZR751,-1.6299173745
16487,MRK-003,GELDANAMYCIN,ZR751,-15.7191075431
16526,MRK-003,GEMCITABINE,ZR751,1.4129831106
16565,MRK-003,L778123,ZR751,-11.5700837247
16619,MRK-003,LAPATINIB,ZR751,5.9651010502999995
16658,MRK-003,METFORMIN,ZR751,-21.8101509073
16697,MRK-003,METHOTREXATE,ZR751,-17.223999042
16736,MRK-003,MITOMYCINE,ZR751,-7.965652086
16775,MRK-003,MK-2206,ZR751,5.2382381265
16814,MRK-003,MK-4827,ZR751,10.2534081588
16853,MRK-003,MK-5108,ZR751,-10.2561539728
16892,MRK-003,MK-8669,ZR751,9.8098504798
16931,MRK-003,MK-8776,ZR751,-9.830431315
