cell_line,acc,prec,recall,f1,roc_auc,kappa
T47D,0.963855421686747,0.9050632911392406,0.7606382978723404,0.8265895953757225,0.875224040240518,0.8065839146172847
UWB1289BRCA1,0.9795180722891567,0.7111111111111111,0.6037735849056604,0.6530612244897959,0.7978419884702539,0.642581217149009
HCT116,0.9666471620830895,0.6730769230769231,0.4666666666666667,0.5511811023622049,0.7281313749490005,0.534450375878763
KPL1,0.9626506024096385,0.8210116731517509,0.9295154185022027,0.871900826446281,0.9487074650082541,0.8501373110335166
UWB1289,0.986144578313253,0.9298245614035088,0.8760330578512396,0.902127659574468,0.9354174386072313,0.8946793485457033
MSTO,0.9632530120481928,0.8922558922558923,0.9013605442176871,0.8967851099830796,0.9389672413621378,0.8744333005962124
SKMEL30,0.9524096385542169,0.8098591549295775,0.688622754491018,0.7443365695792881,0.8352691803265538,0.7182886799910636
HT144,0.9722891566265061,0.8384615384615385,0.8134328358208955,0.8257575757575758,0.8998356839654936,0.8107089737233515
MDAMB436,0.9819277108433735,0.8392857142857143,0.6911764705882353,0.7580645161290324,0.8427616021282884,0.748769069335701
RKO,0.9662650602409638,0.8230088495575221,0.7209302325581395,0.7685950413223139,0.8539334376376589,0.7504871620061949
RPMI7951,0.9873493975903614,0.7659574468085106,0.782608695652174,0.7741935483870968,0.8878966650503743,0.7676867302873593
A2058,0.9578700994733762,0.8018433179723502,0.8571428571428571,0.8285714285714285,0.9142952001517739,0.8045858359351923
SKOV3,0.9590361445783132,0.8641304347826086,0.7871287128712872,0.8238341968911918,0.8849909682326257,0.8007146589833765
OV90,0.9837349397590361,0.900990099009901,0.8425925925925926,0.8708133971291866,0.9180746468117602,0.8621449047132786
LNCAP,0.939156626506024,0.7241379310344828,0.8195121951219512,0.7688787185354692,0.8877629704132093,0.7339996826907822
NCIH23,0.9847864248098304,0.6666666666666666,0.7317073170731707,0.6976744186046511,0.8613572556588875,0.6898886128248793
VCAP,0.9481927710843373,0.8520408163265306,0.7455357142857143,0.7952380952380953,0.8626703641066455,0.7657337149158505
LOVO,0.9684025746050322,0.8048780487804879,0.7674418604651163,0.7857142857142858,0.8761259935236975,0.7686685015566485
DLD1,0.9849397590361446,0.7714285714285715,0.8571428571428571,0.81203007518797,0.9235620359602826,0.8042083411964521
OCUBM,0.9795180722891567,0.9007633587786259,0.8489208633093526,0.8740740740740741,0.9201869273811721,0.8629371852096498
A2780,0.983132530120482,0.8925619834710744,0.8780487804878049,0.8852459016393442,0.934795372677214,0.8761438309075502
PA1,0.9631363370392042,0.8939393939393939,0.5130434782608696,0.6519337016574586,0.7543260051279255,0.63397121866809
COLO320DM,0.981275599765945,0.7413793103448276,0.7166666666666667,0.728813559322034,0.8537851222963413,0.7191194748898316
SKMES1,0.9783132530120482,0.85,0.85,0.85,0.9191558441558443,0.8383116883116883
SW620,0.9684025746050322,0.75,0.6382978723404256,0.6896551724137931,0.8129569857058164,0.6731225604443091
A427,0.9748390871854886,0.7766990291262136,0.8,0.788177339901478,0.8928527035425731,0.7748056397417314
NCIH1650,0.9689877121123464,0.8707482993197279,0.7901234567901234,0.8284789644012944,0.888920810489438,0.811475836346115
CAOV3,0.96255119953189,0.8419117647058824,0.916,0.8773946360153257,0.943263879369431,0.8553415033500948
NCIH2122,0.9736688121708601,0.8279569892473119,0.7264150943396226,0.7738693467336683,0.8582169046245836,0.7599531798673429
OVCAR3,0.9632530120481928,0.8282828282828283,0.8586387434554974,0.8431876606683805,0.9177468734295866,0.822383284453363
NCIH520,0.9873493975903614,0.8392857142857143,0.7966101694915254,0.8173913043478261,0.8954943414603161,0.8108436611464416
UACC62,0.9765060240963855,0.8571428571428571,0.7894736842105263,0.8219178082191781,0.8898856131272554,0.8093639575971732
ES2,0.9742539496781744,0.8115942028985508,0.6436781609195402,0.7179487179487178,0.817831682186034,0.7046481119254668
NCIH460,0.9524096385542169,0.6496350364963503,0.7416666666666667,0.6926070038910506,0.8552489177489178,0.6669375730177274
A375,0.9204212990052663,0.7488151658767772,0.6556016597510373,0.6991150442477876,0.8097490587583523,0.6534946613274972
SW837,0.9728915662650602,0.7314814814814815,0.8315789473684211,0.7783251231527094,0.9065242979653606,0.7639512102635404
HT29,0.9736688121708601,0.8309859154929577,0.6413043478260869,0.7239263803680982,0.8169415987738968,0.710342256019706
ZR751,0.9656626506024096,0.7454545454545455,0.7387387387387387,0.7420814479638009,0.8603312802796341,0.7236888213993693
EFM192B,0.9631363370392042,0.859375,0.7096774193548387,0.7773851590106007,0.8490472038859136,0.7574887322706417
