synergy,class
7.940621,0
24.09538,0
1.6646839,0
2.4052281,0
5.702561,0
61.097263,1
-11.511946,0
-8.49115,0
6.9300838,0
4.1283665,0
-2.7350545,0
5.830095,0
23.114197,0
4.679688,0
-26.961454,0
8.402628,0
33.549202,1
1.1231018,0
9.896936,0
12.782716,0
15.352867,0
-13.569387,0
-0.028946333,0
12.568604,0
39.315037,1
27.451529,0
-1.4642051,0
-5.3072333,0
13.065134,0
2.7411962,0
18.041204,0
17.701195,0
-6.599566,0
25.705109,0
19.006409,0
20.30286,0
16.133318,0
15.026808,0
10.89048,0
-11.143755,0
16.331293,0
31.932596,1
33.2778,1
3.5980926,0
2.1862311,0
33.163063,1
45.557655,1
21.85248,0
-6.454437,0
24.260263,0
24.022717,0
11.353589,0
9.048443,0
-11.597996,0
16.7617,0
18.076889,0
74.17222,1
-3.1148486,0
-12.074369,0
26.777748,0
31.107906,1
14.915425,0
23.188864,0
26.173664,0
31.659891,1
21.170801,0
-4.3467927,0
19.791277,0
58.962418,1
25.318623,0
24.76023,0
20.196653,0
65.51429,1
22.975782,0
22.007261,0
48.30248,1
23.208975,0
15.318751,0
-14.560669,0
62.263493,1
19.287027,0
15.398273,0
-14.727,0
1.296476,0
-24.860884,0
9.159824,0
5.0651994,0
-0.6201386,0
-14.354882,0
10.596079,0
-7.633038,0
-0.93523973,0
9.638544,0
-5.0412374,0
-4.1664834,0
5.854532,0
3.029491,0
9.015348,0
7.0261083,0
6.08046,0
14.108137,0
-11.176352,0
8.372245,0
-6.6699967,0
11.180176,0
14.695745,0
-4.623484,0
8.73133,0
32.76277,1
35.70153,1
34.21392,1
21.291237,0
35.595387,1
17.149916,0
-4.3496003,0
-5.3665833,0
61.03807,1
33.375896,1
19.803537,0
44.931267,1
55.652626,1
23.515978,0
23.966366,0
22.846909,0
83.59713,1
26.041742,0
49.371307,1
34.505722,1
29.120499,0
0.38108212,0
40.75177,1
42.644012,1
39.9526,1
58.96946,1
22.12395,0
41.107952,1
0.17247683,0
11.284258,0
17.88957,0
32.32611,1
4.5512004,0
0.29478604,0
6.0202565,0
89.89477,1
-18.360971,0
-10.831105,0
21.002098,0
-9.931093,0
-4.779692,0
23.744556,0
28.972862,0
20.719368,0
19.49546,0
24.076986,0
17.283104,0
16.370447,0
7.570603,0
21.525225,0
27.86543,0
16.987116,0
-3.7556653,0
