synergy,class
10.624927,0
1.4148703,0
-20.525759,0
18.071331,0
20.05189,0
11.974725,0
-8.922684,0
-22.350788,0
2.270526,0
-35.30199,0
-10.909615,0
4.3870215,0
4.440069,0
6.1416187,0
-9.090311,0
4.112811,0
15.171334,0
-6.419303,0
4.275936,0
3.4857407,0
2.1886196,0
-15.74813,0
7.4239006,0
1.8675089,0
11.297914,0
-12.069016,0
-5.2648716,0
3.0748901,0
9.763624,0
0.089670174,0
10.54344,0
1.9920883,0
-14.417904,0
-26.47144,0
9.137543,0
9.151909,0
12.870281,0
12.299625,0
-4.6974688,0
-14.697977,0
8.065784,0
8.985504,0
4.7503514,0
-9.074105,0
-7.0444746,0
16.990776,0
-4.7864084,0
-0.9501922,0
11.650823,0
14.876307,0
22.576334,0
16.227383,0
12.551526,0
-26.327862,0
6.9615345,0
4.500559,0
-20.619793,0
10.758459,0
-14.8508835,0
23.910826,0
-5.442528,0
5.2535324,0
20.018385,0
29.153124,0
-0.7647667,0
7.6482563,0
2.4134617,0
19.23384,0
40.84948,1
23.221836,0
34.553196,1
-41.811794,0
16.90176,0
28.51204,0
-3.501667,0
15.080759,0
13.899679,0
24.614681,0
-1.9302502,0
7.456089,0
12.174336,0
17.278008,0
-12.186238,0
-33.342888,0
-16.610252,0
-1.1434512,0
-4.157649,0
-21.26367,0
-23.567122,0
-8.882242,0
-15.473928,0
-27.132309,0
-10.596674,0
-16.720116,0
-21.195168,0
5.952673,0
-6.0795193,0
11.868426,0
-12.603772,0
-66.648636,0
4.854843,0
-14.438852,0
-4.0778036,0
-29.569641,0
-12.882586,0
-16.855312,0
-28.781122,0
-19.784424,0
11.635902,0
-3.849969,0
-4.460781,0
-16.417059,0
0.022335045,0
11.710221,0
-11.377137,0
-13.098392,0
10.328847,0
-19.633226,0
-2.3932953,0
9.938308,0
2.2109432,0
4.2431183,0
-4.8828545,0
-5.193842,0
13.6407585,0
-7.6159377,0
7.658973,0
8.091764,0
2.9530764,0
-15.494888,0
-13.832393,0
3.9969559,0
-6.637453,0
-14.770836,0
-10.347797,0
9.387459,0
8.477368,0
0.46074963,0
-7.309697,0
33.524334,1
-33.730946,0
-7.455245,0
1.482089,0
-5.312169,0
-30.35679,0
-22.547325,0
37.109966,1
-11.248568,0
-20.482681,0
-10.080519,0
1.8527966,0
21.590313,0
-1.6750546,0
-14.101726,0
-11.848854,0
15.187993,0
-25.106665,0
-9.046149,0
-19.532274,0
-4.833754,0
-5.6450243,0
-12.464172,0
-17.029377,0
-7.578994,0
-2.454341,0
-4.6892214,0
-8.849853,0
5.7824783,0
-4.659049,0
-2.0690727,0
-7.335431,0
-4.686304,0
25.1962,0
2.5209808,0
-1.3090973,0
5.7019663,0
1.1968155,0
-22.515448,0
-17.938002,0
8.282443,0
15.732416,0
0.00015258044,0
4.275304,0
3.258874,0
12.487726,0
23.169514,0
19.216587,0
-1.2861042,0
15.813011,0
10.849922,0
7.6039715,0
-7.1748104,0
6.20051,0
36.67162,1
-1.4575844,0
-1.7342911,0
31.372149,1
0.029332153,0
-2.0452862,0
-6.660928,0
-8.308783,0
1.1104026,0
13.289985,0
-9.917474,0
-6.0994577,0
-12.496144,0
2.666729,0
-22.442524,0
-8.601348,0
-2.9735441,0
2.2517805,0
1.4379044,0
-19.587505,0
-4.9889126,0
2.410718,0
-13.335402,0
5.6033545,0
-17.311821,0
0.43432617,0
-17.149734,0
-10.712418,0
6.7425003,0
-15.424925,0
-3.842657,0
-13.170893,0
-14.692008,0
0.35600471,0
16.09533,0
-0.6232395,0
1.6425753,0
11.366729,0
-13.935694,0
-0.29558182,0
0.15872383,0
10.377917,0
15.421066,0
22.885365,0
-8.020081,0
-9.5810175,0
7.6600943,0
-5.62113,0
-4.413293,0
7.355915,0
0.42749214,0
-24.774477,0
-14.421345,0
-0.473526,0
3.6683292,0
9.34864,0
-10.478144,0
3.6467395,0
-3.9083538,0
-3.2623444,0
-3.9233227,0
4.959852,0
-1.0375919,0
-6.145976,0
-1.2485847,0
8.12245,0
-1.6209488,0
27.122473,0
9.9693775,0
4.127343,0
12.389917,0
13.351409,0
-12.525049,0
-17.520266,0
13.050004,0
28.84653,0
11.213278,0
5.981613,0
5.185405,0
4.024625,0
20.217762,0
19.002392,0
15.20377,0
0.8076134,0
18.129227,0
2.3800726,0
8.813413,0
7.082946,0
17.975388,0
4.9763985,0
5.015338,0
15.937333,0
14.88781,0
-3.3438473,0
4.963169,0
21.666073,0
9.46407,0
-3.5180626,0
-13.291029,0
15.943595,0
15.864357,0
1.4461813,0
15.752062,0
-6.693617,0
16.26035,0
0.23865509,0
-7.7520456,0
11.145071,0
-10.468988,0
-5.3815746,0
23.654812,0
23.832054,0
-8.762411,0
-4.7580795,0
16.135046,0
14.464254,0
-0.9332619,0
1.742549,0
14.195129,0
-6.042323,0
-18.148123,0
-24.086582,0
-5.069108,0
9.321186,0
3.6839914,0
2.738347,0
-10.693056,0
-12.433863,0
-6.514909,0
7.988554,0
-7.1854844,0
-4.2875013,0
-48.88621,0
-19.910755,0
-12.262092,0
10.972218,0
7.3580613,0
-6.96979,0
-7.475001,0
-2.6956563,0
5.8905487,0
-1.6599536,0
-5.073746,0
8.259998,0
4.213243,0
6.1998405,0
3.5924702,0
4.416316,0
9.205418,0
9.503251,0
17.43562,0
6.29322,0
0.5807724,0
0.47770858,0
7.4931784,0
9.506965,0
9.068006,0
2.6305609,0
9.258284,0
4.821886,0
18.760311,0
-2.7904377,0
4.0303454,0
-1.2777469,0
5.074356,0
2.6303296,0
-6.439375,0
25.320631,0
26.973345,0
20.082838,0
31.174572,1
28.702553,0
32.81237,1
-18.622208,0
10.809668,0
4.961049,0
16.787287,0
11.057764,0
-10.158806,0
-1.3624144,0
1.1419048,0
32.46297,1
-10.228649,0
7.6295347,0
32.27138,1
32.2741,1
14.258416,0
11.780392,0
9.313233,0
-1.9315834,0
20.639488,0
19.462933,0
-3.284687,0
-12.070789,0
10.230391,0
11.034107,0
-49.17176,0
-2.8267922,0
12.14335,0
13.60873,0
-12.687314,0
11.246637,0
23.158932,0
8.391271,0
8.724144,0
52.97051,1
49.28207,1
19.980225,0
-0.413877,0
6.3688097,0
25.81581,0
4.9541016,0
12.349346,0
4.7748504,0
4.7927322,0
9.939154,0
4.2674494,0
4.256155,0
-20.743647,0
14.14298,0
3.4660044,0
0.38985443,0
1.8893027,0
4.0082154,0
10.940984,0
7.0997562,0
18.064827,0
20.726345,0
-21.959408,0
23.761374,0
-10.301966,0
11.963137,0
2.9401445,0
-9.739188,0
-6.299206,0
12.585476,0
-0.5008807,0
3.6708593,0
-4.7815323,0
15.4687195,0
-12.886777,0
-10.639113,0
10.834682,0
6.255465,0
9.366575,0
-10.624414,0
3.4167652,0
-31.51149,0
-3.34263,0
11.071736,0
4.0316753,0
-14.84301,0
6.5300765,0
-9.70391,0
0.17787743,0
13.661087,0
9.901395,0
10.464452,0
3.806016,0
9.166443,0
18.294107,0
-8.839611,0
-6.3353634,0
8.136385,0
5.1874495,0
-4.419999,0
7.4200497,0
5.9571505,0
-12.213257,0
-7.3151703,0
-3.209817,0
4.1868896,0
11.874745,0
21.29775,0
-11.943737,0
-7.3436522,0
-23.804018,0
-1.8143158,0
4.3236303,0
-4.905842,0
-15.250719,0
-3.2020664,0
-15.013837,0
-5.8350163,0
-2.4439754,0
-6.0158167,0
-0.46287704,0
6.8697443,0
3.8043528,0
10.23571,0
-4.2324557,0
7.320846,0
15.023167,0
1.9351516,0
-14.195753,0
15.147819,0
17.321157,0
4.353094,0
1.0349579,0
4.392655,0
-5.3269815,0
13.901459,0
0.3920951,0
11.582247,0
2.1521,0
4.3714676,0
16.704243,0
-0.09601832,0
-3.0316372,0
26.695988,0
3.9209108,0
-0.77451515,0
-23.783691,0
12.446218,0
5.8790216,0
-1.1127682,0
11.473068,0
-14.4363,0
-3.6355934,0
-7.487094,0
-18.431614,0
-10.430014,0
21.010563,0
-0.18690872,0
34.934223,1
-6.760644,0
-4.5586405,0
2.5283108,0
-5.9728017,0
12.550171,0
6.912939,0
10.073692,0
2.9087253,0
16.257206,0
8.437452,0
6.370215,0
13.697786,0
1.4827328,0
12.047255,0
5.096279,0
3.3410683,0
2.01049,0
-6.6318264,0
8.382652,0
-14.218753,0
-0.6738529,0
6.4853783,0
-0.9277806,0
2.1090107,0
-5.1028004,0
18.031971,0
3.2709856,0
16.33163,0
16.50075,0
-11.997276,0
-4.295165,0
10.493654,0
10.524656,0
1.2888217,0
20.79683,0
21.97977,0
6.4774184,0
-2.9580421,0
-8.779779,0
-0.54324436,0
4.404171,0
-3.023013,0
11.279627,0
-8.08353,0
19.40061,0
0.71525,0
8.486336,0
2.66154,0
-4.199066,0
-2.1538553,0
9.585646,0
-0.995883,0
14.657219,0
24.021263,0
1.5576725,0
-13.3191395,0
-17.12892,0
9.388573,0
-7.1831045,0
14.246995,0
8.853476,0
2.4941912,0
5.895475,0
1.0813541,0
-10.474205,0
7.826769,0
18.197834,0
19.743607,0
3.4480314,0
13.177731,0
-17.756021,0
-11.871368,0
-16.148401,0
-21.730927,0
-2.0279636,0
9.152013,0
-0.11252976,0
2.5985918,0
-7.816942,0
-4.377203,0
-7.2659006,0
-9.754536,0
-14.204136,0
-15.852039,0
-22.168682,0
-21.756454,0
11.512151,0
1.7397156,0
-20.482197,0
18.931278,0
19.83719,0
11.149153,0
-8.703884,0
-21.575726,0
2.9078274,0
-36.38715,0
-12.039976,0
4.415682,0
4.372447,0
5.9219913,0
-8.780878,0
4.212797,0
14.880297,0
-6.9066133,0
3.2644787,0
3.047122,0
2.0350094,0
-14.906318,0
7.492938,0
2.132946,0
11.939242,0
-10.898127,0
-7.4238315,0
3.853064,0
10.273814,0
-0.20988607,0
9.748425,0
0.43584204,0
-15.546585,0
-23.781836,0
9.000547,0
8.72499,0
14.771142,0
14.870847,0
-1.6265726,0
-15.937458,0
6.7845964,0
10.151574,0
4.359104,0
-10.240206,0
-8.141537,0
12.1227665,0
-6.3569984,0
-3.9502869,0
8.270165,0
14.597027,0
18.941153,0
8.797154,0
11.340888,0
-37.067398,0
27.324202,0
7.951166,0
7.640831,0
10.6689415,0
-0.85598755,0
25.167244,0
-2.2693825,0
0.15363884,0
20.33753,0
31.840076,1
3.976101,0
11.986339,0
8.011473,0
18.073135,0
27.814993,0
22.475544,0
24.338772,0
-53.30029,0
12.110274,0
13.851577,0
-0.49962044,0
8.153616,0
21.571852,0
20.569042,0
7.737488,0
5.078739,0
10.870203,0
19.043034,0
-16.430912,0
-36.073505,0
-9.096626,0
-0.19849205,0
-0.6252756,0
-14.231862,0
-22.695885,0
-2.809063,0
-9.88396,0
-15.005533,0
-6.1808844,0
-10.880221,0
-19.908657,0
5.2776213,0
-14.676053,0
12.423133,0
-18.603325,0
-75.14666,0
2.92585,0
-16.033546,0
-4.178806,0
-29.211054,0
-12.029565,0
-16.842798,0
-30.193771,0
-20.627823,0
11.424393,0
-5.1998873,0
-5.432747,0
-16.831345,0
-0.1013918,0
11.585183,0
-10.728787,0
-12.78111,0
