synergy,class
-8.822485,0
-7.81494,0
-6.336004,0
-3.0536075,0
15.452126,0
21.580095,0
-39.599735,0
-11.266733,0
7.9120336,0
-19.045559,0
-6.1244073,0
4.8729672,0
17.599066,0
9.0194,0
-13.241565,0
-30.189804,0
1.2044895,0
-41.913914,0
5.9373026,0
-9.090645,0
-21.426443,0
-18.368126,0
3.768415,0
4.892986,0
12.589183,0
-11.753901,0
-9.683195,0
5.93584,0
-4.178963,0
3.4344683,0
-10.804083,0
-35.298607,0
-10.396185,0
0.084820226,0
-4.865105,0
-2.7548366,0
3.9300141,0
2.8358932,0
-3.651526,0
-19.576283,0
-36.697716,0
-28.438753,0
-4.349687,0
-34.589767,0
-3.9532323,0
-12.532262,0
13.213791,0
3.8918996,0
6.070827,0
4.651196,0
14.179158,0
13.776483,0
11.167445,0
-13.666575,0
10.969711,0
27.375998,0
44.33954,1
-14.551607,0
0.25320858,0
38.02692,1
11.167625,0
-41.801613,0
21.975376,0
24.414125,0
20.944862,0
19.150644,0
-2.1834102,0
-22.777157,0
18.856833,0
-11.345255,0
24.688904,0
13.543095,0
18.781414,0
-4.9962993,0
-43.214752,0
40.38154,1
18.409733,0
-8.6794615,0
-4.682607,0
25.57139,0
18.325907,0
14.902636,0
-14.575333,0
-21.32154,0
-23.062197,0
2.9560895,0
-51.63947,0
-22.399055,0
-20.434362,0
-7.413404,0
-28.23135,0
-3.9346633,0
-7.7235756,0
-10.621935,0
-15.845177,0
-44.921616,0
-22.384039,0
-34.10652,0
-6.3221765,0
-11.599275,0
-18.061523,0
-88.9599,0
1.8816962,0
-19.258326,0
-37.34505,0
-54.79687,0
-59.503975,0
10.054789,0
6.4516554,0
21.099339,0
20.967297,0
9.940006,0
21.07895,0
31.297531,1
-34.513317,0
-2.5966926,0
51.18839,1
-0.38254124,0
0.09044309,0
43.559605,1
61.26346,1
26.764015,0
11.731562,0
-24.501305,0
11.126291,0
-4.510514,0
29.94756,0
35.433117,1
12.948545,0
-6.8152366,0
34.386337,1
28.724508,0
-3.0681748,0
19.94202,0
6.0338607,0
53.223785,1
-11.864969,0
-5.7292457,0
-13.682824,0
17.3929,0
-14.482553,0
-24.195797,0
18.747234,0
31.32784,1
-27.362093,0
-1.0510888,0
5.4357133,0
-24.367222,0
-42.00752,0
-9.299812,0
3.4284425,0
24.009962,0
4.6748366,0
-4.2048974,0
-48.78023,0
-17.655712,0
-16.166168,0
-12.391045,0
-8.617327,0
35.955124,1
-14.245762,0
-40.009693,0
1.8852067,0
0.6547455,0
-3.225882,0
2.4943204,0
-14.613987,0
-34.999897,0
-3.0287647,0
16.091307,0
-4.039595,0
-6.853579,0
5.502259,0
-1.8778872,0
-10.002237,0
18.881075,0
-36.299763,0
-14.783327,0
-19.391312,0
-10.609255,0
19.116762,0
12.810319,0
3.6966405,0
2.9626222,0
-80.30474,0
4.13491,0
3.5433087,0
