synergy,class
0.51349014,0
12.591186,0
29.780426,0
-40.218792,0
-13.848149,0
28.130444,0
22.634079,0
-0.59222275,0
19.238857,0
-20.507446,0
-10.395664,0
30.350212,1
-3.3377728,0
-11.975811,0
-6.1736455,0
18.302334,0
5.402494,0
-11.167333,0
2.9087195,0
4.04829,0
-19.766525,0
20.373789,0
7.1601796,0
21.13305,0
28.37405,0
-15.29214,0
4.581654,0
30.742882,1
13.817557,0
-1.3667417,0
-45.12893,0
-20.694824,0
-57.83911,0
-79.71783,0
-55.10482,0
0.7955603,0
7.2278285,0
-21.930977,0
-52.90786,0
-54.549644,0
-40.886276,0
-67.38926,0
12.337983,0
-0.35657364,0
-33.19813,0
-34.21616,0
14.362137,0
56.59807,1
106.52192,1
58.408264,1
63.033398,1
37.04624,1
67.107216,1
65.95812,1
80.38518,1
34.06866,1
71.03191,1
59.504974,1
50.605217,1
66.87438,1
61.505474,1
50.008125,1
61.963715,1
44.714394,1
1.5311723,0
72.006004,1
35.060158,1
81.453606,1
12.407935,0
69.142555,1
63.000237,1
24.834118,0
85.81313,1
69.01243,1
73.347565,1
34.38094,1
27.151968,0
35.71045,1
95.10384,1
61.25475,1
11.726798,0
-20.651695,0
-0.16769701,0
13.897738,0
0.5919604,0
27.34376,0
-21.035378,0
7.275051,0
35.664093,1
15.247993,0
1.5047526,0
-12.137187,0
-0.702849,0
61.219875,1
-37.798836,0
-77.38903,0
-24.40627,0
-18.662071,0
-19.80914,0
9.990205,0
25.771112,0
31.991291,1
-97.84294,0
-19.483917,0
48.695152,1
-1.6931567,0
51.454964,1
8.761119,0
-12.18329,0
-1.0958152,0
-12.115416,0
-34.305374,0
40.425453,1
-19.136993,0
0.26764196,0
18.76942,0
10.246913,0
17.79851,0
16.091324,0
-23.170248,0
34.137016,1
-7.6557584,0
47.755272,1
10.504401,0
-15.093112,0
-45.5587,0
-21.715443,0
42.893967,1
-3.9166503,0
11.763218,0
-12.01277,0
38.74807,1
38.31417,1
34.00254,1
50.083908,1
91.659355,1
19.233086,0
-4.943806,0
22.325113,0
53.701416,1
25.394218,0
14.12095,0
45.25904,1
-14.976186,0
31.61466,1
-7.4767766,0
45.954872,1
57.50124,1
12.5586,0
19.554132,0
-14.9026375,0
68.898125,1
3.6387076,0
66.99256,1
41.123974,1
28.721104,0
-39.470886,0
19.616074,0
-16.57618,0
58.95068,1
73.34025,1
13.708298,0
16.208994,0
10.29286,0
-31.856369,0
24.960846,0
15.3386545,0
43.76864,1
-1.4133954,0
13.251005,0
-3.5658584,0
-5.910871,0
-28.392082,0
0.3549456,0
-2.6298223,0
16.260946,0
-20.949755,0
15.1681185,0
15.783916,0
-6.7449327,0
-52.49231,0
24.403664,0
-43.054348,0
34.393852,1
-41.466248,0
-30.922232,0
-10.764855,0
0.6212782,0
29.468822,0
28.317947,0
-0.45185143,0
37.020576,1
40.291916,1
39.751503,1
3.0053096,0
9.349322,0
15.644235,0
9.210924,0
-3.934607,0
43.286007,1
9.308019,0
-8.892024,0
-10.056321,0
-15.700227,0
-16.293312,0
26.114574,0
54.936234,1
-37.009853,0
5.200849,0
50.202766,1
0.7125258,0
-29.202166,0
-36.62504,0
27.396759,0
-20.2273,0
1.5876422,0
1.5494494,0
28.103527,0
-2.3972478,0
-53.28971,0
1.8542695,0
23.035618,0
5.007684,0
-8.053216,0
3.7409034,0
-8.012937,0
-32.16246,0
11.004358,0
-29.005661,0
-12.87949,0
-25.390759,0
-23.943523,0
-11.555436,0
-8.25704,0
-10.453031,0
1.0654674,0
-19.688139,0
7.2180524,0
9.585603,0
-0.074818194,0
-20.384491,0
5.209728,0
19.02442,0
17.096706,0
-4.4873185,0
-14.55379,0
6.847965,0
-2.4672036,0
-49.552418,0
14.583507,0
26.010277,0
32.808487,1
9.866687,0
21.729372,0
7.5073905,0
25.691736,0
-29.58046,0
-27.999392,0
49.99938,1
12.270598,0
-49.046494,0
-5.20023,0
4.2420936,0
-27.26044,0
8.575658,0
-3.9860787,0
-8.585134,0
-2.5221505,0
8.863034,0
-8.447568,0
17.913235,0
1.6167407,0
13.739882,0
25.877825,0
19.713234,0
-1.1549702,0
39.612198,1
13.654758,0
24.752129,0
-9.792342,0
-41.795494,0
-10.257247,0
-5.355099,0
-93.91778,0
-13.055278,0
17.446663,0
1.1595931,0
-11.470446,0
11.037953,0
-54.21073,0
-35.54112,0
-6.0994744,0
-24.408695,0
-29.933125,0
7.153023,0
3.8651767,0
-44.568398,0
-35.21625,0
31.704914,1
-38.74568,0
17.058846,0
-32.45903,0
-40.037796,0
-50.94784,0
-27.510479,0
-40.456726,0
-11.967246,0
-29.994476,0
-38.69664,0
6.884377,0
-7.899052,0
-54.130436,0
-69.38328,0
-34.81876,0
-35.94952,0
2.8468165,0
-102.34608,0
23.654137,0
-17.974997,0
9.274295,0
53.06971,1
8.896935,0
-21.345966,0
-5.7834897,0
29.762081,0
-1.0302472,0
-30.069283,0
36.014427,1
51.346542,1
10.728318,0
15.3415365,0
-18.222647,0
1.7785602,0
-31.962868,0
41.6347,1
-59.158478,0
6.475926,0
31.083826,1
16.503948,0
-32.181065,0
-25.621603,0
-4.1850934,0
-20.566954,0
-1.0516114,0
1.0831151,0
14.133056,0
-75.144615,0
-64.3992,0
22.752583,0
26.317894,0
2.6370196,0
1.0347552,0
-32.156116,0
-91.26686,0
-12.548791,0
19.275616,0
38.603348,1
-49.99964,0
95.1404,1
-72.44424,0
60.58053,1
-69.89843,0
-38.851776,0
-9.9338255,0
-13.954097,0
16.19437,0
-9.989611,0
-30.840168,0
-35.31272,0
22.51479,0
-35.15625,0
-6.609671,0
-24.3455,0
-29.91839,0
-35.627113,0
-4.0015054,0
-117.26069,0
-38.886677,0
-30.976532,0
6.621446,0
20.035307,0
20.464005,0
-60.189194,0
-27.107542,0
-6.3418307,0
30.647863,1
-6.397324,0
-10.090228,0
-23.589176,0
2.4547954,0
-7.091355,0
-4.44196,0
10.000348,0
19.64294,0
-15.775773,0
4.7054896,0
5.761564,0
-5.7285953,0
-33.561707,0
-50.518345,0
35.799652,1
-14.680335,0
3.3009448,0
-31.557985,0
31.951927,1
25.882378,0
