synergy,class
-0.32740557,0
-8.137826,0
0.55744684,0
-0.8730012,0
0.13685454,0
20.016481,0
-20.214378,0
-41.11715,0
-4.5541425,0
-26.550951,0
-10.070131,0
-6.2347455,0
-10.087808,0
-13.156913,0
-22.428453,0
-16.42171,0
20.607025,0
-3.4730973,0
-3.4760637,0
-7.035462,0
-11.079365,0
-24.777061,0
7.9244637,0
-0.08838521,0
3.16575,0
-24.895489,0
-38.79492,0
2.6027446,0
9.530372,0
7.7054825,0
6.301335,0
-4.050039,0
-28.038685,0
-4.9520154,0
-2.3349004,0
14.500483,0
-1.8178393,0
-17.351595,0
-14.775413,0
-0.39807856,0
-6.549237,0
-40.05496,0
-3.5677667,0
11.524285,0
-24.304289,0
-30.887888,0
-3.9981656,0
21.702469,0
31.707453,1
21.178217,0
26.701382,0
48.28579,1
26.34408,0
43.030197,1
27.120554,0
-5.184653,0
32.97184,1
4.905853,0
10.14545,0
18.21189,0
44.057236,1
29.822227,0
22.489481,0
-11.485358,0
-4.6268106,0
30.374914,1
15.267998,0
39.892227,1
22.527105,0
21.440948,0
10.107425,0
14.825612,0
63.111656,1
25.912312,0
21.19808,0
4.192674,0
3.2423434,0
3.3769717,0
26.882587,0
-13.851508,0
5.788985,0
-1.1627566,0
22.490366,0
12.805495,0
-41.521618,0
7.5886416,0
-29.396868,0
-12.761369,0
15.039552,0
17.731796,0
4.6528335,0
-22.26949,0
-9.467734,0
23.58793,0
15.587568,0
27.769356,0
9.910325,0
31.353361,1
-53.478725,0
15.722735,0
2.2959743,0
-15.159497,0
-63.54441,0
-43.787083,0
14.974942,0
12.615757,0
25.301321,0
29.68637,0
2.1917975,0
6.9146066,0
-16.709063,0
-8.954442,0
13.292954,0
-0.3175012,0
14.908266,0
24.697342,0
-10.485065,0
0.74071634,0
-1.84963,0
-3.8888812,0
44.834133,1
5.8345084,0
24.086695,0
9.146593,0
-3.5455656,0
-8.323537,0
31.327208,1
21.178358,0
10.770949,0
10.5622,0
-0.38022482,0
12.42269,0
-3.2472496,0
-3.032423,0
-1.3720106,0
17.627592,0
-1.3254515,0
-6.798011,0
1.9230214,0
21.68486,0
-5.3375883,0
-26.32562,0
-5.139092,0
9.437327,0
-4.6727147,0
-7.810246,0
6.326348,0
8.292724,0
-12.696406,0
-21.178656,0
-10.997885,0
4.0269036,0
0.1763214,0
-0.7435571,0
-6.742998,0
5.3089604,0
-20.785284,0
-30.716208,0
-17.675995,0
6.527971,0
0.6774963,0
10.794847,0
-1.9321829,0
-15.885112,0
-17.316072,0
-7.922357,0
-15.27766,0
-13.114476,0
3.4404197,0
5.030874,0
-6.7707233,0
-6.9039216,0
-27.991209,0
-3.9648633,0
14.874974,0
1.2462972,0
10.617951,0
9.986051,0
-1.153176,0
-19.158056,0
-75.35976,0
16.212957,0
-24.371294,0
5.4443526,0
-17.48161,0
-26.534477,0
8.033105,0
6.1273284,0
1.3563055,0
-1.9479471,0
3.0228667,0
-4.845841,0
-14.606898,0
-16.90182,0
-16.136522,0
-18.544432,0
-13.774158,0
1.4736742,0
-14.815401,0
-13.280801,0
-52.24191,0
-20.078371,0
-27.048136,0
-41.17699,0
-17.174929,0
9.832208,0
-20.230936,0
-58.25045,0
-34.156387,0
10.071788,0
-23.77686,0
-11.242014,0
-23.712013,0
-17.596502,0
-31.772034,0
-43.822372,0
-14.564221,0
-36.908634,0
-28.51187,0
-50.527565,0
-51.926437,0
-28.50601,0
