synergy,class
14.885026,0
31.649734,1
6.134388,0
12.4978,0
2.1740255,0
62.726646,1
14.864345,0
-3.9085436,0
13.627728,0
8.1234255,0
-3.4750586,0
-1.9345608,0
13.159647,0
3.7996264,0
-13.169122,0
21.039482,0
6.794807,0
4.5928698,0
9.474529,0
4.8543196,0
9.165335,0
14.113425,0
36.91996,1
7.2521763,0
16.792072,0
36.234596,1
6.0799913,0
6.56796,0
18.478928,0
44.651215,1
18.260986,0
57.82535,1
20.67816,0
60.387447,1
24.066454,0
-8.479661,0
13.793877,0
-25.404642,0
51.603836,1
35.411983,1
6.65176,0
-12.521188,0
10.812993,0
28.550632,0
60.53011,1
39.349106,1
13.864692,0
14.819684,0
23.284336,0
7.3716984,0
7.0121174,0
12.025731,0
5.2319508,0
79.37466,1
26.063433,0
-4.8945055,0
23.88919,0
24.475124,0
10.627586,0
18.070219,0
6.319866,0
20.35371,0
18.106972,0
-7.2637587,0
23.388672,0
18.50147,0
12.5474,0
21.5647,0
21.90935,0
32.17511,1
2.0894804,0
-36.429363,0
37.11448,1
6.155884,0
6.933318,0
9.384208,0
61.869366,1
17.943192,0
5.628929,0
-2.7623568,0
-7.6389904,0
-20.763552,0
-25.966835,0
-2.6791544,0
-0.027058542,0
-17.653507,0
7.7432356,0
-3.854455,0
-1.5804219,0
2.703395,0
3.5000706,0
-12.779489,0
7.989464,0
-9.8181925,0
-25.184057,0
4.7956743,0
2.323125,0
-9.9958515,0
-22.9214,0
-3.5056963,0
-10.287759,0
-18.813084,0
0.26068503,0
-24.056473,0
-21.305422,0
31.605267,1
71.32882,1
39.781513,1
67.98743,1
41.76629,1
34.474213,1
22.628613,0
102.07009,1
64.01256,1
38.361057,1
53.586258,1
78.13743,1
44.913437,1
21.209894,0
74.58306,1
59.391243,1
40.173836,1
92.05559,1
50.041935,1
24.50702,0
11.848252,0
92.74401,1
21.536043,0
44.218315,1
77.63968,1
39.882538,1
41.201077,1
19.118013,0
29.151875,0
27.028435,0
29.169636,0
3.3391047,0
16.06102,0
10.635865,0
94.436874,1
20.552134,0
19.42353,0
32.81927,1
33.843864,1
13.296296,0
15.3490715,0
9.559796,0
38.01623,1
23.697548,0
13.072119,0
48.05916,1
12.680452,0
23.355257,0
38.20266,1
36.737293,1
-0.88685125,0
7.4045897,0
20.539295,0
-10.943591,0
39.881588,1
31.958754,1
-2.2495928,0
17.629662,0
14.341182,0
13.800086,0
50.015858,1
28.888863,0
10.029922,0
25.100142,0
7.6230955,0
-1.6286726,0
-7.3771963,0
8.267398,0
25.672607,0
46.15627,1
8.679027,0
-5.392192,0
-2.0048847,0
-5.8356295,0
-23.734993,0
-3.5502825,0
34.35726,1
-0.5921411,0
14.16312,0
-8.433118,0
-12.587316,0
-39.778847,0
-6.163947,0
-0.41513246,0
6.410841,0
-15.174176,0
8.177121,0
13.88593,0
13.068393,0
24.68714,0
-37.20956,0
1.1014509,0
-18.0421,0
23.397572,0
8.882489,0
-21.597878,0
-26.558556,0
10.599805,0
-22.580952,0
-19.38242,0
1.2391596,0
-11.787204,0
-35.003326,0
-8.803908,0
22.593285,0
-24.645395,0
32.707962,1
-22.244017,0
-7.073863,0
-47.20455,0
-20.918571,0
-20.850206,0
-17.461098,0
-16.37123,0
4.633996,0
-2.7376947,0
-12.453666,0
5.054021,0
-26.59848,0
-35.49763,0
-5.460803,0
-17.431026,0
-10.229042,0
-19.597353,0
-23.069073,0
-22.474026,0
-36.139954,0
-12.017129,0
25.861706,0
24.561623,0
2.6469984,0
13.458133,0
14.842526,0
17.820354,0
0.48205858,0
31.575588,1
10.962796,0
-9.464388,0
12.295231,0
-18.265327,0
12.024472,0
20.718975,0
-1.9036913,0
-12.935069,0
16.557812,0
10.184318,0
29.658241,0
1.3281908,0
9.61934,0
10.789525,0
7.122784,0
-6.3917093,0
6.182601,0
26.232979,0
7.288512,0
6.3692827,0
2.829918,0
2.3553095,0
17.5163,0
-4.2935705,0
-24.365025,0
15.624587,0
20.228092,0
-3.765627,0
7.141019,0
15.226539,0
-41.15695,0
8.6846485,0
-4.208767,0
47.99411,1
38.566734,1
11.428043,0
0.11398655,0
53.58014,1
-2.3296595,0
3.906785,0
29.14288,0
7.416148,0
16.712349,0
4.2705812,0
1.6626501,0
23.341557,0
-3.7115145,0
10.102408,0
54.806664,1
25.60112,0
21.192472,0
21.400496,0
-8.33171,0
7.6517267,0
8.199979,0
50.80875,1
42.503094,1
15.687789,0
12.361659,0
23.487406,0
-10.379571,0
-15.077228,0
-17.041962,0
-32.314438,0
-19.913368,0
-5.216407,0
-6.522294,0
27.418417,0
9.083419,0
-7.7469034,0
-2.048993,0
-9.791455,0
-12.739762,0
-18.342796,0
-13.305881,0
-20.246613,0
42.85319,1
1.5701132,0
5.5862684,0
4.3308477,0
9.117869,0
26.83734,0
-7.813491,0
-9.556993,0
-15.755416,0
31.077301,1
-1.6235514,0
-18.357859,0
-0.6406335,0
-0.6309766,0
-11.120635,0
10.839805,0
24.452219,0
-17.658411,0
-19.205626,0
-12.47309,0
23.927908,0
-4.164716,0
15.650714,0
15.343396,0
-3.173787,0
-5.325982,0
-0.21576971,0
-6.591523,0
-5.547467,0
22.79832,0
4.5001917,0
-6.8369207,0
22.684013,0
21.027637,0
42.092182,1
10.22857,0
-2.4720678,0
63.702587,1
14.484466,0
95.63018,1
37.95684,1
53.63924,1
52.261032,1
20.793156,0
79.83419,1
10.189158,0
39.835915,1
-9.620766,0
10.773886,0
8.719295,0
19.829462,0
105.358765,1
1.413024,0
1.2227135,0
26.44405,0
24.539932,0
-1.8493204,0
-16.14007,0
59.414196,1
23.889383,0
34.973217,1
60.76432,1
2.9511223,0
16.459728,0
8.317137,0
48.38911,1
50.48266,1
49.00776,1
5.9259844,0
26.959766,0
17.556316,0
-7.401473,0
9.0120735,0
31.847958,1
21.196362,0
29.330084,0
29.686895,0
22.44509,0
-9.150736,0
40.352142,1
6.483985,0
-5.2711535,0
29.541616,0
44.919174,1
13.359513,0
41.53671,1
11.67096,0
8.051688,0
-13.988502,0
13.68431,0
22.43644,0
33.176567,1
-5.2133303,0
24.296186,0
-15.781907,0
-4.6302786,0
-19.01656,0
-2.443902,0
-20.785042,0
-35.908688,0
-16.992132,0
19.306368,0
-6.0972567,0
-43.909176,0
-14.05523,0
-20.862106,0
-34.19783,0
-13.120292,0
-31.433197,0
5.6774397,0
-6.6307287,0
-34.6244,0
-28.55606,0
-13.811071,0
-6.2384825,0
-7.796075,0
-9.657004,0
-9.629243,0
-4.8298693,0
-32.10997,0
-44.763443,0
6.9030733,0
-10.637368,0
-18.353407,0
-10.583299,0
-28.64539,0
0.7734614,0
-17.225536,0
-11.885814,0
8.653684,0
7.7681904,0
-1.2769575,0
15.328969,0
-10.761743,0
15.768573,0
-5.1657343,0
-12.86705,0
-12.537627,0
-19.90783,0
19.938164,0
-5.1562777,0
-17.624706,0
-31.051292,0
1.3489332,0
-10.435826,0
3.5360022,0
3.3819284,0
-15.033223,0
-9.202162,0
-4.1213007,0
22.273623,0
9.415467,0
-1.2722845,0
-10.810402,0
-7.815387,0
-3.003049,0
18.326698,0
-17.90948,0
-30.177492,0
11.701093,0
7.7960224,0
43.691727,1
19.638836,0
7.9859653,0
1.381033,0
-4.868827,0
14.539019,0
11.175021,0
-2.4703474,0
12.554194,0
-8.376726,0
-1.0401373,0
-7.271308,0
10.508735,0
4.637389,0
17.775667,0
-17.22412,0
18.605087,0
-0.91420263,0
14.549428,0
52.915577,1
17.20631,0
-5.688591,0
74.077644,1
-1.5554695,0
12.312133,0
-22.248455,0
14.30562,0
-20.509373,0
-2.3991861,0
4.213023,0
-4.441512,0
0.7314978,0
-3.5499697,0
4.6113577,0
12.815402,0
-20.099358,0
10.02311,0
8.580375,0
39.739315,1
28.091738,0
12.822771,0
55.562775,1
25.738787,0
46.036728,1
-0.99988645,0
25.996592,0
8.116935,0
13.123103,0
18.436695,0
-22.326286,0
25.69416,0
-1.9130144,0
34.585434,1
-4.028899,0
9.210387,0
25.850372,0
-18.419945,0
12.572753,0
-2.7522097,0
44.57476,1
8.585605,0
16.986969,0
-11.63131,0
2.7903795,0
-10.098584,0
1.1664476,0
-8.513146,0
-35.977356,0
20.597755,0
-16.998608,0
26.722736,0
-25.886456,0
-11.950143,0
6.387824,0
27.216988,0
17.456451,0
0.58846766,0
-1.7402849,0
-9.370347,0
-8.978267,0
-3.6389208,0
-11.35281,0
-14.340296,0
-17.790983,0
1.9711637,0
9.096637,0
-3.265275,0
15.374448,0
-6.586606,0
9.40709,0
-12.545726,0
-16.272621,0
6.0505877,0
-24.786976,0
-21.36285,0
-8.19241,0
2.5903826,0
-35.530945,0
-1.0164309,0
-31.50421,0
-25.163174,0
-1.3587637,0
-19.121555,0
18.430294,0
3.2144213,0
13.680995,0
39.770206,1
6.0000505,0
7.3082304,0
4.820384,0
56.04126,1
21.656355,0
12.053498,0
12.59312,0
18.583603,0
7.2096186,0
2.5065022,0
6.2580748,0
-4.624939,0
19.807627,0
36.83512,1
-2.625822,0
5.3595934,0
8.97124,0
4.1320314,0
9.5635395,0
12.979083,0
35.917362,1
6.265239,0
17.180973,0
36.86747,1
4.0423536,0
4.6926193,0
15.942365,0
42.97399,1
18.752949,0
56.85345,1
18.61462,0
54.607033,1
12.168563,0
-0.3215608,0
19.949074,0
-15.147923,0
55.385567,1
32.17652,1
1.7922926,0
12.729547,0
5.178666,0
19.257458,0
57.17488,1
28.855726,0
8.891243,0
16.822548,0
25.01442,0
21.708832,0
10.085318,0
5.8245687,0
3.2579613,0
68.62914,1
24.803638,0
-3.5555544,0
26.88808,0
33.92476,1
9.817044,0
12.973296,0
8.709533,0
19.429874,0
15.0662365,0
-20.344486,0
38.4699,1
11.679614,0
24.544012,0
27.041231,0
13.438596,0
30.619808,1
-1.5430536,0
-19.60914,0
37.797234,1
-1.1613312,0
8.013114,0
0.084202826,0
44.953835,1
20.018278,0
14.140746,0
7.1873074,0
1.1750097,0
-18.184402,0
-11.6727495,0
-11.073979,0
4.4134912,0
-17.087091,0
9.842998,0
-9.89961,0
-3.8506422,0
-7.7720003,0
-2.0010338,0
-15.452888,0
12.464803,0
-13.5450945,0
-18.770082,0
4.940757,0
-17.936497,0
-19.450592,0
-14.94398,0
-11.273401,0
-2.0587378,0
-15.530804,0
-5.374422,0
-20.58366,0
-19.615349,0
41.763195,1
58.173897,1
41.946823,1
64.21947,1
43.806274,1
36.254635,1
47.992416,1
84.82021,1
102.48134,1
47.37603,1
41.28107,1
65.157646,1
47.086708,1
23.90816,0
77.764656,1
60.252716,1
40.621143,1
92.0427,1
54.63642,1
28.394104,0
12.973306,0
90.177704,1
20.78267,0
44.649483,1
71.65157,1
37.882843,1
40.427002,1
18.137802,0
22.221783,0
21.047577,0
29.188572,0
-2.9311128,0
15.582972,0
9.859918,0
113.90457,1
21.087269,0
4.4910917,0
43.416424,1
35.55767,1
8.682393,0
11.3661,0
4.871377,0
31.978897,1
29.010077,0
4.31022,0
45.84457,1
16.050192,0
22.128025,0
36.392662,1
24.579075,0
3.5351763,0
13.627613,0
0.95087343,0
-20.898598,0
35.87298,1
38.29966,1
4.0780554,0
26.332428,0
21.667662,0
16.571722,0
30.103325,1
23.493538,0
19.081192,0
24.901396,0
14.93591,0
-2.09303,0
-5.4263353,0
10.36214,0
3.1807852,0
36.255585,1
5.433955,0
1.9130392,0
8.526345,0
-14.645023,0
-16.859497,0
18.27053,0
38.80549,1
7.334918,0
28.382668,0
10.162843,0
3.4474516,0
-32.09832,0
-3.8349333,0
-3.519577,0
16.963428,0
-0.82388204,0
8.241152,0
16.772251,0
17.125746,0
30.890785,1
-8.350551,0
2.646655,0
-19.522556,0
15.44283,0
15.108657,0
-7.2534456,0
-23.4117,0
9.271399,0
-7.716008,0
-17.075054,0
2.3137255,0
-3.2747335,0
-22.945831,0
21.939394,0
16.56737,0
-10.301404,0
30.433968,1
-13.176513,0
-13.086619,0
-30.414112,0
-12.990602,0
-10.540118,0
-18.750854,0
-15.281642,0
7.1788054,0
-1.0266676,0
-15.271602,0
5.2350035,0
-25.883335,0
-34.235497,0
-4.9898806,0
-20.86795,0
-10.851119,0
-20.44666,0
-24.304352,0
-22.266762,0
-35.01096,0
-18.634678,0
21.746387,0
26.147335,0
8.427213,0
13.997329,0
16.587055,0
18.225763,0
-0.3726663,0
28.56234,0
10.099984,0
-11.588326,0
12.840093,0
-23.05389,0
7.469634,0
16.37929,0
1.3000593,0
4.05931,0
7.137271,0
20.585281,0
45.46695,1
15.176026,0
27.577393,0
12.205456,0
12.233929,0
-15.349542,0
0.9545832,0
26.979027,0
19.74678,0
9.999373,0
6.5429554,0
0.47657543,0
26.853733,0
-2.2133236,0
-27.521946,0
17.225225,0
28.444963,0
7.5223966,0
1.8598738,0
19.525927,0
-15.987889,0
4.2469397,0
-8.833613,0
58.22779,1
30.308775,1
14.163518,0
8.909308,0
38.564075,1
14.364985,0
12.743672,0
23.841475,0
13.702563,0
14.28044,0
2.2583876,0
-1.262433,0
11.729022,0
-2.2751932,0
10.456103,0
40.94805,1
20.646217,0
19.25165,0
10.859942,0
7.806881,0
12.608482,0
3.9488773,0
60.63442,1
29.27715,0
8.118872,0
8.952581,0
14.162665,0
-13.967422,0
-14.051885,0
-22.161005,0
-19.01289,0
15.633903,0
-2.6220007,0
5.1407757,0
24.010967,0
11.949706,0
-1.3175821,0
6.517028,0
-4.5622835,0
4.611783,0
-9.559392,0
0.8644267,0
-12.6790495,0
47.19783,1
2.9697905,0
5.1121435,0
2.7666235,0
10.109809,0
25.776878,0
-8.359315,0
-6.2931566,0
-12.884618,0
33.44379,1
1.2787695,0
-20.082205,0
-1.0123186,0
-3.8780584,0
-13.18765,0
8.690227,0
25.357567,0
-22.848368,0
-20.674425,0
-15.282388,0
36.145596,1
-9.653493,0
29.075079,0
12.662292,0
-26.580112,0
-10.014171,0
-12.088454,0
-9.772294,0
-6.291608,0
-0.7581567,0
-16.087631,0
-10.502294,0
29.444065,0
29.635483,0
31.39792,1
-2.6773477,0
-18.045237,0
66.514404,1
-0.38676542,0
77.758644,1
36.989326,1
39.63101,1
64.01931,1
16.293161,0
74.31698,1
12.036117,0
36.5714,1
-19.225622,0
19.750294,0
-10.0653715,0
20.146404,0
75.11429,1
21.60515,0
5.4865255,0
44.1892,1
33.641983,1
2.2269087,0
-2.3261838,0
63.57077,1
12.568595,0
28.839787,0
73.16494,1
-13.747507,0
12.629828,0
7.969913,0
78.492615,1
61.26978,1
48.92551,1
8.156125,0
31.74646,1
20.184856,0
-8.659193,0
4.645623,0
25.768097,0
11.063203,0
26.107964,0
23.634533,0
28.472044,0
-10.587653,0
35.87976,1
6.884309,0
-6.8596907,0
25.296614,0
42.09527,1
10.521586,0
33.51826,1
18.15674,0
27.028467,0
-17.72388,0
8.670175,0
24.318811,0
37.005764,1
7.4464607,0
17.07597,0
-11.593759,0
-6.216527,0
-13.477427,0
-4.918845,0
-16.794336,0
-25.442472,0
-15.188401,0
21.659958,0
-5.4915133,0
-45.66031,0
-15.647721,0
-21.607752,0
-37.153404,0
-14.443912,0
-30.774136,0
5.7604856,0
-6.982436,0
-36.576256,0
-30.872757,0
-13.803451,0
-7.396262,0
-8.81977,0
-13.622888,0
-16.613626,0
-11.4419775,0
-28.533154,0
-43.28795,0
10.398426,0
-19.703434,0
-12.64367,0
-4.4342546,0
-36.623512,0
-2.9761343,0
-29.04793,0
-9.119214,0
11.901866,0
14.532559,0
2.380313,0
9.892859,0
-23.09062,0
1.591466,0
-5.0378447,0
-16.335995,0
-8.006864,0
-26.514677,0
6.0260057,0
-1.7162123,0
-2.8638926,0
-20.908543,0
6.664048,0
-4.569087,0
1.4985647,0
5.4264417,0
-21.948797,0
-14.708394,0
-1.803895,0
18.396225,0
14.494468,0
-2.6273317,0
-12.204417,0
-8.958856,0
3.5699358,0
20.927502,0
-19.592752,0
-23.33532,0
-6.5248137,0
6.408103,0
31.527815,1
27.34327,0
10.109563,0
7.829835,0
2.3933697,0
13.371585,0
9.815015,0
-0.75109,0
7.422284,0
0.20882517,0
11.497604,0
-12.066964,0
2.7066164,0
3.8603315,0
8.0430765,0
-20.826488,0
19.676277,0
-14.330178,0
8.876145,0
32.188442,1
10.094944,0
-18.566948,0
55.557602,1
-1.8912678,0
15.001357,0
-17.901844,0
18.21505,0
-13.480466,0
19.781242,0
8.008707,0
-8.604276,0
20.757065,0
15.569871,0
1.9344044,0
4.505581,0
-7.3100224,0
9.409785,0
23.782957,0
65.23536,1
32.391724,1
15.332631,0
56.354973,1
26.11944,0
46.038395,1
-0.43908018,0
28.12127,0
7.463767,0
13.72206,0
14.711974,0
-26.164938,0
25.35978,0
-3.0973463,0
36.010937,1
-6.321351,0
7.8789186,0
24.59832,0
-20.465675,0
27.501537,0
-2.1317892,0
55.135597,1
10.386245,0
27.154907,0
-14.223083,0
0.03629595,0
-13.454352,0
-2.269042,0
-6.641526,0
-26.93243,0
15.380908,0
-11.751922,0
12.662631,0
-28.811607,0
-18.655539,0
-2.234128,0
15.963054,0
1.9926138,0
-14.372857,0
-9.589438,0
-11.555181,0
-3.718892,0
-0.38080877,0
3.30025,0
-16.291512,0
-31.092869,0
-0.983035,0
4.728961,0
0.8905688,0
-1.4613237,0
-12.913479,0
-7.932269,0
-11.479455,0
-15.546339,0
6.3588343,0
-23.729612,0
-20.887953,0
-6.978712,0
1.3792372,0
-42.74892,0
-13.967837,0
-39.81969,0
-37.311947,0
-28.058428,0
-47.06433,0
6.880599,0
1.9085951,0
