synergy,class
14.382385,0
5.35146,0
-6.089893,0
-0.2688296,0
7.4181104,0
17.822014,0
4.5496655,0
-2.0489237,0
-3.494301,0
-4.553452,0
1.5487082,0
7.8149934,0
22.873816,0
6.8258424,0
-25.902405,0
4.366785,0
36.812817,1
14.440733,0
12.097023,0
8.23992,0
9.961489,0
6.4071736,0
12.90197,0
14.656956,0
35.995785,1
6.151172,0
-10.256067,0
10.684395,0
16.375084,0
18.771206,0
15.39728,0
23.078003,0
-19.101654,0
3.5510728,0
0.76715446,0
1.3510435,0
-2.3357737,0
-3.6244853,0
16.34812,0
-27.473452,0
24.442165,0
35.620888,1
40.662292,1
16.939793,0
9.749383,0
16.19954,0
10.859395,0
4.9891925,0
7.3961005,0
19.824608,0
22.02058,0
15.345438,0
11.272573,0
11.043251,0
22.51312,0
20.288376,0
44.70718,1
19.655535,0
-8.761463,0
36.773388,1
14.403659,0
18.010246,0
19.524204,0
25.065351,0
22.031395,0
8.590419,0
-12.124481,0
6.489925,0
48.917355,1
37.542072,1
32.615067,1
43.357773,1
75.98019,1
36.893143,1
31.27903,1
33.276302,1
24.92798,0
15.152908,0
-15.334724,0
27.559097,0
4.7885804,0
20.852179,0
-19.078588,0
-11.421434,0
-31.217571,0
-7.265248,0
3.9412334,0
-20.230963,0
-2.1154754,0
-6.123489,0
-3.0500805,0
-3.479706,0
-0.6753781,0
1.0636423,0
-23.479794,0
-13.261773,0
3.2488286,0
14.021245,0
-13.123908,0
-11.911985,0
25.314642,0
-9.060854,0
2.70388,0
-7.6883097,0
-12.605017,0
-11.990715,0
-33.129765,0
-13.101375,0
23.997965,0
23.691383,0
23.62263,0
0.8175826,0
26.38882,0
24.107094,0
23.751087,0
-15.894304,0
29.669037,0
-0.60213494,0
12.489399,0
39.604748,1
29.247154,0
5.063622,0
-11.2897215,0
27.78812,0
28.462255,0
29.511263,0
30.239256,1
40.832386,1
29.203762,0
1.461973,0
52.205143,1
20.579393,0
20.997131,0
17.96406,0
0.24608585,0
0.1258485,0
-0.7801192,0
3.2411885,0
5.91545,0
14.307982,0
-0.9962666,0
-2.277249,0
3.1806204,0
20.79031,0
12.348009,0
-0.08523205,0
8.866641,0
0.51732135,0
2.2498586,0
3.0134218,0
16.922932,0
20.287027,0
0.9078071,0
-13.325055,0
-6.0554137,0
8.7428055,0
15.827537,0
16.838652,0
14.224946,0
32.075127,1
18.132092,0
-16.569843,0
9.989381,0
12.298527,0
2.2029388,0
11.538925,0
-0.5578444,0
2.8835557,0
4.868172,0
20.249882,0
2.4138143,0
14.731651,0
11.643658,0
-3.483907,0
-19.02098,0
2.9591749,0
2.9024317,0
-10.16727,0
-7.086819,0
1.7129576,0
16.96302,0
6.357488,0
4.570764,0
-22.695404,0
-54.241337,0
17.20558,0
18.27321,0
17.568844,0
17.425312,0
17.722307,0
17.999939,0
7.0106072,0
1.0805223,0
-5.6274304,0
13.557241,0
-4.120589,0
-2.393787,0
-10.148431,0
-4.8200865,0
3.8436635,0
-7.3134484,0
-2.2611706,0
3.2066514,0
9.539115,0
4.348929,0
-27.412094,0
-3.3152235,0
-1.5267375,0
-3.2052472,0
-7.014173,0
23.081484,0
3.6305096,0
-28.670507,0
-16.38665,0
29.594437,0
0.5494602,0
4.775724,0
-1.5570467,0
32.58598,1
16.447048,0
8.098829,0
6.5364766,0
-0.39487627,0
-6.9489193,0
1.590513,0
-13.613196,0
-8.153502,0
13.616041,0
-5.4324346,0
