synergy,class
16.286188,0
24.595676,0
3.911967,0
26.030426,0
20.20739,0
35.18404,1
-7.9154696,0
-11.678225,0
19.9105,0
-1.2603419,0
-1.4309103,0
12.776511,0
20.197676,0
13.652213,0
-2.5151293,0
-12.074792,0
42.120934,1
22.45781,0
17.990696,0
24.997717,0
21.53794,0
-14.80283,0
26.339602,0
21.586971,0
8.295633,0
19.383001,0
8.160669,0
10.49465,0
20.796227,0
10.983181,0
-1.1664374,0
15.872011,0
-11.3814335,0
4.2400393,0
-4.7984138,0
9.142936,0
12.887892,0
-17.481941,0
-2.1682742,0
34.493973,1
22.955177,0
-24.847757,0
1.5771902,0
9.275927,0
5.226028,0
-2.0319493,0
-2.0427134,0
16.48106,0
20.927189,0
26.569834,0
12.928371,0
13.099936,0
7.6830277,0
37.096806,1
18.099173,0
-9.53867,0
25.413776,0
22.51038,0
14.164923,0
3.9717052,0
42.41349,1
9.179659,0
6.4768586,0
-10.046377,0
7.4237432,0
33.29805,1
31.39257,1
22.370571,0
5.926786,0
40.244358,1
34.991165,1
7.3829684,0
45.203773,1
20.364004,0
-9.508378,0
7.1157184,0
17.480686,0
13.10211,0
16.084469,0
7.2170005,0
-9.94108,0
24.765688,0
27.071602,0
28.03254,0
-5.1345296,0
22.563972,0
9.162895,0
-8.744026,0
26.354956,0
18.318506,0
0.48583958,0
-23.144878,0
4.338595,0
20.9831,0
29.584879,0
17.964067,0
18.397022,0
40.998833,1
-13.920109,0
14.821761,0
11.760733,0
-22.730991,0
-14.531456,0
-21.892056,0
16.36394,0
11.003558,0
27.523062,0
-2.0511286,0
13.793892,0
15.676269,0
20.129591,0
-4.4461675,0
13.80849,0
10.295588,0
1.7823122,0
42.366096,1
11.492342,0
4.226855,0
-8.272718,0
14.399954,0
70.044655,1
41.038605,1
41.625065,1
23.005709,0
35.382786,1
-12.695896,0
13.803638,0
35.52879,1
-25.896164,0
23.466879,0
14.015587,0
3.3064213,0
7.224232,0
11.907364,0
16.669476,0
23.33414,0
-7.682692,0
10.736891,0
19.636227,0
25.280283,0
-0.9142268,0
-8.004038,0
12.208773,0
-1.4453509,0
-5.9357305,0
-6.0767636,0
19.829674,0
12.760685,0
-9.087749,0
-0.012756616,0
-2.8162425,0
19.273655,0
21.961058,0
6.0128446,0
10.309131,0
28.64765,0
25.42249,0
2.1216981,0
-16.373226,0
24.942171,0
1.3522975,0
13.240189,0
16.02126,0
-9.896961,0
11.5547085,0
43.55883,1
26.317923,0
-3.9571307,0
15.235682,0
10.453458,0
5.337359,0
-8.477373,0
-3.443186,0
4.79371,0
12.453516,0
-5.880049,0
10.061123,0
-0.13407925,0
-11.401451,0
-10.878376,0
-36.721687,0
12.846138,0
2.8515375,0
13.191325,0
-4.83394,0
11.041855,0
-15.196642,0
17.188698,0
-12.116436,0
26.547073,0
-2.549535,0
14.379125,0
-13.2234745,0
-8.198391,0
-0.9902613,0
6.597859,0
14.156857,0
12.126223,0
3.9141004,0
4.6006656,0
-22.740915,0
-13.504019,0
-21.791656,0
-25.014713,0
-4.0045476,0
0.11200687,0
-7.451901,0
-29.618261,0
-17.04329,0
1.7039831,0
-6.337525,0
1.6808889,0
-7.7855887,0
33.52827,1
-4.565451,0
-20.275326,0
10.487358,0
-7.470114,0
-25.76241,0
-16.9904,0
-10.4770565,0
-10.843498,0
2.8667018,0
5.822826,0
1.5359242,0
-5.3887115,0
-7.010329,0
-2.31969,0
-10.041115,0
-12.589118,0
11.68162,0
12.932358,0
-16.261509,0
27.692974,0
15.069963,0
-3.375191,0
10.796421,0
-2.266371,0
25.135618,0
-4.8248506,0
20.17615,0
-7.4703603,0
13.66518,0
-3.3139374,0
-6.068318,0
13.751884,0
40.90828,1
34.677696,1
-2.8823092,0
14.096952,0
-7.4343247,0
17.521393,0
1.6442354,0
1.7912834,0
20.920507,0
27.642948,0
30.149315,1
21.425411,0
31.790781,1
2.3381155,0
30.426186,1
20.109825,0
29.429619,0
27.307657,0
17.295528,0
1.0910242,0
13.9916525,0
49.099434,1
46.813072,1
21.91491,0
38.42109,1
-8.227877,0
30.361187,1
19.3736,0
24.062757,0
11.362465,0
15.556604,0
11.281589,0
18.248306,0
31.58926,1
13.149604,0
31.30052,1
-2.4967673,0
18.109219,0
12.837487,0
14.822962,0
9.589569,0
14.390894,0
-2.5061724,0
16.069994,0
45.00997,1
38.44524,1
52.0393,1
-9.365688,0
17.150944,0
25.631052,0
22.206507,0
14.97092,0
8.562117,0
7.147897,0
8.057164,0
34.29495,1
21.228836,0
-5.0277963,0
-13.60363,0
10.674424,0
-0.32492283,0
19.885832,0
7.889611,0
5.797035,0
-19.694496,0
2.8029745,0
29.38036,0
27.283524,0
-16.941595,0
22.607439,0
-13.405918,0
10.995295,0
5.297872,0
17.601616,0
5.7102923,0
25.160624,0
30.570631,1
28.405657,0
60.59116,1
38.72324,1
47.89508,1
46.859055,1
15.560102,0
24.42267,0
30.362278,1
14.564745,0
40.745026,1
47.236916,1
29.053417,0
-6.327788,0
34.603794,1
15.174044,0
39.785736,1
19.08733,0
15.553175,0
27.071068,0
3.7795484,0
29.184044,0
7.927301,0
0.1387746,0
9.31398,0
5.0636754,0
7.4886947,0
14.896009,0
-0.8974271,0
54.340477,1
59.537834,1
-6.593182,0
8.01568,0
12.365224,0
53.55507,1
6.141832,0
26.220306,0
-19.309559,0
13.300325,0
7.9516063,0
8.243744,0
-12.996972,0
23.914742,0
3.7073019,0
5.7437887,0
2.1744363,0
12.771191,0
28.937092,0
34.972206,1
5.1821723,0
12.140811,0
35.73036,1
28.442833,0
12.090395,0
-6.568314,0
7.0696287,0
-2.5775917,0
6.125132,0
31.398998,1
5.6054626,0
2.2309864,0
27.769318,0
18.27867,0
12.026595,0
27.818565,0
22.28177,0
19.889969,0
15.227971,0
19.28407,0
17.104635,0
16.611015,0
36.731735,1
15.251333,0
30.11996,1
45.19276,1
13.871306,0
0.3397939,0
18.367655,0
51.838417,1
27.049074,0
29.590826,0
10.114784,0
25.545172,0
-5.7460313,0
41.05273,1
-2.6044466,0
17.50419,0
4.998672,0
6.3554864,0
1.342077,0
23.239782,0
1.5437601,0
17.126808,0
12.916723,0
-2.5452368,0
2.3131597,0
18.944334,0
9.444138,0
-17.99989,0
16.719702,0
3.6689699,0
-10.062588,0
2.453243,0
21.474632,0
26.011786,0
9.1287985,0
0.22173473,0
-13.967348,0
29.255497,0
26.413134,0
13.221503,0
16.86183,0
11.642092,0
28.524948,0
0.49676296,0
-27.44823,0
44.77429,1
3.7810895,0
11.296792,0
13.592859,0
-7.7383637,0
-7.6302953,0
-11.40218,0
7.8868957,0
18.54351,0
16.70625,0
11.415768,0
2.4334085,0
-17.349669,0
-4.229198,0
-2.855963,0
29.38599,0
19.221355,0
-4.283459,0
-13.260097,0
20.87643,0
18.7856,0
-29.129398,0
13.8096695,0
-3.3295271,0
9.176835,0
-8.382971,0
4.002012,0
16.056515,0
-1.8254149,0
-27.199976,0
-11.311302,0
-12.44359,0
-10.324648,0
0.10387775,0
-27.07571,0
-10.601035,0
10.8958435,0
15.944026,0
-28.66005,0
8.120703,0
-20.018293,0
-17.963684,0
12.2181835,0
11.672297,0
15.000187,0
16.142761,0
2.9931552,0
-8.32165,0
8.359212,0
4.79427,0
6.724379,0
-20.459322,0
-0.32088116,0
21.161423,0
30.492252,1
-11.280277,0
13.789413,0
9.313601,0
16.234459,0
10.127371,0
19.099522,0
34.75353,1
19.304222,0
-1.1954529,0
11.30608,0
6.9042745,0
8.030766,0
11.800789,0
39.109943,1
26.027264,0
30.546988,1
48.825787,1
36.61357,1
6.4333215,0
4.1719146,0
-0.31516674,0
8.291753,0
8.366649,0
-9.211384,0
5.6284947,0
-0.8577006,0
9.80902,0
6.330625,0
-0.9967692,0
2.688913,0
2.3289373,0
24.9253,0
25.80434,0
25.449837,0
-3.3986962,0
27.960653,0
22.842968,0
23.810604,0
5.6599927,0
-6.914725,0
11.30814,0
8.200322,0
-8.149131,0
2.204872,0
13.323804,0
10.899575,0
-11.03157,0
3.5526903,0
4.4311786,0
16.68509,0
25.191624,0
25.362318,0
7.18732,0
8.528397,0
22.319601,0
32.900414,1
3.862644,0
-3.5288851,0
10.777187,0
7.55585,0
11.128696,0
20.08792,0
4.1685724,0
11.195496,0
18.635178,0
-8.160679,0
1.6530282,0
5.942061,0
2.6583288,0
11.666977,0
9.574817,0
38.348927,1
40.73803,1
28.532883,0
23.708923,0
27.565277,0
26.381989,0
-11.341624,0
-9.987518,0
32.283,1
26.247135,0
1.4229639,0
-7.186663,0
4.2838016,0
0.9864681,0
29.704247,0
-12.465355,0
-14.433089,0
4.845079,0
13.917427,0
17.361181,0
14.112831,0
11.389879,0
22.793125,0
13.515724,0
30.580153,1
6.987899,0
-7.784928,0
16.020124,0
9.419569,0
-3.147467,0
11.712117,0
25.064499,0
8.626766,0
1.5859716,0
-4.2806554,0
33.6526,1
21.654083,0
17.552525,0
23.960474,0
20.677864,0
-16.924198,0
27.513317,0
23.199625,0
7.055742,0
20.283352,0
7.9962907,0
10.231578,0
19.716167,0
11.751389,0
-1.1526835,0
14.55504,0
-13.53264,0
3.4424188,0
-3.3756363,0
14.501077,0
14.991803,0
-10.388054,0
1.7139909,0
30.992584,1
22.961348,0
-19.186737,0
14.9319315,0
7.101154,0
11.841738,0
4.508329,0
-3.9690478,0
14.066557,0
26.650158,0
27.207756,0
7.235805,0
19.425072,0
9.734715,0
40.071445,1
13.749033,0
-8.506416,0
18.215462,0
17.67738,0
-0.22943905,0
-2.5764444,0
36.642296,1
15.286541,0
-1.060878,0
-18.78748,0
12.906729,0
26.949308,0
32.857662,1
27.938038,0
3.7274015,0
30.728373,1
29.924097,0
-1.2629282,0
42.776085,1
29.175137,0
-10.57246,0
15.444237,0
23.277391,0
3.4206283,0
18.06398,0
12.494585,0
-6.184277,0
30.766832,1
13.08638,0
28.947151,0
-1.7941897,0
16.85506,0
15.762796,0
-7.335501,0
19.637585,0
15.224657,0
-0.25124195,0
-27.698946,0
-6.046393,0
12.096646,0
26.753511,0
10.139321,0
1.5582016,0
29.46946,0
-23.268791,0
16.938358,0
16.133562,0
-15.559374,0
-8.866419,0
-16.018454,0
24.988783,0
18.617855,0
40.59894,1
7.9933105,0
13.114614,0
13.098646,0
27.96317,0
11.265589,0
16.697735,0
32.11035,1
14.150793,0
34.15245,1
15.475703,0
3.053436,0
-9.727074,0
12.745825,0
67.53043,1
41.38637,1
42.48615,1
20.512493,0
36.30867,1
-11.222919,0
13.3848,0
34.762657,1
-27.127817,0
21.280188,0
13.801708,0
3.1941197,0
8.257948,0
14.231845,0
19.495518,0
29.981642,0
-6.094027,0
10.039017,0
19.906322,0
27.65745,0
3.4224317,0
-1.6009772,0
9.262057,0
1.1011827,0
5.3350444,0
-4.1420026,0
17.502712,0
13.660627,0
-7.1246877,0
4.624641,0
0.9192827,0
21.112768,0
20.423388,0
11.666188,0
6.993931,0
29.562687,0
23.79232,0
2.7353418,0
-18.499273,0
21.02498,0
-10.765949,0
5.956445,0
9.168224,0
0.49307415,0
8.166173,0
19.346157,0
14.383324,0
-2.5694907,0
14.252632,0
16.061008,0
1.4928348,0
-12.753721,0
2.7013967,0
-0.5254433,0
12.689876,0
-0.5174744,0
12.574144,0
0.2958314,0
-4.1006637,0
4.669208,0
-26.874887,0
13.090869,0
6.31121,0
4.4505377,0
-3.2151778,0
12.246405,0
-10.594776,0
17.762802,0
-17.029808,0
9.427166,0
-7.8291698,0
13.205433,0
-18.340733,0
-16.739319,0
-14.455708,0
-9.405993,0
12.386223,0
5.9190226,0
-4.6120477,0
-4.140366,0
-26.479195,0
-8.067654,0
-20.833054,0
-21.356194,0
-0.010666162,0
1.2152689,0
-5.2861514,0
-35.892765,0
-17.757826,0
-3.7507384,0
0.12595436,0
4.3949523,0
-4.0232387,0
30.391489,1
-9.064575,0
-21.20756,0
24.044127,0
-9.126038,0
-27.24643,0
-22.754972,0
-15.321039,0
-14.921333,0
3.75398,0
6.13088,0
1.7212222,0
