synergy,class
-3.3481848,0
5.0663342,0
-9.710147,0
15.677478,0
4.332209,0
-18.186382,0
18.849594,0
4.5419335,0
-2.0929835,0
2.5620086,0
13.126694,0
-6.1266747,0
10.9688015,0
-7.564547,0
-5.5040946,0
2.092097,0
2.126373,0
16.630678,0
-4.347564,0
6.1716924,0
9.070514,0
10.743532,0
1.6798446,0
-1.2128909,0
22.124367,0
1.2313554,0
-1.5703127,0
0.756437,0
5.4952254,0
2.648894,0
10.897058,0
30.00693,1
14.487541,0
-2.1374428,0
11.728922,0
8.499404,0
9.723052,0
-6.033867,0
22.923244,0
28.224556,0
25.459368,0
-2.1237175,0
-5.610023,0
28.888554,0
-7.146252,0
2.1262825,0
-7.943233,0
-80.76515,0
30.914234,1
23.754839,0
11.241308,0
31.07867,1
31.239801,1
13.58096,0
44.078083,1
5.8804955,0
30.33978,1
17.040815,0
48.609325,1
25.15089,0
35.43594,1
30.68313,1
28.766209,0
6.6507077,0
30.834173,1
44.323483,1
63.02134,1
46.724625,1
35.75625,1
86.12302,1
49.154697,1
21.48125,0
32.067505,1
13.613696,0
37.941868,1
25.00991,0
12.177117,0
19.436096,0
13.645534,0
-18.107515,0
-11.666087,0
-10.660157,0
4.3726993,0
2.786988,0
-17.045027,0
3.974116,0
-11.913629,0
1.7055366,0
0.87897366,0
0.48837346,0
3.7755125,0
-9.979158,0
-15.303382,0
7.505565,0
-7.4550977,0
-2.0807793,0
-3.0187972,0
0.74659413,0
-5.672692,0
5.0314765,0
-10.369301,0
0.116248794,0
-21.191662,0
-22.086298,0
-2.4006073,0
-11.874308,0
-11.6691675,0
-21.6117,0
-24.211283,0
-7.03836,0
-10.1053295,0
-18.1923,0
-20.996735,0
-35.73675,0
-9.543244,0
-9.67731,0
2.4136226,0
-25.328196,0
-25.336895,0
-26.564047,0
-3.5821526,0
-10.643788,0
-8.176731,0
-10.630961,0
-9.893537,0
-21.39093,0
-60.879696,0
-15.295971,0
-13.14918,0
-17.399162,0
-16.912851,0
-4.225144,0
-27.561731,0
-6.1699443,0
-3.3993661,0
8.169145,0
-10.313595,0
-5.486366,0
13.571313,0
-2.0535624,0
2.6412275,0
-0.46545154,0
4.805659,0
3.2026107,0
8.1924715,0
7.652951,0
-2.96086,0
8.119092,0
6.4106536,0
1.2631724,0
-1.0681956,0
-0.79067546,0
10.581786,0
-1.0683644,0
20.539547,0
54.620125,1
15.8083105,0
-3.057008,0
0.5147521,0
-1.6809056,0
-2.4532921,0
7.068668,0
-8.788589,0
16.926224,0
4.086738,0
-5.119773,0
0.8840739,0
0.9977042,0
17.035378,0
7.102325,0
-3.79645,0
9.699211,0
9.013057,0
-5.619354,0
4.051417,0
15.844321,0
10.294522,0
11.287824,0
-3.1822603,0
-6.6304364,0
-11.978936,0
17.303017,0
10.063779,0
4.3052354,0
30.83687,1
17.145138,0
10.101424,0
-1.9539568,0
21.273771,0
-3.7933114,0
-8.22388,0
0.32407826,0
27.820732,0
23.764088,0
18.226288,0
-7.691463,0
38.02087,1
18.503466,0
-12.840999,0
53.538292,1
22.699118,0
13.6643915,0
-1.4233773,0
31.906782,1
15.196146,0
24.803009,0
19.005344,0
15.117223,0
30.949327,1
37.731068,1
29.316463,0
29.50296,0
