synergy,class
12.395892,0
85.63987,1
-11.279075,0
2.632028,0
-1.5975232,0
5.997315,0
23.85596,0
18.092066,0
23.71125,0
24.699669,0
-7.1867585,0
11.23957,0
9.501498,0
11.789358,0
3.9595027,0
26.41771,0
25.344845,0
32.821728,1
26.50348,0
12.841931,0
9.205965,0
29.98636,0
21.532791,0
15.12608,0
27.220146,0
48.78657,1
47.079376,1
17.944336,0
71.19725,1
70.85928,1
95.82382,1
134.76738,1
68.83099,1
110.95619,1
71.703674,1
58.684933,1
79.22389,1
68.46145,1
89.01999,1
149.26764,1
111.17215,1
78.8954,1
80.94449,1
100.0806,1
134.16203,1
124.60474,1
93.84088,1
17.99276,0
35.612232,1
67.417046,1
5.029092,0
15.773503,0
35.258194,1
21.126446,0
61.689785,1
21.052383,0
37.742966,1
29.28732,0
28.381092,0
36.968422,1
32.80139,1
47.69515,1
28.45631,0
18.78159,0
30.290157,1
42.035778,1
75.44599,1
35.398636,1
26.840702,0
98.653275,1
60.780025,1
29.989832,0
103.56296,1
48.285362,1
44.0609,1
17.374062,0
66.520996,1
84.96027,1
33.28863,1
-18.59889,0
63.195915,1
-19.360876,0
-12.751426,0
0.98383003,0
-6.317796,0
-18.745316,0
-26.573421,0
-10.31391,0
-6.933535,0
1.4597697,0
4.426522,0
10.100935,0
-5.776068,0
-11.330862,0
17.74667,0
12.402388,0
-16.74724,0
8.987179,0
-7.111778,0
5.639583,0
5.7136903,0
-11.294361,0
29.584578,0
31.711687,1
-21.60376,0
0.04602295,0
58.107677,1
-13.300317,0
-1.1515508,0
-2.6949906,0
36.59078,1
30.063766,1
40.624065,1
41.658882,1
8.556341,0
12.424793,0
19.815657,0
-1.3642964,0
0.9195095,0
18.682955,0
16.636105,0
40.260303,1
23.967266,0
15.709936,0
25.235687,0
30.426487,1
17.210876,0
3.1141915,0
2.862059,0
58.425777,1
52.259365,1
-4.5948462,0
-2.8740091,0
1.694716,0
69.3669,1
21.010319,0
11.011087,0
14.2209,0
4.936275,0
1.6199546,0
38.30211,1
2.9618654,0
19.545292,0
46.387325,1
18.14738,0
-2.5253062,0
10.376805,0
18.513613,0
8.612905,0
-5.499682,0
18.859148,0
13.410868,0
53.996128,1
5.0122333,0
4.0107207,0
57.02246,1
20.989817,0
18.458199,0
17.990768,0
57.322144,1
32.365597,1
1.1527915,0
13.84724,0
-0.14301628,0
9.493839,0
95.54843,1
88.9259,1
-5.360478,0
16.497711,0
64.8503,1
8.378376,0
16.703613,0
26.196026,0
9.436481,0
38.958736,1
2.8300729,0
27.123573,0
33.49541,1
18.119303,0
7.7650867,0
13.172948,0
56.913635,1
45.073883,1
42.867104,1
32.739803,1
27.059906,0
11.455201,0
16.950527,0
21.483334,0
59.73805,1
57.00581,1
18.762094,0
19.283352,0
34.039143,1
117.215965,1
-12.748481,0
14.218195,0
0.47855526,0
9.85388,0
4.764775,0
18.409918,0
-2.1574283,0
21.193052,0
13.996243,0
21.71727,0
23.05092,0
-2.7227464,0
14.531124,0
6.1279254,0
44.84958,1
-3.3232102,0
42.12946,1
17.208687,0
10.233711,0
-13.303462,0
9.675822,0
15.979449,0
16.646347,0
16.017273,0
20.104017,0
37.27096,1
0.4748264,0
10.6436405,0
10.527275,0
1.9239984,0
36.640377,1
5.7522244,0
20.041538,0
2.4046397,0
23.0413,0
39.83754,1
19.525175,0
22.924267,0
47.51119,1
5.8753686,0
87.09425,1
-2.3038583,0
21.849646,0
52.7914,1
8.645424,0
36.282417,1
4.3014026,0
11.890446,0
8.024204,0
24.219076,0
27.878181,0
71.8866,1
40.17605,1
20.889961,0
24.46251,0
19.347692,0
65.89878,1
67.50277,1
-3.451943,0
12.296076,0
88.696304,1
-2.1803956,0
18.35793,0
66.58873,1
44.269814,1
72.02727,1
26.405357,0
37.381718,1
34.638348,1
2.873444,0
28.022434,0
55.24776,1
80.575356,1
39.122158,1
15.787209,0
41.33009,1
45.66044,1
47.27934,1
30.891998,1
82.24262,1
80.14862,1
39.94816,1
16.30608,0
105.79681,1
11.472388,0
25.639051,0
73.324486,1
19.4554,0
48.623356,1
28.40366,0
37.334087,1
31.227806,1
24.180956,0
42.476788,1
56.361652,1
91.66918,1
18.635857,0
53.087276,1
32.978622,1
45.705296,1
57.05871,1
60.170208,1
73.2943,1
42.03171,1
5.808185,0
66.96685,1
2.3991446,0
-4.9778576,0
36.766438,1
38.974888,1
45.37977,1
14.329202,0
17.831123,0
24.10032,0
3.4736028,0
7.9303546,0
24.705872,0
31.936762,1
4.5765,0
24.86248,0
8.507797,0
16.470287,0
51.935062,1
41.04202,1
1.3885665,0
35.29419,1
64.70793,1
127.574524,1
53.760754,1
6.6596217,0
3.3701658,0
59.597603,1
29.347952,0
54.63126,1
52.362858,1
63.128513,1
42.392735,1
71.39629,1
78.01129,1
5.278438,0
85.556274,1
30.221287,1
121.296684,1
40.911922,1
93.42038,1
54.334904,1
23.8617,0
61.27042,1
76.3512,1
56.332104,1
57.53599,1
74.50071,1
78.4337,1
33.919323,1
6.7319026,0
