synergy,class
1.7145469,0
20.993946,0
17.066751,0
24.317408,0
63.023247,1
-5.494734,0
11.38493,0
12.488576,0
-7.3458104,0
29.766262,0
2.6025999,0
14.980951,0
32.530846,1
11.2240715,0
83.92414,1
-3.5364897,0
-4.893116,0
52.655178,1
32.7915,1
18.189425,0
46.07201,1
10.38227,0
0.588167,0
-4.360915,0
-9.524228,0
22.80314,0
2.3396537,0
23.272678,0
8.514367,0
7.113088,0
55.07295,1
-7.075137,0
-18.567263,0
7.403661,0
11.588665,0
30.409554,1
3.0869205,0
22.387897,0
16.392149,0
71.356964,1
23.166897,0
-10.389067,0
8.980347,0
22.707993,0
-4.4488683,0
2.281657,0
16.06874,0
31.054714,1
47.092674,1
20.825266,0
2.206724,0
50.015438,1
15.654885,0
9.074448,0
128.10399,1
3.337076,0
-0.20983523,0
38.87756,1
-9.145833,0
51.925858,1
-21.979025,0
20.260376,0
55.56328,1
5.1157894,0
-13.059558,0
43.94127,1
11.635935,0
-11.292382,0
24.51326,0
-7.0927086,0
13.304126,0
-1.9747803,0
22.29435,0
3.3363626,0
1.0861881,0
-2.4265654,0
-0.55418986,0
15.729799,0
8.769311,0
3.202358,0
-1.9416258,0
1.4226632,0
4.8370004,0
26.347967,0
17.74642,0
-22.842402,0
21.559183,0
19.546085,0
-8.619642,0
-8.379051,0
7.0778427,0
28.567617,0
-11.531781,0
15.355063,0
-5.1510735,0
13.2014885,0
-11.376134,0
15.484785,0
43.630478,1
-2.4348776,0
-19.687292,0
60.27386,1
19.72705,0
3.1320498,0
48.07553,1
67.07555,1
1.2548444,0
29.51389,0
-16.677755,0
26.207514,0
25.769478,0
64.738846,1
1.8328364,0
10.381993,0
6.3099217,0
11.165686,0
2.6496913,0
81.60569,1
15.026637,0
5.018964,0
15.769503,0
-0.5309445,0
2.8730106,0
13.380214,0
-0.8812029,0
13.350151,0
2.6259873,0
0.7495802,0
-29.468084,0
-18.920534,0
1.2505577,0
22.772491,0
10.613375,0
-9.740022,0
-8.909294,0
-12.068722,0
6.977907,0
10.288628,0
1.0686471,0
4.3289833,0
-10.651679,0
11.705989,0
-31.298126,0
-8.970735,0
17.727753,0
47.89053,1
-9.06391,0
12.818331,0
22.080568,0
7.727249,0
3.2011755,0
1.5437467,0
-11.248387,0
-4.470557,0
-6.3700867,0
142.64447,1
6.029499,0
1.6535146,0
6.304599,0
59.12236,1
22.436972,0
24.510984,0
-10.295614,0
0.53376514,0
8.453166,0
13.929938,0
14.568204,0
4.118683,0
9.107663,0
54.917965,1
0.7978938,0
3.2522638,0
14.716124,0
3.807203,0
-2.5444114,0
16.064913,0
3.1542795,0
3.8474805,0
19.620872,0
52.63539,1
17.816256,0
7.264174,0
-24.698883,0
10.552235,0
4.784772,0
-3.3370192,0
24.862347,0
0.5871418,0
10.475204,0
4.31892,0
0.48283607,0
-5.040943,0
-0.5738382,0
-1.9905376,0
23.336227,0
59.32215,1
-3.1271527,0
10.470467,0
80.196236,1
37.648506,1
55.282436,1
0.31086046,0
-10.098374,0
6.8737483,0
58.43052,1
83.11215,1
-8.898264,0
11.179338,0
55.88963,1
21.855806,0
54.10266,1
15.388763,0
15.091282,0
28.211102,0
1.9040058,0
11.98332,0
38.612003,1
58.16426,1
20.803284,0
-21.98127,0
17.678917,0
17.753479,0
7.777608,0
-0.62078923,0
-1.6153982,0
27.879612,0
5.72274,0
-8.416166,0
-0.55063075,0
-10.189468,0
5.7654457,0
28.225475,0
22.590849,0
2.9893491,0
4.9855623,0
30.249767,1
13.958802,0
42.612118,1
19.903229,0
9.363323,0
-1.2920365,0
-6.054531,0
44.121956,1
3.7236288,0
-2.791748,0
40.74097,1
49.441147,1
0.5676983,0
23.108519,0
4.8356247,0
3.6323912,0
7.7758293,0
77.72425,1
10.231478,0
10.122947,0
-2.3499691,0
-6.123487,0
0.7449091,0
0.44538862,0
16.682856,0
-2.7340758,0
78.47126,1
22.145557,0
13.71755,0
38.390472,1
-0.15955275,0
17.069122,0
39.85402,1
-6.349495,0
3.6499908,0
9.538257,0
7.2689514,0
13.452001,0
-5.101954,0
44.187344,1
6.280286,0
10.375755,0
16.430239,0
15.405254,0
54.89525,1
-2.6100607,0
1.09815,0
-8.256781,0
1.9038589,0
56.251244,1
30.056534,1
-1.1827548,0
-7.255762,0
15.859182,0
15.377338,0
5.7855873,0
28.470463,0
4.366329,0
2.3749173,0
-17.810257,0
68.24616,1
-24.280088,0
-11.230534,0
46.438187,1
9.05241,0
-9.869358,0
2.8000696,0
44.34717,1
20.306087,0
2.221485,0
7.0235443,0
23.001778,0
61.74009,1
-4.6050797,0
4.0639286,0
-12.1591835,0
-12.101955,0
4.8147135,0
7.5391884,0
1.2621534,0
-1.4944258,0
3.8558958,0
-12.990148,0
19.37173,0
5.1130915,0
8.166025,0
-17.555687,0
6.961233,0
-6.7156677,0
3.322355,0
19.38155,0
3.5398166,0
-3.984275,0
0.9327372,0
49.438507,1
-7.3670416,0
13.563263,0
24.750462,0
-9.575817,0
-17.124418,0
1.5547469,0
17.392155,0
51.88417,1
-0.9877717,0
24.78413,0
61.138725,1
1.041436,0
9.094778,0
2.9546354,0
2.457442,0
-3.7279723,0
5.9166474,0
3.5293853,0
6.033745,0
9.519733,0
7.8572865,0
12.135612,0
9.169673,0
33.809742,1
-11.458521,0
-12.482927,0
5.8793945,0
56.303905,1
28.249468,0
77.38909,1
-2.50336,0
9.466181,0
17.878983,0
1.9643824,0
9.6517315,0
7.42091,0
19.00084,0
2.0801184,0
15.190168,0
-28.72043,0
3.836736,0
-14.114201,0
3.140784,0
22.609076,0
5.83506,0
7.3484383,0
-15.446905,0
-6.2993946,0
31.694155,1
0.71491796,0
17.808838,0
6.423828,0
17.664648,0
-11.491151,0
0.37989217,0
2.5181043,0
2.581124,0
0.122306645,0
1.9867094,0
-6.044659,0
7.839032,0
-4.799484,0
4.1921206,0
-8.8629055,0
51.137604,1
-6.8099227,0
66.548546,1
1.9262958,0
11.985157,0
-3.4244204,0
-2.7786872,0
3.4822457,0
-4.758745,0
3.1408422,0
9.489403,0
20.22107,0
23.350983,0
17.526371,0
-39.4359,0
-2.1040728,0
4.594672,0
31.797508,1
25.36567,0
62.81463,1
10.518999,0
-3.8534834,0
6.146446,0
4.152602,0
19.43042,0
13.236134,0
4.333375,0
83.51077,1
4.47793,0
26.64471,0
8.922145,0
22.40679,0
38.030315,1
3.0539892,0
42.72867,1
4.3525205,0
-1.9154217,0
-9.494937,0
-3.4840472,0
20.220196,0
3.5212858,0
2.1955445,0
9.348995,0
-14.090731,0
5.95095,0
-17.028982,0
6.0841646,0
3.8655055,0
-5.0390644,0
-7.822809,0
-18.398178,0
3.0472634,0
3.7175863,0
0.12765199,0
2.1187065,0
7.1393156,0
22.248587,0
-15.999889,0
6.420657,0
1.2978003,0
2.7062423,0
-48.36319,0
3.7883708,0
-11.764269,0
24.580463,0
-21.591152,0
1.4572704,0
16.588732,0
24.24459,0
4.426262,0
59.19359,1
2.6378877,0
-8.924549,0
0.42100555,0
36.76701,1
10.757348,0
0.8511527,0
40.128605,1
9.107625,0
-0.5696096,0
4.7361145,0
2.049876,0
-6.8868656,0
-3.14559,0
-2.5502245,0
44.45755,1
2.073549,0
6.7776747,0
-1.2167733,0
2.5712583,0
13.472645,0
9.762981,0
12.239983,0
-10.4775505,0
6.633149,0
-11.969045,0
6.065553,0
27.701538,0
38.163063,1
-9.62578,0
4.5005865,0
6.3062778,0
14.153393,0
26.991137,0
-8.267832,0
35.021175,1
-1.7389319,0
9.646201,0
12.037336,0
-2.575642,0
-10.673626,0
13.216291,0
25.445833,0
41.79369,1
7.1836977,0
-2.3442523,0
14.909807,0
13.9742985,0
6.2813234,0
19.870102,0
7.6269684,0
16.948627,0
-18.359722,0
26.070429,0
-27.685928,0
12.911888,0
9.642069,0
9.523552,0
4.183243,0
3.6005552,0
23.24179,0
35.55336,1
5.8031445,0
0.30560857,0
6.363901,0
-2.8935788,0
-11.554314,0
2.273092,0
25.699644,0
8.71222,0
11.49498,0
0.3768862,0
-12.354918,0
-0.48846263,0
5.328043,0
2.639633,0
7.0821886,0
15.243317,0
-4.0566645,0
28.89149,0
2.1997392,0
48.539627,1
4.8564467,0
23.175613,0
16.17245,0
18.35384,0
-0.76887053,0
9.479738,0
26.088879,0
1.0801346,0
10.070507,0
41.6476,1
7.879771,0
21.779242,0
4.3118134,0
-5.0430956,0
64.41228,1
15.869562,0
6.6723523,0
1.8406966,0
1.4977167,0
-2.5818727,0
5.531241,0
63.10013,1
2.986678,0
-0.117770135,0
-20.43431,0
19.462656,0
14.119701,0
17.744204,0
-33.267693,0
-20.379383,0
14.163122,0
-17.079185,0
0.122475445,0
-20.86499,0
12.927038,0
5.18392,0
14.471695,0
4.265767,0
4.519312,0
14.526227,0
-1.533643,0
-0.7753212,0
63.208,1
-11.822953,0
7.2207966,0
29.665512,0
-9.828213,0
-3.8211176,0
4.211442,0
20.266636,0
-0.5671939,0
-6.2792974,0
27.857487,0
3.0556867,0
66.98199,1
21.41341,0
-3.349703,0
11.113715,0
-1.7712915,0
29.284966,0
-18.353676,0
83.93659,1
6.6497583,0
27.25759,0
-19.87821,0
6.168638,0
-8.970975,0
42.33956,1
18.293686,0
19.128056,0
