synergy,class
6.332058,0
-14.128698,0
1.5690354,0
5.749041,0
-15.3696995,0
6.6341057,0
10.24234,0
-2.324189,0
-0.9322998,0
30.891607,1
-0.2059652,0
2.7872646,0
7.85441,0
-0.28002757,0
-19.182718,0
-42.91427,0
14.112109,0
-13.523995,0
0.4654978,0
-34.099106,0
-23.327427,0
-25.019934,0
40.876396,1
-5.6381063,0
-5.561422,0
21.741936,0
-1.0452205,0
8.904755,0
-5.091238,0
-53.085663,0
-17.577543,0
9.608473,0
-10.831436,0
12.034627,0
5.056677,0
-8.208809,0
-6.205027,0
-10.204552,0
-7.169149,0
11.66301,0
-4.009835,0
-3.9894993,0
20.71741,0
-0.8818113,0
-8.845089,0
-5.364327,0
1.5179185,0
-16.692223,0
6.2476044,0
-4.1774807,0
-24.76456,0
18.070335,0
25.503185,0
-4.1814194,0
7.443925,0
-11.627909,0
37.8296,1
12.312237,0
-6.689847,0
-11.728977,0
3.0515425,0
2.3347375,0
20.729101,0
1.2693614,0
-14.467958,0
2.4081976,0
32.386467,1
2.3838375,0
9.434606,0
-13.900176,0
-6.5908375,0
-34.091003,0
-4.9619727,0
2.3845582,0
-3.4814713,0
0.95591146,0
16.246702,0
4.5484543,0
2.218763,0
35.668423,1
-9.537439,0
25.139626,0
-28.694845,0
-9.337503,0
5.903679,0
18.260258,0
-2.1725943,0
-3.2546809,0
31.011484,1
13.013732,0
-6.991951,0
-28.382132,0
0.7588571,0
-4.2363605,0
12.692783,0
13.241496,0
2.4663923,0
-21.199957,0
8.6188755,0
-4.781669,0
-5.1854405,0
-7.6641808,0
-4.9660816,0
-43.270447,0
-11.438742,0
5.38787,0
-27.2847,0
2.882323,0
-5.349987,0
-5.456757,0
-4.547922,0
5.7705545,0
7.853739,0
-1.2100564,0
-26.470982,0
-14.102093,0
-8.595137,0
-4.6046143,0
-6.6032677,0
21.078047,0
-11.576548,0
13.875425,0
24.594091,0
-40.88908,0
-12.690651,0
3.1030176,0
-0.16303556,0
2.2014844,0
4.4888363,0
-0.564758,0
2.1194293,0
5.6682177,0
28.70588,0
27.653687,0
23.628092,0
10.902384,0
23.145824,0
7.7285714,0
35.533646,1
12.403644,0
10.832842,0
4.5378737,0
2.6761892,0
1.6405333,0
10.67445,0
-14.518764,0
-13.242119,0
16.195875,0
-8.170592,0
6.258484,0
-5.971588,0
9.331562,0
2.814164,0
-3.8148844,0
11.040039,0
