synergy,class
-14.623045,0
48.14658,1
-1.8711648,0
-1.6528826,0
12.183657,0
7.5501437,0
39.5458,1
40.046574,1
5.139639,0
-4.192919,0
7.900852,0
8.75598,0
11.444923,0
7.3304567,0
-1.8048058,0
21.225317,0
29.534323,0
-8.222071,0
27.72801,0
43.438747,1
26.819601,0
25.477789,0
13.471239,0
10.647921,0
17.525312,0
18.564177,0
37.095882,1
5.3392906,0
19.234882,0
23.642511,0
-6.897341,0
41.619507,1
-5.218651,0
9.44597,0
29.5238,0
1.1958942,0
3.7118254,0
-6.789073,0
7.021394,0
48.885773,1
35.783,1
0.40340328,0
-6.0345616,0
2.1466475,0
6.4461823,0
-1.416007,0
16.391088,0
12.238153,0
-4.97019,0
23.603518,0
3.9094515,0
-3.1961403,0
1.8460999,0
-12.150223,0
14.289791,0
-13.51171,0
-5.6772575,0
-3.1781888,0
11.942037,0
-4.087797,0
29.747475,0
-12.650119,0
33.07609,1
27.132326,0
4.0749874,0
5.839136,0
-15.520224,0
3.391214,0
-0.9594736,0
29.835817,0
-0.285676,0
3.552474,0
5.834979,0
15.673525,0
12.737478,0
35.56838,1
22.078947,0
-5.5420675,0
-3.3737392,0
1.5332298,0
12.494832,0
56.13711,1
34.424587,1
47.57127,1
21.659697,0
7.280895,0
6.962036,0
35.322437,1
45.616524,1
7.0920954,0
24.368185,0
17.132643,0
9.818637,0
-9.046249,0
15.850153,0
-7.1351132,0
28.50266,0
22.3765,0
45.895645,1
2.0398607,0
24.559559,0
-9.428669,0
-16.9999,0
19.919615,0
5.05521,0
7.940239,0
0.35298634,0
-13.97382,0
6.48254,0
-11.994218,0
2.5931911,0
20.281055,0
8.222668,0
-15.833894,0
-7.0062885,0
12.124687,0
47.649914,1
3.7492237,0
19.275934,0
-9.319516,0
38.93015,1
15.401703,0
0.3590889,0
11.617349,0
-13.047221,0
11.031437,0
7.4503555,0
22.721954,0
22.014984,0
2.8303356,0
2.0304203,0
36.28591,1
3.0891151,0
-5.9842567,0
-5.908371,0
47.097492,1
13.619859,0
-2.7915726,0
21.279535,0
-2.5069094,0
0.004346855,0
-5.3612747,0
-3.8982372,0
30.269444,1
46.58814,1
30.900629,1
4.558235,0
32.947636,1
17.799883,0
2.9459991,0
12.474714,0
10.471698,0
-0.5327101,0
1.2805271,0
-7.7456264,0
9.79275,0
4.5020084,0
-12.158131,0
33.188614,1
1.7067566,0
20.461084,0
-2.8243146,0
