synergy,class
47.168438,1
12.9532795,0
8.862211,0
70.965096,1
53.45559,1
58.455097,1
-5.857722,0
63.018486,1
5.6474595,0
-6.7586083,0
-1.3108888,0
47.673748,1
2.8766665,0
58.85564,1
-32.36766,0
-7.721435,0
6.544637,0
-51.03736,0
-22.624977,0
13.0925045,0
45.538216,1
13.372971,0
-2.6605039,0
-1.8408103,0
129.27966,1
11.7561035,0
-9.411047,0
-9.267778,0
-16.724312,0
19.198183,0
-6.031733,0
-1.6890893,0
13.991278,0
-10.577288,0
73.84713,1
31.269312,1
41.297718,1
-5.117149,0
8.873631,0
-2.0477824,0
11.372553,0
5.1494956,0
53.095745,1
-39.211643,0
51.605854,1
51.689007,1
5.768068,0
78.54893,1
80.43101,1
-20.010168,0
-12.722645,0
31.771915,1
-6.7292314,0
-0.30832145,0
-22.901407,0
-37.222477,0
43.33096,1
29.691763,0
-15.635857,0
112.691246,1
10.274156,0
-9.675299,0
9.570448,0
-1.4869142,0
9.61103,0
-0.5494809,0
-2.8752265,0
-15.70396,0
43.679134,1
-1.4161172,0
-42.524925,0
16.799564,0
-4.0410333,0
-3.5848107,0
-5.993296,0
26.402098,0
-0.6943879,0
5.508571,0
34.83803,1
-18.43558,0
-32.173996,0
-4.2926917,0
9.071722,0
22.090591,0
-9.263169,0
-1.7468667,0
-4.886725,0
36.487656,1
-25.544138,0
-4.635342,0
-4.9756074,0
24.412182,0
15.609669,0
36.685703,1
23.292921,0
-13.686977,0
-9.166758,0
36.506565,1
4.9334426,0
27.907225,0
10.278252,0
-7.0525575,0
-16.188349,0
47.820114,1
121.43922,1
-10.606416,0
14.508604,0
-3.8558555,0
107.02593,1
-48.00741,0
-10.638765,0
5.10344,0
-7.2891564,0
4.13886,0
15.139057,0
-14.921568,0
29.318186,0
-12.307789,0
10.180864,0
2.8216186,0
1.0586705,0
3.5612884,0
-0.23325965,0
-3.0804935,0
71.11132,1
71.36868,1
3.6853652,0
-5.477284,0
-4.193011,0
7.8151145,0
-32.370068,0
6.1931834,0
-14.253339,0
32.770416,1
16.289122,0
-11.395639,0
11.213354,0
22.33321,0
-8.660446,0
5.302418,0
1.1877046,0
-1.758121,0
3.3674884,0
-106.50095,0
-12.285747,0
69.96301,1
11.064276,0
-22.672842,0
23.864628,0
70.069595,1
-2.0226998,0
-28.97783,0
-8.418128,0
10.804188,0
-0.8539014,0
-20.617641,0
50.588642,1
-1.3365579,0
16.653612,0
-4.517298,0
2.7737403,0
6.702047,0
13.080445,0
-26.026863,0
2.7075515,0
-31.348946,0
1.4935946,0
34.016247,1
6.047069,0
-21.750526,0
53.07043,1
48.9024,1
22.16704,0
-12.709253,0
13.537241,0
-9.859869,0
-10.894096,0
9.461449,0
16.584406,0
37.68539,1
-4.5426126,0
8.300309,0
48.33041,1
-24.918543,0
-11.680626,0
65.49702,1
-1.3869967,0
36.813427,1
-51.619793,0
22.992006,0
-5.732411,0
5.015393,0
102.283745,1
-4.672466,0
4.153729,0
64.39922,1
-35.282467,0
0.56666374,0
23.99453,0
-1.7965817,0
19.831982,0
-4.5298023,0
-7.613501,0
55.65932,1
-5.6007104,0
-30.986967,0
-0.44972655,0
31.264662,1
0.96156263,0
-15.6435375,0
2.635467,0
-34.40952,0
64.65529,1
-26.382553,0
-3.7843175,0
46.100346,1
3.0359235,0
2.6652064,0
-41.928333,0
-1.9756866,0
-4.0417733,0
7.138353,0
13.752396,0
-6.473616,0
-0.29070136,0
2.8635116,0
39.1258,1
11.313454,0
-12.25012,0
-18.518778,0
-5.286822,0
108.80439,1
-19.139755,0
-2.2838807,0
1.2046599,0
-23.294666,0
15.199276,0
-15.653378,0
55.74078,1
9.683304,0
6.058121,0
10.61382,0
1.3440771,0
26.969494,0
-8.710493,0
-5.79514,0
21.133102,0
-19.52212,0
-14.983108,0
18.277021,0
61.97144,1
3.3586726,0
-1.9327931,0
3.6026828,0
-17.690382,0
-2.2024589,0
25.701078,0
87.75404,1
-13.849741,0
-45.192856,0
-4.038981,0
-5.121798,0
-20.235796,0
-2.0176167,0
-4.372167,0
21.350245,0
18.109442,0
16.563215,0
-18.514559,0
12.14154,0
-6.3321204,0
-4.602219,0
-12.571508,0
-1.9842591,0
27.416576,0
-10.265585,0
-7.5394807,0
-14.784155,0
-24.6788,0
79.04917,1
79.31097,1
-42.202168,0
48.60855,1
60.479618,1
13.575655,0
55.847107,1
-29.547987,0
49.60437,1
14.045444,0
35.671814,1
83.80694,1
12.011873,0
97.73612,1
5.0293937,0
-6.9414544,0
1.4585681,0
-20.546442,0
11.887504,0
-15.933638,0
37.908592,1
-22.291845,0
-4.72267,0
8.859171,0
-3.4415612,0
15.914697,0
-2.2066903,0
40.55038,1
26.606972,0
114.42195,1
86.924416,1
-14.395857,0
10.113322,0
11.236625,0
-15.912764,0
68.07337,1
-23.309916,0
72.195465,1
14.836273,0
6.780908,0
-4.15894,0
65.65327,1
6.923927,0
5.8399773,0
-34.596897,0
37.586338,1
100.145676,1
37.286278,1
26.696424,0
-38.28792,0
46.11998,1
60.243885,1
45.49812,1
3.2276702,0
8.124788,0
6.6177535,0
22.269209,0
-15.233855,0
42.06891,1
-19.16231,0
11.164874,0
-1.5189528,0
-7.0516267,0
0.25801137,0
42.003883,1
7.2451606,0
5.098338,0
8.736289,0
60.70109,1
-8.791115,0
-15.436823,0
6.262861,0
1.3487134,0
1.2476001,0
1.5367484,0
57.04356,1
-2.2475762,0
-5.147405,0
3.581902,0
-14.631086,0
2.2950444,0
-9.445517,0
-41.12495,0
26.621777,0
-3.9102378,0
-9.645121,0
-0.10259101,0
-6.4181447,0
11.585825,0
17.531675,0
-15.060392,0
16.19795,0
80.11941,1
-22.738222,0
-13.904778,0
-12.295983,0
14.610094,0
-13.949376,0
-11.27429,0
1.7910495,0
20.420244,0
1.4208941,0
-31.874987,0
13.835657,0
51.435146,1
-0.50864077,0
-12.293274,0
0.43962625,0
28.741558,0
11.704215,0
3.4888592,0
1.7075295,0
-8.062174,0
59.42258,1
20.256968,0
1.3461747,0
27.326555,0
-27.978518,0
-33.218773,0
-4.5913987,0
15.360073,0
34.251976,1
-5.3270745,0
0.04273179,0
18.86286,0
47.40431,1
-12.284067,0
-5.8458314,0
-1.6885724,0
-6.724253,0
30.044172,1
-3.7723756,0
-6.694018,0
7.7694106,0
-14.342724,0
18.66921,0
-80.19558,0
-9.43627,0
27.427502,0
35.23942,1
46.261967,1
-3.9448667,0
18.570955,0
-9.530262,0
11.017015,0
-20.38439,0
68.025085,1
53.2497,1
24.935146,0
8.732822,0
-16.40852,0
9.019315,0
-50.129704,0
-13.382385,0
-1.6372895,0
-9.053612,0
-6.907231,0
-2.7036805,0
-2.6195035,0
-19.866488,0
12.982481,0
26.014807,0
26.264997,0
11.53487,0
1.9135547,0
-22.50633,0
7.077799,0
-4.426353,0
14.607424,0
81.57222,1
-18.527664,0
3.6368833,0
10.689325,0
41.791485,1
-4.5565877,0
73.2476,1
10.618974,0
5.7197814,0
38.62252,1
54.643475,1
7.384175,0
-4.3410783,0
8.970957,0
16.089727,0
6.3283343,0
-10.364798,0
3.995152,0
6.292793,0
44.373486,1
-0.3269162,0
33.055904,1
7.2663493,0
4.513103,0
41.049004,1
-16.132967,0
23.647245,0
141.55258,1
51.74812,1
16.57109,0
-0.9134507,0
-10.0147505,0
32.36339,1
-6.0631146,0
15.232242,0
-8.204266,0
-30.178991,0
26.330017,0
20.615183,0
-10.340647,0
1.7061782,0
99.59972,1
6.1993766,0
36.33601,1
10.427565,0
-4.0022283,0
2.0329595,0
7.1901298,0
12.252405,0
3.834824,0
34.5629,1
92.49201,1
-14.7249775,0
104.202156,1
-11.247709,0
2.6071563,0
-13.323713,0
3.2590728,0
-34.33744,0
-21.497698,0
70.353714,1
-32.788845,0
-2.1767535,0
7.255859,0
10.228708,0
-25.132326,0
8.716932,0
-3.0759034,0
-51.91524,0
-16.844824,0
-10.987331,0
1.3195033,0
-0.7064953,0
128.34879,1
-23.325043,0
-28.794073,0
9.808629,0
-1.415278,0
-4.6081204,0
9.704429,0
-15.157146,0
-25.968313,0
-4.1254973,0
-1.1685853,0
-0.34928367,0
8.230386,0
-17.477345,0
11.4459305,0
-1.8164573,0
45.77863,1
12.258177,0
24.678602,0
12.436903,0
29.955442,0
15.953106,0
9.881121,0
-1.5917954,0
-17.278193,0
94.98022,1
83.02869,1
-1.3677716,0
-5.3757043,0
7.040445,0
-2.7924275,0
-1.1538243,0
66.26581,1
62.027706,1
10.841627,0
2.7607741,0
-2.3303027,0
-21.604042,0
-9.590703,0
37.08553,1
41.129925,1
-3.713778,0
11.84708,0
-22.037956,0
22.83087,0
8.234919,0
92.49086,1
0.1313453,0
20.82337,0
1.9454894,0
-9.129068,0
-5.615866,0
2.9501958,0
102.69951,1
-11.436922,0
-11.385936,0
21.54819,0
-8.2939625,0
52.586807,1
12.145912,0
-6.7505183,0
30.84119,1
8.970915,0
-37.318943,0
93.96563,1
-21.609697,0
-20.011467,0
-10.917903,0
-9.751162,0
1.3275838,0
-14.777712,0
-41.884914,0
12.316027,0
38.60649,1
-6.810759,0
0.8966632,0
-8.669728,0
-20.447104,0
123.85415,1
-12.173601,0
17.424541,0
14.259319,0
6.9960465,0
